Phenotype	PheCode	30-39	40-49	50-59	60-69	70-79
Other infectious and parasitic diseases	136.0	0.0	0.05	0.06	0.08	0.12
Other CNS infection and poliomyelitis	324.0	0.0	0.04	0.08	0.11	0.17
Jakob-Creutzfeldt disease	324.1	0.0	0.0	0.0	0.01	0.0
Encephalitis	323.0	0.0	0.06	0.09	0.08	0.08
Peripheral or central vertigo	386.2	0.0	0.07	0.11	0.18	0.51
Eye infection, viral	369.2	0.0	0.02	0.04	0.05	0.22
Varicella infection	79.1	0.0	0.03	0.01	0.01	0.04
Viral pneumonia	480.2	0.0	0.02	0.03	0.03	0.0
Herpes zoster	53.0	0.0	0.05	0.09	0.15	0.38
Herpes zoster with nervous system complications	53.1	0.0	0.01	0.02	0.05	0.04
Otitis media	381.1	0.0	0.19	0.26	0.34	0.21
Viral hepatitis A	70.1	0.0	0.02	0.02	0.02	0.04
Viral hepatitis B	70.2	16.67	0.06	0.08	0.05	0.0
Viral hepatitis	70.0	16.67	0.08	0.09	0.07	0.04
Viral hepatitis C	70.3	0.0	0.14	0.15	0.05	0.08
HIV infection, symptomatic	71.1	0.0	0.08	0.05	0.02	0.0
Candidiasis	112.0	0.0	0.45	0.55	0.97	1.24
Pneumonia due to fungus (mycoses)	480.3	0.0	0.02	0.03	0.05	0.04
Kaposi's sarcoma	230.0	0.0	0.01	0.0	0.0	0.0
Non-Hodgkins lymphoma	202.2	0.0	0.2	0.35	0.61	0.72
Malignant neoplasm, other	195.1	0.0	2.04	3.83	7.36	11.48
Encephalopathy, not elsewhere classified	348.8	0.0	0.02	0.05	0.06	0.09
Other alveolar and parietoalveolar pneumonopathy	504.0	0.0	0.04	0.09	0.17	0.23
Malaise and fatigue	798.0	0.0	0.63	0.77	1.07	1.24
Cachexia	260.1	0.0	0.01	0.02	0.02	0.0
Acute pancreatitis	577.1	0.0	0.2	0.33	0.45	0.37
Infectious mononucleosis	79.2	0.0	0.02	0.02	0.01	0.0
Dermatophytosis	110.1	0.0	0.01	0.02	0.02	0.04
Dermatophytosis of nail	110.11	0.0	0.01	0.02	0.03	0.0
Althete's foot	110.12	0.0	0.04	0.03	0.05	0.08
Dermatophytosis of the body	110.13	0.0	0.0	0.01	0.01	0.08
Dermatomycoses	110.2	0.0	0.0	0.0	0.0	0.0
Candidiasis of skin and nails	112.3	0.0	0.01	0.01	0.02	0.0
Endocarditis	420.3	0.0	0.09	0.16	0.32	0.54
Coccidioidomycosis	117.2	0.0	0.0	0.0	0.0	0.0
Histoplasmosis	117.1	0.0	0.0	0.0	0.0	0.0
Blastomycotic infection	117.3	0.0	0.0	0.0	0.0	0.0
Mycoses	117.0	0.0	0.03	0.03	0.06	0.04
Aspergillosis	117.4	0.0	0.02	0.05	0.07	0.0
Nephrotic syndrome without mention of glomerulonephritis	580.2	0.0	0.09	0.16	0.21	0.36
Pneumonia	480.0	0.0	0.57	0.97	1.99	2.56
Helminthiases	134.0	0.0	0.01	0.01	0.01	0.0
Intestinal helminthiases	134.1	0.0	0.04	0.03	0.03	0.04
Pediculosis and phthirus infestation	132.1	0.0	0.0	0.0	0.0	0.0
Infestation (lice, mites)	132.0	0.0	0.01	0.01	0.01	0.0
E. coli	41.4	0.0	0.48	0.79	1.32	2.14
Cancer of lip	145.1	0.0	0.01	0.01	0.02	0.04
Cancer of tongue	145.2	0.0	0.05	0.1	0.09	0.08
Cancer of the gums	145.4	0.0	0.0	0.01	0.01	0.04
Cancer of the mouth floor	145.5	0.0	0.01	0.02	0.02	0.0
Cancer of mouth	145.0	0.0	0.02	0.05	0.05	0.0
Cancer of larynx, pharynx, nasal cavities	149.0	0.0	0.01	0.02	0.02	0.0
Cancer of major salivary glands	145.3	0.0	0.02	0.03	0.03	0.0
Cancer of oropharynx	149.1	0.0	0.05	0.09	0.07	0.04
Cancer of nasopharynx	149.2	0.0	0.01	0.02	0.01	0.0
Cancer of hypopharynx	149.3	0.0	0.01	0.01	0.02	0.04
Cancer of esophagus	150.0	0.0	0.04	0.17	0.36	0.72
Cancer of stomach	151.0	0.0	0.05	0.13	0.29	0.63
Malignant neoplasm of small intestine, including duodenum	159.2	0.0	0.02	0.05	0.09	0.14
Colon cancer	153.2	0.0	0.24	0.7	1.53	2.3
Malignant neoplasm of rectum, rectosigmoid junction, and anus	153.3	0.0	0.17	0.54	0.98	1.47
Colorectal cancer	153.0	0.0	0.0	0.0	0.01	0.0
Cancer of liver and intrahepatic bile duct	155.0	0.0	0.02	0.07	0.13	0.41
Malignant neoplasm of liver, primary	155.1	0.0	0.01	0.05	0.08	0.32
Malignant neoplasm of gallbladder and extrahepatic bile ducts	159.3	0.0	0.02	0.05	0.1	0.18
Pancreatic cancer	157.0	0.0	0.06	0.15	0.32	0.5
Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	159.0	0.0	0.47	1.18	2.42	3.94
Cancer of of nasal cavities	149.9	0.0	0.01	0.01	0.02	0.0
Cancer of larynx	149.4	0.0	0.02	0.04	0.11	0.25
Cancer of bronchus; lung	165.1	0.0	0.16	0.55	1.2	1.78
Cancer of intrathoracic organs	164.0	0.0	0.01	0.01	0.02	0.0
Cancer within the respiratory system	165.0	0.0	0.08	0.23	0.57	1.09
Bone cancer	170.1	0.0	0.02	0.04	0.05	0.08
Melanomas of skin	172.11	0.0	0.42	0.62	1.06	1.49
Other non-epithelial cancer of skin	172.2	0.0	0.97	2.21	5.14	8.44
Malignant neoplasm of retroperitoneum and peritoneum	159.4	0.0	0.02	0.04	0.1	0.32
Cancer of connective tissue	170.2	0.0	0.06	0.09	0.11	0.17
Malignant neoplasm of female breast	174.11	0.0	1.93	3.26	4.31	4.88
Cancer of other female genital organs, excluding uterus and ovary	184.2	0.0	0.07	0.1	0.09	0.13
Malignant neoplasm of ovary and other uterine adnexa	184.1	0.0	0.01	0.02	0.04	0.04
Cervical cancer	180.1	0.0	0.09	0.08	0.05	0.04
Malignant neoplasm of uterus	182.0	0.0	0.13	0.34	0.58	0.62
Malignant neoplasm of ovary	184.11	0.0	0.15	0.25	0.37	0.61
Malignant neoplasm of unspecified male genital organ	187.1	0.0	0.01	0.02	0.03	0.09
Cancer of prostate	185.0	0.0	0.18	1.08	3.37	4.99
Malignant neoplasm of testis	187.2	0.0	0.13	0.06	0.04	0.04
Malignant neoplasm of kidney, except pelvis	189.11	0.0	0.09	0.23	0.46	0.72
Malignant neoplasm of renal pelvis	189.12	0.0	0.0	0.01	0.04	0.04
Malignant neoplasm of other urinary organs	189.4	0.0	0.01	0.02	0.06	0.08
Malignant neoplasm of bladder	189.21	0.0	0.11	0.35	1.04	1.59
Cancer of eye	190.0	0.0	0.02	0.05	0.06	0.13
Cancer of brain and nervous system	191.1	0.0	0.01	0.01	0.02	0.0
Cancer of brain	191.11	0.0	0.09	0.14	0.17	0.21
Thyroid cancer	193.0	0.0	0.1	0.11	0.11	0.17
Cancer of other endocrine glands	194.0	0.0	0.02	0.03	0.03	0.0
Secondary malignancy of lymph nodes	198.1	0.0	0.89	1.65	2.42	2.41
Secondary malignant neoplasm	198.0	0.0	0.15	0.33	0.59	0.97
Secondary malignancy of respiratory organs	198.2	0.0	0.28	0.68	1.23	1.57
Secondary malignant neoplasm of digestive systems	198.3	0.0	0.2	0.46	0.83	1.67
Secondary malignant neoplasm of liver	198.4	0.0	0.35	0.77	1.44	2.56
Secondary malignant neoplasm of skin	198.7	0.0	0.03	0.05	0.1	0.1
Secondary malignancy of brain/spine	198.5	0.0	0.11	0.27	0.42	0.56
Secondary malignancy of bone	198.6	0.0	0.24	0.61	1.24	2.16
Hodgkin's disease	201.0	0.0	0.08	0.07	0.07	0.13
Nodular lymphoma	202.21	0.0	0.05	0.09	0.15	0.21
Lymphosarcoma	202.23	0.0	0.0	0.0	0.0	0.0
Large cell lymphoma	202.24	0.0	0.06	0.13	0.27	0.21
Multiple myeloma	204.4	0.0	0.06	0.12	0.28	0.67
Macroglobulinemia	270.35	0.0	0.01	0.02	0.03	0.0
Myeloproliferative disease	200.0	0.0	0.09	0.16	0.31	0.63
Leukemia	204.0	0.0	0.08	0.1	0.18	0.13
Lymphoid leukemia	204.1	0.0	0.01	0.01	0.03	0.0
Lymphoid leukemia, acute	204.11	0.0	0.02	0.02	0.02	0.0
Lymphoid leukemia, chronic	204.12	0.0	0.04	0.09	0.26	0.17
Myeloid leukemia	204.2	0.0	0.0	0.01	0.02	0.04
Myeloid leukemia, acute	204.21	0.0	0.05	0.07	0.13	0.13
Myeloid leukemia, chronic	204.22	0.0	0.03	0.03	0.06	0.08
Monocytic leukemia	204.3	0.0	0.0	0.01	0.02	0.08
Cancer of other lymphoid, histiocytic tissue	202.0	0.0	0.18	0.3	0.47	0.59
Other disorders of metabolism	277.0	0.0	0.18	0.27	0.38	0.54
Carcinoma in situ of skin	172.3	0.0	0.04	0.11	0.38	0.77
Breast cancer [female]	174.1	0.0	0.37	0.6	0.7	0.66
Cancer, suspected or other	195.0	0.0	0.16	0.22	0.36	0.31
Cancer of other male genital organs	187.0	0.0	0.03	0.05	0.05	0.0
Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	180.3	0.0	0.97	0.58	0.3	0.04
Cancer of bladder	189.2	0.0	0.05	0.15	0.37	0.38
Cancer of urinary organs (incl. kidney and bladder)	189.0	0.0	0.16	0.54	1.38	2.16
Benign neoplasm of lip, oral cavity, and pharynx	210.0	0.0	0.21	0.24	0.29	0.33
Benign neoplasm of colon	208.0	0.0	2.72	5.25	8.73	9.62
Benign neoplasm of other parts of digestive system	211.0	0.0	0.65	1.53	2.47	2.56
Benign neoplasm of unspecified sites	229.0	0.0	0.63	0.57	0.6	0.7
Benign neoplasm of respiratory and intrathoracic organs	212.0	0.0	0.07	0.09	0.12	0.0
Benign neoplasm of bone and articular cartilage	213.0	0.0	0.09	0.09	0.09	0.09
Lipoma	214.0	0.0	0.29	0.42	0.59	0.63
Lipoma of skin and subcutaneous tissue	214.1	0.0	1.2	1.42	1.37	1.25
Hemangioma and lymphangioma, any site	228.0	0.0	0.32	0.42	0.49	0.45
Other benign neoplasm of connective and other soft tissue	215.0	0.0	0.25	0.31	0.31	0.25
Neoplasm of uncertain behavior	199.0	0.0	0.22	0.31	0.48	0.66
Benign neoplasm of skin	216.0	0.0	2.17	2.14	2.29	2.11
Benign neoplasm of breast	610.4	0.0	0.54	0.42	0.27	0.21
Uterine leiomyoma	218.1	0.0	3.72	3.37	1.89	1.3
Other benign neoplasm of uterus	218.2	0.0	0.1	0.12	0.08	0.0
Benign neoplasm of other female genital organs	221.0	0.0	0.06	0.06	0.06	0.04
Benign neoplasm of male genital organs	222.0	0.0	0.03	0.03	0.06	0.09
Benign neoplasm of kidney and other urinary organs	223.0	0.0	0.03	0.05	0.09	0.05
Benign neoplasm of eye	224.0	0.0	0.02	0.02	0.02	0.0
Benign neoplasm of eye, uveal	224.1	0.0	0.0	0.01	0.03	0.04
Benign neoplasm of brain, cranial nerves, meninges	225.1	0.0	0.12	0.22	0.27	0.46
Benign neoplasm of spinal cord, meninges	225.2	0.0	0.01	0.02	0.02	0.0
Benign neoplasm of brain and other parts of nervous system	225.0	0.0	0.0	0.0	0.0	0.0
Benign neoplasm of thyroid glands	226.0	0.0	0.08	0.07	0.08	0.08
Benign neoplasm of adrenal gland	227.1	0.0	0.04	0.05	0.08	0.08
Benign neoplasm of parathyroid gland	227.2	0.0	0.04	0.11	0.16	0.12
Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	227.3	0.0	0.08	0.1	0.11	0.12
Benign neoplasm of other endocrine glands and related structures	227.0	0.0	0.0	0.0	0.0	0.0
Benign neoplasm of lymph nodes	229.1	0.0	0.01	0.01	0.01	0.04
Neoplasm of unspecified nature of digestive system	158.0	0.0	0.11	0.28	0.49	0.72
Cancer of other female genital organs	184.0	0.0	0.04	0.04	0.04	0.04
Neoplasm of uncertain behavior of male genital organs	187.8	0.0	0.02	0.02	0.03	0.0
Manlignant and unknown neoplasms of brain and nervous system	191.0	0.0	0.05	0.06	0.07	0.13
Paraproteinemia	270.32	0.0	0.02	0.05	0.12	0.17
Neoplasm of uncertain behavior of skin	173.0	0.0	0.03	0.05	0.06	0.09
Neoplasm of uncertain behavior of breast	174.3	0.0	0.03	0.03	0.03	0.04
Iron deficiency anemias, unspecified or not due to blood loss	280.1	0.0	1.91	2.2	3.21	4.04
Iron deficiency anemia secondary to blood loss (chronic)	280.2	0.0	0.21	0.15	0.13	0.18
Other vitamin B12 deficiency anemia	281.12	0.0	0.04	0.06	0.08	0.14
Pernicious anemia	281.11	0.0	0.13	0.19	0.32	0.51
Folate-deficiency anemia	281.13	0.0	0.03	0.06	0.09	0.09
Other deficiency anemia	281.0	0.0	0.0	0.0	0.0	0.0
Megaloblastic anemia	281.1	0.0	0.0	0.0	0.0	0.0
Deficiency anemias	281.9	0.0	0.02	0.01	0.02	0.0
Other hereditary hemolytic anemias	282.9	0.0	0.03	0.02	0.04	0.05
Other hemoglobinopathies	282.8	0.0	0.1	0.08	0.06	0.05
Sickle cell anemia	282.5	0.0	0.2	0.1	0.05	0.05
Other diseases of blood and blood-forming organs	289.0	0.0	0.07	0.12	0.22	0.51
Acquired hemolytic anemias	283.0	0.0	0.0	0.01	0.01	0.0
Autoimmune hemolytic anemias	283.1	0.0	0.02	0.03	0.05	0.09
Non-autoimmune hemolytic anemias	283.2	0.0	0.0	0.01	0.0	0.0
Hemolytic-uremic syndrome	283.21	0.0	0.0	0.0	0.0	0.0
Hemoglobinuria	285.8	0.0	0.0	0.0	0.01	0.0
Aplastic anemia	284.0	0.0	0.06	0.13	0.22	0.51
Constitutional aplastic anemia	284.2	0.0	0.0	0.0	0.01	0.0
Acute posthemorrhagic anemia	285.1	0.0	0.1	0.06	0.08	0.09
Anemia in neoplastic disease	285.22	0.0	0.06	0.1	0.21	0.37
Anemia of chronic disease	285.2	0.0	0.04	0.08	0.15	0.28
Other anemias	285.0	0.0	2.4	3.06	4.83	7.12
Sideroblastic anemia	285.3	0.0	0.0	0.0	0.01	0.0
Defibrination syndrome	286.6	0.0	0.01	0.01	0.01	0.0
Congenital factor VIII disorder	286.13	0.0	0.02	0.02	0.02	0.04
Congenital coagulation defects	286.1	0.0	0.01	0.01	0.01	0.04
Other and unspecified coagulation defects	286.7	0.0	0.11	0.1	0.13	0.25
Von willebrand's disease	286.11	0.0	0.04	0.03	0.03	0.0
Congenital deficiency of other clotting factors (including factor VII)	286.12	0.0	0.09	0.08	0.08	0.04
Hemorrhagic disorder due to intrinsic circulating anticoagulants	286.5	0.0	0.01	0.02	0.04	0.0
Acquired coagulation factor deficiency	286.4	0.0	0.0	0.0	0.0	0.0
Purpura and other hemorrhagic conditions	287.0	0.0	0.01	0.02	0.04	0.17
Allergic purpura	287.2	0.0	0.01	0.01	0.01	0.04
Qualitative platelet defects	287.4	0.0	0.01	0.0	0.0	0.04
Primary thrombocytopenia	287.31	0.0	0.08	0.09	0.17	0.29
Secondary thrombocytopenia	287.32	0.0	0.01	0.02	0.04	0.04
Thrombocytopenia	287.3	0.0	0.22	0.35	0.54	0.58
Neutropenia	288.11	0.0	0.57	0.92	1.27	1.73
Diseases of white blood cells	288.0	0.0	0.13	0.18	0.22	0.3
Eosinophilia	288.3	0.0	0.01	0.02	0.03	0.0
Diseases of spleen	289.5	0.0	0.1	0.15	0.2	0.3
Abnormality of red blood cells	289.9	0.0	0.01	0.02	0.04	0.04
Immunity deficiency	279.1	0.0	0.02	0.02	0.03	0.04
Deficiency of humoral immunity	279.11	0.0	0.03	0.04	0.05	0.08
Other disorders of purine and pyrimidine metabolism	277.2	0.0	0.0	0.0	0.0	0.0
Other specified disorders involving the immune mechanism	279.8	0.0	0.0	0.01	0.01	0.0
Sarcoidosis	697.0	0.0	0.15	0.19	0.19	0.04
Polyclonal hypergammaglobulinemia	270.31	0.0	0.0	0.0	0.01	0.0
Disorders involving the immune mechanism	279.0	0.0	0.01	0.01	0.01	0.04
Congenital hypothyroidism	244.5	0.0	0.0	0.01	0.01	0.0
Simple and unspecified goiter	240.0	0.0	0.13	0.17	0.21	0.14
Nontoxic multinodular goiter	241.2	0.0	0.12	0.21	0.26	0.32
Acquired hypothyroidism	244.2	0.0	0.03	0.03	0.04	0.05
Secondary hypothyroidism	244.1	0.0	0.2	0.34	0.49	0.45
Other disorders of thyroid	246.0	0.0	0.08	0.11	0.17	0.27
Coma	348.7	0.0	0.08	0.08	0.14	0.31
Hypothyroidism NOS	244.4	0.0	2.24	3.78	5.56	7.98
Nontoxic uninodular goiter	241.1	0.0	0.12	0.16	0.17	0.09
Nontoxic nodular goiter	241.0	0.0	0.0	0.0	0.0	0.0
Thyrotoxicosis with or without goiter	242.0	0.0	0.28	0.41	0.56	0.5
Graves' disease	242.1	0.0	0.15	0.15	0.13	0.23
Toxic multinodular goiter	242.2	0.0	0.02	0.02	0.04	0.05
Pituitary hyperfunction	253.1	0.0	0.04	0.03	0.02	0.0
Thyroiditis	245.0	0.0	0.01	0.02	0.02	0.05
Thyroiditis, acute and subacute	245.1	0.0	0.0	0.0	0.0	0.05
Chronic thyroiditis	245.2	0.0	0.01	0.0	0.0	0.05
Chronic lymphocytic thyroiditis	245.21	0.0	0.05	0.06	0.07	0.14
Type 1 diabetes	250.1	0.0	0.53	0.75	1.01	1.15
Type 1 diabetes with ketoacidosis	250.11	0.0	0.1	0.07	0.07	0.0
Type 1 diabetes with renal manifestations	250.12	0.0	0.02	0.03	0.03	0.05
Type 2 diabetes with ophthalmic manifestations	250.23	0.0	0.19	0.4	0.71	0.65
Diabetic retinopathy	250.7	0.0	0.2	0.39	0.7	0.69
Type 1 diabetes with ophthalmic manifestations	250.13	0.0	0.1	0.15	0.18	0.09
Type 1 diabetes with neurological manifestations	250.14	0.0	0.04	0.05	0.06	0.19
Type 2 diabetes with neurological manifestations	250.24	0.0	0.09	0.2	0.29	0.33
Peripheral angiopathy in diseases classified elsewhere	443.7	0.0	0.05	0.11	0.18	0.26
Type 2 diabetes	250.2	0.0	2.58	5.03	8.46	11.04
Type 2 diabetes with ketoacidosis	250.21	0.0	0.04	0.05	0.05	0.09
Type 2 diabetes with renal manifestations	250.22	0.0	0.03	0.07	0.12	0.05
severe protein-calorie malnutrition	260.2	0.0	0.0	0.0	0.0	0.0
Secondary diabetes mellitus	249.0	0.0	0.0	0.0	0.0	0.0
Hypoglycemia	251.1	0.0	0.2	0.27	0.49	0.66
Other disorders of pancreatic internal secretion	251.0	0.0	0.0	0.0	0.0	0.0
Abnormality of secretion of glucagon or gastrin	251.8	0.0	0.0	0.0	0.0	0.0
Hypoparathyroidism	252.2	0.0	0.03	0.04	0.07	0.08
Disorders of calcium/phosphorus metabolism	275.5	0.0	0.16	0.3	0.54	0.75
Hyperparathyroidism	252.1	0.0	0.11	0.21	0.35	0.42
Disorders of parathyroid gland	252.0	0.0	0.0	0.01	0.01	0.04
Acromegaly and gigantism	253.11	0.0	0.02	0.02	0.03	0.04
Other disorders of neurohypophysis	253.7	0.0	0.01	0.04	0.09	0.17
Pituitary hypofunction	253.2	0.0	0.07	0.08	0.09	0.04
Iatrogenic endocrine disorders	258.0	0.0	0.02	0.03	0.04	0.0
Diabetes insipidus	253.3	0.0	0.02	0.03	0.03	0.0
Disorders of the pituitary gland and its hypothalamic control	253.0	0.0	0.02	0.03	0.03	0.0
Cushing's syndrome	255.11	0.0	0.02	0.04	0.03	0.04
Adrenogenital disorders	255.3	0.0	0.01	0.0	0.0	0.04
Hyperaldosteronism	255.12	0.0	0.01	0.03	0.02	0.0
Adrenal hyperfunction	255.1	0.0	0.0	0.0	0.0	0.0
Glucocorticoid deficiency	255.21	0.0	0.09	0.11	0.12	0.08
Medulloadrenal hyperfunction	255.13	0.0	0.0	0.0	0.0	0.0
Disorders of adrenal glands	255.0	0.0	0.03	0.05	0.06	0.08
Ovarian dysfunction	256.0	0.0	0.03	0.01	0.0	0.04
Polycystic ovaries	256.4	0.0	0.21	0.04	0.01	0.0
Premature menopause and other ovarian failure	627.5	0.0	0.02	0.01	0.01	0.04
Testicular dysfunction	257.0	0.0	0.0	0.01	0.0	0.0
Testicular hypofunction	257.1	0.0	0.04	0.05	0.05	0.0
Delay in sexual development and puberty NEC	259.3	0.0	0.0	0.0	0.0	0.0
Other endocrine disorders	259.0	0.0	0.04	0.03	0.03	0.08
Diseases of thymus gland	254.0	0.0	0.0	0.01	0.01	0.0
Carcinoid syndrome	259.2	0.0	0.0	0.01	0.02	0.0
Nutritional marasmus	260.22	0.0	0.0	0.0	0.0	0.0
Other nutritional deficiency	263.0	0.0	0.0	0.01	0.01	0.04
Protein-calorie malnutrition	260.0	0.0	0.03	0.05	0.08	0.08
Vitamin A deficiency	261.1	0.0	0.0	0.0	0.0	0.0
Vitamin B-complex deficiencies	261.2	0.0	0.19	0.22	0.36	0.67
Vitamin C deficiencies	261.3	0.0	0.0	0.0	0.0	0.0
Vitamin D deficiency	261.4	0.0	0.24	0.25	0.31	0.42
Rickets or osteomalacia	261.41	0.0	0.01	0.01	0.01	0.0
Vitamin deficiency	261.0	0.0	0.01	0.0	0.01	0.04
Mineral deficiency NEC	262.0	0.0	0.08	0.08	0.11	0.21
Localized adiposity	278.3	0.0	0.02	0.03	0.02	0.0
Obesity	278.1	0.0	2.95	3.85	4.26	4.51
Hypoventilation	513.3	0.0	0.03	0.02	0.04	0.08
Overweight, obesity and other hyperalimentation	278.0	0.0	0.0	0.0	0.0	0.0
Disturbances of amino-acid transport	270.1	0.0	0.01	0.01	0.01	0.04
Phenylketonuria [PKU]	270.12	0.0	0.0	0.0	0.0	0.0
Other disorders of lipoid metabolism	277.5	0.0	0.04	0.05	0.08	0.12
Disturbances of sulphur-bearing amino-acid metabolism	270.11	0.0	0.0	0.0	0.0	0.0
Disorders of urea cycle metabolism	270.21	0.0	0.0	0.0	0.0	0.0
Disorders of amino-acid metabolism	270.2	0.0	0.0	0.0	0.0	0.0
Intestinal disaccharidase deficiencies and disaccharide malabsorption	271.3	0.0	0.03	0.05	0.06	0.0
Other disorders of carbohydrate transport and metabolism	271.9	0.0	0.01	0.01	0.01	0.0
Other cerebral degenerations	331.0	0.0	0.03	0.06	0.13	0.36
Lipoprotein disorders	277.51	0.0	0.01	0.02	0.02	0.04
Hypercholesterolemia	272.11	0.0	2.99	7.66	15.54	20.82
Hyperglyceridemia	272.12	0.0	0.01	0.02	0.03	0.05
Mixed hyperlipidemia	272.13	0.0	0.02	0.05	0.07	0.0
Hyperchylomicronemia	272.14	0.0	0.0	0.0	0.01	0.0
Hyperlipidemia	272.1	0.0	0.46	1.28	2.83	3.52
Unspecified disorder of lipoid metabolism	272.9	0.0	0.03	0.06	0.15	0.16
Other abnormal blood chemistry	790.6	0.0	0.64	1.53	3.09	3.6
Disorders of porphyrin metabolism	277.1	0.0	0.01	0.01	0.01	0.04
Disorders of bilirubin excretion	277.4	0.0	0.08	0.11	0.12	0.17
Disorders of mineral metabolism	275.0	0.0	0.0	0.0	0.0	0.0
Disorders of copper metabolism	275.2	0.0	0.0	0.0	0.0	0.0
Disorders of iron metabolism	275.1	0.0	0.13	0.19	0.23	0.25
Disorders of phosphorus metabolism	275.53	0.0	0.04	0.07	0.11	0.13
Disorders of magnesium metabolism	275.3	0.0	0.07	0.13	0.24	0.46
Cystic fibrosis	499.0	0.0	0.01	0.01	0.0	0.0
Amyloidosis	270.33	0.0	0.01	0.02	0.07	0.08
Hypovolemia	276.5	0.0	0.44	0.76	1.51	2.7
Hyperosmolality and/or hypernatremia	276.11	0.0	0.04	0.07	0.16	0.39
Hyposmolality and/or hyponatremia	276.12	0.0	0.21	0.5	1.14	1.9
Acidosis	276.41	0.0	0.17	0.32	0.58	0.66
Alkalosis	276.42	0.0	0.02	0.04	0.07	0.09
Acid-base balance disorder	276.4	0.0	0.0	0.0	0.0	0.0
Hyperpotassemia	276.13	0.0	0.11	0.27	0.57	0.74
Hypopotassemia	276.14	0.0	0.24	0.41	0.83	1.17
Fluid overload	276.6	0.0	0.07	0.15	0.32	0.48
Electrolyte imbalance	276.1	0.0	0.03	0.03	0.07	0.13
Postablative ovarian failure	258.1	0.0	0.0	0.01	0.01	0.04
Dementias	290.1	0.0	0.03	0.12	0.64	1.64
Alzheimer's disease	290.11	0.0	0.01	0.07	0.38	0.96
Vascular dementia	290.16	0.0	0.01	0.03	0.21	0.44
Tics and choreas	333.3	0.0	0.01	0.0	0.01	0.05
Dementia with cerebral degenerations	290.12	0.0	0.0	0.01	0.05	0.18
Other persistent mental disorders due to conditions classified elsewhere	290.3	0.0	0.06	0.02	0.01	0.04
Delirium due to conditions classified elsewhere	290.2	0.0	0.08	0.17	0.58	1.09
Specific nonpsychotic mental disorders due to brain damage	291.4	0.0	0.02	0.02	0.01	0.0
Psychosis	295.3	0.0	0.09	0.05	0.06	0.0
Transient mental disorders due to conditions classified elsewhere	291.1	0.0	0.07	0.05	0.02	0.0
Mood disorders	296.0	0.0	0.03	0.03	0.02	0.05
Anxiety disorder	300.1	0.0	1.84	2.08	2.39	3.33
Mild cognitive impairment	292.2	0.0	0.02	0.05	0.13	0.39
