PheCode	Phenotype	Ethnicity	Prevalence	Cases	Controls
155.1	Malignant neoplasm of liver, primary	Asian (all)	0.11	10.0	9486.0
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	Asian (all)	0.07	7.0	9486.0
157.0	Pancreatic cancer	Asian (all)	0.16	15.0	9486.0
159.0	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	Asian (all)	0.84	80.0	9486.0
149.9	Cancer of of nasal cavities	Asian (all)	0.0	0.0	9769.0
149.4	Cancer of larynx	Asian (all)	0.04	4.0	9769.0
165.1	Cancer of bronchus; lung	Asian (all)	0.31	30.0	9789.0
164.0	Cancer of intrathoracic organs	Asian (all)	0.01	1.0	9789.0
165.0	Cancer within the respiratory system	Asian (all)	0.12	12.0	9789.0
170.1	Bone cancer	Asian (all)	0.07	7.0	9806.0
172.11	Melanomas of skin	Asian (all)	0.01	1.0	9802.0
172.2	Other non-epithelial cancer of skin	Asian (all)	0.17	17.0	9802.0
159.4	Malignant neoplasm of retroperitoneum and peritoneum	Asian (all)	0.05	5.0	9486.0
170.2	Cancer of connective tissue	Asian (all)	0.11	11.0	9806.0
174.11	Malignant neoplasm of female breast	Asian (all)	2.06	199.0	9458.0
184.2	Cancer of other female genital organs, excluding uterus and ovary	Asian (all)	0.04	4.0	9511.0
184.1	Malignant neoplasm of ovary and other uterine adnexa	Asian (all)	0.01	1.0	9511.0
180.1	Cervical cancer	Asian (all)	0.05	5.0	9256.0
182.0	Malignant neoplasm of uterus	Asian (all)	0.34	32.0	9256.0
184.11	Malignant neoplasm of ovary	Asian (all)	0.18	17.0	9511.0
187.1	Malignant neoplasm of unspecified male genital organ	Asian (all)	0.03	3.0	9730.0
185.0	Cancer of prostate	Asian (all)	0.84	79.0	9365.0
187.2	Malignant neoplasm of testis	Asian (all)	0.04	4.0	9730.0
189.11	Malignant neoplasm of kidney, except pelvis	Asian (all)	0.26	25.0	9744.0
189.12	Malignant neoplasm of renal pelvis	Asian (all)	0.0	0.0	9744.0
189.4	Malignant neoplasm of other urinary organs	Asian (all)	0.01	1.0	9744.0
189.21	Malignant neoplasm of bladder	Asian (all)	0.34	33.0	9744.0
190.0	Cancer of eye	Asian (all)	0.01	1.0	9789.0
191.1	Cancer of brain and nervous system	Asian (all)	0.0	0.0	9789.0
191.11	Cancer of brain	Asian (all)	0.09	9.0	9789.0
193.0	Thyroid cancer	Asian (all)	0.12	12.0	9776.0
194.0	Cancer of other endocrine glands	Asian (all)	0.04	4.0	9776.0
198.1	Secondary malignancy of lymph nodes	Asian (all)	0.81	74.0	9112.0
198.0	Secondary malignant neoplasm	Asian (all)	0.18	16.0	9112.0
198.2	Secondary malignancy of respiratory organs	Asian (all)	0.33	30.0	9112.0
198.3	Secondary malignant neoplasm of digestive systems	Asian (all)	0.32	29.0	9112.0
198.4	Secondary malignant neoplasm of liver	Asian (all)	0.37	34.0	9112.0
198.7	Secondary malignant neoplasm of skin	Asian (all)	0.04	4.0	9112.0
198.5	Secondary malignancy of brain/spine	Asian (all)	0.12	11.0	9112.0
198.6	Secondary malignancy of bone	Asian (all)	0.38	35.0	9112.0
201.0	Hodgkin's disease	Asian (all)	0.05	5.0	9736.0
202.21	Nodular lymphoma	Asian (all)	0.09	9.0	9736.0
202.23	Lymphosarcoma	Asian (all)	0.0	0.0	9736.0
202.24	Large cell lymphoma	Asian (all)	0.18	18.0	9736.0
204.4	Multiple myeloma	Asian (all)	0.1	10.0	9736.0
270.35	Macroglobulinemia	Asian (all)	0.0	0.0	9786.0
200.0	Myeloproliferative disease	Asian (all)	0.21	20.0	9736.0
204.0	Leukemia	Asian (all)	0.08	8.0	9736.0
204.1	Lymphoid leukemia	Asian (all)	0.01	1.0	9736.0
204.11	Lymphoid leukemia, acute	Asian (all)	0.02	2.0	9736.0
204.12	Lymphoid leukemia, chronic	Asian (all)	0.05	5.0	9736.0
204.2	Myeloid leukemia	Asian (all)	0.0	0.0	9736.0
204.21	Myeloid leukemia, acute	Asian (all)	0.04	4.0	9736.0
204.22	Myeloid leukemia, chronic	Asian (all)	0.05	5.0	9736.0
204.3	Monocytic leukemia	Asian (all)	0.0	0.0	9736.0
202.0	Cancer of other lymphoid, histiocytic tissue	Asian (all)	0.32	31.0	9736.0
277.0	Other disorders of metabolism	Asian (all)	0.37	36.0	9758.0
172.3	Carcinoma in situ of skin	Asian (all)	0.0	0.0	9802.0
174.1	Breast cancer [female]	Asian (all)	0.46	44.0	9458.0
195.0	Cancer, suspected or other	Asian (all)	0.13	12.0	9112.0
187.0	Cancer of other male genital organs	Asian (all)	0.03	3.0	9730.0
180.3	Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	Asian (all)	0.42	39.0	9256.0
189.2	Cancer of bladder	Asian (all)	0.16	16.0	9744.0
189.0	Cancer of urinary organs (incl. kidney and bladder)	Asian (all)	0.42	41.0	9744.0
210.0	Benign neoplasm of lip, oral cavity, and pharynx	Asian (all)	0.28	27.0	9769.0
208.0	Benign neoplasm of colon	Asian (all)	4.64	454.0	9337.0
211.0	Benign neoplasm of other parts of digestive system	Asian (all)	1.64	159.0	9535.0
229.0	Benign neoplasm of unspecified sites	Asian (all)	0.42	41.0	9780.0
212.0	Benign neoplasm of respiratory and intrathoracic organs	Asian (all)	0.09	9.0	9814.0
213.0	Benign neoplasm of bone and articular cartilage	Asian (all)	0.11	10.0	8911.0
214.0	Lipoma	Asian (all)	0.51	49.0	9564.0
214.1	Lipoma of skin and subcutaneous tissue	Asian (all)	1.88	183.0	9564.0
228.0	Hemangioma and lymphangioma, any site	Asian (all)	0.35	34.0	9789.0
215.0	Other benign neoplasm of connective and other soft tissue	Asian (all)	0.34	33.0	9564.0
199.0	Neoplasm of uncertain behavior	Asian (all)	0.3	27.0	9112.0
216.0	Benign neoplasm of skin	Asian (all)	1.25	123.0	9692.0
610.4	Benign neoplasm of breast	Asian (all)	0.41	40.0	9658.0
218.1	Uterine leiomyoma	Asian (all)	2.87	279.0	9442.0
218.2	Other benign neoplasm of uterus	Asian (all)	0.07	7.0	9442.0
221.0	Benign neoplasm of other female genital organs	Asian (all)	0.01	1.0	9239.0
222.0	Benign neoplasm of male genital organs	Asian (all)	0.05	5.0	9730.0
223.0	Benign neoplasm of kidney and other urinary organs	Asian (all)	0.03	3.0	8911.0
224.0	Benign neoplasm of eye	Asian (all)	0.0	0.0	9789.0
224.1	Benign neoplasm of eye, uveal	Asian (all)	0.0	0.0	9789.0
225.1	Benign neoplasm of brain, cranial nerves, meninges	Asian (all)	0.18	18.0	9789.0
225.2	Benign neoplasm of spinal cord, meninges	Asian (all)	0.01	1.0	9789.0
225.0	Benign neoplasm of brain and other parts of nervous system	Asian (all)	0.0	0.0	9789.0
226.0	Benign neoplasm of thyroid glands	Asian (all)	0.08	8.0	9776.0
227.1	Benign neoplasm of adrenal gland	Asian (all)	0.02	2.0	9776.0
227.2	Benign neoplasm of parathyroid gland	Asian (all)	0.13	13.0	9776.0
227.3	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	Asian (all)	0.08	8.0	9776.0
227.0	Benign neoplasm of other endocrine glands and related structures	Asian (all)	0.0	0.0	9776.0
229.1	Benign neoplasm of lymph nodes	Asian (all)	0.02	2.0	9780.0
158.0	Neoplasm of unspecified nature of digestive system	Asian (all)	0.2	19.0	9486.0
184.0	Cancer of other female genital organs	Asian (all)	0.02	2.0	9511.0
187.8	Neoplasm of uncertain behavior of male genital organs	Asian (all)	0.0	0.0	9730.0
191.0	Manlignant and unknown neoplasms of brain and nervous system	Asian (all)	0.06	6.0	9789.0
270.32	Paraproteinemia	Asian (all)	0.08	8.0	9786.0
173.0	Neoplasm of uncertain behavior of skin	Asian (all)	0.03	3.0	9802.0
174.3	Neoplasm of uncertain behavior of breast	Asian (all)	0.05	5.0	9458.0
280.1	Iron deficiency anemias, unspecified or not due to blood loss	Asian (all)	5.41	502.0	8776.0
280.2	Iron deficiency anemia secondary to blood loss (chronic)	Asian (all)	0.3	26.0	8776.0
281.12	Other vitamin B12 deficiency anemia	Asian (all)	0.27	24.0	8776.0
281.11	Pernicious anemia	Asian (all)	0.27	24.0	8776.0
281.13	Folate-deficiency anemia	Asian (all)	0.08	7.0	8776.0
281.0	Other deficiency anemia	Asian (all)	0.0	0.0	8776.0
281.1	Megaloblastic anemia	Asian (all)	0.02	2.0	8776.0
281.9	Deficiency anemias	Asian (all)	0.1	9.0	8776.0
282.9	Other hereditary hemolytic anemias	Asian (all)	0.03	3.0	8776.0
282.8	Other hemoglobinopathies	Asian (all)	1.0	89.0	8776.0
282.5	Sickle cell anemia	Asian (all)	0.11	10.0	8776.0
289.0	Other diseases of blood and blood-forming organs	Asian (all)	0.14	13.0	9586.0
283.0	Acquired hemolytic anemias	Asian (all)	0.01	1.0	8776.0
283.1	Autoimmune hemolytic anemias	Asian (all)	0.05	4.0	8776.0
283.2	Non-autoimmune hemolytic anemias	Asian (all)	0.01	1.0	8776.0
283.21	Hemolytic-uremic syndrome	Asian (all)	0.0	0.0	8776.0
285.8	Hemoglobinuria	Asian (all)	0.01	1.0	8776.0
284.0	Aplastic anemia	Asian (all)	0.13	11.0	8776.0
284.2	Constitutional aplastic anemia	Asian (all)	0.0	0.0	8776.0
285.1	Acute posthemorrhagic anemia	Asian (all)	0.07	6.0	8776.0
285.22	Anemia in neoplastic disease	Asian (all)	0.1	9.0	8776.0
285.2	Anemia of chronic disease	Asian (all)	0.1	9.0	8776.0
285.0	Other anemias	Asian (all)	6.71	631.0	8776.0
285.3	Sideroblastic anemia	Asian (all)	0.03	3.0	8776.0
286.6	Defibrination syndrome	Asian (all)	0.02	2.0	9733.0
286.13	Congenital factor VIII disorder	Asian (all)	0.02	2.0	9733.0
286.1	Congenital coagulation defects	Asian (all)	0.01	1.0	9733.0
286.7	Other and unspecified coagulation defects	Asian (all)	0.11	11.0	9733.0
286.11	Von willebrand's disease	Asian (all)	0.02	2.0	9733.0
286.12	Congenital deficiency of other clotting factors (including factor VII)	Asian (all)	0.06	6.0	9733.0
286.5	Hemorrhagic disorder due to intrinsic circulating anticoagulants	Asian (all)	0.0	0.0	9733.0
286.4	Acquired coagulation factor deficiency	Asian (all)	0.0	0.0	9733.0
287.0	Purpura and other hemorrhagic conditions	Asian (all)	0.03	3.0	9733.0
287.2	Allergic purpura	Asian (all)	0.0	0.0	9733.0
287.4	Qualitative platelet defects	Asian (all)	0.02	2.0	9733.0
287.31	Primary thrombocytopenia	Asian (all)	0.26	25.0	9733.0
287.32	Secondary thrombocytopenia	Asian (all)	0.02	2.0	9733.0
287.3	Thrombocytopenia	Asian (all)	0.5	49.0	9733.0
288.11	Neutropenia	Asian (all)	0.76	73.0	9586.0
288.0	Diseases of white blood cells	Asian (all)	0.19	18.0	9586.0
288.3	Eosinophilia	Asian (all)	0.02	2.0	9586.0
289.5	Diseases of spleen	Asian (all)	0.08	8.0	9586.0
289.9	Abnormality of red blood cells	Asian (all)	0.03	3.0	9586.0
279.1	Immunity deficiency	Asian (all)	0.01	1.0	9815.0
279.11	Deficiency of humoral immunity	Asian (all)	0.01	1.0	9815.0
277.2	Other disorders of purine and pyrimidine metabolism	Asian (all)	0.0	0.0	9758.0
279.8	Other specified disorders involving the immune mechanism	Asian (all)	0.0	0.0	9815.0
697.0	Sarcoidosis	Asian (all)	0.4	39.0	9638.0
270.31	Polyclonal hypergammaglobulinemia	Asian (all)	0.01	1.0	9786.0
279.0	Disorders involving the immune mechanism	Asian (all)	0.0	0.0	9815.0
244.5	Congenital hypothyroidism	Asian (all)	0.02	2.0	9198.0
240.0	Simple and unspecified goiter	Asian (all)	0.12	11.0	9198.0
241.2	Nontoxic multinodular goiter	Asian (all)	0.3	28.0	9198.0
244.2	Acquired hypothyroidism	Asian (all)	0.03	3.0	9198.0
244.1	Secondary hypothyroidism	Asian (all)	0.41	38.0	9198.0
246.0	Other disorders of thyroid	Asian (all)	0.21	19.0	9198.0
348.7	Coma	Asian (all)	0.13	12.0	9490.0
244.4	Hypothyroidism NOS	Asian (all)	5.39	524.0	9198.0
241.1	Nontoxic uninodular goiter	Asian (all)	0.21	19.0	9198.0
241.0	Nontoxic nodular goiter	Asian (all)	0.0	0.0	9198.0
242.0	Thyrotoxicosis with or without goiter	Asian (all)	0.52	48.0	9198.0
242.1	Graves' disease	Asian (all)	0.13	12.0	9198.0
242.2	Toxic multinodular goiter	Asian (all)	0.03	3.0	9198.0
253.1	Pituitary hyperfunction	Asian (all)	0.04	4.0	9668.0
245.0	Thyroiditis	Asian (all)	0.03	3.0	9198.0
245.1	Thyroiditis, acute and subacute	Asian (all)	0.0	0.0	9198.0
245.2	Chronic thyroiditis	Asian (all)	0.0	0.0	9198.0
245.21	Chronic lymphocytic thyroiditis	Asian (all)	0.11	10.0	9198.0
250.1	Type 1 diabetes	Asian (all)	2.01	164.0	8014.0
250.11	Type 1 diabetes with ketoacidosis	Asian (all)	0.02	2.0	8014.0
250.12	Type 1 diabetes with renal manifestations	Asian (all)	0.09	7.0	8014.0
250.23	Type 2 diabetes with ophthalmic manifestations	Asian (all)	2.13	174.0	8014.0
250.7	Diabetic retinopathy	Asian (all)	1.7	161.0	9300.0
250.13	Type 1 diabetes with ophthalmic manifestations	Asian (all)	0.24	19.0	8014.0
250.14	Type 1 diabetes with neurological manifestations	Asian (all)	0.04	3.0	8014.0
250.24	Type 2 diabetes with neurological manifestations	Asian (all)	0.51	41.0	8014.0
443.7	Peripheral angiopathy in diseases classified elsewhere	Asian (all)	0.15	14.0	9625.0
250.2	Type 2 diabetes	Asian (all)	17.95	1753.0	8014.0
250.21	Type 2 diabetes with ketoacidosis	Asian (all)	0.14	11.0	8014.0
250.22	Type 2 diabetes with renal manifestations	Asian (all)	0.45	36.0	8014.0
260.2	severe protein-calorie malnutrition	Asian (all)	0.0	0.0	9581.0
249.0	Secondary diabetes mellitus	Asian (all)	0.0	0.0	8014.0
251.1	Hypoglycemia	Asian (all)	0.7	56.0	7951.0
251.0	Other disorders of pancreatic internal secretion	Asian (all)	0.01	1.0	9668.0
251.8	Abnormality of secretion of glucagon or gastrin	Asian (all)	0.0	0.0	9668.0
252.2	Hypoparathyroidism	Asian (all)	0.06	6.0	9668.0
275.5	Disorders of calcium/phosphorus metabolism	Asian (all)	0.4	39.0	9772.0
252.1	Hyperparathyroidism	Asian (all)	0.26	25.0	9668.0
252.0	Disorders of parathyroid gland	Asian (all)	0.02	2.0	9668.0
253.11	Acromegaly and gigantism	Asian (all)	0.02	2.0	9668.0
253.7	Other disorders of neurohypophysis	Asian (all)	0.11	11.0	9668.0
253.2	Pituitary hypofunction	Asian (all)	0.11	11.0	9668.0
258.0	Iatrogenic endocrine disorders	Asian (all)	0.04	4.0	9668.0
253.3	Diabetes insipidus	Asian (all)	0.06	6.0	9668.0
253.0	Disorders of the pituitary gland and its hypothalamic control	Asian (all)	0.03	3.0	9668.0
255.11	Cushing's syndrome	Asian (all)	0.03	3.0	9668.0
255.3	Adrenogenital disorders	Asian (all)	0.0	0.0	9668.0
255.12	Hyperaldosteronism	Asian (all)	0.0	0.0	9668.0
255.1	Adrenal hyperfunction	Asian (all)	0.0	0.0	9668.0
255.21	Glucocorticoid deficiency	Asian (all)	0.1	10.0	9668.0
255.13	Medulloadrenal hyperfunction	Asian (all)	0.0	0.0	9668.0
255.0	Disorders of adrenal glands	Asian (all)	0.09	9.0	9668.0
256.0	Ovarian dysfunction	Asian (all)	0.02	2.0	9668.0
256.4	Polycystic ovaries	Asian (all)	0.14	14.0	9668.0
627.5	Premature menopause and other ovarian failure	Asian (all)	0.01	1.0	9093.0
257.0	Testicular dysfunction	Asian (all)	0.01	1.0	9668.0
257.1	Testicular hypofunction	Asian (all)	0.06	6.0	9668.0
259.3	Delay in sexual development and puberty NEC	Asian (all)	0.0	0.0	9668.0
259.0	Other endocrine disorders	Asian (all)	0.03	3.0	9668.0
254.0	Diseases of thymus gland	Asian (all)	0.01	1.0	9668.0
259.2	Carcinoid syndrome	Asian (all)	0.0	0.0	9668.0
260.22	Nutritional marasmus	Asian (all)	0.0	0.0	9581.0
263.0	Other nutritional deficiency	Asian (all)	0.0	0.0	9581.0
260.0	Protein-calorie malnutrition	Asian (all)	0.06	6.0	9581.0
261.1	Vitamin A deficiency	Asian (all)	0.01	1.0	9581.0
261.2	Vitamin B-complex deficiencies	Asian (all)	0.77	74.0	9581.0
261.3	Vitamin C deficiencies	Asian (all)	0.0	0.0	9581.0
261.4	Vitamin D deficiency	Asian (all)	1.43	139.0	9581.0
261.41	Rickets or osteomalacia	Asian (all)	0.04	4.0	9581.0
261.0	Vitamin deficiency	Asian (all)	0.0	0.0	9581.0
262.0	Mineral deficiency NEC	Asian (all)	0.21	20.0	9581.0
278.3	Localized adiposity	Asian (all)	0.01	1.0	9442.0
278.1	Obesity	Asian (all)	3.85	378.0	9442.0
513.3	Hypoventilation	Asian (all)	0.12	12.0	9797.0
278.0	Overweight, obesity and other hyperalimentation	Asian (all)	0.0	0.0	9442.0
270.1	Disturbances of amino-acid transport	Asian (all)	0.01	1.0	9786.0
270.12	Phenylketonuria [PKU]	Asian (all)	0.0	0.0	9786.0
277.5	Other disorders of lipoid metabolism	Asian (all)	0.15	15.0	9758.0
270.11	Disturbances of sulphur-bearing amino-acid metabolism	Asian (all)	0.0	0.0	9786.0
270.21	Disorders of urea cycle metabolism	Asian (all)	0.0	0.0	9786.0
270.2	Disorders of amino-acid metabolism	Asian (all)	0.01	1.0	9786.0
271.3	Intestinal disaccharidase deficiencies and disaccharide malabsorption	Asian (all)	0.07	7.0	9815.0
271.9	Other disorders of carbohydrate transport and metabolism	Asian (all)	0.01	1.0	9815.0
331.0	Other cerebral degenerations	Asian (all)	0.03	3.0	9490.0
277.51	Lipoprotein disorders	Asian (all)	0.06	6.0	9758.0
272.11	Hypercholesterolemia	Asian (all)	18.28	1779.0	7952.0
272.12	Hyperglyceridemia	Asian (all)	0.06	5.0	7952.0
272.13	Mixed hyperlipidemia	Asian (all)	0.18	14.0	7952.0
272.14	Hyperchylomicronemia	Asian (all)	0.0	0.0	7952.0
272.1	Hyperlipidemia	Asian (all)	3.35	276.0	7952.0
272.9	Unspecified disorder of lipoid metabolism	Asian (all)	0.11	9.0	7952.0
790.6	Other abnormal blood chemistry	Asian (all)	1.8	177.0	9636.0
277.1	Disorders of porphyrin metabolism	Asian (all)	0.0	0.0	9758.0
277.4	Disorders of bilirubin excretion	Asian (all)	0.1	10.0	9758.0
275.0	Disorders of mineral metabolism	Asian (all)	0.0	0.0	9772.0
275.2	Disorders of copper metabolism	Asian (all)	0.0	0.0	9772.0
275.1	Disorders of iron metabolism	Asian (all)	0.04	4.0	9772.0
275.53	Disorders of phosphorus metabolism	Asian (all)	0.05	5.0	9772.0
275.3	Disorders of magnesium metabolism	Asian (all)	0.08	8.0	9772.0
499.0	Cystic fibrosis	Asian (all)	0.0	0.0	9823.0
270.33	Amyloidosis	Asian (all)	0.04	4.0	9786.0
276.5	Hypovolemia	Asian (all)	1.23	118.0	9478.0
276.11	Hyperosmolality and/or hypernatremia	Asian (all)	0.14	13.0	9478.0
276.12	Hyposmolality and/or hyponatremia	Asian (all)	1.27	122.0	9478.0
276.41	Acidosis	Asian (all)	0.76	73.0	9478.0
276.42	Alkalosis	Asian (all)	0.06	6.0	9478.0
276.4	Acid-base balance disorder	Asian (all)	0.0	0.0	9478.0
276.13	Hyperpotassemia	Asian (all)	0.65	62.0	9478.0
276.14	Hypopotassemia	Asian (all)	0.5	48.0	9478.0
276.6	Fluid overload	Asian (all)	0.36	34.0	9478.0
276.1	Electrolyte imbalance	Asian (all)	0.03	3.0	9478.0
258.1	Postablative ovarian failure	Asian (all)	0.0	0.0	9668.0
290.1	Dementias	Asian (all)	0.23	22.0	9629.0
290.11	Alzheimer's disease	Asian (all)	0.11	11.0	9629.0
290.16	Vascular dementia	Asian (all)	0.12	12.0	9629.0
333.3	Tics and choreas	Asian (all)	0.0	0.0	9490.0
290.12	Dementia with cerebral degenerations	Asian (all)	0.0	0.0	9629.0
290.3	Other persistent mental disorders due to conditions classified elsewhere	Asian (all)	0.03	3.0	9629.0
290.2	Delirium due to conditions classified elsewhere	Asian (all)	0.24	23.0	9629.0
291.4	Specific nonpsychotic mental disorders due to brain damage	Asian (all)	0.01	1.0	9629.0
295.3	Psychosis	Asian (all)	0.09	8.0	9056.0
291.1	Transient mental disorders due to conditions classified elsewhere	Asian (all)	0.04	4.0	9629.0
296.0	Mood disorders	Asian (all)	0.03	3.0	9056.0
300.1	Anxiety disorder	Asian (all)	1.55	143.0	9056.0
292.2	Mild cognitive impairment	Asian (all)	0.07	7.0	9629.0
