PheCode	Phenotype	Socio-economic Quintile	Prevalence	Cases	Controls
230.0	Kaposi's sarcoma	1	0.0	0.0	100233.0
202.2	Non-Hodgkins lymphoma	1	0.45	447.0	98978.0
195.1	Malignant neoplasm, other	1	4.92	4654.0	90010.0
348.8	Encephalopathy, not elsewhere classified	1	0.03	25.0	96929.0
504.0	Other alveolar and parietoalveolar pneumonopathy	1	0.09	86.0	97206.0
798.0	Malaise and fatigue	1	0.76	763.0	99334.0
260.1	Cachexia	1	0.01	9.0	99572.0
577.1	Acute pancreatitis	1	0.28	279.0	99725.0
79.2	Infectious mononucleosis	1	0.01	12.0	98871.0
110.1	Dermatophytosis	1	0.01	8.0	99519.0
110.11	Dermatophytosis of nail	1	0.02	23.0	99519.0
110.12	Althete's foot	1	0.04	36.0	99519.0
110.13	Dermatophytosis of the body	1	0.01	8.0	99519.0
110.2	Dermatomycoses	1	0.0	2.0	99519.0
112.3	Candidiasis of skin and nails	1	0.01	6.0	99519.0
420.3	Endocarditis	1	0.18	183.0	99357.0
117.2	Coccidioidomycosis	1	0.0	0.0	99519.0
117.1	Histoplasmosis	1	0.0	0.0	99519.0
117.3	Blastomycotic infection	1	0.0	0.0	99519.0
117.0	Mycoses	1	0.04	38.0	99519.0
117.4	Aspergillosis	1	0.05	45.0	99519.0
580.2	Nephrotic syndrome without mention of glomerulonephritis	1	0.11	110.0	97118.0
480.0	Pneumonia	1	1.02	1004.0	97580.0
134.0	Helminthiases	1	0.0	4.0	100102.0
134.1	Intestinal helminthiases	1	0.02	23.0	100102.0
132.1	Pediculosis and phthirus infestation	1	0.0	2.0	100102.0
132.0	Infestation (lice, mites)	1	0.0	2.0	100102.0
41.4	E. coli	1	0.76	743.0	96535.0
145.1	Cancer of lip	1	0.02	20.0	99769.0
145.2	Cancer of tongue	1	0.07	73.0	99769.0
145.4	Cancer of the gums	1	0.01	9.0	99769.0
145.5	Cancer of the mouth floor	1	0.01	6.0	99769.0
145.0	Cancer of mouth	1	0.03	27.0	99769.0
149.0	Cancer of larynx, pharynx, nasal cavities	1	0.01	6.0	99769.0
145.3	Cancer of major salivary glands	1	0.03	32.0	99769.0
149.1	Cancer of oropharynx	1	0.04	43.0	99769.0
149.2	Cancer of nasopharynx	1	0.01	8.0	99769.0
149.3	Cancer of hypopharynx	1	0.0	3.0	99769.0
150.0	Cancer of esophagus	1	0.18	172.0	95854.0
151.0	Cancer of stomach	1	0.14	133.0	95854.0
159.2	Malignant neoplasm of small intestine, including duodenum	1	0.06	53.0	95854.0
153.2	Colon cancer	1	0.91	859.0	93042.0
153.3	Malignant neoplasm of rectum, rectosigmoid junction, and anus	1	0.67	625.0	93042.0
153.0	Colorectal cancer	1	0.01	6.0	93042.0
155.0	Cancer of liver and intrahepatic bile duct	1	0.08	72.0	95854.0
155.1	Malignant neoplasm of liver, primary	1	0.03	29.0	95854.0
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	1	0.05	44.0	95854.0
157.0	Pancreatic cancer	1	0.19	178.0	95854.0
159.0	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	1	1.5	1455.0	95854.0
149.9	Cancer of of nasal cavities	1	0.01	14.0	99769.0
149.4	Cancer of larynx	1	0.03	28.0	99769.0
165.1	Cancer of bronchus; lung	1	0.48	484.0	99638.0
164.0	Cancer of intrathoracic organs	1	0.02	17.0	99638.0
165.0	Cancer within the respiratory system	1	0.26	264.0	99638.0
170.1	Bone cancer	1	0.04	38.0	100118.0
172.11	Melanomas of skin	1	0.91	881.0	95762.0
172.2	Other non-epithelial cancer of skin	1	3.64	3618.0	95762.0
159.4	Malignant neoplasm of retroperitoneum and peritoneum	1	0.05	50.0	95854.0
170.2	Cancer of connective tissue	1	0.08	82.0	100118.0
174.11	Malignant neoplasm of female breast	1	3.44	3382.0	95020.0
184.2	Cancer of other female genital organs, excluding uterus and ovary	1	0.08	72.0	95541.0
184.1	Malignant neoplasm of ovary and other uterine adnexa	1	0.03	29.0	95541.0
180.1	Cervical cancer	1	0.05	47.0	93406.0
182.0	Malignant neoplasm of uterus	1	0.36	336.0	93406.0
184.11	Malignant neoplasm of ovary	1	0.27	258.0	95541.0
187.1	Malignant neoplasm of unspecified male genital organ	1	0.02	18.0	98117.0
185.0	Cancer of prostate	1	2.02	1954.0	94792.0
187.2	Malignant neoplasm of testis	1	0.07	68.0	98117.0
189.11	Malignant neoplasm of kidney, except pelvis	1	0.31	308.0	99080.0
189.12	Malignant neoplasm of renal pelvis	1	0.02	24.0	99080.0
189.4	Malignant neoplasm of other urinary organs	1	0.03	28.0	99080.0
189.21	Malignant neoplasm of bladder	1	0.57	568.0	99080.0
190.0	Cancer of eye	1	0.04	41.0	99751.0
191.1	Cancer of brain and nervous system	1	0.01	12.0	99751.0
191.11	Cancer of brain	1	0.16	157.0	99751.0
193.0	Thyroid cancer	1	0.09	93.0	99822.0
194.0	Cancer of other endocrine glands	1	0.03	27.0	99822.0
198.1	Secondary malignancy of lymph nodes	1	1.73	1581.0	90010.0
198.0	Secondary malignant neoplasm	1	0.35	320.0	90010.0
198.2	Secondary malignancy of respiratory organs	1	0.77	695.0	90010.0
198.3	Secondary malignant neoplasm of digestive systems	1	0.56	509.0	90010.0
198.4	Secondary malignant neoplasm of liver	1	0.91	823.0	90010.0
198.7	Secondary malignant neoplasm of skin	1	0.07	67.0	90010.0
198.5	Secondary malignancy of brain/spine	1	0.24	220.0	90010.0
198.6	Secondary malignancy of bone	1	0.76	686.0	90010.0
201.0	Hodgkin's disease	1	0.06	64.0	98978.0
202.21	Nodular lymphoma	1	0.11	111.0	98978.0
202.23	Lymphosarcoma	1	0.0	3.0	98978.0
202.24	Large cell lymphoma	1	0.19	192.0	98978.0
204.4	Multiple myeloma	1	0.18	175.0	98978.0
270.35	Macroglobulinemia	1	0.03	28.0	100023.0
200.0	Myeloproliferative disease	1	0.21	208.0	98978.0
204.0	Leukemia	1	0.15	146.0	98978.0
204.1	Lymphoid leukemia	1	0.01	13.0	98978.0
204.11	Lymphoid leukemia, acute	1	0.02	16.0	98978.0
204.12	Lymphoid leukemia, chronic	1	0.17	166.0	98978.0
204.2	Myeloid leukemia	1	0.01	10.0	98978.0
204.21	Myeloid leukemia, acute	1	0.1	96.0	98978.0
204.22	Myeloid leukemia, chronic	1	0.05	45.0	98978.0
204.3	Monocytic leukemia	1	0.01	13.0	98978.0
202.0	Cancer of other lymphoid, histiocytic tissue	1	0.35	345.0	98978.0
277.0	Other disorders of metabolism	1	0.25	248.0	99791.0
172.3	Carcinoma in situ of skin	1	0.27	255.0	95762.0
174.1	Breast cancer [female]	1	0.62	595.0	95020.0
195.0	Cancer, suspected or other	1	0.25	225.0	90010.0
187.0	Cancer of other male genital organs	1	0.04	37.0	98117.0
180.3	Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	1	0.45	424.0	93406.0
189.2	Cancer of bladder	1	0.21	207.0	99080.0
189.0	Cancer of urinary organs (incl. kidney and bladder)	1	0.8	798.0	99080.0
210.0	Benign neoplasm of lip, oral cavity, and pharynx	1	0.23	228.0	99769.0
208.0	Benign neoplasm of colon	1	5.56	5534.0	93924.0
211.0	Benign neoplasm of other parts of digestive system	1	1.64	1610.0	96273.0
229.0	Benign neoplasm of unspecified sites	1	0.61	609.0	99612.0
212.0	Benign neoplasm of respiratory and intrathoracic organs	1	0.09	91.0	100142.0
213.0	Benign neoplasm of bone and articular cartilage	1	0.09	86.0	90946.0
214.0	Lipoma	1	0.45	446.0	98319.0
214.1	Lipoma of skin and subcutaneous tissue	1	1.22	1210.0	98319.0
228.0	Hemangioma and lymphangioma, any site	1	0.39	386.0	99847.0
215.0	Other benign neoplasm of connective and other soft tissue	1	0.28	278.0	98319.0
199.0	Neoplasm of uncertain behavior	1	0.33	296.0	90010.0
216.0	Benign neoplasm of skin	1	2.23	2227.0	97841.0
610.4	Benign neoplasm of breast	1	0.36	355.0	98646.0
218.1	Uterine leiomyoma	1	2.49	2459.0	96442.0
218.2	Other benign neoplasm of uterus	1	0.09	84.0	96442.0
221.0	Benign neoplasm of other female genital organs	1	0.05	50.0	93124.0
222.0	Benign neoplasm of male genital organs	1	0.04	42.0	98117.0
223.0	Benign neoplasm of kidney and other urinary organs	1	0.06	52.0	90946.0
224.0	Benign neoplasm of eye	1	0.02	19.0	99751.0
224.1	Benign neoplasm of eye, uveal	1	0.01	13.0	99751.0
225.1	Benign neoplasm of brain, cranial nerves, meninges	1	0.21	205.0	99751.0
225.2	Benign neoplasm of spinal cord, meninges	1	0.02	20.0	99751.0
225.0	Benign neoplasm of brain and other parts of nervous system	1	0.0	0.0	99751.0
226.0	Benign neoplasm of thyroid glands	1	0.08	76.0	99822.0
227.1	Benign neoplasm of adrenal gland	1	0.04	36.0	99822.0
227.2	Benign neoplasm of parathyroid gland	1	0.1	103.0	99822.0
227.3	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	1	0.09	87.0	99822.0
227.0	Benign neoplasm of other endocrine glands and related structures	1	0.0	2.0	99822.0
229.1	Benign neoplasm of lymph nodes	1	0.01	12.0	99612.0
158.0	Neoplasm of unspecified nature of digestive system	1	0.33	322.0	95854.0
184.0	Cancer of other female genital organs	1	0.04	34.0	95541.0
187.8	Neoplasm of uncertain behavior of male genital organs	1	0.02	22.0	98117.0
191.0	Manlignant and unknown neoplasms of brain and nervous system	1	0.07	66.0	99751.0
270.32	Paraproteinemia	1	0.08	76.0	100023.0
173.0	Neoplasm of uncertain behavior of skin	1	0.04	41.0	95762.0
174.3	Neoplasm of uncertain behavior of breast	1	0.01	13.0	95020.0
280.1	Iron deficiency anemias, unspecified or not due to blood loss	1	1.96	1913.0	95514.0
280.2	Iron deficiency anemia secondary to blood loss (chronic)	1	0.12	111.0	95514.0
281.12	Other vitamin B12 deficiency anemia	1	0.05	44.0	95514.0
281.11	Pernicious anemia	1	0.18	176.0	95514.0
281.13	Folate-deficiency anemia	1	0.03	27.0	95514.0
281.0	Other deficiency anemia	1	0.0	1.0	95514.0
281.1	Megaloblastic anemia	1	0.01	6.0	95514.0
281.9	Deficiency anemias	1	0.01	8.0	95514.0
282.9	Other hereditary hemolytic anemias	1	0.03	30.0	95514.0
282.8	Other hemoglobinopathies	1	0.04	43.0	95514.0
282.5	Sickle cell anemia	1	0.02	22.0	95514.0
289.0	Other diseases of blood and blood-forming organs	1	0.13	131.0	98183.0
283.0	Acquired hemolytic anemias	1	0.01	6.0	95514.0
283.1	Autoimmune hemolytic anemias	1	0.03	28.0	95514.0
283.2	Non-autoimmune hemolytic anemias	1	0.01	7.0	95514.0
283.21	Hemolytic-uremic syndrome	1	0.0	3.0	95514.0
285.8	Hemoglobinuria	1	0.0	4.0	95514.0
284.0	Aplastic anemia	1	0.11	106.0	95514.0
284.2	Constitutional aplastic anemia	1	0.01	7.0	95514.0
285.1	Acute posthemorrhagic anemia	1	0.08	72.0	95514.0
285.22	Anemia in neoplastic disease	1	0.12	111.0	95514.0
285.2	Anemia of chronic disease	1	0.07	70.0	95514.0
285.0	Other anemias	1	2.83	2783.0	95514.0
285.3	Sideroblastic anemia	1	0.01	6.0	95514.0
286.6	Defibrination syndrome	1	0.01	9.0	99518.0
286.13	Congenital factor VIII disorder	1	0.01	13.0	99518.0
286.1	Congenital coagulation defects	1	0.01	9.0	99518.0
286.7	Other and unspecified coagulation defects	1	0.1	95.0	99518.0
286.11	Von willebrand's disease	1	0.02	24.0	99518.0
286.12	Congenital deficiency of other clotting factors (including factor VII)	1	0.07	71.0	99518.0
286.5	Hemorrhagic disorder due to intrinsic circulating anticoagulants	1	0.02	20.0	99518.0
286.4	Acquired coagulation factor deficiency	1	0.0	4.0	99518.0
287.0	Purpura and other hemorrhagic conditions	1	0.03	33.0	99518.0
287.2	Allergic purpura	1	0.01	11.0	99518.0
287.4	Qualitative platelet defects	1	0.0	0.0	99518.0
287.31	Primary thrombocytopenia	1	0.09	93.0	99518.0
287.32	Secondary thrombocytopenia	1	0.03	27.0	99518.0
287.3	Thrombocytopenia	1	0.36	358.0	99518.0
288.11	Neutropenia	1	0.99	978.0	98183.0
288.0	Diseases of white blood cells	1	0.18	177.0	98183.0
288.3	Eosinophilia	1	0.03	27.0	98183.0
289.5	Diseases of spleen	1	0.14	140.0	98183.0
289.9	Abnormality of red blood cells	1	0.02	24.0	98183.0
279.1	Immunity deficiency	1	0.02	25.0	100082.0
279.11	Deficiency of humoral immunity	1	0.04	44.0	100082.0
277.2	Other disorders of purine and pyrimidine metabolism	1	0.0	1.0	99791.0
279.8	Other specified disorders involving the immune mechanism	1	0.01	7.0	100082.0
697.0	Sarcoidosis	1	0.16	155.0	99109.0
270.31	Polyclonal hypergammaglobulinemia	1	0.01	6.0	100023.0
279.0	Disorders involving the immune mechanism	1	0.01	12.0	100082.0
244.5	Congenital hypothyroidism	1	0.01	5.0	95729.0
240.0	Simple and unspecified goiter	1	0.13	125.0	95729.0
241.2	Nontoxic multinodular goiter	1	0.17	166.0	95729.0
244.2	Acquired hypothyroidism	1	0.03	26.0	95729.0
244.1	Secondary hypothyroidism	1	0.32	309.0	95729.0
246.0	Other disorders of thyroid	1	0.12	114.0	95729.0
348.7	Coma	1	0.08	75.0	96929.0
244.4	Hypothyroidism NOS	1	3.71	3690.0	95729.0
241.1	Nontoxic uninodular goiter	1	0.14	138.0	95729.0
241.0	Nontoxic nodular goiter	1	0.0	3.0	95729.0
242.0	Thyrotoxicosis with or without goiter	1	0.35	341.0	95729.0
242.1	Graves' disease	1	0.11	110.0	95729.0
242.2	Toxic multinodular goiter	1	0.02	21.0	95729.0
253.1	Pituitary hyperfunction	1	0.03	30.0	99344.0
245.0	Thyroiditis	1	0.01	12.0	95729.0
245.1	Thyroiditis, acute and subacute	1	0.0	1.0	95729.0
245.2	Chronic thyroiditis	1	0.0	1.0	95729.0
245.21	Chronic lymphocytic thyroiditis	1	0.06	61.0	95729.0
250.1	Type 1 diabetes	1	0.56	536.0	95737.0
250.11	Type 1 diabetes with ketoacidosis	1	0.05	51.0	95737.0
250.12	Type 1 diabetes with renal manifestations	1	0.02	16.0	95737.0
250.23	Type 2 diabetes with ophthalmic manifestations	1	0.32	303.0	95737.0
250.7	Diabetic retinopathy	1	0.33	319.0	96495.0
250.13	Type 1 diabetes with ophthalmic manifestations	1	0.1	100.0	95737.0
250.14	Type 1 diabetes with neurological manifestations	1	0.03	27.0	95737.0
250.24	Type 2 diabetes with neurological manifestations	1	0.12	119.0	95737.0
443.7	Peripheral angiopathy in diseases classified elsewhere	1	0.05	54.0	98309.0
250.2	Type 2 diabetes	1	4.16	4154.0	95737.0
250.21	Type 2 diabetes with ketoacidosis	1	0.02	18.0	95737.0
250.22	Type 2 diabetes with renal manifestations	1	0.03	31.0	95737.0
260.2	severe protein-calorie malnutrition	1	0.0	0.0	99572.0
249.0	Secondary diabetes mellitus	1	0.0	0.0	95737.0
251.1	Hypoglycemia	1	0.18	176.0	95082.0
251.0	Other disorders of pancreatic internal secretion	1	0.0	1.0	99344.0
251.8	Abnormality of secretion of glucagon or gastrin	1	0.0	0.0	99344.0
252.2	Hypoparathyroidism	1	0.04	43.0	99344.0
275.5	Disorders of calcium/phosphorus metabolism	1	0.28	283.0	99648.0
252.1	Hyperparathyroidism	1	0.22	223.0	99344.0
252.0	Disorders of parathyroid gland	1	0.01	11.0	99344.0
253.11	Acromegaly and gigantism	1	0.03	32.0	99344.0
253.7	Other disorders of neurohypophysis	1	0.05	50.0	99344.0
253.2	Pituitary hypofunction	1	0.07	67.0	99344.0
258.0	Iatrogenic endocrine disorders	1	0.03	32.0	99344.0
253.3	Diabetes insipidus	1	0.02	21.0	99344.0
253.0	Disorders of the pituitary gland and its hypothalamic control	1	0.03	25.0	99344.0
255.11	Cushing's syndrome	1	0.02	24.0	99344.0
255.3	Adrenogenital disorders	1	0.0	1.0	99344.0
255.12	Hyperaldosteronism	1	0.02	19.0	99344.0
255.1	Adrenal hyperfunction	1	0.0	0.0	99344.0
255.21	Glucocorticoid deficiency	1	0.09	92.0	99344.0
255.13	Medulloadrenal hyperfunction	1	0.0	1.0	99344.0
255.0	Disorders of adrenal glands	1	0.03	29.0	99344.0
256.0	Ovarian dysfunction	1	0.01	6.0	99344.0
256.4	Polycystic ovaries	1	0.05	51.0	99344.0
627.5	Premature menopause and other ovarian failure	1	0.01	7.0	93495.0
257.0	Testicular dysfunction	1	0.0	4.0	99344.0
257.1	Testicular hypofunction	1	0.05	45.0	99344.0
259.3	Delay in sexual development and puberty NEC	1	0.0	1.0	99344.0
259.0	Other endocrine disorders	1	0.02	22.0	99344.0
254.0	Diseases of thymus gland	1	0.0	4.0	99344.0
259.2	Carcinoid syndrome	1	0.02	22.0	99344.0
260.22	Nutritional marasmus	1	0.0	1.0	99572.0
263.0	Other nutritional deficiency	1	0.0	2.0	99572.0
260.0	Protein-calorie malnutrition	1	0.04	41.0	99572.0
261.1	Vitamin A deficiency	1	0.0	0.0	99572.0
261.2	Vitamin B-complex deficiencies	1	0.19	185.0	99572.0
261.3	Vitamin C deficiencies	1	0.0	3.0	99572.0
261.4	Vitamin D deficiency	1	0.16	156.0	99572.0
261.41	Rickets or osteomalacia	1	0.01	5.0	99572.0
261.0	Vitamin deficiency	1	0.0	4.0	99572.0
262.0	Mineral deficiency NEC	1	0.07	70.0	99572.0
278.3	Localized adiposity	1	0.02	18.0	97451.0
278.1	Obesity	1	2.75	2760.0	97451.0
513.3	Hypoventilation	1	0.02	21.0	100114.0
278.0	Overweight, obesity and other hyperalimentation	1	0.0	0.0	97451.0
270.1	Disturbances of amino-acid transport	1	0.0	5.0	100023.0
270.12	Phenylketonuria [PKU]	1	0.0	0.0	100023.0
277.5	Other disorders of lipoid metabolism	1	0.05	51.0	99791.0
270.11	Disturbances of sulphur-bearing amino-acid metabolism	1	0.0	2.0	100023.0
270.21	Disorders of urea cycle metabolism	1	0.0	0.0	100023.0
270.2	Disorders of amino-acid metabolism	1	0.0	0.0	100023.0
271.3	Intestinal disaccharidase deficiencies and disaccharide malabsorption	1	0.04	44.0	100183.0
271.9	Other disorders of carbohydrate transport and metabolism	1	0.01	6.0	100183.0
331.0	Other cerebral degenerations	1	0.06	63.0	96929.0
277.51	Lipoprotein disorders	1	0.02	15.0	99791.0
272.11	Hypercholesterolemia	1	8.24	8198.0	91334.0
272.12	Hyperglyceridemia	1	0.02	17.0	91334.0
272.13	Mixed hyperlipidemia	1	0.03	30.0	91334.0
272.14	Hyperchylomicronemia	1	0.0	2.0	91334.0
272.1	Hyperlipidemia	1	1.31	1214.0	91334.0
272.9	Unspecified disorder of lipoid metabolism	1	0.09	78.0	91334.0
790.6	Other abnormal blood chemistry	1	1.85	1850.0	98313.0
277.1	Disorders of porphyrin metabolism	1	0.01	6.0	99791.0
277.4	Disorders of bilirubin excretion	1	0.13	125.0	99791.0
275.0	Disorders of mineral metabolism	1	0.0	1.0	99648.0
275.2	Disorders of copper metabolism	1	0.0	1.0	99648.0
275.1	Disorders of iron metabolism	1	0.18	179.0	99648.0
275.53	Disorders of phosphorus metabolism	1	0.06	58.0	99648.0
275.3	Disorders of magnesium metabolism	1	0.12	119.0	99648.0
499.0	Cystic fibrosis	1	0.0	2.0	100231.0
270.33	Amyloidosis	1	0.04	39.0	100023.0
276.5	Hypovolemia	1	0.8	794.0	98144.0
276.11	Hyperosmolality and/or hypernatremia	1	0.07	71.0	98144.0
276.12	Hyposmolality and/or hyponatremia	1	0.55	540.0	98144.0
276.41	Acidosis	1	0.25	246.0	98144.0
276.42	Alkalosis	1	0.05	48.0	98144.0
276.4	Acid-base balance disorder	1	0.0	1.0	98144.0
276.13	Hyperpotassemia	1	0.26	256.0	98144.0
276.14	Hypopotassemia	1	0.45	443.0	98144.0
276.6	Fluid overload	1	0.15	152.0	98144.0
276.1	Electrolyte imbalance	1	0.04	35.0	98144.0
258.1	Postablative ovarian failure	1	0.0	4.0	99344.0
290.1	Dementias	1	0.28	277.0	98484.0
290.11	Alzheimer's disease	1	0.19	192.0	98484.0
290.16	Vascular dementia	1	0.07	73.0	98484.0
333.3	Tics and choreas	1	0.01	6.0	96929.0
290.12	Dementia with cerebral degenerations	1	0.02	23.0	98484.0
290.3	Other persistent mental disorders due to conditions classified elsewhere	1	0.01	6.0	98484.0
290.2	Delirium due to conditions classified elsewhere	1	0.21	211.0	98484.0
291.4	Specific nonpsychotic mental disorders due to brain damage	1	0.01	12.0	98484.0
295.3	Psychosis	1	0.02	22.0	90981.0
291.1	Transient mental disorders due to conditions classified elsewhere	1	0.02	17.0	98484.0
296.0	Mood disorders	1	0.01	11.0	90981.0
300.1	Anxiety disorder	1	1.68	1558.0	90981.0
292.2	Mild cognitive impairment	1	0.05	50.0	98484.0
290.0	Delirium dementia and amnestic and other cognitive disorders	1	0.1	95.0	98484.0
316.0	Substance addiction and disorders	1	0.04	42.0	94718.0
317.0	Alcohol-related disorders	1	0.83	796.0	94718.0
317.1	Alcoholism	1	2.15	2086.0	94718.0
318.0	Tobacco use disorder	1	3.17	3100.0	94718.0
295.1	Schizophrenia	1	0.06	52.0	90981.0
296.22	Major depressive disorder	1	0.08	69.0	90981.0
301.1	Schizoid personality disorder	1	0.0	4.0	90981.0
295.2	Paranoid disorders	1	0.03	30.0	90981.0
296.1	Bipolar	1	0.2	183.0	90981.0
301.0	Personality disorders	1	0.03	26.0	90981.0
300.4	Dysthymic disorder	1	0.01	8.0	90981.0
300.13	Phobia	1	0.18	166.0	90981.0
300.12	Agorophobia, social phobia, and panic disorder	1	0.19	175.0	90981.0
300.11	Generalized anxiety disorder	1	0.04	40.0	90981.0
300.3	Obsessive-compulsive disorders	1	0.03	23.0	90981.0
300.8	Acute reaction to stress	1	0.03	24.0	90981.0
300.9	Posttraumatic stress disorder	1	0.03	28.0	90981.0
304.0	Adjustment reaction	1	0.05	49.0	90981.0
303.1	Dissociative disorder	1	0.01	7.0	90981.0
303.0	Psychogenic and somatoform disorders	1	0.0	1.0	90981.0
295.0	Schizophrenia and other psychotic disorders	1	0.0	2.0	90981.0
303.4	Somatoform disorder	1	0.02	18.0	90981.0
303.3	Psychogenic disorder	1	0.11	97.0	90981.0
300.0	Anxiety, phobic and dissociative disorders	1	0.07	67.0	90981.0
306.0	Other mental disorder	1	7.33	7192.0	90981.0
305.2	Eating disorder	1	0.01	10.0	90981.0
305.21	Anorexia nervosa	1	0.01	7.0	90981.0
327.0	Sleep disorders	1	0.24	242.0	99052.0
327.4	Insomnia	1	0.01	6.0	99052.0
327.1	Hypersomnia	1	0.0	0.0	99052.0
327.6	Circadian rhythm sleep disorder	1	0.01	8.0	99052.0
327.5	Parasomnia	1	0.01	5.0	99052.0
302.0	Sexual and gender identity disorders	1	0.08	71.0	90981.0
302.1	Decreased libido	1	0.0	4.0	90981.0
605.0	Erectile dysfunction [ED]	1	0.13	127.0	94944.0
301.2	Antisocial/borderline personality disorder	1	0.01	11.0	90981.0
312.3	Impulse control disorder	1	0.0	2.0	100118.0
315.0	Develomental delays and disorders	1	0.07	69.0	100118.0
315.3	Mental retardation	1	0.0	1.0	100118.0
315.2	Speech and language disorder	1	0.02	18.0	100118.0
315.1	Learning disorder	1	0.01	14.0	100118.0
313.3	Autism	1	0.01	8.0	100118.0
312.0	Conduct disorders	1	0.0	2.0	100118.0
313.0	Pervasive developmental disorders	1	0.0	0.0	100118.0
313.2	Tics and stuttering	1	0.0	4.0	100118.0
344.0	Other paralytic syndromes	1	0.17	163.0	96929.0
323.8	Encephalitis, non-infectious	1	0.01	8.0	99952.0
325.0	Phlebitis and thrombophlebitis of intracranial venous sinuses	1	0.01	8.0	99952.0
334.1	Spinocerebellar disease	1	0.03	25.0	96929.0
334.2	Anterior horn cell disease	1	0.07	69.0	96929.0
357.0	Inflammatory and toxic neuropathy	1	0.4	399.0	99677.0
332.0	Parkinson's disease	1	0.45	436.0	96929.0
349.0	Other and unspecified disorders of the nervous system	1	0.1	101.0	96929.0
333.8	Other degenerative diseases of the basal ganglia	1	0.02	18.0	96929.0
333.4	Torsion dystonia	1	0.06	60.0	96929.0
333.0	Extrapyramidal disease and abnormal movement disorders	1	0.08	78.0	96929.0
333.1	Essential tremor	1	0.06	59.0	96929.0
333.2	Myoclonus	1	0.03	27.0	96929.0
331.9	Cerebral degeneration, unspecified	1	0.1	99.0	96929.0
334.0	Degenerative disease of the spinal cord	1	0.36	351.0	96929.0
