Phenotype	PheCode	Asian (all)	Black (all)	Chinese (all)	Mixed (all)	White (all)	Other
Viral hepatitis	70.0	0.11	0.27	0.97	0.03	0.07	0.37
Viral hepatitis C	70.3	0.11	0.29	0.13	0.17	0.09	0.56
HIV infection, symptomatic	71.1	0.02	0.36	0.07	0.14	0.03	0.27
Candidiasis	112.0	0.68	0.77	0.45	0.79	0.71	0.7
Pneumonia due to fungus (mycoses)	480.3	0.03	0.04	0.0	0.0	0.04	0.08
Kaposi's sarcoma	230.0	0.0	0.01	0.0	0.0	0.0	0.02
Non-Hodgkins lymphoma	202.2	0.28	0.23	0.26	0.21	0.43	0.49
Malignant neoplasm, other	195.1	2.5	3.6	2.84	3.38	5.03	3.36
Encephalopathy, not elsewhere classified	348.8	0.04	0.09	0.0	0.11	0.04	0.11
Other alveolar and parietoalveolar pneumonopathy	504.0	0.21	0.15	0.06	0.18	0.11	0.15
Malaise and fatigue	798.0	1.09	1.05	0.38	1.21	0.86	1.0
Cachexia	260.1	0.01	0.0	0.0	0.0	0.02	0.02
Acute pancreatitis	577.1	0.33	0.24	0.13	0.1	0.36	0.3
Infectious mononucleosis	79.2	0.01	0.01	0.0	0.03	0.02	0.0
Dermatophytosis	110.1	0.02	0.04	0.0	0.0	0.02	0.02
Dermatophytosis of nail	110.11	0.02	0.08	0.06	0.0	0.02	0.0
Althete's foot	110.12	0.05	0.04	0.0	0.07	0.04	0.05
Dermatophytosis of the body	110.13	0.01	0.0	0.0	0.0	0.01	0.02
Dermatomycoses	110.2	0.0	0.0	0.0	0.0	0.0	0.0
Candidiasis of skin and nails	112.3	0.03	0.01	0.0	0.03	0.01	0.0
Endocarditis	420.3	0.28	0.16	0.19	0.1	0.21	0.17
Coccidioidomycosis	117.2	0.0	0.0	0.0	0.0	0.0	0.0
Histoplasmosis	117.1	0.0	0.0	0.0	0.0	0.0	0.0
Blastomycotic infection	117.3	0.0	0.0	0.0	0.0	0.0	0.0
Mycoses	117.0	0.03	0.04	0.06	0.03	0.04	0.08
Aspergillosis	117.4	0.03	0.04	0.0	0.0	0.05	0.05
Nephrotic syndrome without mention of glomerulonephritis	580.2	0.56	0.47	0.32	0.07	0.15	0.36
Pneumonia	480.0	1.33	1.24	0.45	1.12	1.32	1.37
Helminthiases	134.0	0.0	0.03	0.0	0.0	0.01	0.05
Intestinal helminthiases	134.1	0.02	0.01	0.0	0.1	0.03	0.09
Pediculosis and phthirus infestation	132.1	0.01	0.0	0.0	0.03	0.0	0.0
Infestation (lice, mites)	132.0	0.02	0.0	0.0	0.0	0.01	0.0
E. coli	41.4	1.2	0.89	1.11	0.89	0.94	1.06
Cancer of lip	145.1	0.0	0.0	0.0	0.0	0.02	0.0
Cancer of tongue	145.2	0.08	0.0	0.0	0.07	0.09	0.06
Cancer of the gums	145.4	0.02	0.0	0.0	0.03	0.01	0.0
Cancer of the mouth floor	145.5	0.02	0.0	0.0	0.0	0.02	0.0
Cancer of mouth	145.0	0.08	0.02	0.0	0.0	0.04	0.05
Cancer of larynx, pharynx, nasal cavities	149.0	0.02	0.0	0.0	0.0	0.02	0.02
Cancer of major salivary glands	145.3	0.03	0.04	0.0	0.03	0.03	0.03
Cancer of oropharynx	149.1	0.04	0.0	0.06	0.1	0.07	0.03
Cancer of nasopharynx	149.2	0.03	0.02	0.26	0.0	0.01	0.02
Cancer of hypopharynx	149.3	0.01	0.0	0.0	0.0	0.02	0.02
Cancer of esophagus	150.0	0.05	0.05	0.07	0.07	0.23	0.21
Cancer of stomach	151.0	0.14	0.19	0.13	0.07	0.18	0.15
Malignant neoplasm of small intestine, including duodenum	159.2	0.03	0.04	0.0	0.04	0.06	0.03
Colon cancer	153.2	0.45	0.64	0.67	0.91	0.96	0.86
Malignant neoplasm of rectum, rectosigmoid junction, and anus	153.3	0.27	0.28	0.2	0.44	0.65	0.45
Colorectal cancer	153.0	0.0	0.0	0.0	0.0	0.01	0.0
Cancer of liver and intrahepatic bile duct	155.0	0.08	0.1	0.2	0.04	0.09	0.1
Malignant neoplasm of liver, primary	155.1	0.11	0.04	0.2	0.0	0.05	0.15
Malignant neoplasm of gallbladder and extrahepatic bile ducts	159.3	0.07	0.04	0.13	0.04	0.06	0.08
Pancreatic cancer	157.0	0.16	0.1	0.2	0.14	0.21	0.13
Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	159.0	0.84	1.08	1.04	1.16	1.58	1.29
Cancer of of nasal cavities	149.9	0.0	0.0	0.0	0.0	0.02	0.0
Cancer of larynx	149.4	0.04	0.0	0.0	0.07	0.07	0.02
Cancer of bronchus; lung	165.1	0.31	0.42	0.25	0.86	0.76	0.58
Cancer of intrathoracic organs	164.0	0.01	0.04	0.0	0.0	0.02	0.0
Cancer within the respiratory system	165.0	0.12	0.2	0.0	0.38	0.35	0.23
Bone cancer	170.1	0.07	0.02	0.0	0.03	0.04	0.08
Melanomas of skin	172.11	0.01	0.04	0.19	0.1	0.81	0.2
Other non-epithelial cancer of skin	172.2	0.17	0.15	0.26	0.55	3.37	1.12
Malignant neoplasm of retroperitoneum and peritoneum	159.4	0.05	0.0	0.0	0.0	0.06	0.03
Cancer of connective tissue	170.2	0.11	0.11	0.0	0.07	0.09	0.09
Malignant neoplasm of female breast	174.11	2.06	1.94	2.36	3.21	3.48	2.57
Cancer of other female genital organs, excluding uterus and ovary	184.2	0.04	0.1	0.0	0.0	0.09	0.05
Malignant neoplasm of ovary and other uterine adnexa	184.1	0.01	0.03	0.0	0.0	0.03	0.03
Cervical cancer	180.1	0.05	0.04	0.14	0.11	0.07	0.05
Malignant neoplasm of uterus	182.0	0.34	0.27	0.48	0.27	0.4	0.37
Malignant neoplasm of ovary	184.11	0.18	0.21	0.2	0.4	0.28	0.27
Malignant neoplasm of unspecified male genital organ	187.1	0.03	0.0	0.13	0.0	0.02	0.0
Cancer of prostate	185.0	0.84	2.4	0.46	1.16	1.87	1.39
Malignant neoplasm of testis	187.2	0.04	0.01	0.0	0.1	0.07	0.06
Malignant neoplasm of kidney, except pelvis	189.11	0.26	0.16	0.13	0.1	0.3	0.2
Malignant neoplasm of renal pelvis	189.12	0.0	0.03	0.0	0.03	0.02	0.03
Malignant neoplasm of other urinary organs	189.4	0.01	0.01	0.13	0.03	0.04	0.02
Malignant neoplasm of bladder	189.21	0.34	0.2	0.06	0.59	0.61	0.48
Cancer of eye	190.0	0.01	0.02	0.0	0.03	0.05	0.03
Cancer of brain and nervous system	191.1	0.0	0.0	0.13	0.03	0.01	0.0
Cancer of brain	191.11	0.09	0.05	0.06	0.1	0.15	0.16
Thyroid cancer	193.0	0.12	0.19	0.19	0.14	0.1	0.16
Cancer of other endocrine glands	194.0	0.04	0.06	0.0	0.1	0.03	0.06
Secondary malignancy of lymph nodes	198.1	0.81	1.09	1.14	1.45	1.83	1.49
Secondary malignant neoplasm	198.0	0.18	0.22	0.27	0.34	0.41	0.27
Secondary malignancy of respiratory organs	198.2	0.33	0.49	0.47	0.67	0.83	0.68
Secondary malignant neoplasm of digestive systems	198.3	0.32	0.39	0.27	0.56	0.57	0.46
Secondary malignant neoplasm of liver	198.4	0.37	0.66	0.47	0.75	0.97	0.9
Secondary malignant neoplasm of skin	198.7	0.04	0.03	0.07	0.0	0.07	0.02
Secondary malignancy of brain/spine	198.5	0.12	0.12	0.0	0.19	0.3	0.26
Secondary malignancy of bone	198.6	0.38	0.53	0.41	0.41	0.8	0.77
Hodgkin's disease	201.0	0.05	0.04	0.0	0.07	0.07	0.09
Nodular lymphoma	202.21	0.09	0.03	0.0	0.07	0.11	0.11
Lymphosarcoma	202.23	0.0	0.0	0.0	0.0	0.0	0.02
Large cell lymphoma	202.24	0.18	0.11	0.19	0.03	0.18	0.14
Multiple myeloma	204.4	0.1	0.36	0.06	0.14	0.18	0.16
Macroglobulinemia	270.35	0.0	0.0	0.0	0.0	0.02	0.05
Myeloproliferative disease	200.0	0.21	0.44	0.0	0.14	0.21	0.2
Leukemia	204.0	0.08	0.06	0.0	0.03	0.14	0.03
Lymphoid leukemia	204.1	0.01	0.03	0.0	0.03	0.02	0.0
Lymphoid leukemia, acute	204.11	0.02	0.01	0.0	0.03	0.02	0.02
Lymphoid leukemia, chronic	204.12	0.05	0.09	0.0	0.07	0.16	0.14
Myeloid leukemia	204.2	0.0	0.0	0.0	0.0	0.01	0.0
Myeloid leukemia, acute	204.21	0.04	0.04	0.0	0.0	0.1	0.02
Myeloid leukemia, chronic	204.22	0.05	0.03	0.0	0.0	0.04	0.02
Monocytic leukemia	204.3	0.0	0.0	0.0	0.0	0.01	0.0
Cancer of other lymphoid, histiocytic tissue	202.0	0.32	0.23	0.51	0.21	0.35	0.38
Other disorders of metabolism	277.0	0.37	0.47	0.25	0.28	0.29	0.47
Carcinoma in situ of skin	172.3	0.0	0.05	0.06	0.0	0.22	0.03
Breast cancer [female]	174.1	0.46	0.42	0.6	0.25	0.6	0.36
Cancer, suspected or other	195.0	0.13	0.19	0.41	0.23	0.27	0.34
Cancer of other male genital organs	187.0	0.03	0.03	0.0	0.03	0.04	0.06
Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	180.3	0.42	1.36	0.82	1.21	0.54	0.57
Cancer of bladder	189.2	0.16	0.06	0.0	0.14	0.23	0.08
Cancer of urinary organs (incl. kidney and bladder)	189.0	0.42	0.39	0.38	0.72	0.84	0.56
Benign neoplasm of lip, oral cavity, and pharynx	210.0	0.28	0.16	0.32	0.34	0.26	0.2
Benign neoplasm of colon	208.0	4.64	4.23	4.93	5.44	6.24	5.29
Benign neoplasm of other parts of digestive system	211.0	1.64	0.94	0.97	0.98	1.75	1.35
Benign neoplasm of unspecified sites	229.0	0.42	0.37	0.19	0.52	0.61	0.51
Benign neoplasm of respiratory and intrathoracic organs	212.0	0.09	0.12	0.13	0.28	0.1	0.14
Benign neoplasm of bone and articular cartilage	213.0	0.11	0.18	0.07	0.12	0.09	0.03
Lipoma	214.0	0.51	0.51	0.13	0.35	0.46	0.46
Lipoma of skin and subcutaneous tissue	214.1	1.88	2.54	1.35	1.87	1.31	1.69
Hemangioma and lymphangioma, any site	228.0	0.35	0.3	0.25	0.28	0.43	0.39
Other benign neoplasm of connective and other soft tissue	215.0	0.34	0.37	0.39	0.35	0.29	0.19
Neoplasm of uncertain behavior	199.0	0.3	0.42	0.27	0.23	0.36	0.41
Benign neoplasm of skin	216.0	1.25	0.87	1.66	2.03	2.27	1.47
Benign neoplasm of breast	610.4	0.41	0.7	0.52	0.56	0.38	0.39
Uterine leiomyoma	218.1	2.87	10.99	4.21	6.02	2.62	4.62
Other benign neoplasm of uterus	218.2	0.07	0.27	0.0	0.11	0.09	0.21
Benign neoplasm of other female genital organs	221.0	0.01	0.07	0.0	0.04	0.06	0.05
Benign neoplasm of male genital organs	222.0	0.05	0.05	0.0	0.0	0.04	0.03
Benign neoplasm of kidney and other urinary organs	223.0	0.03	0.09	0.07	0.12	0.06	0.07
Benign neoplasm of eye	224.0	0.0	0.01	0.0	0.0	0.02	0.02
Benign neoplasm of eye, uveal	224.1	0.0	0.0	0.0	0.0	0.02	0.02
Benign neoplasm of brain, cranial nerves, meninges	225.1	0.18	0.12	0.32	0.17	0.22	0.16
Benign neoplasm of spinal cord, meninges	225.2	0.01	0.0	0.0	0.0	0.02	0.0
Benign neoplasm of brain and other parts of nervous system	225.0	0.0	0.0	0.0	0.0	0.0	0.0
Benign neoplasm of thyroid glands	226.0	0.08	0.08	0.0	0.03	0.07	0.09
Benign neoplasm of adrenal gland	227.1	0.02	0.13	0.13	0.1	0.06	0.08
Benign neoplasm of parathyroid gland	227.2	0.13	0.21	0.06	0.07	0.11	0.14
Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	227.3	0.08	0.36	0.26	0.1	0.09	0.19
Benign neoplasm of other endocrine glands and related structures	227.0	0.0	0.0	0.0	0.0	0.0	0.0
Benign neoplasm of lymph nodes	229.1	0.02	0.0	0.0	0.03	0.01	0.02
Neoplasm of unspecified nature of digestive system	158.0	0.2	0.36	0.13	0.32	0.33	0.34
Cancer of other female genital organs	184.0	0.02	0.05	0.2	0.0	0.04	0.03
Neoplasm of uncertain behavior of male genital organs	187.8	0.0	0.01	0.0	0.0	0.03	0.02
Manlignant and unknown neoplasms of brain and nervous system	191.0	0.06	0.07	0.06	0.03	0.06	0.09
Paraproteinemia	270.32	0.08	0.18	0.0	0.0	0.07	0.09
Neoplasm of uncertain behavior of skin	173.0	0.03	0.01	0.0	0.0	0.05	0.03
Neoplasm of uncertain behavior of breast	174.3	0.05	0.08	0.0	0.0	0.03	0.02
Iron deficiency anemias, unspecified or not due to blood loss	280.1	5.41	4.11	1.45	2.45	2.48	3.14
Iron deficiency anemia secondary to blood loss (chronic)	280.2	0.3	0.74	0.13	0.11	0.14	0.25
Other vitamin B12 deficiency anemia	281.12	0.27	0.09	0.07	0.07	0.06	0.05
Pernicious anemia	281.11	0.27	0.1	0.07	0.07	0.23	0.17
Folate-deficiency anemia	281.13	0.08	0.06	0.0	0.07	0.06	0.1
Other deficiency anemia	281.0	0.0	0.01	0.0	0.04	0.0	0.0
Megaloblastic anemia	281.1	0.02	0.0	0.0	0.04	0.0	0.02
Deficiency anemias	281.9	0.1	0.04	0.0	0.07	0.02	0.0
Other hereditary hemolytic anemias	282.9	0.03	0.14	0.07	0.04	0.03	0.07
Other hemoglobinopathies	282.8	1.0	1.11	1.06	0.48	0.03	0.47
Sickle cell anemia	282.5	0.11	5.05	0.0	0.81	0.01	0.75
Other diseases of blood and blood-forming organs	289.0	0.14	0.41	0.06	0.18	0.15	0.16
Acquired hemolytic anemias	283.0	0.01	0.0	0.0	0.0	0.01	0.02
Autoimmune hemolytic anemias	283.1	0.05	0.0	0.0	0.04	0.04	0.03
Non-autoimmune hemolytic anemias	283.2	0.01	0.0	0.0	0.0	0.0	0.02
Hemolytic-uremic syndrome	283.21	0.0	0.0	0.0	0.0	0.0	0.0
Hemoglobinuria	285.8	0.01	0.03	0.0	0.0	0.0	0.02
Aplastic anemia	284.0	0.13	0.14	0.0	0.18	0.15	0.15
Constitutional aplastic anemia	284.2	0.0	0.0	0.0	0.0	0.0	0.0
Acute posthemorrhagic anemia	285.1	0.07	0.09	0.13	0.11	0.08	0.12
Anemia in neoplastic disease	285.22	0.1	0.36	0.0	0.07	0.14	0.08
Anemia of chronic disease	285.2	0.1	0.13	0.0	0.0	0.1	0.19
Other anemias	285.0	6.71	6.01	3.05	4.32	3.57	4.42
Sideroblastic anemia	285.3	0.03	0.0	0.0	0.0	0.0	0.0
Defibrination syndrome	286.6	0.02	0.04	0.0	0.0	0.01	0.0
Congenital factor VIII disorder	286.13	0.02	0.05	0.0	0.03	0.02	0.0
Congenital coagulation defects	286.1	0.01	0.05	0.0	0.03	0.01	0.02
Other and unspecified coagulation defects	286.7	0.11	0.25	0.13	0.21	0.11	0.13
Von willebrand's disease	286.11	0.02	0.08	0.0	0.07	0.03	0.02
Congenital deficiency of other clotting factors (including factor VII)	286.12	0.06	0.03	0.0	0.17	0.08	0.0
Hemorrhagic disorder due to intrinsic circulating anticoagulants	286.5	0.0	0.03	0.0	0.03	0.02	0.02
Acquired coagulation factor deficiency	286.4	0.0	0.0	0.0	0.0	0.0	0.02
Purpura and other hemorrhagic conditions	287.0	0.03	0.08	0.0	0.0	0.03	0.05
Allergic purpura	287.2	0.0	0.0	0.0	0.03	0.01	0.0
Qualitative platelet defects	287.4	0.02	0.01	0.0	0.0	0.0	0.0
Primary thrombocytopenia	287.31	0.26	0.15	0.13	0.03	0.12	0.14
Secondary thrombocytopenia	287.32	0.02	0.0	0.0	0.07	0.03	0.02
Thrombocytopenia	287.3	0.5	0.43	0.32	0.28	0.4	0.52
Neutropenia	288.11	0.76	0.88	0.71	0.97	1.0	0.82
Diseases of white blood cells	288.0	0.19	0.18	0.0	0.18	0.19	0.22
Eosinophilia	288.3	0.02	0.04	0.0	0.0	0.02	0.06
Diseases of spleen	289.5	0.08	0.12	0.06	0.25	0.16	0.11
Abnormality of red blood cells	289.9	0.03	0.01	0.06	0.0	0.03	0.02
Immunity deficiency	279.1	0.01	0.01	0.0	0.0	0.03	0.06
Deficiency of humoral immunity	279.11	0.01	0.01	0.0	0.0	0.04	0.03
Other disorders of purine and pyrimidine metabolism	277.2	0.0	0.0	0.0	0.0	0.0	0.0
Other specified disorders involving the immune mechanism	279.8	0.0	0.02	0.0	0.0	0.01	0.0
Sarcoidosis	697.0	0.4	0.72	0.0	0.24	0.16	0.31
Polyclonal hypergammaglobulinemia	270.31	0.01	0.0	0.0	0.0	0.01	0.0
Disorders involving the immune mechanism	279.0	0.0	0.01	0.0	0.0	0.01	0.03
Congenital hypothyroidism	244.5	0.02	0.0	0.0	0.0	0.01	0.0
Simple and unspecified goiter	240.0	0.12	0.32	0.4	0.29	0.17	0.34
Nontoxic multinodular goiter	241.2	0.3	0.51	0.2	0.22	0.2	0.29
Acquired hypothyroidism	244.2	0.03	0.04	0.07	0.07	0.04	0.05
Secondary hypothyroidism	244.1	0.41	0.46	0.79	0.25	0.37	0.49
Other disorders of thyroid	246.0	0.21	0.12	0.33	0.11	0.13	0.1
Coma	348.7	0.13	0.12	0.07	0.11	0.11	0.1
Hypothyroidism NOS	244.4	5.39	1.94	2.47	3.55	4.23	3.97
Nontoxic uninodular goiter	241.1	0.21	0.16	0.46	0.11	0.15	0.18
Nontoxic nodular goiter	241.0	0.0	0.0	0.07	0.0	0.0	0.02
Thyrotoxicosis with or without goiter	242.0	0.52	0.69	0.6	0.43	0.44	0.51
Graves' disease	242.1	0.13	0.35	0.13	0.25	0.14	0.15
Toxic multinodular goiter	242.2	0.03	0.13	0.13	0.0	0.03	0.05
Pituitary hyperfunction	253.1	0.04	0.15	0.06	0.0	0.03	0.06
Thyroiditis	245.0	0.03	0.0	0.0	0.04	0.02	0.0
Thyroiditis, acute and subacute	245.1	0.0	0.0	0.07	0.0	0.0	0.02
Chronic thyroiditis	245.2	0.0	0.0	0.0	0.0	0.0	0.0
Chronic lymphocytic thyroiditis	245.21	0.11	0.05	0.13	0.0	0.06	0.02
Type 1 diabetes	250.1	2.01	1.75	0.27	0.66	0.76	1.46
Type 1 diabetes with ketoacidosis	250.11	0.02	0.14	0.0	0.04	0.08	0.14
Type 1 diabetes with renal manifestations	250.12	0.09	0.1	0.0	0.04	0.02	0.05
Type 2 diabetes with ophthalmic manifestations	250.23	2.13	1.25	0.2	0.48	0.43	1.02
Diabetic retinopathy	250.7	1.7	1.17	0.2	0.39	0.43	0.93
Type 1 diabetes with ophthalmic manifestations	250.13	0.24	0.33	0.0	0.11	0.15	0.17
Type 1 diabetes with neurological manifestations	250.14	0.04	0.07	0.0	0.04	0.05	0.09
Type 2 diabetes with neurological manifestations	250.24	0.51	0.27	0.13	0.29	0.2	0.37
Peripheral angiopathy in diseases classified elsewhere	443.7	0.15	0.13	0.06	0.1	0.12	0.25
Type 2 diabetes	250.2	17.95	11.84	5.05	6.37	5.55	10.29
Type 2 diabetes with ketoacidosis	250.21	0.14	0.36	0.0	0.15	0.04	0.07
Type 2 diabetes with renal manifestations	250.22	0.45	0.43	0.07	0.07	0.07	0.26
severe protein-calorie malnutrition	260.2	0.0	0.0	0.0	0.0	0.0	0.0
Secondary diabetes mellitus	249.0	0.0	0.0	0.0	0.0	0.0	0.0
Hypoglycemia	251.1	0.7	0.76	0.14	0.41	0.33	0.44
Other disorders of pancreatic internal secretion	251.0	0.01	0.0	0.0	0.0	0.0	0.0
Abnormality of secretion of glucagon or gastrin	251.8	0.0	0.0	0.0	0.0	0.0	0.0
Hypoparathyroidism	252.2	0.06	0.04	0.0	0.03	0.05	0.08
Disorders of calcium/phosphorus metabolism	275.5	0.4	0.46	0.0	0.48	0.37	0.48
Hyperparathyroidism	252.1	0.26	0.38	0.19	0.17	0.25	0.36
Disorders of parathyroid gland	252.0	0.02	0.01	0.0	0.0	0.01	0.0
Acromegaly and gigantism	253.11	0.02	0.06	0.0	0.0	0.03	0.03
Other disorders of neurohypophysis	253.7	0.11	0.01	0.06	0.0	0.05	0.06
Pituitary hypofunction	253.2	0.11	0.15	0.06	0.07	0.08	0.16
Iatrogenic endocrine disorders	258.0	0.04	0.03	0.06	0.0	0.03	0.06
Diabetes insipidus	253.3	0.06	0.04	0.0	0.0	0.03	0.08
Disorders of the pituitary gland and its hypothalamic control	253.0	0.03	0.05	0.06	0.0	0.03	0.09
Cushing's syndrome	255.11	0.03	0.05	0.06	0.0	0.03	0.05
Adrenogenital disorders	255.3	0.0	0.01	0.0	0.03	0.0	0.03
Hyperaldosteronism	255.12	0.0	0.1	0.13	0.1	0.02	0.05
Adrenal hyperfunction	255.1	0.0	0.0	0.0	0.0	0.0	0.0
Glucocorticoid deficiency	255.21	0.1	0.15	0.13	0.24	0.11	0.06
Medulloadrenal hyperfunction	255.13	0.0	0.01	0.0	0.0	0.0	0.02
Disorders of adrenal glands	255.0	0.09	0.11	0.13	0.03	0.05	0.08
Ovarian dysfunction	256.0	0.02	0.05	0.0	0.0	0.01	0.0
Polycystic ovaries	256.4	0.14	0.17	0.19	0.24	0.06	0.19
Premature menopause and other ovarian failure	627.5	0.01	0.01	0.0	0.0	0.01	0.0
Testicular dysfunction	257.0	0.01	0.0	0.0	0.0	0.0	0.02
Testicular hypofunction	257.1	0.06	0.06	0.06	0.03	0.05	0.08
Delay in sexual development and puberty NEC	259.3	0.0	0.0	0.0	0.0	0.0	0.0
Other endocrine disorders	259.0	0.03	0.11	0.0	0.0	0.03	0.03
Diseases of thymus gland	254.0	0.01	0.01	0.0	0.0	0.0	0.0
Carcinoid syndrome	259.2	0.0	0.0	0.0	0.0	0.01	0.02
Nutritional marasmus	260.22	0.0	0.0	0.0	0.0	0.0	0.02
Other nutritional deficiency	263.0	0.0	0.0	0.0	0.0	0.01	0.02
Protein-calorie malnutrition	260.0	0.06	0.03	0.0	0.03	0.06	0.09
Vitamin A deficiency	261.1	0.01	0.0	0.0	0.0	0.0	0.0
Vitamin B-complex deficiencies	261.2	0.77	0.2	0.06	0.31	0.27	0.27
Vitamin C deficiencies	261.3	0.0	0.01	0.0	0.0	0.0	0.02
Vitamin D deficiency	261.4	1.43	0.88	0.13	0.42	0.23	0.69
Rickets or osteomalacia	261.41	0.04	0.03	0.0	0.0	0.01	0.02
Vitamin deficiency	261.0	0.0	0.01	0.0	0.0	0.01	0.02
Mineral deficiency NEC	262.0	0.21	0.1	0.13	0.14	0.09	0.09
Localized adiposity	278.3	0.01	0.04	0.13	0.04	0.02	0.05
Obesity	278.1	3.85	6.0	0.96	4.13	3.78	4.58
Hypoventilation	513.3	0.12	0.04	0.0	0.0	0.03	0.08
Overweight, obesity and other hyperalimentation	278.0	0.0	0.0	0.0	0.0	0.0	0.0
Disturbances of amino-acid transport	270.1	0.01	0.03	0.0	0.03	0.01	0.0
Phenylketonuria [PKU]	270.12	0.0	0.0	0.0	0.0	0.0	0.0
Other disorders of lipoid metabolism	277.5	0.15	0.09	0.0	0.07	0.06	0.06
Disturbances of sulphur-bearing amino-acid metabolism	270.11	0.0	0.0	0.0	0.0	0.0	0.02
Disorders of urea cycle metabolism	270.21	0.0	0.0	0.0	0.0	0.0	0.0
Disorders of amino-acid metabolism	270.2	0.01	0.0	0.0	0.0	0.0	0.0
Intestinal disaccharidase deficiencies and disaccharide malabsorption	271.3	0.07	0.12	0.06	0.07	0.05	0.11
Other disorders of carbohydrate transport and metabolism	271.9	0.01	0.02	0.0	0.0	0.01	0.0
Other cerebral degenerations	331.0	0.03	0.08	0.0	0.11	0.09	0.08
Lipoprotein disorders	277.51	0.06	0.03	0.0	0.07	0.01	0.08
Hypercholesterolemia	272.11	18.28	10.07	6.41	7.97	9.8	12.41
Hyperglyceridemia	272.12	0.06	0.0	0.0	0.04	0.02	0.05
