PheCode	Phenotype	Difference
244.4	Hypothyroidism NOS	4.59
241.1	Nontoxic uninodular goiter	0.17
241.0	Nontoxic nodular goiter	0.0
242.0	Thyrotoxicosis with or without goiter	0.4
242.1	Graves' disease	0.16999999999999998
242.2	Toxic multinodular goiter	0.04
253.1	Pituitary hyperfunction	0.009999999999999998
245.0	Thyroiditis	0.019999999999999997
245.1	Thyroiditis, acute and subacute	0.01
245.2	Chronic thyroiditis	0.01
245.21	Chronic lymphocytic thyroiditis	0.1
250.1	Type 1 diabetes	0.4
250.11	Type 1 diabetes with ketoacidosis	0.01999999999999999
250.12	Type 1 diabetes with renal manifestations	0.02
250.23	Type 2 diabetes with ophthalmic manifestations	0.36000000000000004
250.7	Diabetic retinopathy	0.36000000000000004
250.13	Type 1 diabetes with ophthalmic manifestations	0.07
250.14	Type 1 diabetes with neurological manifestations	0.030000000000000006
250.24	Type 2 diabetes with neurological manifestations	0.18
443.7	Peripheral angiopathy in diseases classified elsewhere	0.16999999999999998
250.2	Type 2 diabetes	3.5200000000000005
250.21	Type 2 diabetes with ketoacidosis	0.019999999999999997
250.22	Type 2 diabetes with renal manifestations	0.09
260.2	severe protein-calorie malnutrition	0.0
249.0	Secondary diabetes mellitus	0.0
251.1	Hypoglycemia	0.21000000000000002
251.0	Other disorders of pancreatic internal secretion	0.0
251.8	Abnormality of secretion of glucagon or gastrin	0.0
252.2	Hypoparathyroidism	0.019999999999999997
275.5	Disorders of calcium/phosphorus metabolism	0.010000000000000009
252.1	Hyperparathyroidism	0.2
252.0	Disorders of parathyroid gland	0.01
253.11	Acromegaly and gigantism	0.0
253.7	Other disorders of neurohypophysis	0.009999999999999995
253.2	Pituitary hypofunction	0.06999999999999999
258.0	Iatrogenic endocrine disorders	0.010000000000000002
253.3	Diabetes insipidus	0.009999999999999998
253.0	Disorders of the pituitary gland and its hypothalamic control	0.0
255.11	Cushing's syndrome	0.02
255.3	Adrenogenital disorders	0.01
255.12	Hyperaldosteronism	0.009999999999999998
255.1	Adrenal hyperfunction	0.0
255.21	Glucocorticoid deficiency	0.01999999999999999
255.13	Medulloadrenal hyperfunction	0.0
255.0	Disorders of adrenal glands	0.0
256.0	Ovarian dysfunction	0.02
256.4	Polycystic ovaries	0.12
627.5	Premature menopause and other ovarian failure	0.02
257.0	Testicular dysfunction	0.01
257.1	Testicular hypofunction	0.1
259.3	Delay in sexual development and puberty NEC	0.0
259.0	Other endocrine disorders	0.010000000000000002
254.0	Diseases of thymus gland	0.01
259.2	Carcinoid syndrome	0.0
260.22	Nutritional marasmus	0.0
263.0	Other nutritional deficiency	0.0
260.0	Protein-calorie malnutrition	0.020000000000000004
261.1	Vitamin A deficiency	0.0
261.2	Vitamin B-complex deficiencies	0.010000000000000009
261.3	Vitamin C deficiencies	0.0
261.4	Vitamin D deficiency	0.15999999999999998
261.41	Rickets or osteomalacia	0.01
261.0	Vitamin deficiency	0.0
262.0	Mineral deficiency NEC	0.039999999999999994
278.3	Localized adiposity	0.019999999999999997
278.1	Obesity	0.21999999999999975
513.3	Hypoventilation	0.010000000000000002
278.0	Overweight, obesity and other hyperalimentation	0.0
270.1	Disturbances of amino-acid transport	0.0
270.12	Phenylketonuria [PKU]	0.0
277.5	Other disorders of lipoid metabolism	0.03
270.11	Disturbances of sulphur-bearing amino-acid metabolism	0.0
270.21	Disorders of urea cycle metabolism	0.0
270.2	Disorders of amino-acid metabolism	0.0
271.3	Intestinal disaccharidase deficiencies and disaccharide malabsorption	0.03
271.9	Other disorders of carbohydrate transport and metabolism	0.0
331.0	Other cerebral degenerations	0.06
277.51	Lipoprotein disorders	0.01
272.11	Hypercholesterolemia	5.630000000000001
272.12	Hyperglyceridemia	0.03
272.13	Mixed hyperlipidemia	0.05
272.14	Hyperchylomicronemia	0.0
272.1	Hyperlipidemia	1.31
272.9	Unspecified disorder of lipoid metabolism	0.07
790.6	Other abnormal blood chemistry	2.3499999999999996
277.1	Disorders of porphyrin metabolism	0.0
277.4	Disorders of bilirubin excretion	0.11000000000000001
275.0	Disorders of mineral metabolism	0.0
275.2	Disorders of copper metabolism	0.0
275.1	Disorders of iron metabolism	0.16999999999999998
275.53	Disorders of phosphorus metabolism	0.04000000000000001
275.3	Disorders of magnesium metabolism	0.03
499.0	Cystic fibrosis	0.01
270.33	Amyloidosis	0.0
276.5	Hypovolemia	0.2899999999999999
276.11	Hyperosmolality and/or hypernatremia	0.07
276.12	Hyposmolality and/or hyponatremia	0.07999999999999996
276.41	Acidosis	0.22000000000000003
276.42	Alkalosis	0.010000000000000002
276.4	Acid-base balance disorder	0.0
276.13	Hyperpotassemia	0.28
276.14	Hypopotassemia	0.07999999999999996
276.6	Fluid overload	0.14
276.1	Electrolyte imbalance	0.0
258.1	Postablative ovarian failure	0.01
290.1	Dementias	0.12
290.11	Alzheimer's disease	0.04999999999999999
290.16	Vascular dementia	0.07
333.3	Tics and choreas	0.0
290.12	Dementia with cerebral degenerations	0.03
290.3	Other persistent mental disorders due to conditions classified elsewhere	0.04
290.2	Delirium due to conditions classified elsewhere	0.21
291.4	Specific nonpsychotic mental disorders due to brain damage	0.01
295.3	Psychosis	0.010000000000000009
291.1	Transient mental disorders due to conditions classified elsewhere	0.010000000000000002
296.0	Mood disorders	0.0
300.1	Anxiety disorder	0.78
292.2	Mild cognitive impairment	0.03
290.0	Delirium dementia and amnestic and other cognitive disorders	0.05000000000000002
316.0	Substance addiction and disorders	0.13999999999999999
317.0	Alcohol-related disorders	1.79
317.1	Alcoholism	1.8699999999999999
318.0	Tobacco use disorder	2.58
295.1	Schizophrenia	0.12999999999999998
296.22	Major depressive disorder	0.04999999999999999
301.1	Schizoid personality disorder	0.0
295.2	Paranoid disorders	0.009999999999999995
296.1	Bipolar	0.06
301.0	Personality disorders	0.009999999999999995
300.4	Dysthymic disorder	0.01
300.13	Phobia	0.13999999999999999
300.12	Agorophobia, social phobia, and panic disorder	0.1
300.11	Generalized anxiety disorder	0.0
300.3	Obsessive-compulsive disorders	0.009999999999999995
300.8	Acute reaction to stress	0.0
300.9	Posttraumatic stress disorder	0.04000000000000001
304.0	Adjustment reaction	0.0
303.1	Dissociative disorder	0.01
303.0	Psychogenic and somatoform disorders	0.0
295.0	Schizophrenia and other psychotic disorders	0.0
303.4	Somatoform disorder	0.020000000000000004
303.3	Psychogenic disorder	0.03
300.0	Anxiety, phobic and dissociative disorders	0.0
306.0	Other mental disorder	4.699999999999999
305.2	Eating disorder	0.019999999999999997
305.21	Anorexia nervosa	0.03
327.0	Sleep disorders	0.26
327.4	Insomnia	0.0
327.1	Hypersomnia	0.0
327.6	Circadian rhythm sleep disorder	0.01
327.5	Parasomnia	0.01
302.0	Sexual and gender identity disorders	0.19
302.1	Decreased libido	0.0
605.0	Erectile dysfunction [ED]	0.38
301.2	Antisocial/borderline personality disorder	0.03
312.3	Impulse control disorder	0.0
315.0	Develomental delays and disorders	0.04999999999999999
315.3	Mental retardation	0.019999999999999997
315.2	Speech and language disorder	0.02
315.1	Learning disorder	0.030000000000000006
313.3	Autism	0.019999999999999997
312.0	Conduct disorders	0.0
313.0	Pervasive developmental disorders	0.0
313.2	Tics and stuttering	0.0
344.0	Other paralytic syndromes	0.09
323.8	Encephalitis, non-infectious	0.0
325.0	Phlebitis and thrombophlebitis of intracranial venous sinuses	0.0
334.1	Spinocerebellar disease	0.020000000000000004
334.2	Anterior horn cell disease	0.04000000000000001
357.0	Inflammatory and toxic neuropathy	0.24999999999999994
332.0	Parkinson's disease	0.26
349.0	Other and unspecified disorders of the nervous system	0.010000000000000009
333.8	Other degenerative diseases of the basal ganglia	0.01
333.4	Torsion dystonia	0.03
333.0	Extrapyramidal disease and abnormal movement disorders	0.01999999999999999
333.1	Essential tremor	0.009999999999999995
333.2	Myoclonus	0.009999999999999998
331.9	Cerebral degeneration, unspecified	0.10999999999999999
334.0	Degenerative disease of the spinal cord	0.19000000000000006
335.0	Multiple sclerosis	0.26
341.0	Other demyelinating diseases of central nervous system	0.03
323.2	Acute (transverse) myelitis	0.019999999999999997
345.0	Epilepsy, recurrent seizures, convulsions	0.20000000000000007
345.12	Partial epilepsy	0.009999999999999995
345.1	Epilepsy	0.03
345.11	Generalized convulsive epilepsy	0.039999999999999994
345.3	Convulsions	0.2799999999999999
340.0	Migraine	0.75
340.1	Migrain with aura	0.049999999999999996
339.0	Other headache syndromes	0.7299999999999998
306.9	Tension headache	0.05
433.31	Transient cerebral ischemia	0.30000000000000004
362.4	Retinal vascular changes and abnomalities	0.13999999999999999
433.0	Cerebrovascular disease	0.22999999999999998
327.41	Organic or persistent insomnia	0.0
291.8	Alteration of consciousness	0.04999999999999999
327.3	Sleep apnea	1.3900000000000001
347.0	Cataplexy and narcolepsy	0.01
352.1	Trigeminal nerve disorders [CN5]	0.09
352.2	Facial nerve disorders [CN7]	0.030000000000000027
352.0	Disorders of other cranial nerves	0.0
353.0	Nerve root and plexus disorders	0.010000000000000009
353.1	Nerve plexus lesions	0.010000000000000002
353.2	Nerve root lesions	0.0
722.9	Other and unspecified disc disorder	0.040000000000000036
907.0	Injuries to the nervous system	0.18
351.0	Other peripheral nerve disorders	1.9
355.0	Complex regional/central pain syndrome	0.0
356.0	Hereditary and idiopathic peripheral neuropathy	0.03
316.1	Polyneuropathy due to drugs	0.009999999999999998
250.6	Polyneuropathy in diabetes	0.14
358.1	Myasthenia gravis	0.009999999999999995
358.0	Myoneural disorders	0.01
359.2	Myopathy	0.03
359.1	Muscular dystrophies	0.020000000000000004
343.0	Infantile cerebral palsy	0.020000000000000004
342.0	Hemiplegia	0.25
337.0	Disorders of the autonomic nervous system	0.020000000000000004
337.1	Peripheral autonomic neuropathy	0.019999999999999997
752.2	Other specified congenital anomalies of nervous system	0.0
331.1	Hydrocephalus	0.0
348.4	Cerebral cysts	0.010000000000000002
348.0	Other conditions of brain	0.05
348.2	Cerebral edema and compression of brain	0.009999999999999995
798.1	Chronic fatigue syndrome	0.15
348.9	Other conditions of brain, NOS	0.05
967.0	Adverse effects of sedatives or other central nervous system depressants and anesthetics	0.1
371.3	Inflammation of eyelids	0.13
371.33	Noninfectious dermatoses of eyelid	0.01
374.0	Other disorders of eyelids	0.15000000000000002
374.1	Ectropion or entropion	0.18
374.2	Lagophthalmos	0.01
374.3	Ptosis of eyelid	0.18
375.0	Disorders of lacrimal system	0.27
375.2	Epiphora	0.12
376.0	Disorders of the orbit	0.0
371.9	Chronic inflammatory disorders of orbit	0.0
242.3	Exophthalmos	0.039999999999999994
369.5	Conjunctivitis, infectious	0.009999999999999995
371.2	Conjunctivitis, noninfectious	0.0
372.0	Disorders of conjunctiva	0.020000000000000018
695.22	Pemphigus and pemphigoid	0.0
371.0	Inflammation of the eye	0.009999999999999998
379.0	Other disorders of eye	0.009999999999999995
379.1	Scleritis and episcleritis	0.0
370.0	Keratitis	0.010000000000000002
370.1	Corneal ulcer	0.010000000000000002
370.3	Keratoconjunctivitis	0.0
364.1	Corneal opacity	0.030000000000000002
364.0	Corneal opacity and other disorders of cornea	0.009999999999999995
364.2	Corneal edema	0.009999999999999998
364.4	Corneal degenerations	0.010000000000000002
364.5	Corneal dystrophy	0.020000000000000004
364.41	Keratoconus	0.02
360.0	Disorders of the globe	0.0
371.1	Uveitis, noninfectious or NOS	0.0
379.5	Disorders of iris and ciliary body	0.03
366.2	Senile cataract	0.3500000000000001
379.3	Aphakia and other disorders of lens	0.040000000000000036
366.0	Cataract	0.4400000000000004
366.1	Nonsenile Cataract	0.0
366.3	Traumatic cataract	0.04
363.0	Chorioretinal inflammations, scars, and other disorders of choroid	0.0
363.3	Chorioretinal scars	0.009999999999999998
363.4	Choroidal degenerations	0.0
361.1	Retinal detachment with retinal defect	0.26000000000000006
361.2	Retinoschisis and retinal cysts	0.009999999999999998
361.0	Retinal detachments and defects	0.26999999999999996
362.0	Other retinal disorders	0.09999999999999998
362.1	Retinopathy of prematurity	0.0
362.3	Other nondiabetic retinopathy	0.009999999999999998
362.29	Macular degeneration (senile) of retina NOS	0.20000000000000007
362.6	Peripheral retinal degenerations	0.019999999999999997
362.7	Hereditary retinal dystrophies	0.009999999999999998
362.8	Retinal hemorrhage/ischemia	0.010000000000000002
362.31	Separation of retinal layers	0.0
365.0	Glaucoma	0.22999999999999998
365.11	Primary open angle glaucoma	0.14
365.2	Primary angle-closure glaucoma	0.1
379.2	Disorders of vitreous body	0.06
360.2	Progressive myopia	0.0
360.3	Hypotony of eye	0.0
377.3	Optic neuritis/neuropathy	0.009999999999999995
377.0	Disorders of optic nerve and visual pathways	0.020000000000000004
377.1	Optic atrophy	0.0
378.5	Paralytic strabismus	0.009999999999999995
378.0	Strabismus and other disorders of binocular eye movements	0.0
378.1	Strabismus (not specified as paralytic)	0.03
367.0	Disorders of refraction and accommodation; blindness and low vision	0.02
367.8	Hypermetropia	0.04000000000000001
367.1	Myopia	0.02999999999999997
367.2	Astigmatism	0.010000000000000009
368.3	Anisometropia	0.0
367.4	Presbyopia	0.01
368.7	Disorders of accommodation	0.0
368.0	Visual disturbances	0.04999999999999999
368.1	Amblyopia	0.0
368.9	Subjective visual disturbances	0.04000000000000001
368.2	Diplopia and disorders of binocular vision	0.06
368.4	Visual field defects	0.04000000000000001
368.5	Color vision deficiencies	0.0
367.9	Blindness and low vision	0.07
378.2	Nystagmus and other irregular eye movements	0.039999999999999994
379.4	Anomalies of pupillary function	0.009999999999999998
379.9	Pain, swelling or discharge of eye	0.009999999999999995
380.1	Otitis externa	0.01999999999999999
686.1	Carbuncle and furuncle	0.26
385.3	Cholesteatoma	0.05000000000000002
380.0	Disorders of external ear	0.04000000000000001
380.4	Impacted cerumen	0.010000000000000009
381.11	Suppurative and unspecified otitis media	0.01999999999999999
381.2	Eustachian tube disorders	0.019999999999999997
381.3	Mastoiditis & related conditions	0.010000000000000002
384.4	Perforation of tympanic membrane	0.010000000000000009
384.0	Other disorders of tympanic membrane	0.010000000000000009
384.1	Myringitis	0.01
385.0	Other disorders of middle ear and mastoid	0.010000000000000002
385.5	Tympanosclerosis and middle ear disease related to otitis media	0.009999999999999995
383.0	Otosclerosis	0.01999999999999999
386.0	Vertiginous syndromes and other disorders of vestibular system	0.0
386.1	Meniere's disease	0.04999999999999999
386.21	Central origin vertigo	0.0
386.3	Labyrinthitis	0.0
389.3	Degenerative and vascular disorders of ear	0.01
389.0	Hearing loss	0.37
389.2	Conductive hearing loss	0.009999999999999995
389.1	Sensorineural hearing loss	0.03
382.0	Otalgia	0.01999999999999999
381.9	Otorrhea	0.020000000000000004
389.4	Tinnitus	0.01999999999999999
389.5	Disorders of acoustic nerve	0.0
388.0	Other disorders of ear	0.0
41.21	Rheumatic fever / chorea	0.0
394.4	Acute rheumatic heart disease	0.02
420.21	Acute pericarditis	0.06
420.1	Myocarditis	0.010000000000000002
394.2	Mitral valve disease	0.4099999999999999
394.0	Rheumatic disease of the heart valves	0.2
394.3	Aortic valve disease	0.31
394.7	Disease of tricuspid valve	0.18
395.1	Nonrheumatic mitral valve disorders	0.42999999999999994
395.2	Nonrheumatic aortic valve disorders	0.05
420.22	Chronic pericarditis	0.019999999999999997
401.1	Essential hypertension	6.779999999999998
401.21	Hypertensive heart disease	0.05
401.22	Hypertensive chronic kidney disease	0.41000000000000003
401.2	Hypertensive heart and/or renal disease	0.019999999999999997
401.3	Other hypertensive complications	0.05
411.3	Angina pectoris	3.8600000000000003
411.1	Unstable angina (intermediate coronary syndrome)	1.38
411.2	Myocardial infarction	4.54
414.0	Other forms of chronic heart disease	0.7599999999999999
411.9	Other acute and subacute forms of ischemic heart disease	0.48
411.4	Coronary atherosclerosis	6.91
411.8	Other chronic ischemic heart disease, unspecified	4.699999999999999
440.0	Atherosclerosis	0.05
411.41	Aneurysm and dissection of heart	0.15
415.11	Pulmonary embolism and infarction, acute	0.01
