Phenotype	PheCode	England	Scotland	Wales
Anemia in neoplastic disease	285.22	0.14	0.17	0.09
Cancer of bladder	189.2	0.21	0.37	0.22
Peripheral or central vertigo	386.2	0.14	0.07	0.11
Poisoning by psychotropic agents	969.0	0.5	0.69	0.66
Pulmonary heart disease	415.0	1.09	1.15	0.98
Abnormal findings on exam of gastrointestinal tract/ abdominal area	564.8	0.68	0.35	0.79
Disorders of iron metabolism	275.1	0.19	0.23	0.18
Septal Deviations/Turbinate Hypertrophy	470.0	1.28	0.89	1.17
Labyrinthitis	386.3	0.21	0.21	0.23
Chronic dermatitis due to solar radiation	938.2	0.08	0.03	0.03
Open wound of foot except toe(s) alone	871.3	0.05	0.04	0.03
Paralysis/spasm of vocal cords or larynx	473.3	0.09	0.08	0.06
Other intestinal obstruction	560.4	1.24	1.19	1.08
Cancer of other female genital organs	184.0	0.04	0.01	0.03
Progressive myopia	360.2	0.08	0.0	0.04
Acquired foot deformities	735.0	0.04	0.03	0.02
Cholelithiasis with acute cholecystitis	574.11	0.45	0.62	0.5
Ectropion or entropion	374.1	0.34	0.21	0.21
Symptoms involving cardiovascular system	429.3	0.06	0.03	0.14
Rosacea	695.3	0.09	0.1	0.12
Diseases of pulp and periapical tissues	522.0	0.17	0.05	0.08
Carcinoma in situ of skin	172.3	0.23	0.08	0.17
stress incontinence, female	624.9	1.53	1.32	1.35
Hallux rigidus	735.23	0.42	0.44	0.36
Inflammation of eyelids	371.3	0.7	0.33	0.39
Infertility, female	626.8	0.28	0.38	0.26
Hyperemesis gravidarum	643.1	0.04	0.01	0.06
Dyspareunia	625.1	0.27	0.23	0.28
Peritoneal adhesions (postoperative) (postinfection)	568.1	1.1	0.51	0.93
Large cell lymphoma	202.24	0.18	0.18	0.15
Disorders of the globe	360.0	0.02	0.03	0.02
Varicose veins of lower extremity	454.1	2.87	3.0	3.06
Proteinuria	269.0	0.1	0.1	0.11
Corneal dystrophy	364.5	0.07	0.03	0.07
Hyperparathyroidism	252.1	0.25	0.16	0.35
Aortic aneurysm	442.1	0.19	0.15	0.16
Irritable Bowel Syndrome	564.1	2.1	1.26	1.82
Right bundle branch block	426.31	0.59	0.3	0.57
Acne	706.1	0.02	0.01	0.02
Normal delivery	650.0	0.57	0.0	0.56
Vascular disorders of skin	694.3	0.04	0.05	0.01
Other diseases of lung	510.0	0.3	0.24	0.17
Meniere's disease	386.1	0.17	0.07	0.16
Sacroiliitis NEC	715.1	0.03	0.0	0.01
Disorder of skin and subcutaneous tissue NOS	689.0	1.71	0.74	1.47
Ulcerative colitis	555.2	1.03	0.92	0.98
Other acquired deformities of limbs	736.0	0.08	0.08	0.01
Primary pulmonary hypertension	415.21	0.13	0.12	0.16
Anxiety disorders	300.0	0.12	0.12	0.06
Chondrocalcinosis	274.21	0.08	0.04	0.06
Poisoning by primarily systemic agents	963.0	0.05	0.05	0.05
Constipation	563.0	4.08	3.98	3.59
Major depressive disorder	296.22	0.14	0.01	0.11
Myopia	367.1	0.44	0.13	0.42
Cyst or abscess of Bartholin's gland	614.53	0.19	0.19	0.22
Cancer of prostate	185.0	1.87	1.58	1.78
Substance addiction and disorders	316.0	0.13	0.09	0.13
Diarrhea	561.1	0.21	0.14	0.13
Multiple gestation	651.0	0.1	0.0	0.12
Symptoms involving nervous and musculoskeletal systems	781.0	0.62	0.28	0.36
Benign neoplasm of parathyroid gland	227.2	0.11	0.09	0.1
Eosinophilia	288.3	0.02	0.02	0.02
Hyperpotassemia	276.13	0.37	0.24	0.35
Other abnormal blood chemistry	790.6	2.1	1.17	1.19
Symptoms and disorders of the joints	741.0	0.15	0.1	0.09
Corneal opacity	364.1	0.04	0.01	0.04
Polymyalgia Rheumatica	717.0	0.41	0.15	0.42
Pemphigus and pemphigoid	695.22	0.03	0.02	0.02
Cholecystitis without cholelithiasis	574.3	0.77	0.88	0.72
Malignant neoplasm of bladder	189.21	0.61	0.4	0.5
Bacterial pneumonia	480.1	0.31	0.34	0.31
Cerebral aneurysm	433.5	0.11	0.09	0.14
Cancer of oropharynx	149.1	0.07	0.1	0.07
Inflammatory disease of cervix, vagina, and vulva	614.5	0.04	0.04	0.12
Other disorders of eye	379.0	0.09	0.06	0.09
Cancer of tongue	145.2	0.08	0.11	0.12
Disorders of menstruation and other abnormal bleeding from female genital tract	626.0	0.45	0.38	0.42
Excessive or frequent menstruation	626.12	2.4	1.86	2.59
Other venous embolism and thrombosis	452.0	0.19	0.15	0.15
Allergic rhinitis	476.0	0.42	0.1	0.29
Nephrotic syndrome without mention of glomerulonephritis	580.2	0.17	0.12	0.22
Pneumoconiosis	500.2	0.08	0.04	0.07
Symptoms affecting skin	687.0	0.08	0.03	0.06
Gout	274.1	0.7	0.04	0.38
Hypothyroidism NOS	244.4	4.43	1.35	4.12
Chronic pain	338.2	0.12	0.09	0.23
Vitamin B-complex deficiencies	261.2	0.28	0.17	0.28
Other vitamin B12 deficiency anemia	281.12	0.06	0.03	0.1
Acute renal failure	585.1	1.92	1.84	1.39
Acute periodontitis	523.31	0.04	0.02	0.02
Other allied disorders of spine	721.8	0.04	0.01	0.01
Electrolyte imbalance	276.1	0.05	0.04	0.03
Simple and unspecified goiter	240.0	0.18	0.15	0.21
Polyneuropathy due to drugs	316.1	0.03	0.02	0.02
Chronic renal failure [CKD]	585.3	1.01	0.78	0.74
Joint effusions	741.4	0.08	0.01	0.0
Hemorrhage of rectum and anus	578.8	3.6	3.73	3.32
Premenstrual tension syndromes	626.4	0.04	0.03	0.03
Intracranial hemorrhage (injury)	818.0	0.04	0.07	0.0
Antisocial/borderline personality disorder	301.2	0.05	0.02	0.03
Disorders of diaphragm	513.8	0.05	0.03	0.03
Sialoadenitis	527.2	0.1	0.1	0.06
Herpes zoster with nervous system complications	53.1	0.03	0.02	0.04
Speech and language disorder	315.2	0.03	0.0	0.02
Traumatic cataract	366.3	0.03	0.01	0.04
Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	159.0	1.57	1.31	1.59
Other dyschromia	694.2	0.24	0.12	0.23
Contracture of palmar fascia [Dupuytren's disease]	728.71	0.76	0.56	0.6
Bladder neck obstruction	596.1	0.51	0.92	0.33
Other anemias	285.0	3.76	2.69	3.52
Acute and chronic tonsillitis	474.0	0.12	0.1	0.12
Throat pain	478.0	0.11	0.09	0.2
Fracture of neck of femur	800.1	0.06	0.03	0.01
Impacted cerumen	380.4	0.1	0.03	0.12
Toxic effect of other gases, fumes, or vapors	987.0	0.02	0.04	0.04
Complications of labor and delivery NEC	669.0	0.76	0.0	0.78
Orthostatic hypotension	458.1	0.53	0.39	0.37
Gingival and periodontal diseases	523.0	0.14	0.07	0.13
Polyp of corpus uteri	622.1	2.17	1.32	2.6
Bursitis	726.3	0.17	0.12	0.08
Disorders of bilirubin excretion	277.4	0.11	0.06	0.11
Other disorders of biliary tract	575.8	0.33	0.37	0.23
Cardiac shunt/ heart septal defect	747.11	0.17	0.11	0.12
Benign neoplasm of brain, cranial nerves, meninges	225.1	0.23	0.2	0.18
Ulceration of the lower GI tract	556.0	0.16	0.11	0.15
Ventricular fibrillation and flutter	427.41	0.12	0.07	0.11
Hyperhidrosis	705.8	0.19	0.14	0.11
Hypotension	458.0	0.39	0.07	0.44
Glossitis	529.1	0.09	0.06	0.07
Polyp of female genital organs	622.0	0.06	0.04	0.05
Influenza	481.0	0.13	0.2	0.1
Nonrheumatic pulmonary valve disorders	395.4	0.04	0.01	0.07
Other upper respiratory disease	479.0	1.1	1.13	1.28
Peripheral vascular disease, unspecified	443.9	0.81	0.8	0.61
Bacterial infection NOS	41.0	1.97	1.54	1.97
Menopausal and postmenopausal disorders	627.0	0.16	0.05	0.26
Other disorders of middle ear and mastoid	385.0	0.04	0.03	0.04
Cyst and pseudocyst of pancreas	577.3	0.12	0.08	0.08
Pneumonia due to fungus (mycoses)	480.3	0.04	0.01	0.03
Abnormal spermatozoa	609.2	0.04	0.01	0.04
Noninflammatory disorders of vagina	619.4	0.42	0.34	0.75
Cholelithiasis with other cholecystitis	574.12	1.57	1.15	1.8
Fracture of ribs	807.0	0.08	0.05	0.04
Abnormal serum enzyme levels	573.9	0.07	0.05	0.03
Strabismus (not specified as paralytic)	378.1	0.26	0.21	0.19
Cerebrovascular disease	433.0	0.45	0.79	0.34
Gram positive septicemia	38.2	0.15	0.13	0.23
Localized adiposity	278.3	0.02	0.01	0.01
Unspecified disorder of lipoid metabolism	272.9	0.1	0.02	0.05
Cardiac pacemaker/device in situ	426.9	0.07	0.03	0.1
Hemorrhoids	455.0	6.62	5.39	8.13
Endometriosis	615.0	1.04	0.65	1.02
Gingivitis	523.1	0.03	0.01	0.02
Complication of amputation stump	874.0	0.05	0.03	0.07
Other disorders of bone and cartilage	733.0	0.27	0.03	0.07
Viral infection	79.0	0.75	0.77	0.81
Other specified benign mammary dysplasias	610.8	0.17	0.23	0.13
Secondary malignancy of bone	198.6	0.78	0.84	0.78
Umbilical hernia	550.4	1.25	0.86	1.13
Otosclerosis	383.0	0.08	0.1	0.04
Cirrhosis of liver without mention of alcohol	571.51	0.22	0.2	0.21
Musculoskeletal symptoms referable to limbs	771.0	0.24	0.11	0.27
Disorders of the pituitary gland and its hypothalamic control	253.0	0.03	0.01	0.02
Memory loss	292.3	0.22	0.14	0.22
Arterial embolism and thrombosis	444.0	0.13	0.11	0.05
Ileostomy status	559.0	0.6	0.44	0.48
Malignant neoplasm of retroperitoneum and peritoneum	159.4	0.06	0.08	0.05
Pneumonitis due to inhalation of food or vomitus	501.0	0.23	0.28	0.12
Other diseases of blood and blood-forming organs	289.0	0.16	0.11	0.14
Calculus of kidney	594.1	0.91	0.91	0.83
Blindness and low vision	367.9	0.23	0.1	0.2
Other CNS infection and poliomyelitis	324.0	0.09	0.07	0.07
Atrial fibrillation and flutter	427.2	4.57	3.98	4.14
Spontaneous ecchymoses	287.1	0.04	0.02	0.03
Other disorders of thyroid	246.0	0.14	0.06	0.06
Intestinal infection	8.0	0.12	0.26	0.12
Type 1 diabetes with neurological manifestations	250.14	0.05	0.05	0.06
Sinoatrial node dysfunction (Bradycardia)	427.8	0.15	0.15	0.2
Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	293.1	0.25	0.2	0.26
Delirium dementia and amnestic and other cognitive disorders	290.0	0.14	0.2	0.11
Early onset of delivery	636.2	0.19	0.0	0.25
Chronic tonsillitis and adenoiditis	474.2	0.29	0.15	0.3
Intestinal disaccharidase deficiencies and disaccharide malabsorption	271.3	0.05	0.01	0.05
Anemia during pregnancy	644.0	0.25	0.0	0.18
Endometrial hyperplasia	621.0	0.32	0.12	0.28
Ulcerative colitis (chronic)	555.21	0.21	0.1	0.26
Fracture of pelvis	802.0	0.03	0.0	0.01
Displacement of intervertebral disc	722.1	0.11	0.04	0.06
Fracture of lower limb	800.0	0.13	0.03	0.02
Other diseases of respiratory system, not elsewhere classified	519.0	0.03	0.04	0.01
Chronic airway obstruction	496.0	2.69	1.7	2.09
Inguinal hernia	550.1	4.66	4.25	4.05
Pyelonephritis	590.0	0.46	0.4	0.3
Cancer of other female genital organs (excluding uterus and ovary)	184.2	0.09	0.08	0.13
Complication of internal orthopedic device	858.0	1.05	1.05	1.21
Nonspecific findings on examination of blood	790.0	0.05	0.14	0.04
Candidiasis	112.0	0.73	0.42	0.68
Other disorders of bladder	596.0	2.15	1.85	2.29
Other acquired musculoskeletal deformity	738.0	0.1	0.15	0.07
Nonrheumatic aortic valve disorders	395.2	0.08	0.08	0.11
Corns and callosities	700.0	0.09	0.03	0.04
Astigmatism	367.2	0.07	0.02	0.02
Fracture of upper limb	803.0	0.06	0.01	0.04
Hereditary and idiopathic peripheral neuropathy	356.0	0.05	0.01	0.03
Acute upper respiratory infections of multiple or unspecified sites	465.0	0.38	0.31	0.44
Arthropathy associated with neurological disorders	713.5	0.02	0.01	0.05
Sprains and strains	840.0	0.1	0.04	0.08
Disturbance of salivary secretion	527.7	0.02	0.01	0.01
Urinary calculus	594.0	0.13	0.17	0.1
Other disorders of lipoid metabolism	277.5	0.06	0.05	0.06
Cancer of urinary organs (incl. kidney and bladder)	189.0	0.84	0.6	0.85
Anxiety disorder	300.1	2.31	0.74	1.56
Acute tonsillitis	474.1	0.16	0.22	0.22
Congenital anomalies of male genital organs	751.12	0.05	0.07	0.06
Pain and other symptoms associated with female genital organs	625.0	0.51	0.19	0.57
Other chronic ischemic heart disease, unspecified	411.8	4.72	2.75	3.53
Cellulitis and abscess of arm/hand	681.3	1.63	1.72	1.76
Abnormal sputum	516.0	0.03	0.01	0.02
Degenerative disease of the spinal cord	334.0	0.47	0.29	0.31
Fracture of patella	800.4	0.04	0.01	0.01
Infantile cerebral palsy	343.0	0.04	0.06	0.06
Convulsions	345.3	0.67	0.83	0.57
Open wound of neck	870.6	0.04	0.03	0.03
Pernicious anemia	281.11	0.24	0.13	0.27
Prolapse of vaginal walls	618.1	1.96	1.77	2.16
Infections of genitourinary tract during pregnancy	647.1	0.08	0.0	0.15
Nonspecific abnormal findings on radiological and other examination of biliary tract	575.9	0.12	0.08	0.09
Other disorders of intestine	569.0	1.15	0.89	1.17
Lymphoid leukemia, chronic	204.12	0.15	0.13	0.14
Erectile dysfunction [ED]	605.0	0.17	0.06	0.06
Type 1 diabetes	250.1	0.83	0.58	0.67
Mineral deficiency NEC	262.0	0.09	0.08	0.1
Benign neoplasm of male genital organs	222.0	0.04	0.05	0.01
Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	227.3	0.1	0.06	0.06
Cancer of esophagus	150.0	0.22	0.26	0.19
Disorders of optic nerve and visual pathways	377.0	0.07	0.01	0.03
Atherosclerosis of aorta	440.9	0.05	0.1	0.05
Anterior horn cell disease	334.2	0.08	0.09	0.07
Cancer of connective tissue	170.2	0.09	0.1	0.07
Disorders of conjunctiva	372.0	0.26	0.16	0.21
Systemic lupus erythematosus	695.42	0.12	0.09	0.1
Abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium	654.1	0.35	0.0	0.36
Liver replaced by transplant	573.2	0.03	0.03	0.03
Jaw disease NOS	526.9	0.07	0.05	0.08
Urinary tract infection	591.0	3.76	4.6	4.07
Hodgkin's disease	201.0	0.07	0.08	0.07
Fluid overload	276.6	0.21	0.13	0.14
Corneal edema	364.2	0.03	0.03	0.01
Frequency of urination and polyuria	599.5	1.15	0.81	0.74
Nystagmus and other irregular eye movements	378.2	0.07	0.06	0.05
Changes in skin texture	687.3	0.03	0.02	0.02
Paranoid disorders	295.2	0.08	0.03	0.05
Flat foot	735.1	0.05	0.02	0.03
Nontoxic multinodular goiter	241.2	0.22	0.16	0.18
Early or threatened labor; hemorrhage in early pregnancy	636.0	0.3	0.0	0.29
Nerve root and plexus disorders	353.0	0.34	0.16	0.3
Multiple sclerosis	335.0	0.36	0.38	0.34
Cardiac conduction disorders	426.0	0.05	0.06	0.04
Prostatitis	601.1	0.19	0.18	0.13
Balanoposthitis	601.4	0.08	0.09	0.09
Hydrocephalus	331.1	0.16	0.12	0.24
Other diseases of the teeth and supporting structures	525.0	0.83	0.17	0.49
Hemorrhage NOS	459.1	0.03	0.03	0.03
Secondary thrombocytopenia	287.32	0.03	0.03	0.01
Anorexia	260.6	0.27	0.15	0.22
Acute pericarditis	420.21	0.06	0.03	0.03
Sciatica	764.0	0.43	0.06	0.15
Hydronephrosis	595.0	0.63	0.52	0.51
Late effects of cerebrovascular disease	433.8	0.42	0.22	0.46
Ascites (non malignant)	572.0	0.52	0.31	0.55
Hemangioma and lymphangioma, any site	228.0	0.44	0.29	0.38
Myocardial infarction	411.2	3.66	3.85	3.22
Cancer of other male genital organs	187.0	0.04	0.05	0.05
Skull and face fracture and other intercranial injury	819.0	0.29	0.2	0.1
Hypertrophic obstructive cardiomyopathy	425.11	0.04	0.03	0.05
Other nondiabetic retinopathy	362.3	0.02	0.0	0.05
Symptoms involving head and neck	293.0	0.56	0.56	0.39
Cerebral degeneration, unspecified	331.9	0.15	0.12	0.14
Anomalies of endocrine glands, congenital	759.1	0.02	0.01	0.04
Venous/cerebrovascular complications embolism in pregnancy and the puerperium	671.0	0.06	0.0	0.03
Primary angle-closure glaucoma	365.2	0.24	0.12	0.14
Polycystic ovaries	256.4	0.07	0.02	0.05
Anemia of chronic disease	285.2	0.11	0.03	0.03
Delirium due to conditions classified elsewhere	290.2	0.33	0.36	0.1
Benign neoplasm of respiratory and intrathoracic organs	212.0	0.1	0.12	0.11
Acromegaly and gigantism	253.11	0.03	0.03	0.02
Myopathy	359.2	0.07	0.05	0.1
GERD	530.11	5.29	2.36	4.69
Rheumatoid arthritis and other inflammatory polyarthropathies	714.0	0.13	0.03	0.03
Other demyelinating diseases of central nervous system	341.0	0.06	0.1	0.05
Diseases of pancreas	577.0	0.19	0.15	0.12
Cancer of stomach	151.0	0.17	0.23	0.19
Open wound of toe(s)	871.4	0.02	0.01	0.04
Suppurative and unspecified otitis media	381.11	0.21	0.25	0.17
Autoimmune hemolytic anemias	283.1	0.04	0.04	0.03
Atrioventricular [AV] block	426.2	0.04	0.06	0.05
Pelvic inflammatory disease, NOS	614.33	0.08	0.07	0.13
Essential hypertension	401.1	23.44	10.83	22.69
Osteoarthrosis, localized, primary	740.11	2.23	4.77	2.41
Malaise and fatigue	798.0	0.89	0.69	0.77
Corneal ulcer	370.1	0.04	0.04	0.05
Diseases of lips	528.5	0.2	0.08	0.16
Stiffness of joint	741.2	0.03	0.01	0.01
Intervertebral disc disorder with myelopathy	722.7	0.13	0.03	0.08
Type 2 diabetes with renal manifestations	250.22	0.09	0.03	0.13
Macroglobulinemia	270.35	0.02	0.02	0.03
Other forms of chronic heart disease	414.0	0.76	0.2	0.42
Benign neoplasm of kidney and other urinary organs	223.0	0.06	0.05	0.04
Atherosclerosis of the extremities	440.2	0.13	0.18	0.14
Other disorders of tympanic membrane	384.0	0.1	0.06	0.12
Pneumonia	480.0	1.32	1.35	1.25
Allergies, other	949.0	0.12	0.11	0.11
Superficial cellulitis and abscess	681.0	0.15	0.15	0.12
Giant cell arteritis	446.5	0.13	0.16	0.07
Unspecified erythematous condition	695.9	0.15	0.11	0.15
Aspergillosis	117.4	0.05	0.08	0.04
Cutaneous lupus erythematosus	695.41	0.05	0.02	0.02
Left bundle branch block	426.32	0.66	0.43	0.62
Dysmenorrhea	626.2	0.42	0.29	0.57
Hidradenitis	705.3	0.05	0.09	0.07
Nonrheumatic mitral valve disorders	395.1	0.99	0.7	0.77
Hypoparathyroidism	252.2	0.05	0.03	0.04
Complications of transplants and reattached limbs	851.0	1.84	2.24	1.05
Chronic bronchitis	496.2	0.11	0.05	0.05
Postmenopausal atrophic vaginitis	627.3	0.34	0.31	0.3
Fracture of vertebral column without mention of spinal cord injury	805.0	0.1	0.1	0.05
Chronic hepatitis	70.4	0.08	0.08	0.07
Chronic lymphocytic thyroiditis	245.21	0.06	0.05	0.03
Open wound of lip and mouth	870.5	0.12	0.08	0.09
Other endocrine disorders	259.0	0.04	0.01	0.01
Dystrophy of female genital tract	624.1	0.08	0.06	0.08
Epistaxis or throat hemorrhage	477.0	0.73	0.68	0.62
Other specified erythematous conditions	695.8	0.05	0.04	0.04
Diverticulosis	562.1	9.62	7.93	7.45
Poisoning/allergy of sulfonamides	961.1	0.27	0.14	0.46
Effects radiation NOS	990.0	1.21	0.26	1.4
Spinal cord injury without evidence of spinal bone injury	952.0	0.03	0.01	0.02
Malignant neoplasm of unspecified male genital organ	187.1	0.02	0.03	0.02
Heart valve replaced	395.6	0.47	0.35	0.61
Contracture of tendon (sheath)	727.7	0.04	0.02	0.05
Nonspecific abnormal findings in stool contents	579.8	0.61	0.56	0.64
Occlusion of cerebral arteries	433.2	0.92	0.96	0.76
Herpes zoster	53.0	0.11	0.12	0.09
Other and unspecified disorders of the nervous system	349.0	0.12	0.12	0.12
Glaucoma	365.0	1.26	0.48	1.02
Pituitary hypofunction	253.2	0.08	0.07	0.13
Migraine	340.0	0.87	0.61	0.8
Abdominal hernia	550.0	1.17	1.07	1.05
Other specified disorders of breast	613.8	0.09	0.07	0.15
Hypermetropia	367.8	0.09	0.02	0.03
Cerebral cysts	348.4	0.04	0.03	0.06
Retinoschisis and retinal cysts	361.2	0.03	0.0	0.01
Symptoms involving respiratory system and other chest symptoms	519.9	0.09	0.03	0.07
Partial epilepsy	345.12	0.09	0.03	0.11
Agorophobia, social phobia, and panic disorder	300.12	0.31	0.06	0.25
Alkalosis	276.42	0.05	0.01	0.02
Noninflammatory disorders of vulva and perineum	619.5	0.37	0.28	0.36
Disorders of vitreous body	379.2	0.45	0.2	0.29
Diplopia and disorders of binocular vision	368.2	0.22	0.12	0.19
Lung disease due to external agents	500.0	0.03	0.03	0.02
Spinocerebellar disease	334.1	0.04	0.05	0.04
Aplastic anemia	284.0	0.15	0.12	0.12
Alcohol-related disorders	317.0	1.68	2.08	1.18
Abnormality of gait	350.2	0.65	0.71	0.44
Chorioretinal scars	363.3	0.03	0.0	0.03
Somatoform disorder	303.4	0.04	0.04	0.02
Other mental disorder	306.0	10.17	0.72	8.03
Swelling of limb	771.1	0.25	0.11	0.08
Acute pancreatitis	577.1	0.34	0.45	0.44
Femoral hernia	550.3	0.2	0.18	0.17
Secondary malignant neoplasm of liver	198.4	0.94	0.99	1.04
Other hypertrophic and atrophic conditions of skin	701.0	0.47	0.25	0.54
Symptomatic menopause	627.2	0.05	0.01	0.03
Cancer of bronchus; lung	165.1	0.73	1.02	0.65
Open wound of nose and sinus	870.4	0.08	0.06	0.03
Other inflammatory spondylopathies	715.0	0.12	0.01	0.05
Lack of coordination	350.3	0.11	0.05	0.1
Iatrogenic hypotension	458.2	0.08	0.09	0.05
Disturbances in tooth eruption	520.2	0.54	0.42	0.26
Separation of retinal layers	362.31	0.03	0.01	0.01
Facial nerve disorders [CN7]	352.2	0.27	0.18	0.29
