PheCode	Phenotype	Age	Prevalence	Case	Controls
255.11	Cushing's syndrome	Total	0.03	151	494804
255.11	Cushing's syndrome	35-44	0.02	9	51011
255.11	Cushing's syndrome	45-54	0.03	43	140504
255.11	Cushing's syndrome	55-64	0.03	73	209124
255.11	Cushing's syndrome	65-74	0.03	26	94165
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	Total	0.06	308	477326
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	35-44	0.02	9	50774
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	45-54	0.03	38	137994
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	55-64	0.08	161	200318
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	65-74	0.11	100	88240
527.8	Other specified diseases of the salivary glands	Total	0.04	175	492610
527.8	Other specified diseases of the salivary glands	35-44	0.02	9	50929
527.8	Other specified diseases of the salivary glands	45-54	0.03	40	139847
527.8	Other specified diseases of the salivary glands	55-64	0.04	87	207918
527.8	Other specified diseases of the salivary glands	65-74	0.04	39	93916
530.7	Gastroesophageal laceration-hemorrhage syndrome	Total	0.1	440	442592
530.7	Gastroesophageal laceration-hemorrhage syndrome	35-44	0.1	48	48306
530.7	Gastroesophageal laceration-hemorrhage syndrome	45-54	0.09	116	129474
530.7	Gastroesophageal laceration-hemorrhage syndrome	55-64	0.09	161	184543
530.7	Gastroesophageal laceration-hemorrhage syndrome	65-74	0.14	115	80269
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	Total	0.11	527	461001
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	35-44	0.04	20	48200
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	45-54	0.09	124	131857
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	55-64	0.12	237	194526
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	65-74	0.17	146	86418
278.1	Obesity	Total	3.82	19089	481189
278.1	Obesity	35-44	2.71	1396	50058
278.1	Obesity	45-54	3.46	4910	136826
278.1	Obesity	55-64	4.07	8597	202860
278.1	Obesity	65-74	4.38	4186	91445
420.1	Myocarditis	Total	0.03	165	495513
420.1	Myocarditis	35-44	0.02	12	51209
420.1	Myocarditis	45-54	0.03	42	140894
420.1	Myocarditis	55-64	0.03	69	209295
420.1	Myocarditis	65-74	0.04	42	94115
626.1	Irregular menstrual cycle/bleeding	Total	0.45	2115	463077
626.1	Irregular menstrual cycle/bleeding	35-44	0.61	284	46571
626.1	Irregular menstrual cycle/bleeding	45-54	0.69	889	127615
626.1	Irregular menstrual cycle/bleeding	55-64	0.41	811	197475
626.1	Irregular menstrual cycle/bleeding	65-74	0.14	131	91416
614.32	Chronic inflammatory pelvic disease	Total	0.11	549	489046
614.32	Chronic inflammatory pelvic disease	35-44	0.24	120	49424
614.32	Chronic inflammatory pelvic disease	45-54	0.17	227	137182
614.32	Chronic inflammatory pelvic disease	55-64	0.08	158	207867
614.32	Chronic inflammatory pelvic disease	65-74	0.05	44	94573
134.1	Intestinal helminthiases	Total	0.03	167	499505
134.1	Intestinal helminthiases	35-44	0.06	30	51374
134.1	Intestinal helminthiases	45-54	0.04	53	141512
134.1	Intestinal helminthiases	55-64	0.03	56	211147
134.1	Intestinal helminthiases	65-74	0.03	28	95472
155.0	Cancer of liver and intrahepatic bile duct	Total	0.09	412	477326
155.0	Cancer of liver and intrahepatic bile duct	35-44	0.02	8	50774
155.0	Cancer of liver and intrahepatic bile duct	45-54	0.04	62	137994
155.0	Cancer of liver and intrahepatic bile duct	55-64	0.09	189	200318
155.0	Cancer of liver and intrahepatic bile duct	65-74	0.17	153	88240
507.0	Pleurisy; pleural effusion	Total	2.08	10264	482092
507.0	Pleurisy; pleural effusion	35-44	0.74	378	50757
507.0	Pleurisy; pleural effusion	45-54	1.11	1556	138991
507.0	Pleurisy; pleural effusion	55-64	2.19	4551	203324
507.0	Pleurisy; pleural effusion	65-74	4.07	3779	89020
202.0	Cancer of other lymphoid, histiocytic tissue	Total	0.35	1723	494261
202.0	Cancer of other lymphoid, histiocytic tissue	35-44	0.18	91	51198
202.0	Cancer of other lymphoid, histiocytic tissue	45-54	0.23	324	140732
202.0	Cancer of other lymphoid, histiocytic tissue	55-64	0.38	798	208694
202.0	Cancer of other lymphoid, histiocytic tissue	65-74	0.54	510	93637
614.54	Abscess or ulceration of vulva	Total	0.07	347	489046
614.54	Abscess or ulceration of vulva	35-44	0.11	55	49424
614.54	Abscess or ulceration of vulva	45-54	0.09	119	137182
614.54	Abscess or ulceration of vulva	55-64	0.06	127	207867
614.54	Abscess or ulceration of vulva	65-74	0.05	46	94573
740.1	Osteoarthritis; localized	Total	2.9	13979	468627
740.1	Osteoarthritis; localized	35-44	0.55	280	50732
740.1	Osteoarthritis; localized	45-54	1.39	1930	137277
740.1	Osteoarthritis; localized	55-64	3.35	6798	196114
740.1	Osteoarthritis; localized	65-74	5.56	4971	84504
286.11	Von willebrand's disease	Total	0.03	151	496348
286.11	Von willebrand's disease	35-44	0.04	19	51166
286.11	Von willebrand's disease	45-54	0.03	39	140910
286.11	Von willebrand's disease	55-64	0.03	71	209767
286.11	Von willebrand's disease	65-74	0.02	22	94505
217.1	Nevus, non-neoplastic	Total	0.16	790	488548
217.1	Nevus, non-neoplastic	35-44	0.08	38	50324
217.1	Nevus, non-neoplastic	45-54	0.12	165	138515
217.1	Nevus, non-neoplastic	55-64	0.18	364	206441
217.1	Nevus, non-neoplastic	65-74	0.24	223	93268
165.0	Cancer within the respiratory system	Total	0.34	1702	496092
165.0	Cancer within the respiratory system	35-44	0.06	29	51403
165.0	Cancer within the respiratory system	45-54	0.13	190	141269
165.0	Cancer within the respiratory system	55-64	0.37	781	209454
165.0	Cancer within the respiratory system	65-74	0.74	702	93966
255.21	Glucocorticoid deficiency	Total	0.11	546	494804
255.21	Glucocorticoid deficiency	35-44	0.08	39	51011
255.21	Glucocorticoid deficiency	45-54	0.1	137	140504
255.21	Glucocorticoid deficiency	55-64	0.12	258	209124
255.21	Glucocorticoid deficiency	65-74	0.12	112	94165
337.0	Disorders of the autonomic nervous system	Total	0.06	268	480324
337.0	Disorders of the autonomic nervous system	35-44	0.04	19	50072
337.0	Disorders of the autonomic nervous system	45-54	0.04	51	137265
337.0	Disorders of the autonomic nervous system	55-64	0.07	133	202814
337.0	Disorders of the autonomic nervous system	65-74	0.07	65	90173
345.11	Generalized convulsive epilepsy	Total	0.13	615	480324
345.11	Generalized convulsive epilepsy	35-44	0.17	84	50072
345.11	Generalized convulsive epilepsy	45-54	0.13	177	137265
345.11	Generalized convulsive epilepsy	55-64	0.11	225	202814
345.11	Generalized convulsive epilepsy	65-74	0.14	129	90173
290.11	Alzheimer's disease	Total	0.19	938	489014
290.11	Alzheimer's disease	35-44	0.01	3	50975
290.11	Alzheimer's disease	45-54	0.02	31	140100
290.11	Alzheimer's disease	55-64	0.17	342	206745
290.11	Alzheimer's disease	65-74	0.61	562	91194
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	Total	0.24	1168	490289
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	35-44	1.62	750	45538
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	45-54	0.3	415	137676
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	55-64	0.0	3	211421
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	65-74	0.0	0	95654
743.11	Osteoporosis NOS	Total	1.17	5856	494239
743.11	Osteoporosis NOS	35-44	0.19	98	51352
743.11	Osteoporosis NOS	45-54	0.47	661	141063
743.11	Osteoporosis NOS	55-64	1.31	2779	208573
743.11	Osteoporosis NOS	65-74	2.43	2318	93251
289.4	Lymphadenitis	Total	0.81	3971	489304
289.4	Lymphadenitis	35-44	0.6	306	50748
289.4	Lymphadenitis	45-54	0.64	901	139371
289.4	Lymphadenitis	55-64	0.85	1771	206419
289.4	Lymphadenitis	65-74	1.06	993	92766
550.5	Ventral hernia	Total	1.12	4908	434812
550.5	Ventral hernia	35-44	0.65	315	48295
550.5	Ventral hernia	45-54	0.83	1081	129133
550.5	Ventral hernia	55-64	1.2	2199	180775
550.5	Ventral hernia	65-74	1.69	1313	76609
804.0	Fracture of hand or wrist	Total	0.14	716	495626
804.0	Fracture of hand or wrist	35-44	0.19	97	51087
804.0	Fracture of hand or wrist	45-54	0.15	206	140641
804.0	Fracture of hand or wrist	55-64	0.13	276	209460
804.0	Fracture of hand or wrist	65-74	0.14	137	94438
425.12	Other hypertrophic cardiomyopathy	Total	0.06	287	495513
425.12	Other hypertrophic cardiomyopathy	35-44	0.04	20	51209
425.12	Other hypertrophic cardiomyopathy	45-54	0.04	63	140894
425.12	Other hypertrophic cardiomyopathy	55-64	0.07	137	209295
425.12	Other hypertrophic cardiomyopathy	65-74	0.07	67	94115
575.1	Cholangitis	Total	0.17	821	476419
575.1	Cholangitis	35-44	0.03	17	49915
575.1	Cholangitis	45-54	0.1	138	136328
575.1	Cholangitis	55-64	0.19	379	200585
575.1	Cholangitis	65-74	0.32	287	89591
442.11	Abdominal aortic aneurysm	Total	0.29	1423	488142
442.11	Abdominal aortic aneurysm	35-44	0.01	3	51100
442.11	Abdominal aortic aneurysm	45-54	0.03	38	140019
442.11	Abdominal aortic aneurysm	55-64	0.27	556	205978
442.11	Abdominal aortic aneurysm	65-74	0.9	826	91045
531.3	Duodenal ulcer	Total	0.8	3948	489950
531.3	Duodenal ulcer	35-44	0.34	172	51040
531.3	Duodenal ulcer	45-54	0.57	803	139771
531.3	Duodenal ulcer	55-64	0.87	1805	206653
531.3	Duodenal ulcer	65-74	1.25	1168	92486
788.0	Syncope and collapse	Total	2.66	13306	487122
788.0	Syncope and collapse	35-44	1.34	689	50784
788.0	Syncope and collapse	45-54	1.84	2604	139177
788.0	Syncope and collapse	55-64	2.75	5815	205703
788.0	Syncope and collapse	65-74	4.39	4198	91458
365.11	Primary open angle glaucoma	Total	0.38	1857	482838
365.11	Primary open angle glaucoma	35-44	0.05	26	51059
365.11	Primary open angle glaucoma	45-54	0.12	167	139521
365.11	Primary open angle glaucoma	55-64	0.41	836	203258
365.11	Primary open angle glaucoma	65-74	0.92	828	89000
459.9	Circulatory disease NEC	Total	5.1	25141	467602
459.9	Circulatory disease NEC	35-44	1.86	953	50186
459.9	Circulatory disease NEC	45-54	2.85	4005	136518
459.9	Circulatory disease NEC	55-64	5.46	11349	196669
459.9	Circulatory disease NEC	65-74	9.49	8834	84229
835.0	Internal derangement of knee	Total	1.04	5167	492462
835.0	Internal derangement of knee	35-44	1.0	512	50622
835.0	Internal derangement of knee	45-54	1.11	1559	139424
835.0	Internal derangement of knee	55-64	1.05	2202	208222
835.0	Internal derangement of knee	65-74	0.94	894	94194
214.1	Lipoma of skin and subcutaneous tissue	Total	1.35	6685	490213
214.1	Lipoma of skin and subcutaneous tissue	35-44	1.07	550	50698
214.1	Lipoma of skin and subcutaneous tissue	45-54	1.32	1865	139100
214.1	Lipoma of skin and subcutaneous tissue	55-64	1.43	2999	206887
214.1	Lipoma of skin and subcutaneous tissue	65-74	1.34	1271	93528
191.11	Cancer of brain	Total	0.14	719	497969
191.11	Cancer of brain	35-44	0.09	46	51346
191.11	Cancer of brain	45-54	0.1	148	141264
191.11	Cancer of brain	55-64	0.17	352	210326
191.11	Cancer of brain	65-74	0.18	173	95033
724.9	Other unspecified back disorders	Total	0.14	683	487642
724.9	Other unspecified back disorders	35-44	0.1	51	50485
724.9	Other unspecified back disorders	45-54	0.1	143	138806
724.9	Other unspecified back disorders	55-64	0.15	315	205913
724.9	Other unspecified back disorders	65-74	0.19	174	92438
783.0	Fever of unknown origin	Total	1.19	5945	494483
783.0	Fever of unknown origin	35-44	0.89	457	51016
783.0	Fever of unknown origin	45-54	0.99	1408	140373
783.0	Fever of unknown origin	55-64	1.23	2602	208916
783.0	Fever of unknown origin	65-74	1.55	1478	94178
426.8	Other cardiac conduction disorders	Total	0.02	100	458792
426.8	Other cardiac conduction disorders	35-44	0.01	4	50067
426.8	Other cardiac conduction disorders	45-54	0.02	21	135573
426.8	Other cardiac conduction disorders	55-64	0.02	38	192722
426.8	Other cardiac conduction disorders	65-74	0.05	37	80430
250.6	Polyneuropathy in diabetes	Total	0.14	666	468659
250.6	Polyneuropathy in diabetes	35-44	0.04	22	50183
250.6	Polyneuropathy in diabetes	45-54	0.1	139	135840
250.6	Polyneuropathy in diabetes	55-64	0.15	297	196931
250.6	Polyneuropathy in diabetes	65-74	0.24	208	85705
366.1	Nonsenile Cataract	Total	0.02	112	466454
366.1	Nonsenile Cataract	35-44	0.01	5	51074
366.1	Nonsenile Cataract	45-54	0.02	32	138954
366.1	Nonsenile Cataract	55-64	0.02	48	196330
366.1	Nonsenile Cataract	65-74	0.03	27	80096
411.4	Coronary atherosclerosis	Total	5.77	27892	455461
411.4	Coronary atherosclerosis	35-44	0.95	484	50577
411.4	Coronary atherosclerosis	45-54	2.58	3602	135749
411.4	Coronary atherosclerosis	55-64	6.58	13392	190152
411.4	Coronary atherosclerosis	65-74	11.65	10414	78983
537.0	Other disorders of stomach and duodenum	Total	1.11	5112	455544
537.0	Other disorders of stomach and duodenum	35-44	0.45	220	49217
537.0	Other disorders of stomach and duodenum	45-54	0.79	1058	132211
537.0	Other disorders of stomach and duodenum	55-64	1.21	2340	190598
537.0	Other disorders of stomach and duodenum	65-74	1.76	1494	83518
681.2	Cellulitis and abscess of face/neck	Total	0.14	701	484382
681.2	Cellulitis and abscess of face/neck	35-44	0.12	61	50107
681.2	Cellulitis and abscess of face/neck	45-54	0.13	176	137767
681.2	Cellulitis and abscess of face/neck	55-64	0.16	327	204648
681.2	Cellulitis and abscess of face/neck	65-74	0.15	137	91860
550.2	Diaphragmatic hernia	Total	8.26	39144	434812
550.2	Diaphragmatic hernia	35-44	3.31	1652	48295
550.2	Diaphragmatic hernia	45-54	5.44	7423	129133
550.2	Diaphragmatic hernia	55-64	9.31	18552	180775
550.2	Diaphragmatic hernia	65-74	13.07	11517	76609
292.0	Neurological disorders	Total	0.17	829	489014
292.0	Neurological disorders	35-44	0.05	25	50975
292.0	Neurological disorders	45-54	0.09	122	140100
292.0	Neurological disorders	55-64	0.17	355	206745
292.0	Neurological disorders	65-74	0.36	327	91194
117.0	Mycoses	Total	0.04	215	496017
117.0	Mycoses	35-44	0.04	19	51171
117.0	Mycoses	45-54	0.03	44	140941
117.0	Mycoses	55-64	0.04	90	209561
117.0	Mycoses	65-74	0.07	62	94344
480.5	Bronchopneumonia and lung abscess	Total	0.12	603	483389
480.5	Bronchopneumonia and lung abscess	35-44	0.06	31	50666
480.5	Bronchopneumonia and lung abscess	45-54	0.06	90	138919
480.5	Bronchopneumonia and lung abscess	55-64	0.14	277	204018
480.5	Bronchopneumonia and lung abscess	65-74	0.23	205	89786
242.3	Exophthalmos	Total	0.04	175	474858
242.3	Exophthalmos	35-44	0.04	18	50119
242.3	Exophthalmos	45-54	0.03	45	136454
242.3	Exophthalmos	55-64	0.04	76	199504
242.3	Exophthalmos	65-74	0.04	36	88781
216.0	Benign neoplasm of skin	Total	2.21	11061	488548
216.0	Benign neoplasm of skin	35-44	2.15	1107	50324
216.0	Benign neoplasm of skin	45-54	2.18	3081	138515
216.0	Benign neoplasm of skin	55-64	2.23	4711	206441
216.0	Benign neoplasm of skin	65-74	2.27	2162	93268
604.0	Disorders of penis	Total	0.22	1043	472891
604.0	Disorders of penis	35-44	0.18	92	50327
604.0	Disorders of penis	45-54	0.18	243	137561
604.0	Disorders of penis	55-64	0.22	441	198939
604.0	Disorders of penis	65-74	0.31	267	86064
601.8	Other inflammatory disorders of male genital organs	Total	0.08	386	474083
601.8	Other inflammatory disorders of male genital organs	35-44	0.06	29	51101
601.8	Other inflammatory disorders of male genital organs	45-54	0.06	85	139132
601.8	Other inflammatory disorders of male genital organs	55-64	0.08	158	198841
601.8	Other inflammatory disorders of male genital organs	65-74	0.13	114	85009
426.3	Bundle branch block	Total	0.1	479	458792
426.3	Bundle branch block	35-44	0.02	8	50067
426.3	Bundle branch block	45-54	0.03	45	135573
426.3	Bundle branch block	55-64	0.11	210	192722
426.3	Bundle branch block	65-74	0.27	216	80430
370.0	Keratitis	Total	0.04	188	486857
370.0	Keratitis	35-44	0.02	10	50723
370.0	Keratitis	45-54	0.03	45	139031
370.0	Keratitis	55-64	0.04	85	205349
370.0	Keratitis	65-74	0.05	48	91754
385.3	Cholesteatoma	Total	0.14	714	495303
385.3	Cholesteatoma	35-44	0.11	56	51066
385.3	Cholesteatoma	45-54	0.12	174	140466
385.3	Cholesteatoma	55-64	0.15	319	209247
385.3	Cholesteatoma	65-74	0.17	165	94524
333.0	Extrapyramidal disease and abnormal movement disorders	Total	0.11	532	480324
333.0	Extrapyramidal disease and abnormal movement disorders	35-44	0.05	25	50072
333.0	Extrapyramidal disease and abnormal movement disorders	45-54	0.08	112	137265
333.0	Extrapyramidal disease and abnormal movement disorders	55-64	0.12	245	202814
333.0	Extrapyramidal disease and abnormal movement disorders	65-74	0.17	150	90173
697.0	Sarcoidosis	Total	0.18	874	494289
697.0	Sarcoidosis	35-44	0.12	60	51050
697.0	Sarcoidosis	45-54	0.18	260	140311
697.0	Sarcoidosis	55-64	0.19	389	208800
697.0	Sarcoidosis	65-74	0.17	165	94128
965.3	Salicylates causing adverse effects in therapeutic use	Total	0.11	499	461001
965.3	Salicylates causing adverse effects in therapeutic use	35-44	0.11	54	48200
965.3	Salicylates causing adverse effects in therapeutic use	45-54	0.1	133	131857
965.3	Salicylates causing adverse effects in therapeutic use	55-64	0.1	198	194526
965.3	Salicylates causing adverse effects in therapeutic use	65-74	0.13	114	86418
338.1	Acute pain	Total	0.12	597	499238
338.1	Acute pain	35-44	0.09	48	51366
338.1	Acute pain	45-54	0.1	148	141444
338.1	Acute pain	55-64	0.12	248	211032
338.1	Acute pain	65-74	0.16	153	95396
420.3	Endocarditis	Total	0.21	1061	495513
420.3	Endocarditis	35-44	0.08	43	51209
420.3	Endocarditis	45-54	0.11	152	140894
420.3	Endocarditis	55-64	0.22	471	209295
420.3	Endocarditis	65-74	0.42	395	94115
433.1	Occlusion and stenosis of precerebral arteries	Total	0.31	1517	485596
433.1	Occlusion and stenosis of precerebral arteries	35-44	0.03	16	51070
433.1	Occlusion and stenosis of precerebral arteries	45-54	0.1	144	139684
433.1	Occlusion and stenosis of precerebral arteries	55-64	0.31	644	204931
433.1	Occlusion and stenosis of precerebral arteries	65-74	0.79	713	89911
300.13	Phobia	Total	0.23	1010	441655
300.13	Phobia	35-44	0.15	74	47941
300.13	Phobia	45-54	0.17	221	130046
300.13	Phobia	55-64	0.23	425	184821
