PheCode	Phenotype	Age	Prevalence	Case	Controls
472.0	Chronic pharyngitis and nasopharyngitis	England	0.27	1136	421847
472.0	Chronic pharyngitis and nasopharyngitis	Scotland	0.19	64	34033
472.0	Chronic pharyngitis and nasopharyngitis	Wales	0.19	37	19669
722.9	Other and unspecified disc disorder	Total	1.17	5754	487642
722.9	Other and unspecified disc disorder	England	1.23	5376	431958
722.9	Other and unspecified disc disorder	Scotland	0.39	137	35400
722.9	Other and unspecified disc disorder	Wales	1.17	241	20284
199.0	Neoplasm of uncertain behavior	Total	0.36	1618	447279
199.0	Neoplasm of uncertain behavior	England	0.37	1480	395829
199.0	Neoplasm of uncertain behavior	Scotland	0.27	89	32720
199.0	Neoplasm of uncertain behavior	Wales	0.26	49	18730
198.1	Secondary malignancy of lymph nodes	Total	1.79	8133	447279
198.1	Secondary malignancy of lymph nodes	England	1.78	7154	395829
198.1	Secondary malignancy of lymph nodes	Scotland	1.86	620	32720
198.1	Secondary malignancy of lymph nodes	Wales	1.88	359	18730
873.0	Broken tooth	Total	0.03	129	488645
873.0	Broken tooth	England	0.03	122	433476
873.0	Broken tooth	Scotland	0.01	5	34867
873.0	Broken tooth	Wales	0.01	2	20302
255.11	Cushing's syndrome	Total	0.03	151	494804
255.11	Cushing's syndrome	England	0.03	131	438977
255.11	Cushing's syndrome	Scotland	0.04	13	35362
255.11	Cushing's syndrome	Wales	0.03	7	20465
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	Total	0.06	308	477326
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	England	0.06	270	423298
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	Scotland	0.08	27	34178
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	Wales	0.06	11	19850
527.8	Other specified diseases of the salivary glands	Total	0.04	175	492610
527.8	Other specified diseases of the salivary glands	England	0.04	163	436800
527.8	Other specified diseases of the salivary glands	Scotland	0.03	10	35337
527.8	Other specified diseases of the salivary glands	Wales	0.01	2	20473
530.7	Gastroesophageal laceration-hemorrhage syndrome	Total	0.1	440	442592
530.7	Gastroesophageal laceration-hemorrhage syndrome	England	0.1	383	391270
530.7	Gastroesophageal laceration-hemorrhage syndrome	Scotland	0.12	40	32758
530.7	Gastroesophageal laceration-hemorrhage syndrome	Wales	0.09	17	18564
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	Total	0.11	527	461001
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	England	0.12	494	408001
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	Scotland	0.04	15	34601
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	Wales	0.1	18	18399
278.1	Obesity	Total	3.82	19089	481189
278.1	Obesity	England	4.11	18252	425670
278.1	Obesity	Scotland	1.16	415	35233
278.1	Obesity	Wales	2.04	422	20286
420.1	Myocarditis	Total	0.03	165	495513
420.1	Myocarditis	England	0.03	151	439597
420.1	Myocarditis	Scotland	0.02	8	35395
420.1	Myocarditis	Wales	0.03	6	20521
626.1	Irregular menstrual cycle/bleeding	Total	0.45	2115	463077
626.1	Irregular menstrual cycle/bleeding	England	0.45	1840	410816
626.1	Irregular menstrual cycle/bleeding	Scotland	0.54	181	33335
626.1	Irregular menstrual cycle/bleeding	Wales	0.49	94	18926
614.32	Chronic inflammatory pelvic disease	Total	0.11	549	489046
614.32	Chronic inflammatory pelvic disease	England	0.12	514	433752
614.32	Chronic inflammatory pelvic disease	Scotland	0.04	15	35155
614.32	Chronic inflammatory pelvic disease	Wales	0.1	20	20139
134.1	Intestinal helminthiases	Total	0.03	167	499505
134.1	Intestinal helminthiases	England	0.03	148	443206
134.1	Intestinal helminthiases	Scotland	0.04	14	35609
134.1	Intestinal helminthiases	Wales	0.02	5	20690
155.0	Cancer of liver and intrahepatic bile duct	Total	0.09	412	477326
155.0	Cancer of liver and intrahepatic bile duct	England	0.09	366	423298
155.0	Cancer of liver and intrahepatic bile duct	Scotland	0.09	30	34178
155.0	Cancer of liver and intrahepatic bile duct	Wales	0.08	16	19850
507.0	Pleurisy; pleural effusion	Total	2.08	10264	482092
507.0	Pleurisy; pleural effusion	England	2.1	9188	427822
507.0	Pleurisy; pleural effusion	Scotland	1.92	669	34254
507.0	Pleurisy; pleural effusion	Wales	1.99	407	20016
202.0	Cancer of other lymphoid, histiocytic tissue	Total	0.35	1723	494261
202.0	Cancer of other lymphoid, histiocytic tissue	England	0.36	1594	438529
202.0	Cancer of other lymphoid, histiocytic tissue	Scotland	0.19	66	35238
202.0	Cancer of other lymphoid, histiocytic tissue	Wales	0.31	63	20494
614.54	Abscess or ulceration of vulva	Total	0.07	347	489046
614.54	Abscess or ulceration of vulva	England	0.07	308	433752
614.54	Abscess or ulceration of vulva	Scotland	0.06	20	35155
614.54	Abscess or ulceration of vulva	Wales	0.09	19	20139
740.1	Osteoarthritis; localized	Total	2.9	13979	468627
740.1	Osteoarthritis; localized	England	3.05	13054	415349
740.1	Osteoarthritis; localized	Scotland	1.11	379	33643
740.1	Osteoarthritis; localized	Wales	2.71	546	19635
286.11	Von willebrand's disease	Total	0.03	151	496348
286.11	Von willebrand's disease	England	0.03	139	440363
286.11	Von willebrand's disease	Scotland	0.03	9	35417
286.11	Von willebrand's disease	Wales	0.01	3	20568
217.1	Nevus, non-neoplastic	Total	0.16	790	488548
217.1	Nevus, non-neoplastic	England	0.14	589	433320
217.1	Nevus, non-neoplastic	Scotland	0.45	157	34961
217.1	Nevus, non-neoplastic	Wales	0.22	44	20267
165.0	Cancer within the respiratory system	Total	0.34	1702	496092
165.0	Cancer within the respiratory system	England	0.34	1515	440288
165.0	Cancer within the respiratory system	Scotland	0.37	131	35249
165.0	Cancer within the respiratory system	Wales	0.27	56	20555
255.21	Glucocorticoid deficiency	Total	0.11	546	494804
255.21	Glucocorticoid deficiency	England	0.11	490	438977
255.21	Glucocorticoid deficiency	Scotland	0.08	29	35362
255.21	Glucocorticoid deficiency	Wales	0.13	27	20465
337.0	Disorders of the autonomic nervous system	Total	0.06	268	480324
337.0	Disorders of the autonomic nervous system	England	0.06	248	425910
337.0	Disorders of the autonomic nervous system	Scotland	0.03	10	34483
337.0	Disorders of the autonomic nervous system	Wales	0.05	10	19931
345.11	Generalized convulsive epilepsy	Total	0.13	615	480324
345.11	Generalized convulsive epilepsy	England	0.13	561	425910
345.11	Generalized convulsive epilepsy	Scotland	0.1	36	34483
345.11	Generalized convulsive epilepsy	Wales	0.09	18	19931
290.11	Alzheimer's disease	Total	0.19	938	489014
290.11	Alzheimer's disease	England	0.2	858	433723
290.11	Alzheimer's disease	Scotland	0.14	49	34965
290.11	Alzheimer's disease	Wales	0.15	31	20326
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	Total	0.24	1168	490289
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	England	0.26	1119	434697
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	Scotland	0.0	0	35227
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	Wales	0.24	49	20365
743.11	Osteoporosis NOS	Total	1.17	5856	494239
743.11	Osteoporosis NOS	England	1.28	5692	438048
743.11	Osteoporosis NOS	Scotland	0.09	33	35615
743.11	Osteoporosis NOS	Wales	0.63	131	20576
289.4	Lymphadenitis	Total	0.81	3971	489304
289.4	Lymphadenitis	England	0.81	3551	434173
289.4	Lymphadenitis	Scotland	0.75	263	34853
289.4	Lymphadenitis	Wales	0.77	157	20278
550.5	Ventral hernia	Total	1.12	4908	434812
550.5	Ventral hernia	England	1.13	4395	384456
550.5	Ventral hernia	Scotland	1.02	329	31988
550.5	Ventral hernia	Wales	0.99	184	18368
804.0	Fracture of hand or wrist	Total	0.14	716	495626
804.0	Fracture of hand or wrist	England	0.16	698	439482
804.0	Fracture of hand or wrist	Scotland	0.04	13	35498
804.0	Fracture of hand or wrist	Wales	0.02	5	20646
425.12	Other hypertrophic cardiomyopathy	Total	0.06	287	495513
425.12	Other hypertrophic cardiomyopathy	England	0.06	262	439597
425.12	Other hypertrophic cardiomyopathy	Scotland	0.04	13	35395
425.12	Other hypertrophic cardiomyopathy	Wales	0.06	12	20521
575.1	Cholangitis	Total	0.17	821	476419
575.1	Cholangitis	England	0.18	748	422984
575.1	Cholangitis	Scotland	0.13	44	33758
575.1	Cholangitis	Wales	0.15	29	19677
442.11	Abdominal aortic aneurysm	Total	0.29	1423	488142
442.11	Abdominal aortic aneurysm	England	0.3	1307	433025
442.11	Abdominal aortic aneurysm	Scotland	0.21	75	34819
442.11	Abdominal aortic aneurysm	Wales	0.2	41	20298
531.3	Duodenal ulcer	Total	0.8	3948	489950
531.3	Duodenal ulcer	England	0.82	3571	434502
531.3	Duodenal ulcer	Scotland	0.72	254	35043
531.3	Duodenal ulcer	Wales	0.6	123	20405
788.0	Syncope and collapse	Total	2.66	13306	487122
788.0	Syncope and collapse	England	2.67	11865	432196
788.0	Syncope and collapse	Scotland	2.47	882	34773
788.0	Syncope and collapse	Wales	2.7	559	20153
365.11	Primary open angle glaucoma	Total	0.38	1857	482838
365.11	Primary open angle glaucoma	England	0.4	1710	427807
365.11	Primary open angle glaucoma	Scotland	0.25	86	34924
365.11	Primary open angle glaucoma	Wales	0.3	61	20107
459.9	Circulatory disease NEC	Total	5.1	25141	467602
459.9	Circulatory disease NEC	England	5.29	23113	413927
459.9	Circulatory disease NEC	Scotland	2.78	982	34312
459.9	Circulatory disease NEC	Wales	5.13	1046	19363
835.0	Internal derangement of knee	Total	1.04	5167	492462
835.0	Internal derangement of knee	England	1.1	4836	436747
835.0	Internal derangement of knee	Scotland	0.45	159	35309
835.0	Internal derangement of knee	Wales	0.84	172	20406
214.1	Lipoma of skin and subcutaneous tissue	Total	1.35	6685	490213
214.1	Lipoma of skin and subcutaneous tissue	England	1.37	6053	434858
214.1	Lipoma of skin and subcutaneous tissue	Scotland	1.14	403	34999
214.1	Lipoma of skin and subcutaneous tissue	Wales	1.11	229	20356
191.11	Cancer of brain	Total	0.14	719	497969
191.11	Cancer of brain	England	0.14	617	441877
191.11	Cancer of brain	Scotland	0.19	67	35475
191.11	Cancer of brain	Wales	0.17	35	20617
724.9	Other unspecified back disorders	Total	0.14	683	487642
724.9	Other unspecified back disorders	England	0.15	654	431958
724.9	Other unspecified back disorders	Scotland	0.03	12	35400
724.9	Other unspecified back disorders	Wales	0.08	17	20284
783.0	Fever of unknown origin	Total	1.19	5945	494483
783.0	Fever of unknown origin	England	1.19	5302	438759
783.0	Fever of unknown origin	Scotland	1.03	366	35289
783.0	Fever of unknown origin	Wales	1.34	277	20435
426.8	Other cardiac conduction disorders	Total	0.02	100	458792
426.8	Other cardiac conduction disorders	England	0.02	91	406604
426.8	Other cardiac conduction disorders	Scotland	0.02	5	33194
426.8	Other cardiac conduction disorders	Wales	0.02	4	18994
250.6	Polyneuropathy in diabetes	Total	0.14	666	468659
250.6	Polyneuropathy in diabetes	England	0.15	609	415021
250.6	Polyneuropathy in diabetes	Scotland	0.07	23	34260
250.6	Polyneuropathy in diabetes	Wales	0.18	34	19378
366.1	Nonsenile Cataract	Total	0.02	112	466454
366.1	Nonsenile Cataract	England	0.03	111	413645
366.1	Nonsenile Cataract	Scotland	0.0	0	33175
366.1	Nonsenile Cataract	Wales	0.01	1	19634
411.4	Coronary atherosclerosis	Total	5.77	27892	455461
411.4	Coronary atherosclerosis	England	5.77	24702	403764
411.4	Coronary atherosclerosis	Scotland	5.97	2076	32671
411.4	Coronary atherosclerosis	Wales	5.53	1114	19026
537.0	Other disorders of stomach and duodenum	Total	1.11	5112	455544
537.0	Other disorders of stomach and duodenum	England	1.13	4615	402947
537.0	Other disorders of stomach and duodenum	Scotland	0.94	315	33296
537.0	Other disorders of stomach and duodenum	Wales	0.93	182	19301
681.2	Cellulitis and abscess of face/neck	Total	0.14	701	484382
681.2	Cellulitis and abscess of face/neck	England	0.14	621	429783
681.2	Cellulitis and abscess of face/neck	Scotland	0.16	56	34528
681.2	Cellulitis and abscess of face/neck	Wales	0.12	24	20071
550.2	Diaphragmatic hernia	Total	8.26	39144	434812
550.2	Diaphragmatic hernia	England	8.56	35987	384456
550.2	Diaphragmatic hernia	Scotland	5.45	1843	31988
550.2	Diaphragmatic hernia	Wales	6.68	1314	18368
292.0	Neurological disorders	Total	0.17	829	489014
292.0	Neurological disorders	England	0.18	766	433723
292.0	Neurological disorders	Scotland	0.13	44	34965
292.0	Neurological disorders	Wales	0.09	19	20326
117.0	Mycoses	Total	0.04	215	496017
117.0	Mycoses	England	0.05	201	440026
117.0	Mycoses	Scotland	0.02	7	35447
117.0	Mycoses	Wales	0.03	7	20544
480.5	Bronchopneumonia and lung abscess	Total	0.12	603	483389
480.5	Bronchopneumonia and lung abscess	England	0.12	513	428850
480.5	Bronchopneumonia and lung abscess	Scotland	0.18	63	34498
480.5	Bronchopneumonia and lung abscess	Wales	0.13	27	20041
242.3	Exophthalmos	Total	0.04	175	474858
242.3	Exophthalmos	England	0.04	153	420321
242.3	Exophthalmos	Scotland	0.03	11	34885
242.3	Exophthalmos	Wales	0.06	11	19652
216.0	Benign neoplasm of skin	Total	2.21	11061	488548
216.0	Benign neoplasm of skin	England	2.29	10138	433320
216.0	Benign neoplasm of skin	Scotland	1.48	525	34961
216.0	Benign neoplasm of skin	Wales	1.93	398	20267
604.0	Disorders of penis	Total	0.22	1043	472891
604.0	Disorders of penis	England	0.23	966	419419
604.0	Disorders of penis	Scotland	0.12	39	33775
604.0	Disorders of penis	Wales	0.19	38	19697
601.8	Other inflammatory disorders of male genital organs	Total	0.08	386	474083
601.8	Other inflammatory disorders of male genital organs	England	0.08	340	420440
601.8	Other inflammatory disorders of male genital organs	Scotland	0.1	33	33932
601.8	Other inflammatory disorders of male genital organs	Wales	0.07	13	19711
426.3	Bundle branch block	Total	0.1	479	458792
426.3	Bundle branch block	England	0.11	443	406604
426.3	Bundle branch block	Scotland	0.06	21	33194
426.3	Bundle branch block	Wales	0.08	15	18994
370.0	Keratitis	Total	0.04	188	486857
370.0	Keratitis	England	0.04	173	431568
370.0	Keratitis	Scotland	0.03	9	35034
370.0	Keratitis	Wales	0.03	6	20255
385.3	Cholesteatoma	Total	0.14	714	495303
385.3	Cholesteatoma	England	0.14	634	439470
385.3	Cholesteatoma	Scotland	0.14	48	35319
385.3	Cholesteatoma	Wales	0.16	32	20514
333.0	Extrapyramidal disease and abnormal movement disorders	Total	0.11	532	480324
333.0	Extrapyramidal disease and abnormal movement disorders	England	0.12	509	425910
333.0	Extrapyramidal disease and abnormal movement disorders	Scotland	0.03	9	34483
333.0	Extrapyramidal disease and abnormal movement disorders	Wales	0.07	14	19931
697.0	Sarcoidosis	Total	0.18	874	494289
697.0	Sarcoidosis	England	0.18	784	438463
697.0	Sarcoidosis	Scotland	0.15	52	35347
697.0	Sarcoidosis	Wales	0.19	38	20479
965.3	Salicylates causing adverse effects in therapeutic use	Total	0.11	499	461001
965.3	Salicylates causing adverse effects in therapeutic use	England	0.11	449	408001
965.3	Salicylates causing adverse effects in therapeutic use	Scotland	0.09	30	34601
965.3	Salicylates causing adverse effects in therapeutic use	Wales	0.11	20	18399
338.1	Acute pain	Total	0.12	597	499238
338.1	Acute pain	England	0.13	558	442986
338.1	Acute pain	Scotland	0.06	21	35605
338.1	Acute pain	Wales	0.09	18	20647
420.3	Endocarditis	Total	0.21	1061	495513
420.3	Endocarditis	England	0.22	979	439597
420.3	Endocarditis	Scotland	0.12	41	35395
420.3	Endocarditis	Wales	0.2	41	20521
433.1	Occlusion and stenosis of precerebral arteries	Total	0.31	1517	485596
433.1	Occlusion and stenosis of precerebral arteries	England	0.31	1347	430981
433.1	Occlusion and stenosis of precerebral arteries	Scotland	0.34	117	34498
433.1	Occlusion and stenosis of precerebral arteries	Wales	0.26	53	20117
300.13	Phobia	Total	0.23	1010	441655
300.13	Phobia	England	0.26	995	388188
300.13	Phobia	Scotland	0.0	1	34823
300.13	Phobia	Wales	0.08	14	18644
579.2	Splenomegaly	Total	0.14	670	466397
579.2	Splenomegaly	England	0.15	604	413853
579.2	Splenomegaly	Scotland	0.1	34	33313
579.2	Splenomegaly	Wales	0.17	32	19231
454.11	Varicose veins of lower extremity, symptomtic	Total	0.23	1047	449158
454.11	Varicose veins of lower extremity, symptomtic	England	0.24	965	398385
454.11	Varicose veins of lower extremity, symptomtic	Scotland	0.15	49	32456
454.11	Varicose veins of lower extremity, symptomtic	Wales	0.18	33	18317
571.5	Other chronic nonalcoholic liver disease	Total	0.58	2848	486179
571.5	Other chronic nonalcoholic liver disease	England	0.61	2664	431148
571.5	Other chronic nonalcoholic liver disease	Scotland	0.38	131	34744
571.5	Other chronic nonalcoholic liver disease	Wales	0.26	53	20287
345.0	Epilepsy, recurrent seizures, convulsions	Total	0.96	4651	480324
345.0	Epilepsy, recurrent seizures, convulsions	England	0.99	4269	425910
345.0	Epilepsy, recurrent seizures, convulsions	Scotland	0.59	206	34483
345.0	Epilepsy, recurrent seizures, convulsions	Wales	0.88	176	19931
300.3	Obsessive-compulsive disorders	Total	0.05	224	441655
300.3	Obsessive-compulsive disorders	England	0.05	208	388188
300.3	Obsessive-compulsive disorders	Scotland	0.01	5	34823
300.3	Obsessive-compulsive disorders	Wales	0.06	11	18644
519.8	Other diseases of respiratory system, NEC	Total	2.74	13707	485913
519.8	Other diseases of respiratory system, NEC	England	2.71	12021	431307
519.8	Other diseases of respiratory system, NEC	Scotland	3.24	1152	34457
519.8	Other diseases of respiratory system, NEC	Wales	2.58	534	20149
381.1	Otitis media	Total	0.28	1392	495303
381.1	Otitis media	England	0.29	1266	439470
381.1	Otitis media	Scotland	0.22	77	35319
381.1	Otitis media	Wales	0.24	49	20514
198.5	Secondary malignancy of brain/spine	Total	0.29	1311	447279
198.5	Secondary malignancy of brain/spine	England	0.28	1127	395829
198.5	Secondary malignancy of brain/spine	Scotland	0.39	128	32720
198.5	Secondary malignancy of brain/spine	Wales	0.3	56	18730
285.22	Anemia in neoplastic disease	Total	0.14	651	470418
285.22	Anemia in neoplastic disease	England	0.14	576	416771
285.22	Anemia in neoplastic disease	Scotland	0.17	58	34088
285.22	Anemia in neoplastic disease	Wales	0.09	17	19559
189.2	Cancer of bladder	Total	0.22	1086	494561
189.2	Cancer of bladder	England	0.21	908	438816
189.2	Cancer of bladder	Scotland	0.37	132	35259
189.2	Cancer of bladder	Wales	0.22	46	20486
386.2	Peripheral or central vertigo	Total	0.13	648	491074
386.2	Peripheral or central vertigo	England	0.14	600	435522
386.2	Peripheral or central vertigo	Scotland	0.07	25	35167
386.2	Peripheral or central vertigo	Wales	0.11	23	20385
969.0	Poisoning by psychotropic agents	Total	0.52	2430	461001
969.0	Poisoning by psychotropic agents	England	0.5	2068	408001
969.0	Poisoning by psychotropic agents	Scotland	0.69	240	34601
969.0	Poisoning by psychotropic agents	Wales	0.66	122	18399
415.0	Pulmonary heart disease	Total	1.09	5393	490240
415.0	Pulmonary heart disease	England	1.09	4786	435009
415.0	Pulmonary heart disease	Scotland	1.15	405	34884
415.0	Pulmonary heart disease	Wales	0.98	202	20347
564.8	Abnormal findings on exam of gastrointestinal tract/ abdominal area	Total	0.66	2621	394601
564.8	Abnormal findings on exam of gastrointestinal tract/ abdominal area	England	0.68	2382	348434
564.8	Abnormal findings on exam of gastrointestinal tract/ abdominal area	Scotland	0.35	103	29182
564.8	Abnormal findings on exam of gastrointestinal tract/ abdominal area	Wales	0.79	136	16985
275.1	Disorders of iron metabolism	Total	0.2	972	496759
275.1	Disorders of iron metabolism	England	0.19	853	440760
275.1	Disorders of iron metabolism	Scotland	0.23	82	35423
275.1	Disorders of iron metabolism	Wales	0.18	37	20576
470.0	Septal Deviations/Turbinate Hypertrophy	Total	1.25	6011	475549
470.0	Septal Deviations/Turbinate Hypertrophy	England	1.28	5472	421847
470.0	Septal Deviations/Turbinate Hypertrophy	Scotland	0.89	306	34033
470.0	Septal Deviations/Turbinate Hypertrophy	Wales	1.17	233	19669
386.3	Labyrinthitis	Total	0.21	1048	491074
386.3	Labyrinthitis	England	0.21	927	435522
386.3	Labyrinthitis	Scotland	0.21	75	35167
386.3	Labyrinthitis	Wales	0.23	46	20385
938.2	Chronic dermatitis due to solar radiation	Total	0.08	377	494278
938.2	Chronic dermatitis due to solar radiation	England	0.08	360	438410
938.2	Chronic dermatitis due to solar radiation	Scotland	0.03	11	35375
938.2	Chronic dermatitis due to solar radiation	Wales	0.03	6	20493
871.3	Open wound of foot except toe(s) alone	Total	0.05	239	488645
871.3	Open wound of foot except toe(s) alone	England	0.05	218	433476
871.3	Open wound of foot except toe(s) alone	Scotland	0.04	14	34867
871.3	Open wound of foot except toe(s) alone	Wales	0.03	7	20302
473.3	Paralysis/spasm of vocal cords or larynx	Total	0.09	407	475549
473.3	Paralysis/spasm of vocal cords or larynx	England	0.09	369	421847
473.3	Paralysis/spasm of vocal cords or larynx	Scotland	0.08	27	34033
473.3	Paralysis/spasm of vocal cords or larynx	Wales	0.06	11	19669
560.4	Other intestinal obstruction	Total	1.23	4905	394601
560.4	Other intestinal obstruction	England	1.24	4369	348434
560.4	Other intestinal obstruction	Scotland	1.19	351	29182
560.4	Other intestinal obstruction	Wales	1.08	185	16985
184.0	Cancer of other female genital organs	Total	0.04	198	476572
184.0	Cancer of other female genital organs	England	0.04	188	422797
184.0	Cancer of other female genital organs	Scotland	0.01	4	34062
184.0	Cancer of other female genital organs	Wales	0.03	6	19713
360.2	Progressive myopia	Total	0.07	332	482838
360.2	Progressive myopia	England	0.08	323	427807
360.2	Progressive myopia	Scotland	0.0	1	34924
360.2	Progressive myopia	Wales	0.04	8	20107
735.0	Acquired foot deformities	Total	0.04	197	485349
