Phenotype	PheCode	1	2	3	4	5
Progressive myopia	360.2	0.07	0.07	0.07	0.08	0.05
Acquired foot deformities	735.0	0.04	0.04	0.04	0.04	0.04
Cholelithiasis with acute cholecystitis	574.11	0.36	0.43	0.46	0.5	0.57
Ectropion or entropion	374.1	0.32	0.32	0.3	0.31	0.36
Symptoms involving cardiovascular system	429.3	0.06	0.06	0.06	0.06	0.06
Rosacea	695.3	0.1	0.09	0.09	0.08	0.1
Diseases of pulp and periapical tissues	522.0	0.15	0.15	0.16	0.18	0.16
Carcinoma in situ of skin	172.3	0.26	0.21	0.22	0.2	0.17
stress incontinence, female	624.9	1.36	1.48	1.5	1.57	1.62
Hallux rigidus	735.23	0.44	0.44	0.42	0.39	0.39
Inflammation of eyelids	371.3	0.65	0.65	0.66	0.63	0.7
Infertility, female	626.8	0.29	0.24	0.29	0.31	0.28
Hyperemesis gravidarum	643.1	0.03	0.03	0.04	0.04	0.05
Dyspareunia	625.1	0.25	0.25	0.28	0.27	0.27
Peritoneal adhesions (postoperative) (postinfection)	568.1	0.91	1.03	1.01	1.06	1.23
Large cell lymphoma	202.24	0.19	0.17	0.17	0.17	0.17
Disorders of the globe	360.0	0.01	0.02	0.02	0.03	0.04
Varicose veins of lower extremity	454.1	2.65	2.82	2.91	2.98	3.06
Proteinuria	269.0	0.07	0.1	0.1	0.1	0.15
Corneal dystrophy	364.5	0.07	0.07	0.07	0.07	0.07
Hyperparathyroidism	252.1	0.22	0.26	0.22	0.26	0.29
Aortic aneurysm	442.1	0.17	0.19	0.19	0.19	0.2
Irritable Bowel Syndrome	564.1	1.78	1.84	1.91	2.0	2.63
Right bundle branch block	426.31	0.52	0.49	0.58	0.56	0.67
Acne	706.1	0.02	0.02	0.02	0.02	0.02
Normal delivery	650.0	0.52	0.49	0.48	0.54	0.61
Vascular disorders of skin	694.3	0.03	0.03	0.03	0.04	0.06
Other diseases of lung	510.0	0.23	0.23	0.29	0.32	0.4
Meniere's disease	386.1	0.14	0.18	0.17	0.17	0.16
Sacroiliitis NEC	715.1	0.02	0.02	0.03	0.02	0.03
Disorder of skin and subcutaneous tissue NOS	689.0	1.53	1.64	1.66	1.59	1.71
Ulcerative colitis	555.2	0.91	1.02	1.01	1.07	1.11
Other acquired deformities of limbs	736.0	0.05	0.09	0.1	0.08	0.09
Primary pulmonary hypertension	415.21	0.09	0.12	0.11	0.13	0.2
Anxiety disorders	300.0	0.07	0.08	0.08	0.1	0.24
Chondrocalcinosis	274.21	0.07	0.09	0.08	0.08	0.08
Poisoning by primarily systemic agents	963.0	0.04	0.05	0.05	0.04	0.1
Constipation	563.0	3.35	3.58	3.78	4.04	5.53
Major depressive disorder	296.22	0.08	0.09	0.12	0.13	0.22
Myopia	367.1	0.44	0.42	0.41	0.41	0.4
Cyst or abscess of Bartholin's gland	614.53	0.17	0.16	0.18	0.2	0.23
Cancer of prostate	185.0	2.02	1.99	1.95	1.66	1.59
Substance addiction and disorders	316.0	0.04	0.04	0.05	0.12	0.41
Diarrhea	561.1	0.17	0.2	0.18	0.24	0.2
Multiple gestation	651.0	0.09	0.1	0.09	0.11	0.08
Symptoms involving nervous and musculoskeletal systems	781.0	0.5	0.51	0.54	0.6	0.78
Benign neoplasm of parathyroid gland	227.2	0.1	0.11	0.11	0.11	0.13
Eosinophilia	288.3	0.03	0.02	0.02	0.02	0.02
Hyperpotassemia	276.13	0.26	0.3	0.32	0.37	0.57
Other abnormal blood chemistry	790.6	1.85	2.0	1.95	1.98	2.23
Symptoms and disorders of the joints	741.0	0.12	0.16	0.15	0.14	0.14
Corneal opacity	364.1	0.02	0.02	0.05	0.03	0.04
Polymyalgia Rheumatica	717.0	0.39	0.43	0.43	0.37	0.34
Pemphigus and pemphigoid	695.22	0.03	0.03	0.02	0.03	0.04
Cholecystitis without cholelithiasis	574.3	0.61	0.72	0.73	0.85	0.97
Malignant neoplasm of bladder	189.21	0.57	0.63	0.59	0.58	0.6
Bacterial pneumonia	480.1	0.22	0.25	0.26	0.31	0.51
Cerebral aneurysm	433.5	0.08	0.1	0.11	0.12	0.15
Cancer of oropharynx	149.1	0.04	0.05	0.07	0.07	0.12
Inflammatory disease of cervix, vagina, and vulva	614.5	0.04	0.04	0.05	0.04	0.04
Other disorders of eye	379.0	0.08	0.09	0.09	0.07	0.11
Cancer of tongue	145.2	0.07	0.09	0.07	0.08	0.11
Disorders of menstruation and other abnormal bleeding from female genital tract	626.0	0.36	0.39	0.44	0.48	0.55
Excessive or frequent menstruation	626.12	1.93	2.06	2.26	2.61	3.01
Other venous embolism and thrombosis	452.0	0.14	0.17	0.18	0.19	0.25
Allergic rhinitis	476.0	0.37	0.37	0.38	0.42	0.45
Nephrotic syndrome without mention of glomerulonephritis	580.2	0.11	0.12	0.13	0.19	0.27
Pneumoconiosis	500.2	0.05	0.06	0.07	0.07	0.14
Symptoms affecting skin	687.0	0.05	0.08	0.07	0.07	0.1
Gout	274.1	0.52	0.6	0.57	0.7	0.8
Hypothyroidism NOS	244.4	3.71	4.06	4.13	4.45	4.65
Chronic pain	338.2	0.08	0.09	0.1	0.12	0.21
Vitamin B-complex deficiencies	261.2	0.18	0.22	0.24	0.31	0.42
Other vitamin B12 deficiency anemia	281.12	0.05	0.05	0.05	0.07	0.1
Acute renal failure	585.1	1.45	1.49	1.67	1.97	2.88
Acute periodontitis	523.31	0.04	0.04	0.02	0.04	0.05
Other allied disorders of spine	721.8	0.03	0.03	0.03	0.03	0.05
Electrolyte imbalance	276.1	0.04	0.04	0.04	0.04	0.08
Simple and unspecified goiter	240.0	0.13	0.18	0.18	0.2	0.2
Polyneuropathy due to drugs	316.1	0.03	0.02	0.02	0.02	0.03
Chronic renal failure [CKD]	585.3	0.7	0.78	0.88	1.08	1.48
Joint effusions	741.4	0.06	0.07	0.07	0.06	0.09
Hemorrhage of rectum and anus	578.8	3.25	3.45	3.44	3.52	4.34
Premenstrual tension syndromes	626.4	0.03	0.03	0.03	0.04	0.05
Intracranial hemorrhage (injury)	818.0	0.03	0.02	0.03	0.04	0.06
Antisocial/borderline personality disorder	301.2	0.01	0.01	0.02	0.05	0.14
Disorders of diaphragm	513.8	0.05	0.03	0.06	0.04	0.06
Sialoadenitis	527.2	0.09	0.1	0.09	0.1	0.13
Herpes zoster with nervous system complications	53.1	0.03	0.03	0.03	0.04	0.04
Speech and language disorder	315.2	0.02	0.03	0.03	0.04	0.03
Traumatic cataract	366.3	0.03	0.03	0.03	0.03	0.03
Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	159.0	1.49	1.57	1.48	1.6	1.6
Other dyschromia	694.2	0.27	0.24	0.23	0.22	0.2
Contracture of palmar fascia [Dupuytren's disease]	728.71	0.76	0.82	0.77	0.7	0.66
Bladder neck obstruction	596.1	0.55	0.51	0.52	0.49	0.58
Other anemias	285.0	2.83	3.24	3.48	3.92	4.95
Acute and chronic tonsillitis	474.0	0.1	0.1	0.11	0.13	0.14
Throat pain	478.0	0.09	0.08	0.1	0.12	0.14
Fracture of neck of femur	800.1	0.06	0.05	0.06	0.05	0.06
Impacted cerumen	380.4	0.08	0.09	0.11	0.09	0.1
Toxic effect of other gases, fumes, or vapors	987.0	0.01	0.01	0.01	0.02	0.07
Complications of labor and delivery NEC	669.0	0.73	0.69	0.7	0.73	0.7
Orthostatic hypotension	458.1	0.4	0.43	0.48	0.53	0.75
Gingival and periodontal diseases	523.0	0.11	0.12	0.12	0.13	0.2
Polyp of corpus uteri	622.1	2.03	2.01	2.17	2.17	2.23
Bursitis	726.3	0.14	0.16	0.18	0.16	0.16
Disorders of bilirubin excretion	277.4	0.13	0.11	0.1	0.11	0.1
Other disorders of biliary tract	575.8	0.25	0.3	0.31	0.36	0.43
Cardiac shunt/ heart septal defect	747.11	0.15	0.15	0.16	0.16	0.19
Benign neoplasm of brain, cranial nerves, meninges	225.1	0.2	0.22	0.22	0.24	0.23
Ulceration of the lower GI tract	556.0	0.12	0.14	0.17	0.16	0.2
Ventricular fibrillation and flutter	427.41	0.1	0.1	0.11	0.12	0.13
Hyperhidrosis	705.8	0.16	0.17	0.17	0.19	0.24
Hypotension	458.0	0.32	0.35	0.37	0.35	0.46
Glossitis	529.1	0.07	0.08	0.08	0.09	0.12
Polyp of female genital organs	622.0	0.05	0.06	0.05	0.07	0.06
Influenza	481.0	0.1	0.09	0.12	0.13	0.23
Nonrheumatic pulmonary valve disorders	395.4	0.03	0.03	0.04	0.04	0.05
Other upper respiratory disease	479.0	0.95	0.97	1.07	1.15	1.43
Peripheral vascular disease, unspecified	443.9	0.47	0.56	0.72	0.83	1.41
Bacterial infection NOS	41.0	1.44	1.66	1.82	1.98	2.8
Menopausal and postmenopausal disorders	627.0	0.15	0.16	0.14	0.16	0.18
Other disorders of middle ear and mastoid	385.0	0.03	0.03	0.04	0.04	0.05
Cyst and pseudocyst of pancreas	577.3	0.1	0.11	0.11	0.11	0.15
Pneumonia due to fungus (mycoses)	480.3	0.02	0.03	0.04	0.05	0.05
Abnormal spermatozoa	609.2	0.04	0.05	0.04	0.05	0.04
Noninflammatory disorders of vagina	619.4	0.4	0.42	0.43	0.43	0.43
Cholelithiasis with other cholecystitis	574.12	1.38	1.49	1.57	1.61	1.67
Fracture of ribs	807.0	0.06	0.06	0.08	0.08	0.09
Abnormal serum enzyme levels	573.9	0.06	0.06	0.07	0.07	0.1
Strabismus (not specified as paralytic)	378.1	0.19	0.21	0.24	0.26	0.34
Cerebrovascular disease	433.0	0.38	0.4	0.43	0.43	0.7
Gram positive septicemia	38.2	0.11	0.13	0.14	0.17	0.23
Localized adiposity	278.3	0.02	0.02	0.01	0.03	0.03
Unspecified disorder of lipoid metabolism	272.9	0.08	0.08	0.07	0.09	0.13
Cardiac pacemaker/device in situ	426.9	0.07	0.07	0.07	0.07	0.09
Hemorrhoids	455.0	6.23	6.27	6.61	6.51	7.38
Endometriosis	615.0	0.86	0.94	1.04	1.14	1.06
Gingivitis	523.1	0.03	0.02	0.03	0.04	0.03
Complication of amputation stump	874.0	0.04	0.04	0.03	0.05	0.08
Other disorders of bone and cartilage	733.0	0.21	0.23	0.23	0.24	0.31
Viral infection	79.0	0.7	0.72	0.68	0.73	0.95
Other specified benign mammary dysplasias	610.8	0.17	0.19	0.17	0.17	0.18
Secondary malignancy of bone	198.6	0.75	0.79	0.78	0.77	0.83
Umbilical hernia	550.4	0.98	1.01	1.13	1.34	1.64
Otosclerosis	383.0	0.09	0.07	0.09	0.08	0.06
Cirrhosis of liver without mention of alcohol	571.51	0.13	0.15	0.18	0.23	0.41
Musculoskeletal symptoms referable to limbs	771.0	0.23	0.22	0.2	0.23	0.28
Disorders of the pituitary gland and its hypothalamic control	253.0	0.03	0.02	0.03	0.03	0.03
Memory loss	292.3	0.16	0.21	0.22	0.22	0.29
Arterial embolism and thrombosis	444.0	0.08	0.1	0.11	0.12	0.22
Ileostomy status	559.0	0.53	0.54	0.54	0.67	0.64
Malignant neoplasm of retroperitoneum and peritoneum	159.4	0.05	0.07	0.07	0.05	0.06
Pneumonitis due to inhalation of food or vomitus	501.0	0.17	0.19	0.21	0.23	0.36
Other diseases of blood and blood-forming organs	289.0	0.13	0.13	0.14	0.16	0.21
Calculus of kidney	594.1	0.74	0.87	0.83	0.91	1.17
Blindness and low vision	367.9	0.15	0.18	0.21	0.2	0.36
Other CNS infection and poliomyelitis	324.0	0.08	0.07	0.07	0.08	0.13
Atrial fibrillation and flutter	427.2	4.38	4.49	4.42	4.4	4.88
Spontaneous ecchymoses	287.1	0.02	0.03	0.04	0.04	0.05
Other disorders of thyroid	246.0	0.12	0.12	0.11	0.13	0.16
Intestinal infection	8.0	0.11	0.13	0.11	0.13	0.19
Type 1 diabetes with neurological manifestations	250.14	0.03	0.04	0.04	0.06	0.1
Sinoatrial node dysfunction (Bradycardia)	427.8	0.15	0.14	0.14	0.16	0.16
Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	293.1	0.22	0.2	0.23	0.27	0.32
Delirium dementia and amnestic and other cognitive disorders	290.0	0.1	0.09	0.12	0.16	0.26
Early onset of delivery	636.2	0.16	0.17	0.19	0.18	0.19
Chronic tonsillitis and adenoiditis	474.2	0.23	0.26	0.25	0.32	0.35
Intestinal disaccharidase deficiencies and disaccharide malabsorption	271.3	0.04	0.04	0.04	0.05	0.07
Anemia during pregnancy	644.0	0.22	0.23	0.23	0.24	0.24
Endometrial hyperplasia	621.0	0.29	0.29	0.32	0.29	0.33
Ulcerative colitis (chronic)	555.21	0.15	0.21	0.2	0.2	0.26
Fracture of pelvis	802.0	0.02	0.04	0.03	0.03	0.03
Displacement of intervertebral disc	722.1	0.1	0.08	0.09	0.11	0.16
Fracture of lower limb	800.0	0.09	0.11	0.11	0.12	0.15
Other diseases of respiratory system, not elsewhere classified	519.0	0.02	0.02	0.02	0.03	0.05
Chronic airway obstruction	496.0	1.37	1.64	2.12	2.74	5.14
Inguinal hernia	550.1	4.64	4.61	4.66	4.52	4.57
Pyelonephritis	590.0	0.36	0.35	0.39	0.49	0.65
Cancer of other female genital organs (excluding uterus and ovary)	184.2	0.08	0.07	0.1	0.1	0.1
Complication of internal orthopedic device	858.0	0.93	0.98	1.11	1.1	1.17
Nonspecific findings on examination of blood	790.0	0.06	0.05	0.05	0.05	0.07
Candidiasis	112.0	0.57	0.6	0.64	0.76	0.97
Other disorders of bladder	596.0	1.99	2.03	2.03	2.16	2.45
Other acquired musculoskeletal deformity	738.0	0.08	0.09	0.07	0.1	0.15
Nonrheumatic aortic valve disorders	395.2	0.06	0.08	0.07	0.09	0.1
Corns and callosities	700.0	0.09	0.08	0.09	0.08	0.08
Astigmatism	367.2	0.07	0.07	0.07	0.07	0.07
Fracture of upper limb	803.0	0.05	0.05	0.05	0.07	0.08
Hereditary and idiopathic peripheral neuropathy	356.0	0.04	0.05	0.05	0.05	0.04
Acute upper respiratory infections of multiple or unspecified sites	465.0	0.32	0.35	0.34	0.38	0.51
Arthropathy associated with neurological disorders	713.5	0.01	0.02	0.02	0.02	0.04
Sprains and strains	840.0	0.1	0.1	0.1	0.09	0.08
Disturbance of salivary secretion	527.7	0.02	0.02	0.01	0.02	0.03
Urinary calculus	594.0	0.11	0.13	0.1	0.13	0.19
Other disorders of lipoid metabolism	277.5	0.05	0.04	0.07	0.06	0.09
Cancer of urinary organs (incl. kidney and bladder)	189.0	0.8	0.85	0.83	0.77	0.84
Anxiety disorder	300.1	1.68	1.79	1.95	2.3	3.09
Acute tonsillitis	474.1	0.11	0.13	0.14	0.18	0.25
Congenital anomalies of male genital organs	751.12	0.04	0.06	0.05	0.05	0.08
Pain and other symptoms associated with female genital organs	625.0	0.46	0.48	0.48	0.52	0.51
Other chronic ischemic heart disease, unspecified	411.8	3.53	3.95	4.28	4.56	6.38
Cellulitis and abscess of arm/hand	681.3	1.29	1.47	1.5	1.72	2.24
Abnormal sputum	516.0	0.02	0.03	0.02	0.03	0.04
Degenerative disease of the spinal cord	334.0	0.36	0.41	0.42	0.47	0.61
Fracture of patella	800.4	0.02	0.03	0.04	0.03	0.04
Infantile cerebral palsy	343.0	0.02	0.02	0.04	0.04	0.09
Convulsions	345.3	0.54	0.53	0.6	0.68	1.04
Open wound of neck	870.6	0.03	0.02	0.03	0.04	0.06
Pernicious anemia	281.11	0.18	0.2	0.22	0.24	0.31
Prolapse of vaginal walls	618.1	1.91	1.97	1.98	2.03	1.89
Infections of genitourinary tract during pregnancy	647.1	0.07	0.08	0.07	0.08	0.08
Nonspecific abnormal findings on radiological and other examination of biliary tract	575.9	0.1	0.12	0.1	0.11	0.16
Other disorders of intestine	569.0	0.98	1.05	1.08	1.18	1.35
Lymphoid leukemia, chronic	204.12	0.17	0.13	0.16	0.16	0.14
Erectile dysfunction [ED]	605.0	0.13	0.11	0.14	0.18	0.24
Type 1 diabetes	250.1	0.55	0.62	0.69	0.85	1.34
Mineral deficiency NEC	262.0	0.07	0.08	0.09	0.09	0.13
Benign neoplasm of male genital organs	222.0	0.04	0.03	0.05	0.04	0.04
Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	227.3	0.09	0.09	0.1	0.1	0.12
Cancer of esophagus	150.0	0.18	0.2	0.22	0.2	0.31
Disorders of optic nerve and visual pathways	377.0	0.06	0.06	0.05	0.06	0.08
Atherosclerosis of aorta	440.9	0.03	0.03	0.05	0.06	0.09
Anterior horn cell disease	334.2	0.07	0.08	0.07	0.07	0.08
Cancer of connective tissue	170.2	0.08	0.1	0.08	0.08	0.1
Disorders of conjunctiva	372.0	0.2	0.26	0.24	0.24	0.32
Systemic lupus erythematosus	695.42	0.08	0.1	0.11	0.13	0.16
Abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium	654.1	0.33	0.34	0.32	0.36	0.29
Liver replaced by transplant	573.2	0.02	0.02	0.03	0.03	0.05
Jaw disease NOS	526.9	0.05	0.06	0.08	0.07	0.08
Urinary tract infection	591.0	3.34	3.43	3.51	3.86	5.03
Hodgkin's disease	201.0	0.06	0.08	0.06	0.07	0.09
Fluid overload	276.6	0.15	0.16	0.17	0.2	0.32
Corneal edema	364.2	0.03	0.02	0.03	0.03	0.04
Frequency of urination and polyuria	599.5	0.98	1.08	1.06	1.11	1.31
Nystagmus and other irregular eye movements	378.2	0.05	0.06	0.07	0.09	0.09
Changes in skin texture	687.3	0.03	0.03	0.03	0.03	0.03
Paranoid disorders	295.2	0.03	0.05	0.04	0.07	0.17
Flat foot	735.1	0.04	0.05	0.05	0.06	0.04
Nontoxic multinodular goiter	241.2	0.17	0.2	0.19	0.23	0.26
Early or threatened labor; hemorrhage in early pregnancy	636.0	0.29	0.25	0.27	0.28	0.29
Nerve root and plexus disorders	353.0	0.29	0.31	0.29	0.35	0.39
Multiple sclerosis	335.0	0.35	0.36	0.35	0.38	0.38
Cardiac conduction disorders	426.0	0.06	0.06	0.03	0.05	0.06
Prostatitis	601.1	0.18	0.19	0.18	0.17	0.2
Balanoposthitis	601.4	0.06	0.08	0.07	0.08	0.1
Hydrocephalus	331.1	0.15	0.16	0.16	0.15	0.18
Other diseases of the teeth and supporting structures	525.0	0.63	0.74	0.73	0.81	0.96
Hemorrhage NOS	459.1	0.03	0.02	0.03	0.02	0.04
Secondary thrombocytopenia	287.32	0.03	0.02	0.02	0.03	0.03
Anorexia	260.6	0.21	0.22	0.23	0.29	0.36
Acute pericarditis	420.21	0.05	0.07	0.06	0.04	0.06
Sciatica	764.0	0.33	0.33	0.37	0.42	0.53
Hydronephrosis	595.0	0.57	0.58	0.57	0.63	0.76
Late effects of cerebrovascular disease	433.8	0.26	0.32	0.35	0.44	0.68
Ascites (non malignant)	572.0	0.4	0.47	0.48	0.54	0.64
Hemangioma and lymphangioma, any site	228.0	0.38	0.45	0.44	0.43	0.43
Myocardial infarction	411.2	3.08	3.32	3.48	3.57	4.84
Cancer of other male genital organs	187.0	0.04	0.05	0.04	0.04	0.05
Skull and face fracture and other intercranial injury	819.0	0.19	0.23	0.25	0.26	0.43
Hypertrophic obstructive cardiomyopathy	425.11	0.04	0.03	0.04	0.05	0.06
Other nondiabetic retinopathy	362.3	0.01	0.01	0.02	0.02	0.03
