PheCode	Phenotype	Age	Prevalence	Case	Controls
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	Total	0.03	166	497444
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	Asian	0.0	0	9782
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	Black	0.03	2	7980
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	Chinese	0.0	0	1565
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	Mixed	0.07	2	2894
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	Other	0.02	1	6378
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	White	0.03	161	468845
597.1	Urethral stricture (not specified as infectious)	Total	0.96	4663	480785
597.1	Urethral stricture (not specified as infectious)	Asian	1.66	159	9414
597.1	Urethral stricture (not specified as infectious)	Black	0.9	70	7719
597.1	Urethral stricture (not specified as infectious)	Chinese	0.45	7	1532
597.1	Urethral stricture (not specified as infectious)	Mixed	0.92	26	2814
597.1	Urethral stricture (not specified as infectious)	Other	1.09	68	6161
597.1	Urethral stricture (not specified as infectious)	White	0.95	4333	453145
569.2	Gastrointestinal complications	Total	0.15	720	469177
569.2	Gastrointestinal complications	Asian	0.12	11	9165
569.2	Gastrointestinal complications	Black	0.25	19	7549
569.2	Gastrointestinal complications	Chinese	0.07	1	1508
569.2	Gastrointestinal complications	Mixed	0.22	6	2718
569.2	Gastrointestinal complications	Other	0.13	8	6046
569.2	Gastrointestinal complications	White	0.15	675	442191
527.0	Diseases of the salivary glands	Total	0.03	136	492610
527.0	Diseases of the salivary glands	Asian	0.03	3	9671
527.0	Diseases of the salivary glands	Black	0.01	1	7916
527.0	Diseases of the salivary glands	Chinese	0.13	2	1553
527.0	Diseases of the salivary glands	Mixed	0.0	0	2861
527.0	Diseases of the salivary glands	Other	0.03	2	6339
527.0	Diseases of the salivary glands	White	0.03	128	464270
733.8	Malunion and nonunion of fracture	Total	0.04	198	483416
733.8	Malunion and nonunion of fracture	Asian	0.05	5	9583
733.8	Malunion and nonunion of fracture	Black	0.01	1	7805
733.8	Malunion and nonunion of fracture	Chinese	0.0	0	1541
733.8	Malunion and nonunion of fracture	Mixed	0.0	0	2806
733.8	Malunion and nonunion of fracture	Other	0.0	0	6210
733.8	Malunion and nonunion of fracture	White	0.04	192	455471
250.21	Type 2 diabetes with ketoacidosis	Total	0.05	225	468659
250.21	Type 2 diabetes with ketoacidosis	Asian	0.14	11	8014
250.21	Type 2 diabetes with ketoacidosis	Black	0.36	25	7009
250.21	Type 2 diabetes with ketoacidosis	Chinese	0.0	0	1485
250.21	Type 2 diabetes with ketoacidosis	Mixed	0.15	4	2719
250.21	Type 2 diabetes with ketoacidosis	Other	0.07	4	5729
250.21	Type 2 diabetes with ketoacidosis	White	0.04	181	443703
770.0	Myalgia and myositis unspecified	Total	0.05	248	500180
770.0	Myalgia and myositis unspecified	Asian	0.09	9	9814
770.0	Myalgia and myositis unspecified	Black	0.12	10	8009
770.0	Myalgia and myositis unspecified	Chinese	0.0	0	1569
770.0	Myalgia and myositis unspecified	Mixed	0.07	2	2906
770.0	Myalgia and myositis unspecified	Other	0.03	2	6420
770.0	Myalgia and myositis unspecified	White	0.05	225	471462
567.0	Peritonitis and retroperitoneal infections	Total	0.27	1292	469177
567.0	Peritonitis and retroperitoneal infections	Asian	0.24	22	9165
567.0	Peritonitis and retroperitoneal infections	Black	0.21	16	7549
567.0	Peritonitis and retroperitoneal infections	Chinese	0.13	2	1508
567.0	Peritonitis and retroperitoneal infections	Mixed	0.15	4	2718
567.0	Peritonitis and retroperitoneal infections	Other	0.23	14	6046
567.0	Peritonitis and retroperitoneal infections	White	0.28	1234	442191
38.0	Septicemia	Total	1.1	5312	477621
38.0	Septicemia	Asian	1.09	102	9220
38.0	Septicemia	Black	1.16	89	7576
38.0	Septicemia	Chinese	0.2	3	1519
38.0	Septicemia	Mixed	0.96	27	2784
38.0	Septicemia	Other	1.15	71	6081
38.0	Septicemia	White	1.1	5020	450441
614.51	Cervicitis and endocervicitis	Total	0.29	1431	489046
614.51	Cervicitis and endocervicitis	Asian	0.24	23	9621
614.51	Cervicitis and endocervicitis	Black	0.22	17	7709
614.51	Cervicitis and endocervicitis	Chinese	0.26	4	1530
614.51	Cervicitis and endocervicitis	Mixed	0.39	11	2798
614.51	Cervicitis and endocervicitis	Other	0.19	12	6257
614.51	Cervicitis and endocervicitis	White	0.29	1364	461131
242.2	Toxic multinodular goiter	Total	0.03	140	474858
242.2	Toxic multinodular goiter	Asian	0.03	3	9198
242.2	Toxic multinodular goiter	Black	0.13	10	7728
242.2	Toxic multinodular goiter	Chinese	0.13	2	1500
242.2	Toxic multinodular goiter	Mixed	0.0	0	2771
242.2	Toxic multinodular goiter	Other	0.05	3	6099
242.2	Toxic multinodular goiter	White	0.03	122	447562
619.2	Disorders of uterus, NEC	Total	0.9	4442	488638
619.2	Disorders of uterus, NEC	Asian	0.8	78	9620
619.2	Disorders of uterus, NEC	Black	1.22	96	7782
619.2	Disorders of uterus, NEC	Chinese	1.04	16	1527
619.2	Disorders of uterus, NEC	Mixed	1.06	30	2813
619.2	Disorders of uterus, NEC	Other	0.95	60	6248
619.2	Disorders of uterus, NEC	White	0.9	4162	460648
189.12	Malignant neoplasm of renal pelvis	Total	0.02	104	494561
189.12	Malignant neoplasm of renal pelvis	Asian	0.0	0	9744
189.12	Malignant neoplasm of renal pelvis	Black	0.03	2	7977
189.12	Malignant neoplasm of renal pelvis	Chinese	0.0	0	1561
189.12	Malignant neoplasm of renal pelvis	Mixed	0.03	1	2878
189.12	Malignant neoplasm of renal pelvis	Other	0.03	2	6364
189.12	Malignant neoplasm of renal pelvis	White	0.02	99	466037
496.3	Bronchiectasis	Total	0.69	3140	452084
496.3	Bronchiectasis	Asian	0.53	47	8776
496.3	Bronchiectasis	Black	0.41	30	7262
496.3	Bronchiectasis	Chinese	0.54	8	1478
496.3	Bronchiectasis	Mixed	0.42	11	2584
496.3	Bronchiectasis	Other	0.63	37	5790
496.3	Bronchiectasis	White	0.7	3007	426194
472.0	Chronic pharyngitis and nasopharyngitis	Total	0.26	1237	475549
472.0	Chronic pharyngitis and nasopharyngitis	Asian	0.3	28	9287
472.0	Chronic pharyngitis and nasopharyngitis	Black	0.3	23	7646
472.0	Chronic pharyngitis and nasopharyngitis	Chinese	0.2	3	1496
472.0	Chronic pharyngitis and nasopharyngitis	Mixed	0.33	9	2738
472.0	Chronic pharyngitis and nasopharyngitis	Other	0.31	19	6053
472.0	Chronic pharyngitis and nasopharyngitis	White	0.26	1155	448329
722.9	Other and unspecified disc disorder	Total	1.17	5754	487642
722.9	Other and unspecified disc disorder	Asian	1.19	115	9558
722.9	Other and unspecified disc disorder	Black	1.32	104	7799
722.9	Other and unspecified disc disorder	Chinese	0.32	5	1549
722.9	Other and unspecified disc disorder	Mixed	0.94	27	2837
722.9	Other and unspecified disc disorder	Other	1.32	84	6259
722.9	Other and unspecified disc disorder	White	1.17	5419	459640
199.0	Neoplasm of uncertain behavior	Total	0.36	1618	447279
199.0	Neoplasm of uncertain behavior	Asian	0.3	27	9112
199.0	Neoplasm of uncertain behavior	Black	0.42	31	7346
199.0	Neoplasm of uncertain behavior	Chinese	0.27	4	1471
199.0	Neoplasm of uncertain behavior	Mixed	0.23	6	2658
199.0	Neoplasm of uncertain behavior	Other	0.41	24	5816
199.0	Neoplasm of uncertain behavior	White	0.36	1526	420876
198.1	Secondary malignancy of lymph nodes	Total	1.79	8133	447279
198.1	Secondary malignancy of lymph nodes	Asian	0.81	74	9112
198.1	Secondary malignancy of lymph nodes	Black	1.09	81	7346
198.1	Secondary malignancy of lymph nodes	Chinese	1.14	17	1471
198.1	Secondary malignancy of lymph nodes	Mixed	1.45	39	2658
198.1	Secondary malignancy of lymph nodes	Other	1.49	88	5816
198.1	Secondary malignancy of lymph nodes	White	1.83	7834	420876
873.0	Broken tooth	Total	0.03	129	488645
873.0	Broken tooth	Asian	0.01	1	9640
873.0	Broken tooth	Black	0.03	2	7893
873.0	Broken tooth	Chinese	0.0	0	1557
873.0	Broken tooth	Mixed	0.0	0	2843
873.0	Broken tooth	Other	0.02	1	6297
873.0	Broken tooth	White	0.03	125	460415
255.11	Cushing's syndrome	Total	0.03	151	494804
255.11	Cushing's syndrome	Asian	0.03	3	9668
255.11	Cushing's syndrome	Black	0.05	4	7859
255.11	Cushing's syndrome	Chinese	0.06	1	1554
255.11	Cushing's syndrome	Mixed	0.0	0	2878
255.11	Cushing's syndrome	Other	0.05	3	6321
255.11	Cushing's syndrome	White	0.03	140	466524
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	Total	0.06	308	477326
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	Asian	0.07	7	9486
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	Black	0.04	3	7806
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	Chinese	0.13	2	1517
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	Mixed	0.04	1	2813
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	Other	0.08	5	6175
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	White	0.06	290	449529
527.8	Other specified diseases of the salivary glands	Total	0.04	175	492610
527.8	Other specified diseases of the salivary glands	Asian	0.0	0	9671
527.8	Other specified diseases of the salivary glands	Black	0.04	3	7916
527.8	Other specified diseases of the salivary glands	Chinese	0.13	2	1553
527.8	Other specified diseases of the salivary glands	Mixed	0.0	0	2861
527.8	Other specified diseases of the salivary glands	Other	0.06	4	6339
527.8	Other specified diseases of the salivary glands	White	0.04	166	464270
530.7	Gastroesophageal laceration-hemorrhage syndrome	Total	0.1	440	442592
530.7	Gastroesophageal laceration-hemorrhage syndrome	Asian	0.06	5	8611
530.7	Gastroesophageal laceration-hemorrhage syndrome	Black	0.06	4	7262
530.7	Gastroesophageal laceration-hemorrhage syndrome	Chinese	0.0	0	1451
530.7	Gastroesophageal laceration-hemorrhage syndrome	Mixed	0.11	3	2624
530.7	Gastroesophageal laceration-hemorrhage syndrome	Other	0.12	7	5743
530.7	Gastroesophageal laceration-hemorrhage syndrome	White	0.1	421	416901
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	Total	0.11	527	461001
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	Asian	0.14	13	9107
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	Black	0.21	16	7454
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	Chinese	0.0	0	1485
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	Mixed	0.08	2	2642
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	Other	0.14	8	5887
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	White	0.11	488	434426
278.1	Obesity	Total	3.82	19089	481189
278.1	Obesity	Asian	3.85	378	9442
278.1	Obesity	Black	6.0	481	7534
278.1	Obesity	Chinese	0.96	15	1552
278.1	Obesity	Mixed	4.13	120	2786
278.1	Obesity	Other	4.58	294	6128
278.1	Obesity	White	3.78	17801	453747
420.1	Myocarditis	Total	0.03	165	495513
420.1	Myocarditis	Asian	0.0	0	9725
420.1	Myocarditis	Black	0.1	8	7902
420.1	Myocarditis	Chinese	0.0	0	1560
420.1	Myocarditis	Mixed	0.07	2	2887
420.1	Myocarditis	Other	0.02	1	6361
420.1	Myocarditis	White	0.03	154	467078
626.1	Irregular menstrual cycle/bleeding	Total	0.45	2115	463077
626.1	Irregular menstrual cycle/bleeding	Asian	0.38	35	9093
626.1	Irregular menstrual cycle/bleeding	Black	0.28	20	7109
626.1	Irregular menstrual cycle/bleeding	Chinese	0.28	4	1445
626.1	Irregular menstrual cycle/bleeding	Mixed	0.42	11	2598
626.1	Irregular menstrual cycle/bleeding	Other	0.47	28	5871
626.1	Irregular menstrual cycle/bleeding	White	0.46	2017	436961
614.32	Chronic inflammatory pelvic disease	Total	0.11	549	489046
614.32	Chronic inflammatory pelvic disease	Asian	0.11	11	9621
614.32	Chronic inflammatory pelvic disease	Black	0.34	26	7709
614.32	Chronic inflammatory pelvic disease	Chinese	0.07	1	1530
614.32	Chronic inflammatory pelvic disease	Mixed	0.36	10	2798
614.32	Chronic inflammatory pelvic disease	Other	0.24	15	6257
614.32	Chronic inflammatory pelvic disease	White	0.11	486	461131
134.1	Intestinal helminthiases	Total	0.03	167	499505
134.1	Intestinal helminthiases	Asian	0.02	2	9801
134.1	Intestinal helminthiases	Black	0.01	1	7921
134.1	Intestinal helminthiases	Chinese	0.0	0	1569
134.1	Intestinal helminthiases	Mixed	0.1	3	2896
134.1	Intestinal helminthiases	Other	0.09	6	6389
134.1	Intestinal helminthiases	White	0.03	155	470929
155.0	Cancer of liver and intrahepatic bile duct	Total	0.09	412	477326
155.0	Cancer of liver and intrahepatic bile duct	Asian	0.08	8	9486
155.0	Cancer of liver and intrahepatic bile duct	Black	0.1	8	7806
155.0	Cancer of liver and intrahepatic bile duct	Chinese	0.2	3	1517
155.0	Cancer of liver and intrahepatic bile duct	Mixed	0.04	1	2813
155.0	Cancer of liver and intrahepatic bile duct	Other	0.1	6	6175
155.0	Cancer of liver and intrahepatic bile duct	White	0.09	386	449529
507.0	Pleurisy; pleural effusion	Total	2.08	10264	482092
507.0	Pleurisy; pleural effusion	Asian	1.77	171	9483
507.0	Pleurisy; pleural effusion	Black	1.71	135	7770
507.0	Pleurisy; pleural effusion	Chinese	0.58	9	1548
507.0	Pleurisy; pleural effusion	Mixed	1.64	47	2821
507.0	Pleurisy; pleural effusion	Other	1.87	118	6194
507.0	Pleurisy; pleural effusion	White	2.11	9784	454276
202.0	Cancer of other lymphoid, histiocytic tissue	Total	0.35	1723	494261
202.0	Cancer of other lymphoid, histiocytic tissue	Asian	0.32	31	9736
202.0	Cancer of other lymphoid, histiocytic tissue	Black	0.23	18	7923
202.0	Cancer of other lymphoid, histiocytic tissue	Chinese	0.51	8	1559
202.0	Cancer of other lymphoid, histiocytic tissue	Mixed	0.21	6	2888
202.0	Cancer of other lymphoid, histiocytic tissue	Other	0.38	24	6350
202.0	Cancer of other lymphoid, histiocytic tissue	White	0.35	1636	465805
614.54	Abscess or ulceration of vulva	Total	0.07	347	489046
614.54	Abscess or ulceration of vulva	Asian	0.09	9	9621
614.54	Abscess or ulceration of vulva	Black	0.16	12	7709
614.54	Abscess or ulceration of vulva	Chinese	0.13	2	1530
614.54	Abscess or ulceration of vulva	Mixed	0.11	3	2798
614.54	Abscess or ulceration of vulva	Other	0.02	1	6257
614.54	Abscess or ulceration of vulva	White	0.07	320	461131
740.1	Osteoarthritis; localized	Total	2.9	13979	468627
740.1	Osteoarthritis; localized	Asian	0.68	65	9451
740.1	Osteoarthritis; localized	Black	0.9	70	7698
740.1	Osteoarthritis; localized	Chinese	0.65	10	1534
740.1	Osteoarthritis; localized	Mixed	1.71	48	2764
740.1	Osteoarthritis; localized	Other	1.37	85	6123
740.1	Osteoarthritis; localized	White	3.01	13701	441057
286.11	Von willebrand's disease	Total	0.03	151	496348
286.11	Von willebrand's disease	Asian	0.02	2	9733
286.11	Von willebrand's disease	Black	0.08	6	7941
286.11	Von willebrand's disease	Chinese	0.0	0	1560
286.11	Von willebrand's disease	Mixed	0.07	2	2883
286.11	Von willebrand's disease	Other	0.02	1	6368
286.11	Von willebrand's disease	White	0.03	140	467863
217.1	Nevus, non-neoplastic	Total	0.16	790	488548
217.1	Nevus, non-neoplastic	Asian	0.06	6	9692
217.1	Nevus, non-neoplastic	Black	0.11	9	7941
217.1	Nevus, non-neoplastic	Chinese	0.0	0	1543
217.1	Nevus, non-neoplastic	Mixed	0.11	3	2846
217.1	Nevus, non-neoplastic	Other	0.11	7	6320
217.1	Nevus, non-neoplastic	White	0.17	765	460206
165.0	Cancer within the respiratory system	Total	0.34	1702	496092
165.0	Cancer within the respiratory system	Asian	0.12	12	9789
165.0	Cancer within the respiratory system	Black	0.2	16	7978
165.0	Cancer within the respiratory system	Chinese	0.0	0	1565
165.0	Cancer within the respiratory system	Mixed	0.38	11	2880
165.0	Cancer within the respiratory system	Other	0.23	15	6384
165.0	Cancer within the respiratory system	White	0.35	1648	467496
255.21	Glucocorticoid deficiency	Total	0.11	546	494804
255.21	Glucocorticoid deficiency	Asian	0.1	10	9668
255.21	Glucocorticoid deficiency	Black	0.15	12	7859
255.21	Glucocorticoid deficiency	Chinese	0.13	2	1554
255.21	Glucocorticoid deficiency	Mixed	0.24	7	2878
255.21	Glucocorticoid deficiency	Other	0.06	4	6321
255.21	Glucocorticoid deficiency	White	0.11	511	466524
337.0	Disorders of the autonomic nervous system	Total	0.06	268	480324
337.0	Disorders of the autonomic nervous system	Asian	0.01	1	9490
337.0	Disorders of the autonomic nervous system	Black	0.03	2	7710
337.0	Disorders of the autonomic nervous system	Chinese	0.0	0	1537
337.0	Disorders of the autonomic nervous system	Mixed	0.04	1	2810
337.0	Disorders of the autonomic nervous system	Other	0.03	2	6184
337.0	Disorders of the autonomic nervous system	White	0.06	262	452593
345.11	Generalized convulsive epilepsy	Total	0.13	615	480324
345.11	Generalized convulsive epilepsy	Asian	0.07	7	9490
345.11	Generalized convulsive epilepsy	Black	0.12	9	7710
345.11	Generalized convulsive epilepsy	Chinese	0.13	2	1537
345.11	Generalized convulsive epilepsy	Mixed	0.07	2	2810
345.11	Generalized convulsive epilepsy	Other	0.13	8	6184
345.11	Generalized convulsive epilepsy	White	0.13	587	452593
290.11	Alzheimer's disease	Total	0.19	938	489014
290.11	Alzheimer's disease	Asian	0.11	11	9629
290.11	Alzheimer's disease	Black	0.18	14	7839
290.11	Alzheimer's disease	Chinese	0.06	1	1560
290.11	Alzheimer's disease	Mixed	0.18	5	2845
290.11	Alzheimer's disease	Other	0.1	6	6249
290.11	Alzheimer's disease	White	0.2	901	460892
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	Total	0.24	1168	490289
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	Asian	0.35	33	9509
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	Black	0.64	49	7611
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	Chinese	0.4	6	1494
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	Mixed	0.79	22	2754
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	Other	0.27	17	6201
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	White	0.22	1041	462720
743.11	Osteoporosis NOS	Total	1.17	5856	494239
743.11	Osteoporosis NOS	Asian	0.99	97	9719
743.11	Osteoporosis NOS	Black	0.59	47	7967
743.11	Osteoporosis NOS	Chinese	0.57	9	1558
743.11	Osteoporosis NOS	Mixed	0.65	19	2887
743.11	Osteoporosis NOS	Other	1.11	71	6346
743.11	Osteoporosis NOS	White	1.19	5613	465762
289.4	Lymphadenitis	Total	0.81	3971	489304
289.4	Lymphadenitis	Asian	1.24	120	9586
289.4	Lymphadenitis	Black	1.32	104	7793
289.4	Lymphadenitis	Chinese	0.71	11	1542
289.4	Lymphadenitis	Mixed	0.73	21	2844
289.4	Lymphadenitis	Other	1.12	71	6265
289.4	Lymphadenitis	White	0.78	3644	461274
550.5	Ventral hernia	Total	1.12	4908	434812
550.5	Ventral hernia	Asian	0.73	64	8711
550.5	Ventral hernia	Black	1.17	86	7278
550.5	Ventral hernia	Chinese	0.27	4	1491
550.5	Ventral hernia	Mixed	1.24	33	2619
550.5	Ventral hernia	Other	0.94	54	5681
550.5	Ventral hernia	White	1.13	4667	409032
804.0	Fracture of hand or wrist	Total	0.14	716	495626
804.0	Fracture of hand or wrist	Asian	0.11	11	9769
804.0	Fracture of hand or wrist	Black	0.03	2	7991
804.0	Fracture of hand or wrist	Chinese	0.0	0	1566
804.0	Fracture of hand or wrist	Mixed	0.1	3	2892
804.0	Fracture of hand or wrist	Other	0.13	8	6389
804.0	Fracture of hand or wrist	White	0.15	692	467019
425.12	Other hypertrophic cardiomyopathy	Total	0.06	287	495513
425.12	Other hypertrophic cardiomyopathy	Asian	0.07	7	9725
425.12	Other hypertrophic cardiomyopathy	Black	0.23	18	7902
425.12	Other hypertrophic cardiomyopathy	Chinese	0.06	1	1560
425.12	Other hypertrophic cardiomyopathy	Mixed	0.07	2	2887
425.12	Other hypertrophic cardiomyopathy	Other	0.14	9	6361
425.12	Other hypertrophic cardiomyopathy	White	0.05	250	467078
575.1	Cholangitis	Total	0.17	821	476419
575.1	Cholangitis	Asian	0.15	14	9451
575.1	Cholangitis	Black	0.08	6	7819
575.1	Cholangitis	Chinese	0.26	4	1520
575.1	Cholangitis	Mixed	0.11	3	2798
575.1	Cholangitis	Other	0.18	11	6157
575.1	Cholangitis	White	0.17	783	448674
442.11	Abdominal aortic aneurysm	Total	0.29	1423	488142
442.11	Abdominal aortic aneurysm	Asian	0.08	8	9625
442.11	Abdominal aortic aneurysm	Black	0.13	10	7884
442.11	Abdominal aortic aneurysm	Chinese	0.06	1	1550
442.11	Abdominal aortic aneurysm	Mixed	0.0	0	2858
442.11	Abdominal aortic aneurysm	Other	0.14	9	6275
442.11	Abdominal aortic aneurysm	White	0.3	1395	459950
531.3	Duodenal ulcer	Total	0.8	3948	489950
531.3	Duodenal ulcer	Asian	1.01	98	9578
531.3	Duodenal ulcer	Black	0.62	49	7855
531.3	Duodenal ulcer	Chinese	0.65	10	1538
531.3	Duodenal ulcer	Mixed	0.73	21	2846
531.3	Duodenal ulcer	Other	1.03	65	6248
531.3	Duodenal ulcer	White	0.8	3705	461885
788.0	Syncope and collapse	Total	2.66	13306	487122
788.0	Syncope and collapse	Asian	2.91	286	9537
788.0	Syncope and collapse	Black	2.16	173	7846
788.0	Syncope and collapse	Chinese	1.53	24	1545
788.0	Syncope and collapse	Mixed	1.99	58	2850
788.0	Syncope and collapse	Other	2.88	185	6237
788.0	Syncope and collapse	White	2.67	12580	459107
365.11	Primary open angle glaucoma	Total	0.38	1857	482838
365.11	Primary open angle glaucoma	Asian	0.56	53	9402
365.11	Primary open angle glaucoma	Black	1.18	91	7645
365.11	Primary open angle glaucoma	Chinese	0.2	3	1531
365.11	Primary open angle glaucoma	Mixed	0.18	5	2825
365.11	Primary open angle glaucoma	Other	0.55	34	6186
365.11	Primary open angle glaucoma	White	0.37	1671	455249
459.9	Circulatory disease NEC	Total	5.1	25141	467602
459.9	Circulatory disease NEC	Asian	4.21	406	9244
459.9	Circulatory disease NEC	Black	5.05	401	7537
459.9	Circulatory disease NEC	Chinese	2.07	32	1517
459.9	Circulatory disease NEC	Mixed	4.45	128	2746
459.9	Circulatory disease NEC	Other	4.32	274	6066
459.9	Circulatory disease NEC	White	5.15	23900	440492
835.0	Internal derangement of knee	Total	1.04	5167	492462
835.0	Internal derangement of knee	Asian	1.24	121	9654
835.0	Internal derangement of knee	Black	0.89	71	7917
835.0	Internal derangement of knee	Chinese	0.58	9	1556
835.0	Internal derangement of knee	Mixed	1.32	38	2845
835.0	Internal derangement of knee	Other	1.14	73	6313
835.0	Internal derangement of knee	White	1.04	4855	464177
214.1	Lipoma of skin and subcutaneous tissue	Total	1.35	6685	490213
214.1	Lipoma of skin and subcutaneous tissue	Asian	1.88	183	9564
214.1	Lipoma of skin and subcutaneous tissue	Black	2.54	202	7752
214.1	Lipoma of skin and subcutaneous tissue	Chinese	1.35	21	1540
