PheCode	Phenotype	Age	Prevalence	Case	Controls
242.2	Toxic multinodular goiter	Total	0.03	140	474858
242.2	Toxic multinodular goiter	Female	0.05	122	251658
242.2	Toxic multinodular goiter	Male	0.01	18	223200
619.2	Disorders of uterus, NEC	Total	0.9	4442	488638
619.2	Disorders of uterus, NEC	Female	1.68	4442	260580
619.2	Disorders of uterus, NEC	Male	0.0	0	228058
189.12	Malignant neoplasm of renal pelvis	Total	0.02	104	494561
189.12	Malignant neoplasm of renal pelvis	Female	0.01	39	270641
189.12	Malignant neoplasm of renal pelvis	Male	0.03	65	223920
496.3	Bronchiectasis	Total	0.69	3140	452084
496.3	Bronchiectasis	Female	0.72	1784	244832
496.3	Bronchiectasis	Male	0.65	1356	207252
472.0	Chronic pharyngitis and nasopharyngitis	Total	0.26	1237	475549
472.0	Chronic pharyngitis and nasopharyngitis	Female	0.23	600	260917
472.0	Chronic pharyngitis and nasopharyngitis	Male	0.3	637	214632
722.9	Other and unspecified disc disorder	Total	1.17	5754	487642
722.9	Other and unspecified disc disorder	Female	1.15	3083	265073
722.9	Other and unspecified disc disorder	Male	1.19	2671	222569
199.0	Neoplasm of uncertain behavior	Total	0.36	1618	447279
199.0	Neoplasm of uncertain behavior	Female	0.33	799	243022
199.0	Neoplasm of uncertain behavior	Male	0.4	819	204257
198.1	Secondary malignancy of lymph nodes	Total	1.79	8133	447279
198.1	Secondary malignancy of lymph nodes	Female	2.09	5195	243022
198.1	Secondary malignancy of lymph nodes	Male	1.42	2938	204257
873.0	Broken tooth	Total	0.03	129	488645
873.0	Broken tooth	Female	0.02	59	268058
873.0	Broken tooth	Male	0.03	70	220587
255.11	Cushing's syndrome	Total	0.03	151	494804
255.11	Cushing's syndrome	Female	0.04	117	269222
255.11	Cushing's syndrome	Male	0.02	34	225582
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	Total	0.06	308	477326
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	Female	0.06	157	260716
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	Male	0.07	151	216610
527.8	Other specified diseases of the salivary glands	Total	0.04	175	492610
527.8	Other specified diseases of the salivary glands	Female	0.04	102	268020
527.8	Other specified diseases of the salivary glands	Male	0.03	73	224590
530.7	Gastroesophageal laceration-hemorrhage syndrome	Total	0.1	440	442592
530.7	Gastroesophageal laceration-hemorrhage syndrome	Female	0.08	183	241260
530.7	Gastroesophageal laceration-hemorrhage syndrome	Male	0.13	257	201332
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	Total	0.11	527	461001
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	Female	0.13	323	246290
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	Male	0.09	204	214711
278.1	Obesity	Total	3.82	19089	481189
278.1	Obesity	Female	3.92	10661	261600
278.1	Obesity	Male	3.7	8428	219589
420.1	Myocarditis	Total	0.03	165	495513
420.1	Myocarditis	Female	0.03	69	270495
420.1	Myocarditis	Male	0.04	96	225018
626.1	Irregular menstrual cycle/bleeding	Total	0.45	2115	463077
626.1	Irregular menstrual cycle/bleeding	Female	0.89	2115	235021
626.1	Irregular menstrual cycle/bleeding	Male	0.0	0	228056
614.32	Chronic inflammatory pelvic disease	Total	0.11	549	489046
614.32	Chronic inflammatory pelvic disease	Female	0.21	549	260989
614.32	Chronic inflammatory pelvic disease	Male	0.0	0	228057
134.1	Intestinal helminthiases	Total	0.03	167	499505
134.1	Intestinal helminthiases	Female	0.03	83	271938
134.1	Intestinal helminthiases	Male	0.04	84	227567
155.0	Cancer of liver and intrahepatic bile duct	Total	0.09	412	477326
155.0	Cancer of liver and intrahepatic bile duct	Female	0.07	189	260716
155.0	Cancer of liver and intrahepatic bile duct	Male	0.1	223	216610
507.0	Pleurisy; pleural effusion	Total	2.08	10264	482092
507.0	Pleurisy; pleural effusion	Female	1.6	4316	264623
507.0	Pleurisy; pleural effusion	Male	2.66	5948	217469
202.0	Cancer of other lymphoid, histiocytic tissue	Total	0.35	1723	494261
202.0	Cancer of other lymphoid, histiocytic tissue	Female	0.29	784	269577
202.0	Cancer of other lymphoid, histiocytic tissue	Male	0.42	939	224684
614.54	Abscess or ulceration of vulva	Total	0.07	347	489046
614.54	Abscess or ulceration of vulva	Female	0.13	347	260989
614.54	Abscess or ulceration of vulva	Male	0.0	0	228057
740.1	Osteoarthritis; localized	Total	2.9	13979	468627
740.1	Osteoarthritis; localized	Female	3.24	8485	253513
740.1	Osteoarthritis; localized	Male	2.49	5494	215114
286.11	Von willebrand's disease	Total	0.03	151	496348
286.11	Von willebrand's disease	Female	0.04	98	270348
286.11	Von willebrand's disease	Male	0.02	53	226000
217.1	Nevus, non-neoplastic	Total	0.16	790	488548
217.1	Nevus, non-neoplastic	Female	0.16	420	264995
217.1	Nevus, non-neoplastic	Male	0.17	370	223553
165.0	Cancer within the respiratory system	Total	0.34	1702	496092
165.0	Cancer within the respiratory system	Female	0.23	627	270484
165.0	Cancer within the respiratory system	Male	0.47	1075	225608
255.21	Glucocorticoid deficiency	Total	0.11	546	494804
255.21	Glucocorticoid deficiency	Female	0.12	319	269222
255.21	Glucocorticoid deficiency	Male	0.1	227	225582
337.0	Disorders of the autonomic nervous system	Total	0.06	268	480324
337.0	Disorders of the autonomic nervous system	Female	0.05	126	262564
337.0	Disorders of the autonomic nervous system	Male	0.07	142	217760
345.11	Generalized convulsive epilepsy	Total	0.13	615	480324
345.11	Generalized convulsive epilepsy	Female	0.11	281	262564
345.11	Generalized convulsive epilepsy	Male	0.15	334	217760
290.11	Alzheimer's disease	Total	0.19	938	489014
290.11	Alzheimer's disease	Female	0.17	457	267399
290.11	Alzheimer's disease	Male	0.22	481	221615
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	Total	0.24	1168	490289
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	Female	0.44	1168	262234
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	Male	0.0	0	228055
743.11	Osteoporosis NOS	Total	1.17	5856	494239
743.11	Osteoporosis NOS	Female	1.83	4968	267214
743.11	Osteoporosis NOS	Male	0.39	888	227025
289.4	Lymphadenitis	Total	0.81	3971	489304
289.4	Lymphadenitis	Female	0.74	1985	266288
289.4	Lymphadenitis	Male	0.88	1986	223016
550.5	Ventral hernia	Total	1.12	4908	434812
550.5	Ventral hernia	Female	0.99	2457	245216
550.5	Ventral hernia	Male	1.28	2451	189596
804.0	Fracture of hand or wrist	Total	0.14	716	495626
804.0	Fracture of hand or wrist	Female	0.11	289	269827
804.0	Fracture of hand or wrist	Male	0.19	427	225799
425.12	Other hypertrophic cardiomyopathy	Total	0.06	287	495513
425.12	Other hypertrophic cardiomyopathy	Female	0.03	93	270495
425.12	Other hypertrophic cardiomyopathy	Male	0.09	194	225018
575.1	Cholangitis	Total	0.17	821	476419
575.1	Cholangitis	Female	0.13	345	256040
575.1	Cholangitis	Male	0.22	476	220379
442.11	Abdominal aortic aneurysm	Total	0.29	1423	488142
442.11	Abdominal aortic aneurysm	Female	0.07	195	267338
442.11	Abdominal aortic aneurysm	Male	0.55	1228	220804
531.3	Duodenal ulcer	Total	0.8	3948	489950
531.3	Duodenal ulcer	Female	0.54	1460	267657
531.3	Duodenal ulcer	Male	1.11	2488	222293
788.0	Syncope and collapse	Total	2.66	13306	487122
788.0	Syncope and collapse	Female	2.21	6020	266348
788.0	Syncope and collapse	Male	3.19	7286	220774
365.11	Primary open angle glaucoma	Total	0.38	1857	482838
365.11	Primary open angle glaucoma	Female	0.32	842	263427
365.11	Primary open angle glaucoma	Male	0.46	1015	219411
459.9	Circulatory disease NEC	Total	5.1	25141	467602
459.9	Circulatory disease NEC	Female	4.35	11671	256794
459.9	Circulatory disease NEC	Male	6.01	13470	210808
835.0	Internal derangement of knee	Total	1.04	5167	492462
835.0	Internal derangement of knee	Female	0.86	2334	268846
835.0	Internal derangement of knee	Male	1.25	2833	223616
214.1	Lipoma of skin and subcutaneous tissue	Total	1.35	6685	490213
214.1	Lipoma of skin and subcutaneous tissue	Female	1.28	3472	267474
214.1	Lipoma of skin and subcutaneous tissue	Male	1.42	3213	222739
191.11	Cancer of brain	Total	0.14	719	497969
191.11	Cancer of brain	Female	0.11	293	271005
191.11	Cancer of brain	Male	0.19	426	226964
724.9	Other unspecified back disorders	Total	0.14	683	487642
724.9	Other unspecified back disorders	Female	0.11	304	265073
724.9	Other unspecified back disorders	Male	0.17	379	222569
783.0	Fever of unknown origin	Total	1.19	5945	494483
783.0	Fever of unknown origin	Female	1.11	3016	269352
783.0	Fever of unknown origin	Male	1.28	2929	225131
426.8	Other cardiac conduction disorders	Total	0.02	100	458792
426.8	Other cardiac conduction disorders	Female	0.02	51	255264
426.8	Other cardiac conduction disorders	Male	0.02	49	203528
250.6	Polyneuropathy in diabetes	Total	0.14	666	468659
250.6	Polyneuropathy in diabetes	Female	0.08	205	259550
250.6	Polyneuropathy in diabetes	Male	0.22	461	209109
366.1	Nonsenile Cataract	Total	0.02	112	466454
366.1	Nonsenile Cataract	Female	0.02	62	253224
366.1	Nonsenile Cataract	Male	0.02	50	213230
411.4	Coronary atherosclerosis	Total	5.77	27892	455461
411.4	Coronary atherosclerosis	Female	2.64	6978	257267
411.4	Coronary atherosclerosis	Male	9.55	20914	198194
537.0	Other disorders of stomach and duodenum	Total	1.11	5112	455544
537.0	Other disorders of stomach and duodenum	Female	1.06	2664	248156
537.0	Other disorders of stomach and duodenum	Male	1.17	2448	207388
681.2	Cellulitis and abscess of face/neck	Total	0.14	701	484382
681.2	Cellulitis and abscess of face/neck	Female	0.15	396	265342
681.2	Cellulitis and abscess of face/neck	Male	0.14	305	219040
550.2	Diaphragmatic hernia	Total	8.26	39144	434812
550.2	Diaphragmatic hernia	Female	8.36	22357	245216
550.2	Diaphragmatic hernia	Male	8.13	16787	189596
292.0	Neurological disorders	Total	0.17	829	489014
292.0	Neurological disorders	Female	0.14	364	267399
292.0	Neurological disorders	Male	0.21	465	221615
117.0	Mycoses	Total	0.04	215	496017
117.0	Mycoses	Female	0.04	99	269986
117.0	Mycoses	Male	0.05	116	226031
480.5	Bronchopneumonia and lung abscess	Total	0.12	603	483389
480.5	Bronchopneumonia and lung abscess	Female	0.1	252	264838
480.5	Bronchopneumonia and lung abscess	Male	0.16	351	218551
242.3	Exophthalmos	Total	0.04	175	474858
242.3	Exophthalmos	Female	0.06	140	251658
242.3	Exophthalmos	Male	0.02	35	223200
216.0	Benign neoplasm of skin	Total	2.21	11061	488548
216.0	Benign neoplasm of skin	Female	2.55	6927	264995
216.0	Benign neoplasm of skin	Male	1.82	4134	223553
604.0	Disorders of penis	Total	0.22	1043	472891
604.0	Disorders of penis	Female	0.0	4	272355
604.0	Disorders of penis	Male	0.52	1039	200536
601.8	Other inflammatory disorders of male genital organs	Total	0.08	386	474083
601.8	Other inflammatory disorders of male genital organs	Female	0.0	0	272204
601.8	Other inflammatory disorders of male genital organs	Male	0.19	386	201879
426.3	Bundle branch block	Total	0.1	479	458792
426.3	Bundle branch block	Female	0.06	142	255264
426.3	Bundle branch block	Male	0.17	337	203528
370.0	Keratitis	Total	0.04	188	486857
370.0	Keratitis	Female	0.04	115	264902
370.0	Keratitis	Male	0.03	73	221955
385.3	Cholesteatoma	Total	0.14	714	495303
385.3	Cholesteatoma	Female	0.12	326	269679
385.3	Cholesteatoma	Male	0.17	388	225624
333.0	Extrapyramidal disease and abnormal movement disorders	Total	0.11	532	480324
333.0	Extrapyramidal disease and abnormal movement disorders	Female	0.12	304	262564
333.0	Extrapyramidal disease and abnormal movement disorders	Male	0.1	228	217760
697.0	Sarcoidosis	Total	0.18	874	494289
697.0	Sarcoidosis	Female	0.18	473	268670
697.0	Sarcoidosis	Male	0.18	401	225619
965.3	Salicylates causing adverse effects in therapeutic use	Total	0.11	499	461001
965.3	Salicylates causing adverse effects in therapeutic use	Female	0.09	221	246290
965.3	Salicylates causing adverse effects in therapeutic use	Male	0.13	278	214711
338.1	Acute pain	Total	0.12	597	499238
338.1	Acute pain	Female	0.12	330	271671
338.1	Acute pain	Male	0.12	267	227567
420.3	Endocarditis	Total	0.21	1061	495513
420.3	Endocarditis	Female	0.16	441	270495
420.3	Endocarditis	Male	0.27	620	225018
433.1	Occlusion and stenosis of precerebral arteries	Total	0.31	1517	485596
433.1	Occlusion and stenosis of precerebral arteries	Female	0.18	482	266169
433.1	Occlusion and stenosis of precerebral arteries	Male	0.47	1035	219427
300.13	Phobia	Total	0.23	1010	441655
300.13	Phobia	Female	0.29	712	245022
300.13	Phobia	Male	0.15	298	196633
579.2	Splenomegaly	Total	0.14	670	466397
579.2	Splenomegaly	Female	0.09	227	254455
579.2	Splenomegaly	Male	0.21	443	211942
454.11	Varicose veins of lower extremity, symptomtic	Total	0.23	1047	449158
454.11	Varicose veins of lower extremity, symptomtic	Female	0.19	474	244561
454.11	Varicose veins of lower extremity, symptomtic	Male	0.28	573	204597
571.5	Other chronic nonalcoholic liver disease	Total	0.58	2848	486179
571.5	Other chronic nonalcoholic liver disease	Female	0.53	1407	265153
571.5	Other chronic nonalcoholic liver disease	Male	0.65	1441	221026
345.0	Epilepsy, recurrent seizures, convulsions	Total	0.96	4651	480324
345.0	Epilepsy, recurrent seizures, convulsions	Female	0.87	2303	262564
345.0	Epilepsy, recurrent seizures, convulsions	Male	1.07	2348	217760
300.3	Obsessive-compulsive disorders	Total	0.05	224	441655
300.3	Obsessive-compulsive disorders	Female	0.05	114	245022
300.3	Obsessive-compulsive disorders	Male	0.06	110	196633
519.8	Other diseases of respiratory system, NEC	Total	2.74	13707	485913
519.8	Other diseases of respiratory system, NEC	Female	2.44	6649	265300
519.8	Other diseases of respiratory system, NEC	Male	3.1	7058	220613
381.1	Otitis media	Total	0.28	1392	495303
381.1	Otitis media	Female	0.25	686	269679
381.1	Otitis media	Male	0.31	706	225624
198.5	Secondary malignancy of brain/spine	Total	0.29	1311	447279
198.5	Secondary malignancy of brain/spine	Female	0.3	721	243022
198.5	Secondary malignancy of brain/spine	Male	0.29	590	204257
285.22	Anemia in neoplastic disease	Total	0.14	651	470418
285.22	Anemia in neoplastic disease	Female	0.14	367	254494
285.22	Anemia in neoplastic disease	Male	0.13	284	215924
189.2	Cancer of bladder	Total	0.22	1086	494561
189.2	Cancer of bladder	Female	0.11	288	270641
189.2	Cancer of bladder	Male	0.36	798	223920
386.2	Peripheral or central vertigo	Total	0.13	648	491074
386.2	Peripheral or central vertigo	Female	0.14	382	267269
386.2	Peripheral or central vertigo	Male	0.12	266	223805
969.0	Poisoning by psychotropic agents	Total	0.52	2430	461001
969.0	Poisoning by psychotropic agents	Female	0.57	1416	246290
969.0	Poisoning by psychotropic agents	Male	0.47	1014	214711
415.0	Pulmonary heart disease	Total	1.09	5393	490240
415.0	Pulmonary heart disease	Female	0.92	2483	268142
415.0	Pulmonary heart disease	Male	1.29	2910	222098
564.8	Abnormal findings on exam of gastrointestinal tract/ abdominal area	Total	0.66	2621	394601
564.8	Abnormal findings on exam of gastrointestinal tract/ abdominal area	Female	0.73	1554	212610
564.8	Abnormal findings on exam of gastrointestinal tract/ abdominal area	Male	0.58	1067	181991
275.1	Disorders of iron metabolism	Total	0.2	972	496759
275.1	Disorders of iron metabolism	Female	0.12	324	270655
275.1	Disorders of iron metabolism	Male	0.29	648	226104
470.0	Septal Deviations/Turbinate Hypertrophy	Total	1.25	6011	475549
470.0	Septal Deviations/Turbinate Hypertrophy	Female	0.87	2293	260917
470.0	Septal Deviations/Turbinate Hypertrophy	Male	1.7	3718	214632
386.3	Labyrinthitis	Total	0.21	1048	491074
386.3	Labyrinthitis	Female	0.21	574	267269
386.3	Labyrinthitis	Male	0.21	474	223805
938.2	Chronic dermatitis due to solar radiation	Total	0.08	377	494278
938.2	Chronic dermatitis due to solar radiation	Female	0.07	192	268916
938.2	Chronic dermatitis due to solar radiation	Male	0.08	185	225362
871.3	Open wound of foot except toe(s) alone	Total	0.05	239	488645
871.3	Open wound of foot except toe(s) alone	Female	0.04	119	268058
871.3	Open wound of foot except toe(s) alone	Male	0.05	120	220587
473.3	Paralysis/spasm of vocal cords or larynx	Total	0.09	407	475549
473.3	Paralysis/spasm of vocal cords or larynx	Female	0.08	207	260917
473.3	Paralysis/spasm of vocal cords or larynx	Male	0.09	200	214632
560.4	Other intestinal obstruction	Total	1.23	4905	394601
560.4	Other intestinal obstruction	Female	1.31	2812	212610
560.4	Other intestinal obstruction	Male	1.14	2093	181991
184.0	Cancer of other female genital organs	Total	0.04	198	476572
184.0	Cancer of other female genital organs	Female	0.08	198	248699
184.0	Cancer of other female genital organs	Male	0.0	0	227873
360.2	Progressive myopia	Total	0.07	332	482838
360.2	Progressive myopia	Female	0.07	185	263427
360.2	Progressive myopia	Male	0.07	147	219411
735.0	Acquired foot deformities	Total	0.04	197	485349
735.0	Acquired foot deformities	Female	0.05	128	260128
735.0	Acquired foot deformities	Male	0.03	69	225221
574.11	Cholelithiasis with acute cholecystitis	Total	0.47	2227	476419
574.11	Cholelithiasis with acute cholecystitis	Female	0.54	1379	256040
574.11	Cholelithiasis with acute cholecystitis	Male	0.38	848	220379
374.1	Ectropion or entropion	Total	0.32	1573	486857
374.1	Ectropion or entropion	Female	0.24	646	264902
374.1	Ectropion or entropion	Male	0.42	927	221955
429.3	Symptoms involving cardiovascular system	Total	0.06	300	490466
429.3	Symptoms involving cardiovascular system	Female	0.06	164	268999
429.3	Symptoms involving cardiovascular system	Male	0.06	136	221467
695.3	Rosacea	Total	0.09	452	494289
695.3	Rosacea	Female	0.08	202	268670
695.3	Rosacea	Male	0.11	250	225619
522.0	Diseases of pulp and periapical tissues	Total	0.16	774	485832
522.0	Diseases of pulp and periapical tissues	Female	0.17	444	264064
522.0	Diseases of pulp and periapical tissues	Male	0.15	330	221768
172.3	Carcinoma in situ of skin	Total	0.21	1025	480841
172.3	Carcinoma in situ of skin	Female	0.2	520	262764
172.3	Carcinoma in situ of skin	Male	0.23	505	218077
624.9	stress incontinence, female	Total	1.51	7470	488771
624.9	stress incontinence, female	Female	2.7	7240	260942
624.9	stress incontinence, female	Male	0.1	230	227829
735.23	Hallux rigidus	Total	0.42	2024	485349
735.23	Hallux rigidus	Female	0.58	1515	260128
735.23	Hallux rigidus	Male	0.23	509	225221
371.3	Inflammation of eyelids	Total	0.66	3223	486857
371.3	Inflammation of eyelids	Female	0.6	1600	264902
371.3	Inflammation of eyelids	Male	0.73	1623	221955
626.8	Infertility, female	Total	0.28	1313	463077
626.8	Infertility, female	Female	0.56	1313	235021
626.8	Infertility, female	Male	0.0	0	228056
643.1	Hyperemesis gravidarum	Total	0.04	197	500118
643.1	Hyperemesis gravidarum	Female	0.07	197	272058
643.1	Hyperemesis gravidarum	Male	0.0	0	228060
625.1	Dyspareunia	Total	0.26	1297	488771
625.1	Dyspareunia	Female	0.49	1297	260942
625.1	Dyspareunia	Male	0.0	0	227829
568.1	Peritoneal adhesions (postoperative) (postinfection)	Total	1.05	4971	469177
568.1	Peritoneal adhesions (postoperative) (postinfection)	Female	1.22	3170	256812
568.1	Peritoneal adhesions (postoperative) (postinfection)	Male	0.84	1801	212365
202.24	Large cell lymphoma	Total	0.18	868	494261
202.24	Large cell lymphoma	Female	0.14	372	269577
202.24	Large cell lymphoma	Male	0.22	496	224684
360.0	Disorders of the globe	Total	0.02	110	482838
360.0	Disorders of the globe	Female	0.02	60	263427
360.0	Disorders of the globe	Male	0.02	50	219411
454.1	Varicose veins of lower extremity	Total	2.88	13339	449158
454.1	Varicose veins of lower extremity	Female	3.5	8859	244561
454.1	Varicose veins of lower extremity	Male	2.14	4480	204597
269.0	Proteinuria	Total	0.1	513	499210
269.0	Proteinuria	Female	0.07	199	271854
269.0	Proteinuria	Male	0.14	314	227356
364.5	Corneal dystrophy	Total	0.07	345	482838
364.5	Corneal dystrophy	Female	0.08	208	263427
364.5	Corneal dystrophy	Male	0.06	137	219411
252.1	Hyperparathyroidism	Total	0.25	1235	494804
252.1	Hyperparathyroidism	Female	0.34	913	269222
252.1	Hyperparathyroidism	Male	0.14	322	225582
442.1	Aortic aneurysm	Total	0.19	927	488142
442.1	Aortic aneurysm	Female	0.09	253	267338
442.1	Aortic aneurysm	Male	0.3	674	220804
564.1	Irritable Bowel Syndrome	Total	2.03	8169	394601
564.1	Irritable Bowel Syndrome	Female	2.8	6125	212610
564.1	Irritable Bowel Syndrome	Male	1.11	2044	181991
426.31	Right bundle branch block	Total	0.56	2606	458792
426.31	Right bundle branch block	Female	0.31	782	255264
426.31	Right bundle branch block	Male	0.89	1824	203528
706.1	Acne	Total	0.02	103	488374
706.1	Acne	Female	0.02	59	266110
706.1	Acne	Male	0.02	44	222264
650.0	Normal delivery	Total	0.53	2631	497797
650.0	Normal delivery	Female	0.97	2631	269737
650.0	Normal delivery	Male	0.0	0	228060
694.3	Vascular disorders of skin	Total	0.04	192	494289
694.3	Vascular disorders of skin	Female	0.04	104	268670
694.3	Vascular disorders of skin	Male	0.04	88	225619
510.0	Other diseases of lung	Total	0.29	1465	498910
510.0	Other diseases of lung	Female	0.26	705	271639
510.0	Other diseases of lung	Male	0.33	760	227271
386.1	Meniere's disease	Total	0.16	807	491074
386.1	Meniere's disease	Female	0.19	499	267269
386.1	Meniere's disease	Male	0.14	308	223805
715.1	Sacroiliitis NEC	Total	0.03	127	494646
715.1	Sacroiliitis NEC	Female	0.04	102	268585
715.1	Sacroiliitis NEC	Male	0.01	25	226061
689.0	Disorder of skin and subcutaneous tissue NOS	Total	1.63	8142	492286
689.0	Disorder of skin and subcutaneous tissue NOS	Female	1.63	4429	267939
689.0	Disorder of skin and subcutaneous tissue NOS	Male	1.63	3713	224347
555.2	Ulcerative colitis	Total	1.02	4079	394601
555.2	Ulcerative colitis	Female	0.92	1967	212610
555.2	Ulcerative colitis	Male	1.15	2112	181991
736.0	Other acquired deformities of limbs	Total	0.08	389	485349
736.0	Other acquired deformities of limbs	Female	0.08	201	260128
736.0	Other acquired deformities of limbs	Male	0.08	188	225221
415.21	Primary pulmonary hypertension	Total	0.13	639	490240
415.21	Primary pulmonary hypertension	Female	0.12	317	268142
415.21	Primary pulmonary hypertension	Male	0.14	322	222098
300.0	Anxiety disorders	Total	0.11	502	441655
300.0	Anxiety disorders	Female	0.11	280	245022
300.0	Anxiety disorders	Male	0.11	222	196633
274.21	Chondrocalcinosis	Total	0.08	394	496808
274.21	Chondrocalcinosis	Female	0.07	197	271718
274.21	Chondrocalcinosis	Male	0.09	197	225090
963.0	Poisoning by primarily systemic agents	Total	0.05	240	461001
963.0	Poisoning by primarily systemic agents	Female	0.07	169	246290
963.0	Poisoning by primarily systemic agents	Male	0.03	71	214711
563.0	Constipation	Total	4.05	16652	394601
563.0	Constipation	Female	4.46	9920	212610
563.0	Constipation	Male	3.57	6732	181991
296.22	Major depressive disorder	Total	0.13	553	441655
296.22	Major depressive disorder	Female	0.15	357	245022
296.22	Major depressive disorder	Male	0.1	196	196633
367.1	Myopia	Total	0.42	2071	496505
367.1	Myopia	Female	0.43	1159	270208
367.1	Myopia	Male	0.4	912	226297
614.53	Cyst or abscess of Bartholin's gland	Total	0.19	929	489046
614.53	Cyst or abscess of Bartholin's gland	Female	0.35	929	260989
614.53	Cyst or abscess of Bartholin's gland	Male	0.0	0	228057
185.0	Cancer of prostate	Total	1.84	8891	474083
185.0	Cancer of prostate	Female	0.0	6	272204
185.0	Cancer of prostate	Male	4.22	8885	201879
316.0	Substance addiction and disorders	Total	0.13	594	458340
316.0	Substance addiction and disorders	Female	0.07	169	254795
316.0	Substance addiction and disorders	Male	0.21	425	203545
561.1	Diarrhea	Total	0.2	783	394601
561.1	Diarrhea	Female	0.24	519	212610
561.1	Diarrhea	Male	0.14	264	181991
651.0	Multiple gestation	Total	0.09	467	499961
651.0	Multiple gestation	Female	0.17	467	271901
651.0	Multiple gestation	Male	0.0	0	228060
781.0	Symptoms involving nervous and musculoskeletal systems	Total	0.58	2919	497505
