Phenotype	PheCode	Asian	Chinese	Black	Mixed	White	Other
Other hypertrophic cardiomyopathy	425.12	0.07	0.06	0.23	0.07	0.05	0.14
Cholangitis	575.1	0.15	0.26	0.08	0.11	0.17	0.18
Abdominal aortic aneurysm	442.11	0.08	0.06	0.13	0.0	0.3	0.14
Duodenal ulcer	531.3	1.01	0.65	0.62	0.73	0.8	1.03
Syncope and collapse	788.0	2.91	1.53	2.16	1.99	2.67	2.88
Primary open angle glaucoma	365.11	0.56	0.2	1.18	0.18	0.37	0.55
Circulatory disease NEC	459.9	4.21	2.07	5.05	4.45	5.15	4.32
Internal derangement of knee	835.0	1.24	0.58	0.89	1.32	1.04	1.14
Lipoma of skin and subcutaneous tissue	214.1	1.88	1.35	2.54	1.87	1.31	1.69
Cancer of brain	191.11	0.09	0.06	0.05	0.1	0.15	0.16
Other unspecified back disorders	724.9	0.06	0.0	0.24	0.07	0.14	0.14
Fever of unknown origin	783.0	2.25	0.96	1.52	1.31	1.16	1.49
Other cardiac conduction disorders	426.8	0.02	0.0	0.0	0.07	0.02	0.05
Polyneuropathy in diabetes	250.6	0.32	0.07	0.17	0.15	0.14	0.28
Nonsenile Cataract	366.1	0.11	0.07	0.12	0.0	0.02	0.12
Coronary atherosclerosis	411.4	10.95	2.33	2.86	3.85	5.73	5.95
Other disorders of stomach and duodenum	537.0	1.19	0.96	1.22	0.74	1.11	1.11
Cellulitis and abscess of face/neck	681.2	0.08	0.0	0.14	0.18	0.15	0.18
Diaphragmatic hernia	550.2	7.42	3.43	5.3	6.4	8.37	7.23
Neurological disorders	292.0	0.19	0.13	0.19	0.28	0.17	0.06
Mycoses	117.0	0.03	0.06	0.04	0.03	0.04	0.08
Bronchopneumonia and lung abscess	480.5	0.05	0.06	0.1	0.25	0.13	0.1
Exophthalmos	242.3	0.04	0.07	0.06	0.11	0.04	0.03
Benign neoplasm of skin	216.0	1.25	1.66	0.87	2.03	2.27	1.47
Disorders of penis	604.0	0.26	0.26	0.18	0.14	0.22	0.1
Other inflammatory disorders of male genital organs	601.8	0.12	0.0	0.04	0.0	0.08	0.05
Bundle branch block	426.3	0.11	0.0	0.13	0.15	0.1	0.07
Keratitis	370.0	0.04	0.0	0.05	0.04	0.04	0.03
Cholesteatoma	385.3	0.22	0.06	0.08	0.03	0.15	0.08
Extrapyramidal disease and abnormal movement disorders	333.0	0.07	0.0	0.08	0.07	0.11	0.13
Sarcoidosis	697.0	0.4	0.0	0.72	0.24	0.16	0.31
Salicylates causing adverse effects in therapeutic use	965.3	0.08	0.07	0.08	0.08	0.11	0.05
Acute pain	338.1	0.2	0.06	0.27	0.21	0.11	0.2
Endocarditis	420.3	0.28	0.19	0.16	0.1	0.21	0.17
Occlusion and stenosis of precerebral arteries	433.1	0.31	0.0	0.17	0.18	0.32	0.22
Phobia	300.13	0.23	0.0	0.4	0.24	0.22	0.42
Splenomegaly	579.2	0.11	0.07	0.13	0.15	0.14	0.17
Varicose veins of lower extremity, symptomtic	454.11	0.26	0.07	0.19	0.04	0.23	0.33
Other chronic nonalcoholic liver disease	571.5	0.83	0.58	0.5	0.53	0.58	0.72
Epilepsy, recurrent seizures, convulsions	345.0	0.82	0.32	0.81	0.64	0.97	0.87
Obsessive-compulsive disorders	300.3	0.03	0.0	0.01	0.04	0.05	0.09
Other diseases of respiratory system, NEC	519.8	3.23	1.15	2.47	2.66	2.74	2.74
Otitis media	381.1	0.4	0.51	0.18	0.07	0.28	0.19
Secondary malignancy of brain/spine	198.5	0.12	0.0	0.12	0.19	0.3	0.26
Anemia in neoplastic disease	285.22	0.1	0.0	0.36	0.07	0.14	0.08
Cancer of bladder	189.2	0.16	0.0	0.06	0.14	0.23	0.08
Peripheral or central vertigo	386.2	0.17	0.06	0.1	0.17	0.13	0.21
Poisoning by psychotropic agents	969.0	0.24	0.07	0.31	0.83	0.53	0.54
Pulmonary heart disease	415.0	0.41	0.38	1.01	0.83	1.11	0.76
Abnormal findings on exam of gastrointestinal tract/ abdominal area	564.8	0.58	0.5	0.64	0.67	0.66	0.55
Disorders of iron metabolism	275.1	0.04	0.13	0.01	0.07	0.2	0.09
Septal Deviations/Turbinate Hypertrophy	470.0	1.67	0.93	0.66	1.62	1.24	1.59
Labyrinthitis	386.3	0.27	0.19	0.25	0.1	0.21	0.14
Chronic dermatitis due to solar radiation	938.2	0.0	0.0	0.01	0.0	0.08	0.06
Open wound of foot except toe(s) alone	871.3	0.04	0.06	0.04	0.04	0.05	0.05
Paralysis/spasm of vocal cords or larynx	473.3	0.1	0.0	0.13	0.04	0.08	0.1
Other intestinal obstruction	560.4	0.81	0.64	1.08	0.96	1.25	1.04
Cancer of other female genital organs	184.0	0.02	0.2	0.05	0.0	0.04	0.03
Progressive myopia	360.2	0.09	0.2	0.04	0.07	0.07	0.03
Acquired foot deformities	735.0	0.03	0.0	0.03	0.0	0.04	0.06
Cholelithiasis with acute cholecystitis	574.11	0.36	0.46	0.26	0.29	0.47	0.52
Ectropion or entropion	374.1	0.19	0.26	0.13	0.21	0.33	0.14
Symptoms involving cardiovascular system	429.3	0.01	0.06	0.1	0.07	0.06	0.1
Rosacea	695.3	0.06	0.0	0.0	0.03	0.1	0.02
Diseases of pulp and periapical tissues	522.0	0.15	0.0	0.19	0.14	0.16	0.03
Carcinoma in situ of skin	172.3	0.0	0.06	0.05	0.0	0.22	0.03
stress incontinence, female	624.9	1.15	0.64	0.68	1.32	1.54	1.13
Hallux rigidus	735.23	0.21	0.0	0.18	0.28	0.43	0.45
Inflammation of eyelids	371.3	1.04	0.52	0.74	0.52	0.65	0.77
Infertility, female	626.8	0.48	1.03	0.84	0.76	0.26	0.44
Hyperemesis gravidarum	643.1	0.12	0.06	0.19	0.14	0.03	0.14
Dyspareunia	625.1	0.17	0.19	0.13	0.42	0.27	0.21
Peritoneal adhesions (postoperative) (postinfection)	568.1	0.95	0.4	0.92	1.24	1.05	1.1
Large cell lymphoma	202.24	0.18	0.19	0.11	0.03	0.18	0.14
Disorders of the globe	360.0	0.02	0.0	0.08	0.04	0.02	0.08
Varicose veins of lower extremity	454.1	2.15	1.06	1.45	2.25	2.95	2.0
Proteinuria	269.0	0.22	0.13	0.21	0.07	0.1	0.05
Corneal dystrophy	364.5	0.01	0.0	0.03	0.07	0.07	0.06
Hyperparathyroidism	252.1	0.26	0.19	0.38	0.17	0.25	0.36
Aortic aneurysm	442.1	0.11	0.0	0.18	0.14	0.19	0.1
Irritable Bowel Syndrome	564.1	1.39	0.57	1.48	1.89	2.06	1.72
Right bundle branch block	426.31	0.6	0.4	0.33	0.29	0.57	0.68
Acne	706.1	0.04	0.0	0.04	0.0	0.02	0.02
Normal delivery	650.0	0.89	0.83	1.58	1.48	0.49	0.81
Vascular disorders of skin	694.3	0.05	0.0	0.03	0.03	0.04	0.11
Other diseases of lung	510.0	0.26	0.19	0.22	0.21	0.3	0.2
Meniere's disease	386.1	0.03	0.06	0.06	0.24	0.17	0.14
Sacroiliitis NEC	715.1	0.04	0.0	0.04	0.07	0.02	0.05
Disorder of skin and subcutaneous tissue NOS	689.0	1.03	0.57	1.06	1.03	1.66	1.45
Ulcerative colitis	555.2	1.3	0.29	0.47	0.75	1.03	0.89
Other acquired deformities of limbs	736.0	0.06	0.0	0.03	0.04	0.08	0.05
Primary pulmonary hypertension	415.21	0.14	0.06	0.22	0.1	0.13	0.16
Anxiety disorders	300.0	0.09	0.0	0.13	0.27	0.11	0.19
Chondrocalcinosis	274.21	0.08	0.0	0.1	0.03	0.08	0.09
Poisoning by primarily systemic agents	963.0	0.03	0.0	0.04	0.08	0.05	0.05
Constipation	563.0	4.12	2.04	4.81	4.03	4.04	4.26
Major depressive disorder	296.22	0.1	0.0	0.07	0.2	0.13	0.05
Myopia	367.1	0.37	0.89	0.15	0.34	0.42	0.38
Cyst or abscess of Bartholin's gland	614.53	0.12	0.46	0.36	0.57	0.18	0.29
Cancer of prostate	185.0	0.84	0.46	2.4	1.16	1.87	1.39
Substance addiction and disorders	316.0	0.1	0.0	0.41	0.46	0.12	0.37
Diarrhea	561.1	0.17	0.0	0.04	0.08	0.2	0.13
Multiple gestation	651.0	0.11	0.0	0.19	0.34	0.09	0.2
Symptoms involving nervous and musculoskeletal systems	781.0	0.76	0.13	0.77	0.52	0.58	0.7
Benign neoplasm of parathyroid gland	227.2	0.13	0.06	0.21	0.07	0.11	0.14
Eosinophilia	288.3	0.02	0.0	0.04	0.0	0.02	0.06
Hyperpotassemia	276.13	0.65	0.13	0.38	0.32	0.36	0.41
Other abnormal blood chemistry	790.6	1.8	1.15	2.28	1.44	2.01	1.76
Symptoms and disorders of the joints	741.0	0.14	0.13	0.11	0.1	0.14	0.13
Corneal opacity	364.1	0.06	0.0	0.05	0.14	0.03	0.03
Polymyalgia Rheumatica	717.0	0.16	0.06	0.2	0.28	0.4	0.22
Pemphigus and pemphigoid	695.22	0.11	0.0	0.04	0.03	0.03	0.03
Cholecystitis without cholelithiasis	574.3	0.75	0.65	0.45	0.78	0.79	0.66
Malignant neoplasm of bladder	189.21	0.34	0.06	0.2	0.59	0.61	0.48
Bacterial pneumonia	480.1	0.42	0.26	0.38	0.21	0.3	0.48
Cerebral aneurysm	433.5	0.13	0.06	0.09	0.07	0.11	0.14
Cancer of oropharynx	149.1	0.04	0.06	0.0	0.1	0.07	0.03
Inflammatory disease of cervix, vagina, and vulva	614.5	0.05	0.0	0.04	0.04	0.04	0.06
Other disorders of eye	379.0	0.13	0.13	0.11	0.07	0.09	0.1
Cancer of tongue	145.2	0.08	0.0	0.0	0.07	0.09	0.06
Disorders of menstruation and other abnormal bleeding from female genital tract	626.0	0.64	0.48	0.8	0.8	0.43	0.59
Excessive or frequent menstruation	626.12	2.98	2.63	6.26	4.73	2.27	3.21
Other venous embolism and thrombosis	452.0	0.08	0.07	0.12	0.19	0.19	0.17
Allergic rhinitis	476.0	0.49	1.19	0.74	0.54	0.38	0.71
Nephrotic syndrome without mention of glomerulonephritis	580.2	0.56	0.32	0.47	0.07	0.15	0.36
Pneumoconiosis	500.2	0.02	0.0	0.0	0.04	0.08	0.02
Symptoms affecting skin	687.0	0.05	0.0	0.03	0.04	0.08	0.02
Gout	274.1	0.77	0.45	0.49	0.69	0.64	0.45
Hypothyroidism NOS	244.4	5.39	2.47	1.94	3.55	4.23	3.97
Chronic pain	338.2	0.16	0.0	0.19	0.17	0.12	0.19
Vitamin B-complex deficiencies	261.2	0.77	0.06	0.2	0.31	0.27	0.27
Other vitamin B12 deficiency anemia	281.12	0.27	0.07	0.09	0.07	0.06	0.05
Acute renal failure	585.1	2.3	0.64	2.43	1.48	1.88	2.08
Acute periodontitis	523.31	0.02	0.13	0.09	0.07	0.04	0.08
Other allied disorders of spine	721.8	0.04	0.0	0.01	0.04	0.04	0.02
Electrolyte imbalance	276.1	0.03	0.0	0.04	0.04	0.05	0.05
Simple and unspecified goiter	240.0	0.12	0.4	0.32	0.29	0.17	0.34
Polyneuropathy due to drugs	316.1	0.01	0.0	0.03	0.0	0.03	0.02
Chronic renal failure [CKD]	585.3	1.96	0.32	1.63	0.67	0.95	1.66
Joint effusions	741.4	0.07	0.0	0.11	0.03	0.07	0.08
Hemorrhage of rectum and anus	578.8	4.06	3.38	3.95	3.91	3.57	4.33
Premenstrual tension syndromes	626.4	0.02	0.0	0.03	0.08	0.04	0.05
Intracranial hemorrhage (injury)	818.0	0.03	0.0	0.03	0.0	0.04	0.05
Antisocial/borderline personality disorder	301.2	0.01	0.0	0.07	0.27	0.04	0.23
Disorders of diaphragm	513.8	0.08	0.0	0.07	0.03	0.05	0.08
Sialoadenitis	527.2	0.03	0.0	0.11	0.03	0.1	0.11
Herpes zoster with nervous system complications	53.1	0.04	0.2	0.05	0.0	0.03	0.06
Speech and language disorder	315.2	0.01	0.0	0.02	0.03	0.03	0.03
Traumatic cataract	366.3	0.0	0.0	0.11	0.04	0.03	0.03
Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	159.0	0.84	1.04	1.08	1.16	1.58	1.29
Other dyschromia	694.2	0.2	0.45	0.16	0.03	0.23	0.17
Contracture of palmar fascia [Dupuytren's disease]	728.71	0.14	0.0	0.03	0.26	0.78	0.25
Bladder neck obstruction	596.1	0.72	0.07	0.53	0.07	0.53	0.68
Other anemias	285.0	6.71	3.05	6.01	4.32	3.57	4.42
Acute and chronic tonsillitis	474.0	0.06	0.2	0.13	0.15	0.12	0.21
Throat pain	478.0	0.18	0.0	0.12	0.18	0.11	0.16
Fracture of neck of femur	800.1	0.01	0.06	0.01	0.03	0.06	0.03
Impacted cerumen	380.4	0.08	0.06	0.02	0.1	0.09	0.11
Toxic effect of other gases, fumes, or vapors	987.0	0.02	0.0	0.0	0.07	0.03	0.05
Complications of labor and delivery NEC	669.0	1.05	1.18	1.64	1.31	0.68	1.11
Orthostatic hypotension	458.1	0.56	0.2	0.42	0.51	0.52	0.49
Gingival and periodontal diseases	523.0	0.26	0.2	0.33	0.07	0.13	0.14
Polyp of corpus uteri	622.1	1.88	1.69	2.49	2.65	2.12	2.35
Bursitis	726.3	0.08	0.0	0.12	0.18	0.16	0.15
Disorders of bilirubin excretion	277.4	0.1	0.0	0.03	0.07	0.11	0.08
Other disorders of biliary tract	575.8	0.23	0.46	0.14	0.11	0.34	0.32
Cardiac shunt/ heart septal defect	747.11	0.17	0.06	0.17	0.1	0.16	0.2
Benign neoplasm of brain, cranial nerves, meninges	225.1	0.18	0.32	0.12	0.17	0.22	0.16
Ulceration of the lower GI tract	556.0	0.19	0.29	0.15	0.13	0.16	0.06
Ventricular fibrillation and flutter	427.41	0.14	0.07	0.13	0.07	0.11	0.1
Hyperhidrosis	705.8	0.23	0.19	0.29	0.25	0.18	0.18
Hypotension	458.0	0.42	0.39	0.29	0.36	0.37	0.31
Glossitis	529.1	0.08	0.13	0.08	0.17	0.09	0.06
Polyp of female genital organs	622.0	0.02	0.07	0.04	0.11	0.06	0.02
Influenza	481.0	0.24	0.19	0.14	0.07	0.13	0.24
Nonrheumatic pulmonary valve disorders	395.4	0.03	0.0	0.08	0.07	0.04	0.05
Other upper respiratory disease	479.0	1.43	1.32	1.0	1.19	1.1	1.42
Peripheral vascular disease, unspecified	443.9	0.82	0.39	0.5	0.59	0.81	0.66
Bacterial infection NOS	41.0	2.9	1.62	2.62	1.83	1.9	2.5
Menopausal and postmenopausal disorders	627.0	0.14	0.0	0.13	0.27	0.16	0.12
Other disorders of middle ear and mastoid	385.0	0.07	0.06	0.0	0.0	0.04	0.03
Cyst and pseudocyst of pancreas	577.3	0.09	0.06	0.05	0.1	0.12	0.09
Pneumonia due to fungus (mycoses)	480.3	0.03	0.0	0.04	0.0	0.04	0.08
Abnormal spermatozoa	609.2	0.03	0.0	0.01	0.04	0.04	0.02
Noninflammatory disorders of vagina	619.4	0.3	0.26	0.31	0.39	0.43	0.51
Cholelithiasis with other cholecystitis	574.12	1.09	0.65	0.64	1.13	1.58	1.11
Fracture of ribs	807.0	0.02	0.0	0.03	0.0	0.08	0.06
Abnormal serum enzyme levels	573.9	0.06	0.0	0.17	0.07	0.07	0.06
Strabismus (not specified as paralytic)	378.1	0.22	0.06	0.14	0.24	0.25	0.19
Cerebrovascular disease	433.0	0.39	0.13	0.66	0.46	0.47	0.62
Gram positive septicemia	38.2	0.22	0.2	0.14	0.18	0.16	0.07
Localized adiposity	278.3	0.01	0.13	0.04	0.04	0.02	0.05
Unspecified disorder of lipoid metabolism	272.9	0.11	0.07	0.04	0.11	0.09	0.16
Cardiac pacemaker/device in situ	426.9	0.07	0.0	0.01	0.04	0.07	0.12
Hemorrhoids	455.0	7.45	9.63	6.61	7.54	6.56	7.28
Endometriosis	615.0	1.06	0.78	1.51	1.69	0.99	1.08
Gingivitis	523.1	0.04	0.0	0.05	0.0	0.03	0.02
Complication of amputation stump	874.0	0.03	0.0	0.06	0.14	0.05	0.02
Other disorders of bone and cartilage	733.0	0.29	0.26	0.1	0.14	0.25	0.21
Viral infection	79.0	0.89	0.13	1.0	0.76	0.75	0.89
Other specified benign mammary dysplasias	610.8	0.25	0.06	0.18	0.21	0.17	0.09
Secondary malignancy of bone	198.6	0.38	0.41	0.53	0.41	0.8	0.77
Umbilical hernia	550.4	1.05	0.2	1.68	1.06	1.21	1.51
Otosclerosis	383.0	0.13	0.0	0.06	0.1	0.08	0.13
Cirrhosis of liver without mention of alcohol	571.51	0.25	0.45	0.29	0.28	0.21	0.38
Musculoskeletal symptoms referable to limbs	771.0	0.25	0.13	0.31	0.34	0.23	0.33
Disorders of the pituitary gland and its hypothalamic control	253.0	0.03	0.06	0.05	0.0	0.03	0.09
Memory loss	292.3	0.12	0.0	0.2	0.28	0.22	0.37
Arterial embolism and thrombosis	444.0	0.1	0.06	0.05	0.21	0.13	0.11
Ileostomy status	559.0	0.37	0.14	0.25	0.42	0.6	0.38
Malignant neoplasm of retroperitoneum and peritoneum	159.4	0.05	0.0	0.0	0.0	0.06	0.03
Pneumonitis due to inhalation of food or vomitus	501.0	0.2	0.13	0.24	0.25	0.23	0.19
Other diseases of blood and blood-forming organs	289.0	0.14	0.06	0.41	0.18	0.15	0.16
Calculus of kidney	594.1	1.23	0.97	0.63	0.77	0.9	1.28
Blindness and low vision	367.9	0.25	0.06	0.38	0.21	0.22	0.33
Other CNS infection and poliomyelitis	324.0	0.14	0.06	0.14	0.03	0.08	0.19
Atrial fibrillation and flutter	427.2	2.46	1.77	1.9	2.49	4.64	3.27
Spontaneous ecchymoses	287.1	0.03	0.0	0.04	0.0	0.04	0.03
Other disorders of thyroid	246.0	0.21	0.33	0.12	0.11	0.13	0.1
Intestinal infection	8.0	0.17	0.13	0.18	0.03	0.13	0.14
Type 1 diabetes with neurological manifestations	250.14	0.04	0.0	0.07	0.04	0.05	0.09
Sinoatrial node dysfunction (Bradycardia)	427.8	0.13	0.13	0.05	0.11	0.15	0.1
Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	293.1	0.27	0.26	0.35	0.31	0.25	0.3
Delirium dementia and amnestic and other cognitive disorders	290.0	0.06	0.0	0.11	0.11	0.14	0.22
Early onset of delivery	636.2	0.47	0.27	0.59	0.61	0.16	0.34
Chronic tonsillitis and adenoiditis	474.2	0.48	0.47	0.47	0.54	0.27	0.38
Intestinal disaccharidase deficiencies and disaccharide malabsorption	271.3	0.07	0.06	0.12	0.07	0.05	0.11
Anemia during pregnancy	644.0	0.61	0.96	0.66	0.38	0.21	0.4
Endometrial hyperplasia	621.0	0.32	0.53	0.32	0.32	0.3	0.45
Ulcerative colitis (chronic)	555.21	0.25	0.0	0.1	0.21	0.2	0.23
Fracture of pelvis	802.0	0.02	0.0	0.01	0.07	0.03	0.0
Displacement of intervertebral disc	722.1	0.09	0.13	0.12	0.14	0.1	0.16
Fracture of lower limb	800.0	0.11	0.0	0.04	0.07	0.12	0.03
Other diseases of respiratory system, not elsewhere classified	519.0	0.04	0.0	0.04	0.07	0.03	0.05
Chronic airway obstruction	496.0	1.56	0.74	0.98	2.12	2.65	2.18
Inguinal hernia	550.1	3.63	1.26	2.26	2.68	4.7	3.56
Pyelonephritis	590.0	0.8	0.2	0.7	1.03	0.43	0.61
Cancer of other female genital organs (excluding uterus and ovary)	184.2	0.04	0.0	0.1	0.0	0.09	0.05
Complication of internal orthopedic device	858.0	0.55	0.33	0.57	0.89	1.08	0.94
Nonspecific findings on examination of blood	790.0	0.03	0.0	0.11	0.0	0.06	0.03
Candidiasis	112.0	0.68	0.45	0.77	0.79	0.71	0.7
Other disorders of bladder	596.0	2.01	1.35	2.2	1.64	2.14	1.94
Other acquired musculoskeletal deformity	738.0	0.15	0.0	0.05	0.11	0.1	0.16
Nonrheumatic aortic valve disorders	395.2	0.1	0.0	0.1	0.07	0.08	0.05
Corns and callosities	700.0	0.06	0.0	0.03	0.17	0.09	0.09
Astigmatism	367.2	0.06	0.06	0.06	0.03	0.07	0.08
Fracture of upper limb	803.0	0.03	0.0	0.05	0.03	0.06	0.02
Hereditary and idiopathic peripheral neuropathy	356.0	0.01	0.0	0.05	0.0	0.04	0.03
Acute upper respiratory infections of multiple or unspecified sites	465.0	0.4	0.7	0.53	0.31	0.37	0.55
Arthropathy associated with neurological disorders	713.5	0.02	0.0	0.01	0.04	0.02	0.03
Sprains and strains	840.0	0.11	0.0	0.05	0.07	0.09	0.09
Disturbance of salivary secretion	527.7	0.0	0.0	0.03	0.03	0.02	0.06
Urinary calculus	594.0	0.18	0.0	0.06	0.04	0.13	0.18
Other disorders of lipoid metabolism	277.5	0.15	0.0	0.09	0.07	0.06	0.06
Cancer of urinary organs (incl. kidney and bladder)	189.0	0.42	0.38	0.39	0.72	0.84	0.56
Anxiety disorder	300.1	1.55	0.66	1.23	2.53	2.19	2.03
Acute tonsillitis	474.1	0.23	0.07	0.39	0.44	0.15	0.49
Congenital anomalies of male genital organs	751.12	0.08	0.06	0.06	0.0	0.05	0.09
Pain and other symptoms associated with female genital organs	625.0	0.43	0.83	0.7	0.59	0.48	0.58
Other chronic ischemic heart disease, unspecified	411.8	8.43	1.63	2.81	2.99	4.5	4.76
Cellulitis and abscess of arm/hand	681.3	1.3	0.51	1.03	1.22	1.67	1.24
Abnormal sputum	516.0	0.0	0.0	0.01	0.0	0.03	0.03
Degenerative disease of the spinal cord	334.0	0.38	0.19	0.67	0.35	0.45	0.48
Fracture of patella	800.4	0.04	0.0	0.03	0.0	0.03	0.0
Infantile cerebral palsy	343.0	0.0	0.0	0.04	0.11	0.04	0.05
Convulsions	345.3	0.62	0.32	0.48	0.46	0.69	0.48
Open wound of neck	870.6	0.0	0.0	0.01	0.04	0.04	0.05
Pernicious anemia	281.11	0.27	0.07	0.1	0.07	0.23	0.17
Prolapse of vaginal walls	618.1	1.1	0.64	1.3	1.56	2.0	1.27
Infections of genitourinary tract during pregnancy	647.1	0.13	0.32	0.29	0.1	0.07	0.11
Nonspecific abnormal findings on radiological and other examination of biliary tract	575.9	0.13	0.13	0.11	0.11	0.12	0.06
Other disorders of intestine	569.0	1.09	0.33	1.27	0.8	1.14	0.84
Lymphoid leukemia, chronic	204.12	0.05	0.0	0.09	0.07	0.16	0.14
Erectile dysfunction [ED]	605.0	0.3	0.13	0.35	0.18	0.15	0.28
Type 1 diabetes	250.1	2.01	0.27	1.75	0.66	0.76	1.46
Mineral deficiency NEC	262.0	0.21	0.13	0.1	0.14	0.09	0.09
Benign neoplasm of male genital organs	222.0	0.05	0.0	0.05	0.0	0.04	0.03
Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	227.3	0.08	0.26	0.36	0.1	0.09	0.19
Cancer of esophagus	150.0	0.05	0.07	0.05	0.07	0.23	0.21
Disorders of optic nerve and visual pathways	377.0	0.07	0.06	0.05	0.04	0.06	0.06
Atherosclerosis of aorta	440.9	0.05	0.0	0.01	0.1	0.05	0.03
Anterior horn cell disease	334.2	0.03	0.13	0.04	0.28	0.08	0.05
Cancer of connective tissue	170.2	0.11	0.0	0.11	0.07	0.09	0.09
