Phenotype	PheCode	Female	Male
Other diseases of respiratory system, NEC	519.8	2.44	3.1
Otitis media	381.1	0.25	0.31
Secondary malignancy of brain/spine	198.5	0.3	0.29
Anemia in neoplastic disease	285.22	0.14	0.13
Cancer of bladder	189.2	0.11	0.36
Peripheral or central vertigo	386.2	0.14	0.12
Poisoning by psychotropic agents	969.0	0.57	0.47
Pulmonary heart disease	415.0	0.92	1.29
Abnormal findings on exam of gastrointestinal tract/ abdominal area	564.8	0.73	0.58
Disorders of iron metabolism	275.1	0.12	0.29
Septal Deviations/Turbinate Hypertrophy	470.0	0.87	1.7
Labyrinthitis	386.3	0.21	0.21
Chronic dermatitis due to solar radiation	938.2	0.07	0.08
Open wound of foot except toe(s) alone	871.3	0.04	0.05
Paralysis/spasm of vocal cords or larynx	473.3	0.08	0.09
Other intestinal obstruction	560.4	1.31	1.14
Cancer of other female genital organs	184.0	0.08	0.0
Progressive myopia	360.2	0.07	0.07
Acquired foot deformities	735.0	0.05	0.03
Cholelithiasis with acute cholecystitis	574.11	0.54	0.38
Ectropion or entropion	374.1	0.24	0.42
Symptoms involving cardiovascular system	429.3	0.06	0.06
Rosacea	695.3	0.08	0.11
Diseases of pulp and periapical tissues	522.0	0.17	0.15
Carcinoma in situ of skin	172.3	0.2	0.23
stress incontinence, female	624.9	2.7	0.1
Hallux rigidus	735.23	0.58	0.23
Inflammation of eyelids	371.3	0.6	0.73
Infertility, female	626.8	0.56	0.0
Hyperemesis gravidarum	643.1	0.07	0.0
Dyspareunia	625.1	0.49	0.0
Peritoneal adhesions (postoperative) (postinfection)	568.1	1.22	0.84
Large cell lymphoma	202.24	0.14	0.22
Disorders of the globe	360.0	0.02	0.02
Varicose veins of lower extremity	454.1	3.5	2.14
Proteinuria	269.0	0.07	0.14
Corneal dystrophy	364.5	0.08	0.06
Hyperparathyroidism	252.1	0.34	0.14
Aortic aneurysm	442.1	0.09	0.3
Irritable Bowel Syndrome	564.1	2.8	1.11
Right bundle branch block	426.31	0.31	0.89
Acne	706.1	0.02	0.02
Normal delivery	650.0	0.97	0.0
Vascular disorders of skin	694.3	0.04	0.04
Other diseases of lung	510.0	0.26	0.33
Meniere's disease	386.1	0.19	0.14
Sacroiliitis NEC	715.1	0.04	0.01
Disorder of skin and subcutaneous tissue NOS	689.0	1.63	1.63
Ulcerative colitis	555.2	0.92	1.15
Other acquired deformities of limbs	736.0	0.08	0.08
Primary pulmonary hypertension	415.21	0.12	0.14
Anxiety disorders	300.0	0.11	0.11
Chondrocalcinosis	274.21	0.07	0.09
Poisoning by primarily systemic agents	963.0	0.07	0.03
Constipation	563.0	4.46	3.57
Major depressive disorder	296.22	0.15	0.1
Myopia	367.1	0.43	0.4
Cyst or abscess of Bartholin's gland	614.53	0.35	0.0
Cancer of prostate	185.0	0.0	4.22
Substance addiction and disorders	316.0	0.07	0.21
Diarrhea	561.1	0.24	0.14
Multiple gestation	651.0	0.17	0.0
Symptoms involving nervous and musculoskeletal systems	781.0	0.56	0.61
Benign neoplasm of parathyroid gland	227.2	0.16	0.05
Eosinophilia	288.3	0.02	0.03
Hyperpotassemia	276.13	0.24	0.52
Other abnormal blood chemistry	790.6	0.93	3.28
Symptoms and disorders of the joints	741.0	0.15	0.13
Corneal opacity	364.1	0.02	0.05
Polymyalgia Rheumatica	717.0	0.47	0.3
Pemphigus and pemphigoid	695.22	0.03	0.03
Cholecystitis without cholelithiasis	574.3	0.87	0.66
Malignant neoplasm of bladder	189.21	0.27	0.98
Bacterial pneumonia	480.1	0.22	0.42
Cerebral aneurysm	433.5	0.14	0.08
Cancer of oropharynx	149.1	0.03	0.11
Inflammatory disease of cervix, vagina, and vulva	614.5	0.08	0.0
Other disorders of eye	379.0	0.09	0.08
Cancer of tongue	145.2	0.05	0.12
Disorders of menstruation and other abnormal bleeding from female genital tract	626.0	0.87	0.0
Excessive or frequent menstruation	626.12	4.57	0.0
Other venous embolism and thrombosis	452.0	0.16	0.21
Allergic rhinitis	476.0	0.39	0.4
Nephrotic syndrome without mention of glomerulonephritis	580.2	0.11	0.23
Pneumoconiosis	500.2	0.01	0.16
Symptoms affecting skin	687.0	0.07	0.08
Gout	274.1	0.16	1.21
Hypothyroidism NOS	244.4	6.3	1.71
Chronic pain	338.2	0.14	0.1
Vitamin B-complex deficiencies	261.2	0.28	0.27
Other vitamin B12 deficiency anemia	281.12	0.07	0.05
Acute renal failure	585.1	1.27	2.63
Acute periodontitis	523.31	0.04	0.04
Other allied disorders of spine	721.8	0.04	0.03
Electrolyte imbalance	276.1	0.05	0.05
Simple and unspecified goiter	240.0	0.27	0.07
Polyneuropathy due to drugs	316.1	0.02	0.03
Chronic renal failure [CKD]	585.3	0.72	1.3
Joint effusions	741.4	0.06	0.08
Hemorrhage of rectum and anus	578.8	3.58	3.61
Premenstrual tension syndromes	626.4	0.07	0.0
Intracranial hemorrhage (injury)	818.0	0.02	0.06
Antisocial/borderline personality disorder	301.2	0.06	0.03
Disorders of diaphragm	513.8	0.01	0.09
Sialoadenitis	527.2	0.11	0.08
Herpes zoster with nervous system complications	53.1	0.03	0.03
Speech and language disorder	315.2	0.02	0.04
Traumatic cataract	366.3	0.01	0.05
Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	159.0	1.25	1.91
Other dyschromia	694.2	0.26	0.19
Contracture of palmar fascia [Dupuytren's disease]	728.71	0.33	1.22
Bladder neck obstruction	596.1	0.04	1.13
Other anemias	285.0	3.95	3.36
Acute and chronic tonsillitis	474.0	0.09	0.15
Throat pain	478.0	0.11	0.1
Fracture of neck of femur	800.1	0.06	0.05
Impacted cerumen	380.4	0.09	0.1
Toxic effect of other gases, fumes, or vapors	987.0	0.02	0.04
Complications of labor and delivery NEC	669.0	1.32	0.0
Orthostatic hypotension	458.1	0.39	0.67
Gingival and periodontal diseases	523.0	0.14	0.13
Polyp of corpus uteri	622.1	3.94	0.0
Bursitis	726.3	0.07	0.27
Disorders of bilirubin excretion	277.4	0.06	0.17
Other disorders of biliary tract	575.8	0.4	0.25
Cardiac shunt/ heart septal defect	747.11	0.15	0.17
Benign neoplasm of brain, cranial nerves, meninges	225.1	0.27	0.17
Ulceration of the lower GI tract	556.0	0.15	0.16
Ventricular fibrillation and flutter	427.41	0.04	0.2
Hyperhidrosis	705.8	0.14	0.24
Hypotension	458.0	0.36	0.38
Glossitis	529.1	0.09	0.09
Polyp of female genital organs	622.0	0.11	0.0
Influenza	481.0	0.13	0.14
Nonrheumatic pulmonary valve disorders	395.4	0.03	0.05
Other upper respiratory disease	479.0	0.94	1.32
Peripheral vascular disease, unspecified	443.9	0.43	1.24
Bacterial infection NOS	41.0	1.73	2.19
Menopausal and postmenopausal disorders	627.0	0.31	0.0
Other disorders of middle ear and mastoid	385.0	0.03	0.04
Cyst and pseudocyst of pancreas	577.3	0.11	0.12
Pneumonia due to fungus (mycoses)	480.3	0.02	0.05
Abnormal spermatozoa	609.2	0.0	0.1
Noninflammatory disorders of vagina	619.4	0.79	0.0
Cholelithiasis with other cholecystitis	574.12	2.04	0.96
Fracture of ribs	807.0	0.04	0.11
Abnormal serum enzyme levels	573.9	0.05	0.1
Strabismus (not specified as paralytic)	378.1	0.26	0.23
Cerebrovascular disease	433.0	0.36	0.59
Gram positive septicemia	38.2	0.11	0.21
Localized adiposity	278.3	0.03	0.01
Unspecified disorder of lipoid metabolism	272.9	0.06	0.13
Cardiac pacemaker/device in situ	426.9	0.03	0.12
Hemorrhoids	455.0	6.25	7.02
Endometriosis	615.0	1.87	0.0
Gingivitis	523.1	0.03	0.03
Complication of amputation stump	874.0	0.03	0.08
Other disorders of bone and cartilage	733.0	0.37	0.1
Viral infection	79.0	0.86	0.63
Other specified benign mammary dysplasias	610.8	0.32	0.0
Secondary malignancy of bone	198.6	0.67	0.92
Umbilical hernia	550.4	0.61	1.99
Otosclerosis	383.0	0.09	0.07
Cirrhosis of liver without mention of alcohol	571.51	0.14	0.31
Musculoskeletal symptoms referable to limbs	771.0	0.23	0.23
Disorders of the pituitary gland and its hypothalamic control	253.0	0.03	0.03
Memory loss	292.3	0.18	0.27
Arterial embolism and thrombosis	444.0	0.09	0.17
Ileostomy status	559.0	0.47	0.71
Malignant neoplasm of retroperitoneum and peritoneum	159.4	0.09	0.03
Pneumonitis due to inhalation of food or vomitus	501.0	0.14	0.34
Other diseases of blood and blood-forming organs	289.0	0.13	0.17
Calculus of kidney	594.1	0.56	1.32
Blindness and low vision	367.9	0.19	0.26
Other CNS infection and poliomyelitis	324.0	0.08	0.1
Atrial fibrillation and flutter	427.2	2.79	6.58
Spontaneous ecchymoses	287.1	0.03	0.04
Other disorders of thyroid	246.0	0.2	0.05
Intestinal infection	8.0	0.13	0.14
Type 1 diabetes with neurological manifestations	250.14	0.04	0.07
Sinoatrial node dysfunction (Bradycardia)	427.8	0.11	0.2
Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	293.1	0.23	0.27
Delirium dementia and amnestic and other cognitive disorders	290.0	0.12	0.17
Early onset of delivery	636.2	0.33	0.0
Chronic tonsillitis and adenoiditis	474.2	0.29	0.27
Intestinal disaccharidase deficiencies and disaccharide malabsorption	271.3	0.06	0.03
Anemia during pregnancy	644.0	0.43	0.0
Endometrial hyperplasia	621.0	0.57	0.0
Ulcerative colitis (chronic)	555.21	0.18	0.23
Fracture of pelvis	802.0	0.02	0.03
Displacement of intervertebral disc	722.1	0.1	0.11
Fracture of lower limb	800.0	0.14	0.09
Other diseases of respiratory system, not elsewhere classified	519.0	0.03	0.03
Chronic airway obstruction	496.0	2.17	3.09
Inguinal hernia	550.1	0.6	9.33
Pyelonephritis	590.0	0.57	0.3
Cancer of other female genital organs (excluding uterus and ovary)	184.2	0.17	0.0
Complication of internal orthopedic device	858.0	1.1	1.01
Nonspecific findings on examination of blood	790.0	0.05	0.06
Candidiasis	112.0	0.74	0.67
Other disorders of bladder	596.0	1.49	2.91
Other acquired musculoskeletal deformity	738.0	0.09	0.11
Nonrheumatic aortic valve disorders	395.2	0.06	0.11
Corns and callosities	700.0	0.12	0.04
Astigmatism	367.2	0.07	0.06
Fracture of upper limb	803.0	0.06	0.06
Hereditary and idiopathic peripheral neuropathy	356.0	0.03	0.06
Acute upper respiratory infections of multiple or unspecified sites	465.0	0.41	0.34
Arthropathy associated with neurological disorders	713.5	0.01	0.04
Sprains and strains	840.0	0.08	0.11
Disturbance of salivary secretion	527.7	0.02	0.02
Urinary calculus	594.0	0.07	0.21
Other disorders of lipoid metabolism	277.5	0.05	0.08
Cancer of urinary organs (incl. kidney and bladder)	189.0	0.42	1.3
Anxiety disorder	300.1	2.5	1.72
Acute tonsillitis	474.1	0.17	0.15
Congenital anomalies of male genital organs	751.12	0.0	0.12
Pain and other symptoms associated with female genital organs	625.0	0.91	0.0
Other chronic ischemic heart disease, unspecified	411.8	2.43	7.13
Cellulitis and abscess of arm/hand	681.3	1.19	2.18
Abnormal sputum	516.0	0.02	0.03
Degenerative disease of the spinal cord	334.0	0.37	0.56
Fracture of patella	800.4	0.02	0.05
Infantile cerebral palsy	343.0	0.03	0.05
Convulsions	345.3	0.55	0.83
Open wound of neck	870.6	0.03	0.04
Pernicious anemia	281.11	0.29	0.16
Prolapse of vaginal walls	618.1	3.63	0.0
Infections of genitourinary tract during pregnancy	647.1	0.14	0.0
Nonspecific abnormal findings on radiological and other examination of biliary tract	575.9	0.12	0.12
Other disorders of intestine	569.0	1.13	1.13
Lymphoid leukemia, chronic	204.12	0.1	0.22
Erectile dysfunction [ED]	605.0	0.0	0.38
Type 1 diabetes	250.1	0.63	1.03
Mineral deficiency NEC	262.0	0.11	0.07
Benign neoplasm of male genital organs	222.0	0.0	0.09
Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	227.3	0.09	0.11
Cancer of esophagus	150.0	0.1	0.37
Disorders of optic nerve and visual pathways	377.0	0.07	0.05
Atherosclerosis of aorta	440.9	0.04	0.07
Anterior horn cell disease	334.2	0.06	0.1
Cancer of connective tissue	170.2	0.07	0.11
Disorders of conjunctiva	372.0	0.26	0.24
Systemic lupus erythematosus	695.42	0.18	0.04
Abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium	654.1	0.61	0.0
Liver replaced by transplant	573.2	0.02	0.04
Jaw disease NOS	526.9	0.08	0.06
Urinary tract infection	591.0	4.02	3.6
Hodgkin's disease	201.0	0.06	0.09
Fluid overload	276.6	0.14	0.28
Corneal edema	364.2	0.02	0.03
Frequency of urination and polyuria	599.5	0.87	1.4
Nystagmus and other irregular eye movements	378.2	0.05	0.09
Changes in skin texture	687.3	0.03	0.03
Paranoid disorders	295.2	0.07	0.08
Flat foot	735.1	0.06	0.03
Nontoxic multinodular goiter	241.2	0.33	0.07
Early or threatened labor; hemorrhage in early pregnancy	636.0	0.51	0.0
Nerve root and plexus disorders	353.0	0.32	0.33
Multiple sclerosis	335.0	0.48	0.22
Cardiac conduction disorders	426.0	0.03	0.08
Prostatitis	601.1	0.0	0.43
Balanoposthitis	601.4	0.0	0.19
Hydrocephalus	331.1	0.16	0.16
Other diseases of the teeth and supporting structures	525.0	0.79	0.76
Hemorrhage NOS	459.1	0.02	0.03
Secondary thrombocytopenia	287.32	0.02	0.03
Anorexia	260.6	0.27	0.26
Acute pericarditis	420.21	0.03	0.09
Sciatica	764.0	0.44	0.34
Hydronephrosis	595.0	0.45	0.83
Late effects of cerebrovascular disease	433.8	0.31	0.53
Ascites (non malignant)	572.0	0.48	0.53
Hemangioma and lymphangioma, any site	228.0	0.44	0.41
Myocardial infarction	411.2	1.62	6.16
Cancer of other male genital organs	187.0	0.05	0.03
Skull and face fracture and other intercranial injury	819.0	0.17	0.41
Hypertrophic obstructive cardiomyopathy	425.11	0.03	0.06
Other nondiabetic retinopathy	362.3	0.02	0.03
Symptoms involving head and neck	293.0	0.3	0.86
Cerebral degeneration, unspecified	331.9	0.1	0.21
Anomalies of endocrine glands, congenital	759.1	0.03	0.02
Venous/cerebrovascular complications embolism in pregnancy and the puerperium	671.0	0.1	0.0
Primary angle-closure glaucoma	365.2	0.27	0.17
Polycystic ovaries	256.4	0.12	0.0
Anemia of chronic disease	285.2	0.09	0.11
Delirium due to conditions classified elsewhere	290.2	0.23	0.44
Benign neoplasm of respiratory and intrathoracic organs	212.0	0.08	0.13
Acromegaly and gigantism	253.11	0.03	0.03
Myopathy	359.2	0.06	0.09
GERD	530.11	5.44	4.59
Rheumatoid arthritis and other inflammatory polyarthropathies	714.0	0.15	0.1
Other demyelinating diseases of central nervous system	341.0	0.08	0.05
Diseases of pancreas	577.0	0.15	0.21
Cancer of stomach	151.0	0.1	0.28
Open wound of toe(s)	871.4	0.02	0.03
Suppurative and unspecified otitis media	381.11	0.2	0.22
Autoimmune hemolytic anemias	283.1	0.03	0.04
Atrioventricular [AV] block	426.2	0.03	0.06
Pelvic inflammatory disease, NOS	614.33	0.15	0.0
Essential hypertension	401.1	19.42	26.2
Osteoarthrosis, localized, primary	740.11	2.46	2.39
Malaise and fatigue	798.0	0.87	0.86
Corneal ulcer	370.1	0.04	0.05
Diseases of lips	528.5	0.2	0.18
Stiffness of joint	741.2	0.03	0.03
Intervertebral disc disorder with myelopathy	722.7	0.09	0.15
Type 2 diabetes with renal manifestations	250.22	0.04	0.13
Macroglobulinemia	270.35	0.02	0.03
Other forms of chronic heart disease	414.0	0.37	1.13
Benign neoplasm of kidney and other urinary organs	223.0	0.04	0.08
Atherosclerosis of the extremities	440.2	0.06	0.23
Other disorders of tympanic membrane	384.0	0.09	0.1
Pneumonia	480.0	1.02	1.67
Allergies, other	949.0	0.14	0.1
Superficial cellulitis and abscess	681.0	0.13	0.17
Giant cell arteritis	446.5	0.16	0.08
Unspecified erythematous condition	695.9	0.14	0.16
Aspergillosis	117.4	0.04	0.06
Cutaneous lupus erythematosus	695.41	0.07	0.02
Left bundle branch block	426.32	0.48	0.85
Dysmenorrhea	626.2	0.81	0.0
Hidradenitis	705.3	0.07	0.03
Nonrheumatic mitral valve disorders	395.1	0.76	1.19
Hypoparathyroidism	252.2	0.06	0.04
Complications of transplants and reattached limbs	851.0	1.75	1.94
Chronic bronchitis	496.2	0.09	0.11
Postmenopausal atrophic vaginitis	627.3	0.66	0.0
Fracture of vertebral column without mention of spinal cord injury	805.0	0.08	0.12
Chronic hepatitis	70.4	0.11	0.05
Chronic lymphocytic thyroiditis	245.21	0.11	0.01
Open wound of lip and mouth	870.5	0.09	0.14
Other endocrine disorders	259.0	0.04	0.03
Dystrophy of female genital tract	624.1	0.14	0.0
Epistaxis or throat hemorrhage	477.0	0.55	0.93
Other specified erythematous conditions	695.8	0.06	0.04
Diverticulosis	562.1	9.3	9.53
Poisoning/allergy of sulfonamides	961.1	0.43	0.08
Effects radiation NOS	990.0	1.12	1.19
Spinal cord injury without evidence of spinal bone injury	952.0	0.02	0.04
Malignant neoplasm of unspecified male genital organ	187.1	0.0	0.05
Heart valve replaced	395.6	0.28	0.69
Contracture of tendon (sheath)	727.7	0.04	0.04
Nonspecific abnormal findings in stool contents	579.8	0.65	0.57
Occlusion of cerebral arteries	433.2	0.62	1.28
Herpes zoster	53.0	0.11	0.1
Other and unspecified disorders of the nervous system	349.0	0.13	0.12
Glaucoma	365.0	1.09	1.32
Pituitary hypofunction	253.2	0.05	0.12
Migraine	340.0	1.19	0.44
Abdominal hernia	550.0	1.04	1.3
Other specified disorders of breast	613.8	0.17	0.0
Hypermetropia	367.8	0.1	0.06
Cerebral cysts	348.4	0.04	0.05
Retinoschisis and retinal cysts	361.2	0.02	0.03
Symptoms involving respiratory system and other chest symptoms	519.9	0.08	0.09
Partial epilepsy	345.12	0.08	0.09
Agorophobia, social phobia, and panic disorder	300.12	0.33	0.23
Alkalosis	276.42	0.04	0.05
Noninflammatory disorders of vulva and perineum	619.5	0.68	0.0
Disorders of vitreous body	379.2	0.4	0.46
Diplopia and disorders of binocular vision	368.2	0.19	0.25
Lung disease due to external agents	500.0	0.02	0.04
Spinocerebellar disease	334.1	0.03	0.05
Aplastic anemia	284.0	0.12	0.19
Alcohol-related disorders	317.0	0.88	2.67
Abnormality of gait	350.2	0.56	0.74
Chorioretinal scars	363.3	0.02	0.03
Somatoform disorder	303.4	0.05	0.03
Other mental disorder	306.0	7.25	11.95
Swelling of limb	771.1	0.25	0.21
Acute pancreatitis	577.1	0.33	0.38
Femoral hernia	550.3	0.26	0.12
Secondary malignant neoplasm of liver	198.4	0.89	1.02
Other hypertrophic and atrophic conditions of skin	701.0	0.48	0.44
Symptomatic menopause	627.2	0.1	0.0
Cancer of bronchus; lung	165.1	0.64	0.87
Open wound of nose and sinus	870.4	0.05	0.1
Other inflammatory spondylopathies	715.0	0.13	0.08
Lack of coordination	350.3	0.08	0.14
Iatrogenic hypotension	458.2	0.06	0.1
Disturbances in tooth eruption	520.2	0.55	0.48
Separation of retinal layers	362.31	0.03	0.03
Facial nerve disorders [CN7]	352.2	0.25	0.28
Other disorders of synovium, tendon, and bursa	727.0	0.27	0.28
Abnormal granulation tissue	701.5	0.14	0.11
Cataract	366.0	5.65	5.21
Folate-deficiency anemia	281.13	0.05	0.08
Urinary incontinence	599.4	3.77	0.87
Hypoglycemia	251.1	0.25	0.46
Chronic pancreatitis	577.2	0.09	0.22
Malignant neoplasm of ovary	184.11	0.53	0.0
Torsion dystonia	333.4	0.09	0.06
Phlebitis and thrombophlebitis	451.0	0.11	0.12
Dementia with cerebral degenerations	290.12	0.01	0.04
Benign neoplasm of colon	208.0	5.0	7.55
Hypertrophy of breast (Gynecomastia)	612.2	0.31	0.11
Testicular hypofunction	257.1	0.0	0.1
Other disorders of circulatory system	459.0	0.04	0.05
Other disorders of metabolism	277.0	0.3	0.3
Extrinsic allergic alveolitis	500.1	0.03	0.02
Atopic/contact dermatitis due to other or unspecified	939.0	0.67	0.67
Osteochondropathies	732.0	0.07	0.06
Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echocardiogram, etc)	793.2	0.16	0.21
Retinal detachments and defects	361.0	0.45	0.72
Inflammatory disease of breast	613.1	0.33	0.01
Dermatitis due to solar radiation	938.0	0.03	0.03
Articular cartilage disorder	742.8	0.02	0.03
Diabetes or abnormal glucose tolerance complicating pregnancy	649.1	0.11	0.0
Anomalous atrioventricular excitation	426.4	0.05	0.08
Noninflammatory disorders of ovary, fallopian tube, and broad ligament	619.1	0.38	0.0
Other perinatal conditions of fetus or newborn	656.0	0.26	0.0
Other conditions of brain, NOS	348.9	0.11	0.16
Cardiac pacemaker in situ	426.91	0.45	1.24
Other infectious and parasitic diseases	136.0	0.06	0.08
Diabetes insipidus	253.3	0.03	0.02
Traumatic and surgical subcutaneous emphysema	958.2	0.01	0.04
Congenital anomalies of peripheral vascular system	747.2	0.05	0.05
Hallucinations	292.6	0.09	0.13
Cancer of larynx	149.4	0.02	0.13
Renal failure NOS	585.2	0.27	0.6
Adverse reaction to serum or vaccine	941.0	0.07	0.06
Pseudomonal pneumonia	480.12	0.03	0.03
Pelvic peritoneal adhesions, female (postoperative) (postinfection)	614.1	1.31	0.0
Mucous polyp of cervix	622.2	1.56	0.0
Noninflammatory female genital disorders	619.0	0.09	0.0
Obstruction of bile duct	575.2	0.23	0.3
Bone marrow or stem cell transplant	860.0	0.02	0.03
Cardiomegaly	416.0	0.57	1.28
Corneal degenerations	364.4	0.05	0.04
Precordial pain	418.1	1.15	1.33
Atherosclerosis of renal artery	440.1	0.01	0.03
Secondary malignant neoplasm of skin	198.7	0.07	0.07
Absent or infrequent menstruation	626.11	0.06	0.0
Obstetrical/birth trauma	665.0	2.56	0.0
Diseases of spleen	289.5	0.14	0.18
Malposition and malpresentation of fetus or obstruction	652.0	0.84	0.0
Pyogenic granuloma	686.4	0.1	0.11
Other and unspecified congenital anomalies	759.0	0.04	0.03
Myoclonus	333.2	0.02	0.03
Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium	649.0	0.06	0.0
Viral hepatitis B	70.2	0.04	0.09
Other nonspecific findings on examination of urine	598.9	0.07	0.11
Other local infections of skin and subcutaneous tissue	686.0	0.34	0.5
Hypoventilation	513.3	0.03	0.04
Other abnormality of urination	599.9	0.29	0.79
Hypertensive chronic kidney disease	401.22	0.35	0.76
Esophageal bleeding (varices/hemorrhage)	530.2	0.51	0.67
Pulmonary congestion and hypostasis	503.0	0.13	0.2
Benign neoplasm of unspecified sites	229.0	0.75	0.43
Opiates and related narcotics causing adverse effects in therapeutic use	965.1	0.63	0.2
Anaphylactic shock NOS	946.0	0.16	0.16
Hyposmolality and/or hyponatremia	276.12	0.67	0.75
Hereditary retinal dystrophies	362.7	0.02	0.03
Diverticulum of esophagus, acquired	530.6	0.05	0.07
Inflammatory conditions of jaw	526.5	0.03	0.04
Congenital hip dysplasia and deformity	755.61	0.05	0.01
