PheCode	Phenotype	MinPrev	MaxPrev
724.9	Other unspecified back disorders	0.1	0.19
783.0	Fever of unknown origin	0.89	1.55
426.8	Other cardiac conduction disorders	0.01	0.05
250.6	Polyneuropathy in diabetes	0.04	0.24
366.1	Nonsenile Cataract	0.01	0.03
411.4	Coronary atherosclerosis	0.95	11.65
537.0	Other disorders of stomach and duodenum	0.45	1.76
681.2	Cellulitis and abscess of face/neck	0.12	0.16
550.2	Diaphragmatic hernia	3.31	13.07
292.0	Neurological disorders	0.05	0.36
117.0	Mycoses	0.03	0.07
480.5	Bronchopneumonia and lung abscess	0.06	0.23
242.3	Exophthalmos	0.03	0.04
216.0	Benign neoplasm of skin	2.15	2.27
604.0	Disorders of penis	0.18	0.31
601.8	Other inflammatory disorders of male genital organs	0.06	0.13
426.3	Bundle branch block	0.02	0.27
370.0	Keratitis	0.02	0.05
385.3	Cholesteatoma	0.11	0.17
333.0	Extrapyramidal disease and abnormal movement disorders	0.05	0.17
697.0	Sarcoidosis	0.12	0.19
965.3	Salicylates causing adverse effects in therapeutic use	0.1	0.13
338.1	Acute pain	0.09	0.16
420.3	Endocarditis	0.08	0.42
433.1	Occlusion and stenosis of precerebral arteries	0.03	0.79
300.13	Phobia	0.15	0.37
579.2	Splenomegaly	0.09	0.18
454.11	Varicose veins of lower extremity, symptomtic	0.09	0.36
571.5	Other chronic nonalcoholic liver disease	0.39	0.63
345.0	Epilepsy, recurrent seizures, convulsions	0.85	1.15
300.3	Obsessive-compulsive disorders	0.03	0.06
519.8	Other diseases of respiratory system, NEC	1.55	4.48
381.1	Otitis media	0.18	0.36
198.5	Secondary malignancy of brain/spine	0.08	0.46
285.22	Anemia in neoplastic disease	0.06	0.26
189.2	Cancer of bladder	0.03	0.49
386.2	Peripheral or central vertigo	0.06	0.22
969.0	Poisoning by psychotropic agents	0.31	0.87
415.0	Pulmonary heart disease	0.43	1.78
564.8	Abnormal findings on exam of gastrointestinal tract/ abdominal area	0.28	1.04
275.1	Disorders of iron metabolism	0.12	0.24
470.0	Septal Deviations/Turbinate Hypertrophy	0.94	1.65
386.3	Labyrinthitis	0.12	0.3
938.2	Chronic dermatitis due to solar radiation	0.02	0.16
871.3	Open wound of foot except toe(s) alone	0.04	0.06
473.3	Paralysis/spasm of vocal cords or larynx	0.03	0.13
560.4	Other intestinal obstruction	0.45	2.17
184.0	Cancer of other female genital organs	0.04	0.05
360.2	Progressive myopia	0.02	0.11
735.0	Acquired foot deformities	0.02	0.05
574.11	Cholelithiasis with acute cholecystitis	0.26	0.69
374.1	Ectropion or entropion	0.05	0.76
429.3	Symptoms involving cardiovascular system	0.03	0.08
695.3	Rosacea	0.04	0.13
522.0	Diseases of pulp and periapical tissues	0.12	0.19
172.3	Carcinoma in situ of skin	0.03	0.52
624.9	stress incontinence, female	1.11	1.62
735.23	Hallux rigidus	0.15	0.54
371.3	Inflammation of eyelids	0.51	0.8
626.8	Infertility, female	0.0	1.42
643.1	Hyperemesis gravidarum	0.0	0.24
625.1	Dyspareunia	0.09	0.59
568.1	Peritoneal adhesions (postoperative) (postinfection)	0.8	1.34
202.24	Large cell lymphoma	0.06	0.34
360.0	Disorders of the globe	0.01	0.03
454.1	Varicose veins of lower extremity	1.97	3.57
269.0	Proteinuria	0.07	0.14
364.5	Corneal dystrophy	0.01	0.16
252.1	Hyperparathyroidism	0.08	0.39
442.1	Aortic aneurysm	0.04	0.39
564.1	Irritable Bowel Syndrome	1.61	2.35
426.31	Right bundle branch block	0.16	1.25
706.1	Acne	0.02	0.03
650.0	Normal delivery	0.0	3.18
694.3	Vascular disorders of skin	0.03	0.05
510.0	Other diseases of lung	0.11	0.52
386.1	Meniere's disease	0.07	0.26
715.1	Sacroiliitis NEC	0.02	0.03
689.0	Disorder of skin and subcutaneous tissue NOS	0.97	2.4
555.2	Ulcerative colitis	0.75	1.34
736.0	Other acquired deformities of limbs	0.03	0.12
415.21	Primary pulmonary hypertension	0.03	0.29
300.0	Anxiety disorders	0.1	0.13
274.21	Chondrocalcinosis	0.07	0.09
963.0	Poisoning by primarily systemic agents	0.03	0.08
563.0	Constipation	2.27	6.76
296.22	Major depressive disorder	0.11	0.14
367.1	Myopia	0.12	0.64
614.53	Cyst or abscess of Bartholin's gland	0.07	0.35
185.0	Cancer of prostate	0.06	4.21
316.0	Substance addiction and disorders	0.04	0.28
561.1	Diarrhea	0.08	0.31
651.0	Multiple gestation	0.0	0.56
781.0	Symptoms involving nervous and musculoskeletal systems	0.46	0.78
227.2	Benign neoplasm of parathyroid gland	0.03	0.17
288.3	Eosinophilia	0.01	0.03
276.13	Hyperpotassemia	0.1	0.73
790.6	Other abnormal blood chemistry	0.53	3.71
741.0	Symptoms and disorders of the joints	0.13	0.18
364.1	Corneal opacity	0.02	0.07
717.0	Polymyalgia Rheumatica	0.02	1.04
695.22	Pemphigus and pemphigoid	0.02	0.05
574.3	Cholecystitis without cholelithiasis	0.48	1.07
189.21	Malignant neoplasm of bladder	0.06	1.38
480.1	Bacterial pneumonia	0.14	0.54
433.5	Cerebral aneurysm	0.07	0.12
149.1	Cancer of oropharynx	0.03	0.08
614.5	Inflammatory disease of cervix, vagina, and vulva	0.03	0.05
379.0	Other disorders of eye	0.06	0.14
145.2	Cancer of tongue	0.03	0.1
626.0	Disorders of menstruation and other abnormal bleeding from female genital tract	0.23	0.75
626.12	Excessive or frequent menstruation	0.15	4.75
452.0	Other venous embolism and thrombosis	0.1	0.24
476.0	Allergic rhinitis	0.37	0.44
580.2	Nephrotic syndrome without mention of glomerulonephritis	0.1	0.26
500.2	Pneumoconiosis	0.0	0.25
687.0	Symptoms affecting skin	0.04	0.11
274.1	Gout	0.18	1.21
244.4	Hypothyroidism NOS	1.96	6.15
338.2	Chronic pain	0.11	0.14
261.2	Vitamin B-complex deficiencies	0.16	0.44
281.12	Other vitamin B12 deficiency anemia	0.04	0.11
585.1	Acute renal failure	0.47	4.02
523.31	Acute periodontitis	0.03	0.05
721.8	Other allied disorders of spine	0.02	0.05
276.1	Electrolyte imbalance	0.03	0.08
240.0	Simple and unspecified goiter	0.11	0.24
316.1	Polyneuropathy due to drugs	0.01	0.04
585.3	Chronic renal failure [CKD]	0.23	2.31
741.4	Joint effusions	0.05	0.09
578.8	Hemorrhage of rectum and anus	2.5	4.24
626.4	Premenstrual tension syndromes	0.0	0.1
818.0	Intracranial hemorrhage (injury)	0.03	0.07
301.2	Antisocial/borderline personality disorder	0.01	0.12
513.8	Disorders of diaphragm	0.02	0.07
527.2	Sialoadenitis	0.05	0.12
53.1	Herpes zoster with nervous system complications	0.01	0.05
315.2	Speech and language disorder	0.01	0.05
366.3	Traumatic cataract	0.01	0.05
159.0	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	0.36	3.02
694.2	Other dyschromia	0.13	0.34
728.71	Contracture of palmar fascia [Dupuytren's disease]	0.09	1.39
596.1	Bladder neck obstruction	0.12	1.05
285.0	Other anemias	2.18	5.84
474.0	Acute and chronic tonsillitis	0.07	0.24
478.0	Throat pain	0.06	0.14
800.1	Fracture of neck of femur	0.01	0.12
380.4	Impacted cerumen	0.05	0.14
987.0	Toxic effect of other gases, fumes, or vapors	0.02	0.03
669.0	Complications of labor and delivery NEC	0.0	4.75
458.1	Orthostatic hypotension	0.09	1.2
523.0	Gingival and periodontal diseases	0.09	0.16
622.1	Polyp of corpus uteri	1.45	2.33
726.3	Bursitis	0.13	0.17
277.4	Disorders of bilirubin excretion	0.09	0.13
575.8	Other disorders of biliary tract	0.11	0.53
747.11	Cardiac shunt/ heart septal defect	0.14	0.19
225.1	Benign neoplasm of brain, cranial nerves, meninges	0.11	0.29
556.0	Ulceration of the lower GI tract	0.08	0.24
427.41	Ventricular fibrillation and flutter	0.02	0.18
705.8	Hyperhidrosis	0.16	0.25
458.0	Hypotension	0.19	0.66
529.1	Glossitis	0.05	0.1
622.0	Polyp of female genital organs	0.04	0.07
481.0	Influenza	0.11	0.2
395.4	Nonrheumatic pulmonary valve disorders	0.02	0.07
479.0	Other upper respiratory disease	0.93	1.21
443.9	Peripheral vascular disease, unspecified	0.13	1.8
41.0	Bacterial infection NOS	0.92	3.15
627.0	Menopausal and postmenopausal disorders	0.05	0.21
385.0	Other disorders of middle ear and mastoid	0.03	0.04
577.3	Cyst and pseudocyst of pancreas	0.04	0.17
480.3	Pneumonia due to fungus (mycoses)	0.03	0.07
609.2	Abnormal spermatozoa	0.01	0.11
619.4	Noninflammatory disorders of vagina	0.37	0.55
574.12	Cholelithiasis with other cholecystitis	1.0	1.97
807.0	Fracture of ribs	0.04	0.1
573.9	Abnormal serum enzyme levels	0.03	0.12
378.1	Strabismus (not specified as paralytic)	0.23	0.3
433.0	Cerebrovascular disease	0.09	1.05
38.2	Gram positive septicemia	0.1	0.25
278.3	Localized adiposity	0.01	0.03
272.9	Unspecified disorder of lipoid metabolism	0.02	0.2
426.9	Cardiac pacemaker/device in situ	0.01	0.16
455.0	Hemorrhoids	4.51	7.9
615.0	Endometriosis	0.31	2.1
523.1	Gingivitis	0.02	0.04
874.0	Complication of amputation stump	0.04	0.05
733.0	Other disorders of bone and cartilage	0.09	0.36
79.0	Viral infection	0.69	0.88
610.8	Other specified benign mammary dysplasias	0.14	0.18
198.6	Secondary malignancy of bone	0.19	1.51
550.4	Umbilical hernia	0.87	1.55
383.0	Otosclerosis	0.07	0.1
571.51	Cirrhosis of liver without mention of alcohol	0.1	0.28
771.0	Musculoskeletal symptoms referable to limbs	0.14	0.31
253.0	Disorders of the pituitary gland and its hypothalamic control	0.02	0.03
292.3	Memory loss	0.13	0.38
444.0	Arterial embolism and thrombosis	0.04	0.22
559.0	Ileostomy status	0.23	0.97
159.4	Malignant neoplasm of retroperitoneum and peritoneum	0.02	0.12
501.0	Pneumonitis due to inhalation of food or vomitus	0.07	0.48
289.0	Other diseases of blood and blood-forming organs	0.05	0.28
594.1	Calculus of kidney	0.65	1.12
367.9	Blindness and low vision	0.12	0.37
324.0	Other CNS infection and poliomyelitis	0.04	0.12
427.2	Atrial fibrillation and flutter	0.66	10.45
287.1	Spontaneous ecchymoses	0.02	0.05
246.0	Other disorders of thyroid	0.07	0.19
8.0	Intestinal infection	0.11	0.16
250.14	Type 1 diabetes with neurological manifestations	0.03	0.07
427.8	Sinoatrial node dysfunction (Bradycardia)	0.02	0.36
293.1	Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	0.2	0.28
290.0	Delirium dementia and amnestic and other cognitive disorders	0.02	0.39
636.2	Early onset of delivery	0.0	1.16
474.2	Chronic tonsillitis and adenoiditis	0.16	0.69
271.3	Intestinal disaccharidase deficiencies and disaccharide malabsorption	0.04	0.06
644.0	Anemia during pregnancy	0.0	1.35
621.0	Endometrial hyperplasia	0.21	0.34
555.21	Ulcerative colitis (chronic)	0.18	0.22
802.0	Fracture of pelvis	0.02	0.05
722.1	Displacement of intervertebral disc	0.08	0.14
800.0	Fracture of lower limb	0.09	0.15
519.0	Other diseases of respiratory system, not elsewhere classified	0.01	0.05
496.0	Chronic airway obstruction	0.45	5.34
550.1	Inguinal hernia	1.92	8.06
590.0	Pyelonephritis	0.42	0.5
184.2	Cancer of other female genital organs (excluding uterus and ovary)	0.04	0.1
858.0	Complication of internal orthopedic device	0.43	1.81
790.0	Nonspecific findings on examination of blood	0.03	0.1
112.0	Candidiasis	0.47	1.13
596.0	Other disorders of bladder	0.78	3.86
738.0	Other acquired musculoskeletal deformity	0.07	0.15
395.2	Nonrheumatic aortic valve disorders	0.02	0.21
700.0	Corns and callosities	0.03	0.11
367.2	Astigmatism	0.02	0.13
803.0	Fracture of upper limb	0.05	0.07
356.0	Hereditary and idiopathic peripheral neuropathy	0.02	0.05
465.0	Acute upper respiratory infections of multiple or unspecified sites	0.33	0.42
713.5	Arthropathy associated with neurological disorders	0.01	0.03
840.0	Sprains and strains	0.07	0.11
527.7	Disturbance of salivary secretion	0.0	0.03
594.0	Urinary calculus	0.09	0.14
277.5	Other disorders of lipoid metabolism	0.04	0.09
189.0	Cancer of urinary organs (incl. kidney and bladder)	0.1	1.8
300.1	Anxiety disorder	1.71	2.61
474.1	Acute tonsillitis	0.06	0.5
751.12	Congenital anomalies of male genital organs	0.04	0.09
625.0	Pain and other symptoms associated with female genital organs	0.19	0.9
411.8	Other chronic ischemic heart disease, unspecified	0.58	10.21
681.3	Cellulitis and abscess of arm/hand	1.07	2.31
516.0	Abnormal sputum	0.01	0.05
334.0	Degenerative disease of the spinal cord	0.3	0.66
800.4	Fracture of patella	0.02	0.05
343.0	Infantile cerebral palsy	0.03	0.06
345.3	Convulsions	0.62	0.83
870.6	Open wound of neck	0.03	0.05
281.11	Pernicious anemia	0.08	0.4
618.1	Prolapse of vaginal walls	0.73	2.75
647.1	Infections of genitourinary tract during pregnancy	0.0	0.49
575.9	Nonspecific abnormal findings on radiological and other examination of biliary tract	0.05	0.2
569.0	Other disorders of intestine	0.49	1.78
204.12	Lymphoid leukemia, chronic	0.02	0.3
605.0	Erectile dysfunction [ED]	0.08	0.27
250.1	Type 1 diabetes	0.51	1.14
262.0	Mineral deficiency NEC	0.07	0.11
222.0	Benign neoplasm of male genital organs	0.03	0.05
227.3	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	0.07	0.11
150.0	Cancer of esophagus	0.02	0.46
377.0	Disorders of optic nerve and visual pathways	0.04	0.11
440.9	Atherosclerosis of aorta	0.0	0.12
334.2	Anterior horn cell disease	0.02	0.14
170.2	Cancer of connective tissue	0.05	0.11
372.0	Disorders of conjunctiva	0.14	0.38
695.42	Systemic lupus erythematosus	0.1	0.13
654.1	Abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium	0.0	2.05
573.2	Liver replaced by transplant	0.02	0.03
526.9	Jaw disease NOS	0.04	0.08
591.0	Urinary tract infection	1.84	6.73
201.0	Hodgkin's disease	0.07	0.08
276.6	Fluid overload	0.06	0.41
364.2	Corneal edema	0.01	0.05
599.5	Frequency of urination and polyuria	0.6	1.71
378.2	Nystagmus and other irregular eye movements	0.05	0.1
687.3	Changes in skin texture	0.01	0.04
295.2	Paranoid disorders	0.06	0.09
735.1	Flat foot	0.03	0.07
241.2	Nontoxic multinodular goiter	0.1	0.27
636.0	Early or threatened labor; hemorrhage in early pregnancy	0.0	1.97
353.0	Nerve root and plexus disorders	0.16	0.51
335.0	Multiple sclerosis	0.25	0.46
426.0	Cardiac conduction disorders	0.02	0.11
601.1	Prostatitis	0.06	0.3
601.4	Balanoposthitis	0.04	0.13
331.1	Hydrocephalus	0.1	0.23
525.0	Other diseases of the teeth and supporting structures	0.7	0.9
459.1	Hemorrhage NOS	0.01	0.06
287.32	Secondary thrombocytopenia	0.01	0.05
260.6	Anorexia	0.11	0.46
420.21	Acute pericarditis	0.04	0.07
764.0	Sciatica	0.28	0.53
595.0	Hydronephrosis	0.36	0.95
433.8	Late effects of cerebrovascular disease	0.14	0.81
572.0	Ascites (non malignant)	0.24	0.76
228.0	Hemangioma and lymphangioma, any site	0.3	0.52
411.2	Myocardial infarction	0.73	7.52
187.0	Cancer of other male genital organs	0.03	0.05
819.0	Skull and face fracture and other intercranial injury	0.21	0.38
425.11	Hypertrophic obstructive cardiomyopathy	0.03	0.07
362.3	Other nondiabetic retinopathy	0.01	0.03
293.0	Symptoms involving head and neck	0.44	0.61
331.9	Cerebral degeneration, unspecified	0.04	0.35
759.1	Anomalies of endocrine glands, congenital	0.01	0.03
671.0	Venous/cerebrovascular complications embolism in pregnancy and the puerperium	0.0	0.32
365.2	Primary angle-closure glaucoma	0.04	0.43
256.4	Polycystic ovaries	0.01	0.31
285.2	Anemia of chronic disease	0.03	0.19
290.2	Delirium due to conditions classified elsewhere	0.05	0.86
212.0	Benign neoplasm of respiratory and intrathoracic organs	0.08	0.13
253.11	Acromegaly and gigantism	0.02	0.04
359.2	Myopathy	0.04	0.09
530.11	GERD	2.63	7.15
714.0	Rheumatoid arthritis and other inflammatory polyarthropathies	0.03	0.2
341.0	Other demyelinating diseases of central nervous system	0.03	0.09
577.0	Diseases of pancreas	0.07	0.29
151.0	Cancer of stomach	0.03	0.4
871.4	Open wound of toe(s)	0.02	0.02
381.11	Suppurative and unspecified otitis media	0.18	0.23
283.1	Autoimmune hemolytic anemias	0.01	0.07
426.2	Atrioventricular [AV] block	0.01	0.11
614.33	Pelvic inflammatory disease, NOS	0.03	0.22
401.1	Essential hypertension	6.02	39.69
740.11	Osteoarthrosis, localized, primary	0.5	4.78
798.0	Malaise and fatigue	0.6	1.21
370.1	Corneal ulcer	0.03	0.07
528.5	Diseases of lips	0.15	0.22
741.2	Stiffness of joint	0.02	0.05
722.7	Intervertebral disc disorder with myelopathy	0.09	0.15
250.22	Type 2 diabetes with renal manifestations	0.02	0.15
270.35	Macroglobulinemia	0.0	0.05
414.0	Other forms of chronic heart disease	0.13	1.6
223.0	Benign neoplasm of kidney and other urinary organs	0.01	0.1
440.2	Atherosclerosis of the extremities	0.02	0.32
384.0	Other disorders of tympanic membrane	0.08	0.1
480.0	Pneumonia	0.51	2.57
949.0	Allergies, other	0.11	0.14
681.0	Superficial cellulitis and abscess	0.1	0.22
446.5	Giant cell arteritis	0.01	0.3
695.9	Unspecified erythematous condition	0.08	0.23
117.4	Aspergillosis	0.02	0.08
695.41	Cutaneous lupus erythematosus	0.04	0.05
426.32	Left bundle branch block	0.12	1.54
626.2	Dysmenorrhea	0.01	1.03
705.3	Hidradenitis	0.02	0.09
395.1	Nonrheumatic mitral valve disorders	0.26	2.04
252.2	Hypoparathyroidism	0.02	0.07
851.0	Complications of transplants and reattached limbs	0.7	3.27
496.2	Chronic bronchitis	0.03	0.21
627.3	Postmenopausal atrophic vaginitis	0.03	0.55
805.0	Fracture of vertebral column without mention of spinal cord injury	0.06	0.13
70.4	Chronic hepatitis	0.05	0.09
245.21	Chronic lymphocytic thyroiditis	0.05	0.07
870.5	Open wound of lip and mouth	0.1	0.14
259.0	Other endocrine disorders	0.03	0.04
624.1	Dystrophy of female genital tract	0.01	0.1
477.0	Epistaxis or throat hemorrhage	0.29	1.29
695.8	Other specified erythematous conditions	0.04	0.06
562.1	Diverticulosis	1.95	16.84
961.1	Poisoning/allergy of sulfonamides	0.17	0.32
990.0	Effects radiation NOS	0.42	1.94
952.0	Spinal cord injury without evidence of spinal bone injury	0.02	0.03
187.1	Malignant neoplasm of unspecified male genital organ	0.01	0.03
395.6	Heart valve replaced	0.1	1.02
727.7	Contracture of tendon (sheath)	0.03	0.05
579.8	Nonspecific abnormal findings in stool contents	0.24	0.78
433.2	Occlusion of cerebral arteries	0.22	1.97
53.0	Herpes zoster	0.05	0.18
349.0	Other and unspecified disorders of the nervous system	0.09	0.15
365.0	Glaucoma	0.2	2.67
253.2	Pituitary hypofunction	0.06	0.09
340.0	Migraine	0.69	1.07
550.0	Abdominal hernia	0.66	1.74
613.8	Other specified disorders of breast	0.07	0.11
367.8	Hypermetropia	0.03	0.17
348.4	Cerebral cysts	0.03	0.05
361.2	Retinoschisis and retinal cysts	0.01	0.04
519.9	Symptoms involving respiratory system and other chest symptoms	0.07	0.11
345.12	Partial epilepsy	0.08	0.1
300.12	Agorophobia, social phobia, and panic disorder	0.25	0.36
276.42	Alkalosis	0.02	0.09
619.5	Noninflammatory disorders of vulva and perineum	0.3	0.49
379.2	Disorders of vitreous body	0.1	0.79
368.2	Diplopia and disorders of binocular vision	0.15	0.31
500.0	Lung disease due to external agents	0.02	0.08
334.1	Spinocerebellar disease	0.03	0.06
284.0	Aplastic anemia	0.06	0.27
317.0	Alcohol-related disorders	1.57	1.86
350.2	Abnormality of gait	0.25	1.37
363.3	Chorioretinal scars	0.0	0.05
303.4	Somatoform disorder	0.03	0.05
306.0	Other mental disorder	4.09	15.44
771.1	Swelling of limb	0.17	0.35
577.1	Acute pancreatitis	0.15	0.5
550.3	Femoral hernia	0.1	0.34
198.4	Secondary malignant neoplasm of liver	0.26	1.77
701.0	Other hypertrophic and atrophic conditions of skin	0.29	0.62
627.2	Symptomatic menopause	0.02	0.06
165.1	Cancer of bronchus; lung	0.12	1.49
870.4	Open wound of nose and sinus	0.06	0.11
715.0	Other inflammatory spondylopathies	0.03	0.18
350.3	Lack of coordination	0.07	0.16
458.2	Iatrogenic hypotension	0.02	0.18
520.2	Disturbances in tooth eruption	0.28	1.3
362.31	Separation of retinal layers	0.0	0.06
352.2	Facial nerve disorders [CN7]	0.16	0.35
727.0	Other disorders of synovium, tendon, and bursa	0.27	0.28
701.5	Abnormal granulation tissue	0.1	0.15
366.0	Cataract	0.65	13.35
281.13	Folate-deficiency anemia	0.02	0.1
599.4	Urinary incontinence	1.53	3.34
251.1	Hypoglycemia	0.15	0.64
577.2	Chronic pancreatitis	0.1	0.17
184.11	Malignant neoplasm of ovary	0.15	0.43
333.4	Torsion dystonia	0.04	0.11
451.0	Phlebitis and thrombophlebitis	0.06	0.17
290.12	Dementia with cerebral degenerations	0.0	0.08
208.0	Benign neoplasm of colon	1.8	9.66
612.2	Hypertrophy of breast (Gynecomastia)	0.16	0.27
257.1	Testicular hypofunction	0.04	0.05
459.0	Other disorders of circulatory system	0.01	0.07
277.0	Other disorders of metabolism	0.18	0.44
500.1	Extrinsic allergic alveolitis	0.01	0.05
939.0	Atopic/contact dermatitis due to other or unspecified	0.52	0.9
732.0	Osteochondropathies	0.04	0.09
793.2	Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echocardiogram, etc)	0.07	0.28
361.0	Retinal detachments and defects	0.17	0.81
613.1	Inflammatory disease of breast	0.16	0.22
938.0	Dermatitis due to solar radiation	0.0	0.05
742.8	Articular cartilage disorder	0.02	0.04
649.1	Diabetes or abnormal glucose tolerance complicating pregnancy	0.0	0.37
426.4	Anomalous atrioventricular excitation	0.05	0.07
619.1	Noninflammatory disorders of ovary, fallopian tube, and broad ligament	0.14	0.35
656.0	Other perinatal conditions of fetus or newborn	0.0	0.88
348.9	Other conditions of brain, NOS	0.09	0.19
426.91	Cardiac pacemaker in situ	0.14	2.02
136.0	Other infectious and parasitic diseases	0.04	0.1
253.3	Diabetes insipidus	0.02	0.03
958.2	Traumatic and surgical subcutaneous emphysema	0.02	0.04
747.2	Congenital anomalies of peripheral vascular system	0.04	0.05
292.6	Hallucinations	0.08	0.19
149.4	Cancer of larynx	0.01	0.14
585.2	Renal failure NOS	0.14	0.81
941.0	Adverse reaction to serum or vaccine	0.01	0.11
480.12	Pseudomonal pneumonia	0.0	0.06
614.1	Pelvic peritoneal adhesions, female (postoperative) (postinfection)	0.37	1.39
622.2	Mucous polyp of cervix	0.53	0.97
619.0	Noninflammatory female genital disorders	0.02	0.07
575.2	Obstruction of bile duct	0.15	0.41
860.0	Bone marrow or stem cell transplant	0.01	0.03
416.0	Cardiomegaly	0.28	1.76
364.4	Corneal degenerations	0.01	0.11
418.1	Precordial pain	0.75	1.62
440.1	Atherosclerosis of renal artery	0.01	0.06
198.7	Secondary malignant neoplasm of skin	0.03	0.1
626.11	Absent or infrequent menstruation	0.0	0.09
665.0	Obstetrical/birth trauma	0.0	9.17
289.5	Diseases of spleen	0.09	0.23
652.0	Malposition and malpresentation of fetus or obstruction	0.0	3.02
686.4	Pyogenic granuloma	0.09	0.12
759.0	Other and unspecified congenital anomalies	0.03	0.04
333.2	Myoclonus	0.01	0.05
649.0	Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium	0.0	0.21
70.2	Viral hepatitis B	0.03	0.08
598.9	Other nonspecific findings on examination of urine	0.05	0.16
686.0	Other local infections of skin and subcutaneous tissue	0.26	0.58
513.3	Hypoventilation	0.02	0.05
599.9	Other abnormality of urination	0.21	0.87
401.22	Hypertensive chronic kidney disease	0.12	1.43
530.2	Esophageal bleeding (varices/hemorrhage)	0.28	0.89
503.0	Pulmonary congestion and hypostasis	0.06	0.33
229.0	Benign neoplasm of unspecified sites	0.58	0.61
965.1	Opiates and related narcotics causing adverse effects in therapeutic use	0.25	0.62
946.0	Anaphylactic shock NOS	0.11	0.2
276.12	Hyposmolality and/or hyponatremia	0.16	1.47
362.7	Hereditary retinal dystrophies	0.02	0.04
530.6	Diverticulum of esophagus, acquired	0.01	0.11
526.5	Inflammatory conditions of jaw	0.02	0.04
