PheCode	Phenotype	MinPrev	MaxPrev
571.5	Other chronic nonalcoholic liver disease	0.36	0.98
345.0	Epilepsy, recurrent seizures, convulsions	0.7	1.52
300.3	Obsessive-compulsive disorders	0.03	0.1
519.8	Other diseases of respiratory system, NEC	2.12	3.96
381.1	Otitis media	0.25	0.34
198.5	Secondary malignancy of brain/spine	0.24	0.37
285.22	Anemia in neoplastic disease	0.12	0.15
189.2	Cancer of bladder	0.19	0.23
386.2	Peripheral or central vertigo	0.11	0.16
969.0	Poisoning by psychotropic agents	0.26	1.16
415.0	Pulmonary heart disease	0.97	1.3
564.8	Abnormal findings on exam of gastrointestinal tract/ abdominal area	0.56	0.74
275.1	Disorders of iron metabolism	0.18	0.22
470.0	Septal Deviations/Turbinate Hypertrophy	1.12	1.5
386.3	Labyrinthitis	0.19	0.24
938.2	Chronic dermatitis due to solar radiation	0.06	0.09
871.3	Open wound of foot except toe(s) alone	0.03	0.07
473.3	Paralysis/spasm of vocal cords or larynx	0.07	0.12
560.4	Other intestinal obstruction	1.11	1.39
184.0	Cancer of other female genital organs	0.04	0.05
360.2	Progressive myopia	0.05	0.08
735.0	Acquired foot deformities	0.04	0.04
574.11	Cholelithiasis with acute cholecystitis	0.36	0.57
374.1	Ectropion or entropion	0.3	0.36
429.3	Symptoms involving cardiovascular system	0.06	0.06
695.3	Rosacea	0.08	0.1
522.0	Diseases of pulp and periapical tissues	0.15	0.18
172.3	Carcinoma in situ of skin	0.17	0.26
624.9	stress incontinence, female	1.36	1.62
735.23	Hallux rigidus	0.39	0.44
371.3	Inflammation of eyelids	0.63	0.7
626.8	Infertility, female	0.24	0.31
643.1	Hyperemesis gravidarum	0.03	0.05
625.1	Dyspareunia	0.25	0.28
568.1	Peritoneal adhesions (postoperative) (postinfection)	0.91	1.23
202.24	Large cell lymphoma	0.17	0.19
360.0	Disorders of the globe	0.01	0.04
454.1	Varicose veins of lower extremity	2.65	3.06
269.0	Proteinuria	0.07	0.15
364.5	Corneal dystrophy	0.07	0.07
252.1	Hyperparathyroidism	0.22	0.29
442.1	Aortic aneurysm	0.17	0.2
564.1	Irritable Bowel Syndrome	1.78	2.63
426.31	Right bundle branch block	0.49	0.67
706.1	Acne	0.02	0.02
650.0	Normal delivery	0.48	0.61
694.3	Vascular disorders of skin	0.03	0.06
510.0	Other diseases of lung	0.23	0.4
386.1	Meniere's disease	0.14	0.18
715.1	Sacroiliitis NEC	0.02	0.03
689.0	Disorder of skin and subcutaneous tissue NOS	1.53	1.71
555.2	Ulcerative colitis	0.91	1.11
736.0	Other acquired deformities of limbs	0.05	0.1
415.21	Primary pulmonary hypertension	0.09	0.2
300.0	Anxiety disorders	0.07	0.24
274.21	Chondrocalcinosis	0.07	0.09
963.0	Poisoning by primarily systemic agents	0.04	0.1
563.0	Constipation	3.35	5.53
296.22	Major depressive disorder	0.08	0.22
367.1	Myopia	0.4	0.44
614.53	Cyst or abscess of Bartholin's gland	0.16	0.23
185.0	Cancer of prostate	1.59	2.02
316.0	Substance addiction and disorders	0.04	0.41
561.1	Diarrhea	0.17	0.24
651.0	Multiple gestation	0.08	0.11
781.0	Symptoms involving nervous and musculoskeletal systems	0.5	0.78
227.2	Benign neoplasm of parathyroid gland	0.1	0.13
288.3	Eosinophilia	0.02	0.03
276.13	Hyperpotassemia	0.26	0.57
790.6	Other abnormal blood chemistry	1.85	2.23
741.0	Symptoms and disorders of the joints	0.12	0.16
364.1	Corneal opacity	0.02	0.05
717.0	Polymyalgia Rheumatica	0.34	0.43
695.22	Pemphigus and pemphigoid	0.02	0.04
574.3	Cholecystitis without cholelithiasis	0.61	0.97
189.21	Malignant neoplasm of bladder	0.57	0.63
480.1	Bacterial pneumonia	0.22	0.51
433.5	Cerebral aneurysm	0.08	0.15
149.1	Cancer of oropharynx	0.04	0.12
614.5	Inflammatory disease of cervix, vagina, and vulva	0.04	0.05
379.0	Other disorders of eye	0.07	0.11
145.2	Cancer of tongue	0.07	0.11
626.0	Disorders of menstruation and other abnormal bleeding from female genital tract	0.36	0.55
626.12	Excessive or frequent menstruation	1.93	3.01
452.0	Other venous embolism and thrombosis	0.14	0.25
476.0	Allergic rhinitis	0.37	0.45
580.2	Nephrotic syndrome without mention of glomerulonephritis	0.11	0.27
500.2	Pneumoconiosis	0.05	0.14
687.0	Symptoms affecting skin	0.05	0.1
274.1	Gout	0.52	0.8
244.4	Hypothyroidism NOS	3.71	4.65
338.2	Chronic pain	0.08	0.21
261.2	Vitamin B-complex deficiencies	0.18	0.42
281.12	Other vitamin B12 deficiency anemia	0.05	0.1
585.1	Acute renal failure	1.45	2.88
523.31	Acute periodontitis	0.02	0.05
721.8	Other allied disorders of spine	0.03	0.05
276.1	Electrolyte imbalance	0.04	0.08
240.0	Simple and unspecified goiter	0.13	0.2
316.1	Polyneuropathy due to drugs	0.02	0.03
585.3	Chronic renal failure [CKD]	0.7	1.48
741.4	Joint effusions	0.06	0.09
578.8	Hemorrhage of rectum and anus	3.25	4.34
626.4	Premenstrual tension syndromes	0.03	0.05
818.0	Intracranial hemorrhage (injury)	0.02	0.06
301.2	Antisocial/borderline personality disorder	0.01	0.14
513.8	Disorders of diaphragm	0.03	0.06
527.2	Sialoadenitis	0.09	0.13
53.1	Herpes zoster with nervous system complications	0.03	0.04
315.2	Speech and language disorder	0.02	0.04
366.3	Traumatic cataract	0.03	0.03
159.0	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	1.48	1.6
694.2	Other dyschromia	0.2	0.27
728.71	Contracture of palmar fascia [Dupuytren's disease]	0.66	0.82
596.1	Bladder neck obstruction	0.49	0.58
285.0	Other anemias	2.83	4.95
474.0	Acute and chronic tonsillitis	0.1	0.14
478.0	Throat pain	0.08	0.14
800.1	Fracture of neck of femur	0.05	0.06
380.4	Impacted cerumen	0.08	0.11
987.0	Toxic effect of other gases, fumes, or vapors	0.01	0.07
669.0	Complications of labor and delivery NEC	0.69	0.73
458.1	Orthostatic hypotension	0.4	0.75
523.0	Gingival and periodontal diseases	0.11	0.2
622.1	Polyp of corpus uteri	2.01	2.23
726.3	Bursitis	0.14	0.18
277.4	Disorders of bilirubin excretion	0.1	0.13
575.8	Other disorders of biliary tract	0.25	0.43
747.11	Cardiac shunt/ heart septal defect	0.15	0.19
225.1	Benign neoplasm of brain, cranial nerves, meninges	0.2	0.24
556.0	Ulceration of the lower GI tract	0.12	0.2
427.41	Ventricular fibrillation and flutter	0.1	0.13
705.8	Hyperhidrosis	0.16	0.24
458.0	Hypotension	0.32	0.46
529.1	Glossitis	0.07	0.12
622.0	Polyp of female genital organs	0.05	0.07
481.0	Influenza	0.09	0.23
395.4	Nonrheumatic pulmonary valve disorders	0.03	0.05
479.0	Other upper respiratory disease	0.95	1.43
443.9	Peripheral vascular disease, unspecified	0.47	1.41
41.0	Bacterial infection NOS	1.44	2.8
627.0	Menopausal and postmenopausal disorders	0.14	0.18
385.0	Other disorders of middle ear and mastoid	0.03	0.05
577.3	Cyst and pseudocyst of pancreas	0.1	0.15
480.3	Pneumonia due to fungus (mycoses)	0.02	0.05
609.2	Abnormal spermatozoa	0.04	0.05
619.4	Noninflammatory disorders of vagina	0.4	0.43
574.12	Cholelithiasis with other cholecystitis	1.38	1.67
807.0	Fracture of ribs	0.06	0.09
573.9	Abnormal serum enzyme levels	0.06	0.1
378.1	Strabismus (not specified as paralytic)	0.19	0.34
433.0	Cerebrovascular disease	0.38	0.7
38.2	Gram positive septicemia	0.11	0.23
278.3	Localized adiposity	0.01	0.03
272.9	Unspecified disorder of lipoid metabolism	0.07	0.13
426.9	Cardiac pacemaker/device in situ	0.07	0.09
455.0	Hemorrhoids	6.23	7.38
615.0	Endometriosis	0.86	1.14
523.1	Gingivitis	0.02	0.04
874.0	Complication of amputation stump	0.03	0.08
733.0	Other disorders of bone and cartilage	0.21	0.31
79.0	Viral infection	0.68	0.95
610.8	Other specified benign mammary dysplasias	0.17	0.19
198.6	Secondary malignancy of bone	0.75	0.83
550.4	Umbilical hernia	0.98	1.64
383.0	Otosclerosis	0.06	0.09
571.51	Cirrhosis of liver without mention of alcohol	0.13	0.41
771.0	Musculoskeletal symptoms referable to limbs	0.2	0.28
253.0	Disorders of the pituitary gland and its hypothalamic control	0.02	0.03
292.3	Memory loss	0.16	0.29
444.0	Arterial embolism and thrombosis	0.08	0.22
559.0	Ileostomy status	0.53	0.67
159.4	Malignant neoplasm of retroperitoneum and peritoneum	0.05	0.07
501.0	Pneumonitis due to inhalation of food or vomitus	0.17	0.36
289.0	Other diseases of blood and blood-forming organs	0.13	0.21
594.1	Calculus of kidney	0.74	1.17
367.9	Blindness and low vision	0.15	0.36
324.0	Other CNS infection and poliomyelitis	0.07	0.13
427.2	Atrial fibrillation and flutter	4.38	4.88
287.1	Spontaneous ecchymoses	0.02	0.05
246.0	Other disorders of thyroid	0.11	0.16
8.0	Intestinal infection	0.11	0.19
250.14	Type 1 diabetes with neurological manifestations	0.03	0.1
427.8	Sinoatrial node dysfunction (Bradycardia)	0.14	0.16
293.1	Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	0.2	0.32
290.0	Delirium dementia and amnestic and other cognitive disorders	0.09	0.26
636.2	Early onset of delivery	0.16	0.19
474.2	Chronic tonsillitis and adenoiditis	0.23	0.35
271.3	Intestinal disaccharidase deficiencies and disaccharide malabsorption	0.04	0.07
644.0	Anemia during pregnancy	0.22	0.24
621.0	Endometrial hyperplasia	0.29	0.33
555.21	Ulcerative colitis (chronic)	0.15	0.26
802.0	Fracture of pelvis	0.02	0.04
722.1	Displacement of intervertebral disc	0.08	0.16
800.0	Fracture of lower limb	0.09	0.15
519.0	Other diseases of respiratory system, not elsewhere classified	0.02	0.05
496.0	Chronic airway obstruction	1.37	5.14
550.1	Inguinal hernia	4.52	4.66
590.0	Pyelonephritis	0.35	0.65
184.2	Cancer of other female genital organs (excluding uterus and ovary)	0.07	0.1
858.0	Complication of internal orthopedic device	0.93	1.17
790.0	Nonspecific findings on examination of blood	0.05	0.07
112.0	Candidiasis	0.57	0.97
596.0	Other disorders of bladder	1.99	2.45
738.0	Other acquired musculoskeletal deformity	0.07	0.15
395.2	Nonrheumatic aortic valve disorders	0.06	0.1
700.0	Corns and callosities	0.08	0.09
367.2	Astigmatism	0.07	0.07
803.0	Fracture of upper limb	0.05	0.08
356.0	Hereditary and idiopathic peripheral neuropathy	0.04	0.05
465.0	Acute upper respiratory infections of multiple or unspecified sites	0.32	0.51
713.5	Arthropathy associated with neurological disorders	0.01	0.04
840.0	Sprains and strains	0.08	0.1
527.7	Disturbance of salivary secretion	0.01	0.03
594.0	Urinary calculus	0.1	0.19
277.5	Other disorders of lipoid metabolism	0.04	0.09
189.0	Cancer of urinary organs (incl. kidney and bladder)	0.77	0.85
300.1	Anxiety disorder	1.68	3.09
474.1	Acute tonsillitis	0.11	0.25
751.12	Congenital anomalies of male genital organs	0.04	0.08
625.0	Pain and other symptoms associated with female genital organs	0.46	0.52
411.8	Other chronic ischemic heart disease, unspecified	3.53	6.38
681.3	Cellulitis and abscess of arm/hand	1.29	2.24
516.0	Abnormal sputum	0.02	0.04
334.0	Degenerative disease of the spinal cord	0.36	0.61
800.4	Fracture of patella	0.02	0.04
343.0	Infantile cerebral palsy	0.02	0.09
345.3	Convulsions	0.53	1.04
870.6	Open wound of neck	0.02	0.06
281.11	Pernicious anemia	0.18	0.31
618.1	Prolapse of vaginal walls	1.89	2.03
647.1	Infections of genitourinary tract during pregnancy	0.07	0.08
575.9	Nonspecific abnormal findings on radiological and other examination of biliary tract	0.1	0.16
569.0	Other disorders of intestine	0.98	1.35
204.12	Lymphoid leukemia, chronic	0.13	0.17
605.0	Erectile dysfunction [ED]	0.11	0.24
250.1	Type 1 diabetes	0.55	1.34
262.0	Mineral deficiency NEC	0.07	0.13
222.0	Benign neoplasm of male genital organs	0.03	0.05
227.3	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	0.09	0.12
150.0	Cancer of esophagus	0.18	0.31
377.0	Disorders of optic nerve and visual pathways	0.05	0.08
440.9	Atherosclerosis of aorta	0.03	0.09
334.2	Anterior horn cell disease	0.07	0.08
170.2	Cancer of connective tissue	0.08	0.1
372.0	Disorders of conjunctiva	0.2	0.32
695.42	Systemic lupus erythematosus	0.08	0.16
654.1	Abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium	0.29	0.36
573.2	Liver replaced by transplant	0.02	0.05
526.9	Jaw disease NOS	0.05	0.08
591.0	Urinary tract infection	3.34	5.03
201.0	Hodgkin's disease	0.06	0.09
276.6	Fluid overload	0.15	0.32
364.2	Corneal edema	0.02	0.04
599.5	Frequency of urination and polyuria	0.98	1.31
378.2	Nystagmus and other irregular eye movements	0.05	0.09
687.3	Changes in skin texture	0.03	0.03
295.2	Paranoid disorders	0.03	0.17
735.1	Flat foot	0.04	0.06
241.2	Nontoxic multinodular goiter	0.17	0.26
636.0	Early or threatened labor; hemorrhage in early pregnancy	0.25	0.29
353.0	Nerve root and plexus disorders	0.29	0.39
335.0	Multiple sclerosis	0.35	0.38
426.0	Cardiac conduction disorders	0.03	0.06
601.1	Prostatitis	0.17	0.2
601.4	Balanoposthitis	0.06	0.1
331.1	Hydrocephalus	0.15	0.18
525.0	Other diseases of the teeth and supporting structures	0.63	0.96
459.1	Hemorrhage NOS	0.02	0.04
287.32	Secondary thrombocytopenia	0.02	0.03
260.6	Anorexia	0.21	0.36
420.21	Acute pericarditis	0.04	0.07
764.0	Sciatica	0.33	0.53
595.0	Hydronephrosis	0.57	0.76
433.8	Late effects of cerebrovascular disease	0.26	0.68
572.0	Ascites (non malignant)	0.4	0.64
228.0	Hemangioma and lymphangioma, any site	0.38	0.45
411.2	Myocardial infarction	3.08	4.84
187.0	Cancer of other male genital organs	0.04	0.05
819.0	Skull and face fracture and other intercranial injury	0.19	0.43
425.11	Hypertrophic obstructive cardiomyopathy	0.03	0.06
362.3	Other nondiabetic retinopathy	0.01	0.03
293.0	Symptoms involving head and neck	0.42	0.78
331.9	Cerebral degeneration, unspecified	0.1	0.25
759.1	Anomalies of endocrine glands, congenital	0.01	0.03
671.0	Venous/cerebrovascular complications embolism in pregnancy and the puerperium	0.05	0.06
365.2	Primary angle-closure glaucoma	0.2	0.26
256.4	Polycystic ovaries	0.05	0.1
285.2	Anemia of chronic disease	0.07	0.14
290.2	Delirium due to conditions classified elsewhere	0.21	0.55
212.0	Benign neoplasm of respiratory and intrathoracic organs	0.09	0.12
253.11	Acromegaly and gigantism	0.02	0.03
359.2	Myopathy	0.06	0.1
530.11	GERD	4.38	6.07
714.0	Rheumatoid arthritis and other inflammatory polyarthropathies	0.1	0.16
341.0	Other demyelinating diseases of central nervous system	0.05	0.08
577.0	Diseases of pancreas	0.14	0.27
151.0	Cancer of stomach	0.14	0.23
871.4	Open wound of toe(s)	0.02	0.03
381.11	Suppurative and unspecified otitis media	0.15	0.29
283.1	Autoimmune hemolytic anemias	0.03	0.04
426.2	Atrioventricular [AV] block	0.03	0.06
614.33	Pelvic inflammatory disease, NOS	0.06	0.11
401.1	Essential hypertension	20.05	26.19
740.11	Osteoarthrosis, localized, primary	2.09	2.65
798.0	Malaise and fatigue	0.73	1.16
370.1	Corneal ulcer	0.04	0.06
528.5	Diseases of lips	0.17	0.21
741.2	Stiffness of joint	0.02	0.03
722.7	Intervertebral disc disorder with myelopathy	0.08	0.18
250.22	Type 2 diabetes with renal manifestations	0.03	0.19
270.35	Macroglobulinemia	0.01	0.03
414.0	Other forms of chronic heart disease	0.58	0.92
223.0	Benign neoplasm of kidney and other urinary organs	0.04	0.07
440.2	Atherosclerosis of the extremities	0.08	0.23
384.0	Other disorders of tympanic membrane	0.08	0.12
480.0	Pneumonia	1.02	1.99
949.0	Allergies, other	0.1	0.16
681.0	Superficial cellulitis and abscess	0.12	0.22
446.5	Giant cell arteritis	0.11	0.15
695.9	Unspecified erythematous condition	0.12	0.2
117.4	Aspergillosis	0.04	0.06
695.41	Cutaneous lupus erythematosus	0.03	0.07
426.32	Left bundle branch block	0.57	0.73
626.2	Dysmenorrhea	0.32	0.59
705.3	Hidradenitis	0.03	0.09
395.1	Nonrheumatic mitral valve disorders	0.86	1.12
252.2	Hypoparathyroidism	0.04	0.06
851.0	Complications of transplants and reattached limbs	1.62	2.13
496.2	Chronic bronchitis	0.06	0.19
627.3	Postmenopausal atrophic vaginitis	0.31	0.35
805.0	Fracture of vertebral column without mention of spinal cord injury	0.08	0.12
70.4	Chronic hepatitis	0.06	0.1
245.21	Chronic lymphocytic thyroiditis	0.06	0.07
870.5	Open wound of lip and mouth	0.09	0.17
259.0	Other endocrine disorders	0.02	0.06
624.1	Dystrophy of female genital tract	0.07	0.08
477.0	Epistaxis or throat hemorrhage	0.66	0.83
695.8	Other specified erythematous conditions	0.04	0.07
562.1	Diverticulosis	8.87	10.11
961.1	Poisoning/allergy of sulfonamides	0.24	0.3
990.0	Effects radiation NOS	1.06	1.24
952.0	Spinal cord injury without evidence of spinal bone injury	0.02	0.03
187.1	Malignant neoplasm of unspecified male genital organ	0.01	0.03
395.6	Heart valve replaced	0.41	0.53
727.7	Contracture of tendon (sheath)	0.03	0.04
579.8	Nonspecific abnormal findings in stool contents	0.57	0.67
433.2	Occlusion of cerebral arteries	0.75	1.23
53.0	Herpes zoster	0.09	0.15
349.0	Other and unspecified disorders of the nervous system	0.1	0.15
365.0	Glaucoma	1.14	1.33
253.2	Pituitary hypofunction	0.07	0.1
340.0	Migraine	0.73	1.05
550.0	Abdominal hernia	0.92	1.53
613.8	Other specified disorders of breast	0.08	0.12
367.8	Hypermetropia	0.07	0.09
348.4	Cerebral cysts	0.03	0.05
361.2	Retinoschisis and retinal cysts	0.02	0.03
519.9	Symptoms involving respiratory system and other chest symptoms	0.06	0.11
345.12	Partial epilepsy	0.07	0.13
300.12	Agorophobia, social phobia, and panic disorder	0.18	0.48
276.42	Alkalosis	0.03	0.07
619.5	Noninflammatory disorders of vulva and perineum	0.35	0.38
379.2	Disorders of vitreous body	0.36	0.46
368.2	Diplopia and disorders of binocular vision	0.18	0.26
500.0	Lung disease due to external agents	0.03	0.05
334.1	Spinocerebellar disease	0.03	0.07
284.0	Aplastic anemia	0.11	0.21
317.0	Alcohol-related disorders	0.83	3.76
350.2	Abnormality of gait	0.48	1.07
363.3	Chorioretinal scars	0.02	0.03
303.4	Somatoform disorder	0.02	0.07
306.0	Other mental disorder	7.32	12.41
771.1	Swelling of limb	0.18	0.3
577.1	Acute pancreatitis	0.28	0.5
550.3	Femoral hernia	0.18	0.21
198.4	Secondary malignant neoplasm of liver	0.91	1.06
701.0	Other hypertrophic and atrophic conditions of skin	0.41	0.49
627.2	Symptomatic menopause	0.04	0.07
165.1	Cancer of bronchus; lung	0.48	1.27
870.4	Open wound of nose and sinus	0.05	0.11
715.0	Other inflammatory spondylopathies	0.07	0.15
350.3	Lack of coordination	0.09	0.15
458.2	Iatrogenic hypotension	0.06	0.09
520.2	Disturbances in tooth eruption	0.46	0.55
362.31	Separation of retinal layers	0.02	0.04
352.2	Facial nerve disorders [CN7]	0.22	0.33
727.0	Other disorders of synovium, tendon, and bursa	0.27	0.28
701.5	Abnormal granulation tissue	0.12	0.14
366.0	Cataract	5.02	6.19
281.13	Folate-deficiency anemia	0.03	0.1
599.4	Urinary incontinence	2.15	2.99
251.1	Hypoglycemia	0.18	0.66
577.2	Chronic pancreatitis	0.1	0.3
184.11	Malignant neoplasm of ovary	0.25	0.3
333.4	Torsion dystonia	0.06	0.11
451.0	Phlebitis and thrombophlebitis	0.09	0.16
290.12	Dementia with cerebral degenerations	0.02	0.03
208.0	Benign neoplasm of colon	5.56	7.02
612.2	Hypertrophy of breast (Gynecomastia)	0.18	0.26
257.1	Testicular hypofunction	0.04	0.07
459.0	Other disorders of circulatory system	0.03	0.05
277.0	Other disorders of metabolism	0.25	0.42
500.1	Extrinsic allergic alveolitis	0.02	0.04
939.0	Atopic/contact dermatitis due to other or unspecified	0.57	0.85
732.0	Osteochondropathies	0.06	0.07
793.2	Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echocardiogram, etc)	0.15	0.23
361.0	Retinal detachments and defects	0.46	0.67
613.1	Inflammatory disease of breast	0.15	0.23
938.0	Dermatitis due to solar radiation	0.02	0.04
742.8	Articular cartilage disorder	0.02	0.03
649.1	Diabetes or abnormal glucose tolerance complicating pregnancy	0.04	0.09
426.4	Anomalous atrioventricular excitation	0.05	0.09
619.1	Noninflammatory disorders of ovary, fallopian tube, and broad ligament	0.18	0.22
656.0	Other perinatal conditions of fetus or newborn	0.13	0.16
348.9	Other conditions of brain, NOS	0.11	0.18
426.91	Cardiac pacemaker in situ	0.72	0.94
136.0	Other infectious and parasitic diseases	0.06	0.08
253.3	Diabetes insipidus	0.02	0.04
958.2	Traumatic and surgical subcutaneous emphysema	0.02	0.03
747.2	Congenital anomalies of peripheral vascular system	0.04	0.05
292.6	Hallucinations	0.07	0.19
149.4	Cancer of larynx	0.03	0.15
585.2	Renal failure NOS	0.33	0.63
941.0	Adverse reaction to serum or vaccine	0.04	0.08
480.12	Pseudomonal pneumonia	0.02	0.05
614.1	Pelvic peritoneal adhesions, female (postoperative) (postinfection)	0.59	0.86
622.2	Mucous polyp of cervix	0.74	0.87
619.0	Noninflammatory female genital disorders	0.03	0.08
575.2	Obstruction of bile duct	0.21	0.32
860.0	Bone marrow or stem cell transplant	0.02	0.03
416.0	Cardiomegaly	0.69	1.25
364.4	Corneal degenerations	0.04	0.05
418.1	Precordial pain	0.98	1.66
440.1	Atherosclerosis of renal artery	0.01	0.03
198.7	Secondary malignant neoplasm of skin	0.05	0.07
626.11	Absent or infrequent menstruation	0.02	0.04
665.0	Obstetrical/birth trauma	1.2	1.5
289.5	Diseases of spleen	0.14	0.19
652.0	Malposition and malpresentation of fetus or obstruction	0.4	0.49
686.4	Pyogenic granuloma	0.1	0.11
759.0	Other and unspecified congenital anomalies	0.02	0.04
333.2	Myoclonus	0.03	0.03
649.0	Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium	0.02	0.03
70.2	Viral hepatitis B	0.03	0.16
598.9	Other nonspecific findings on examination of urine	0.07	0.12
686.0	Other local infections of skin and subcutaneous tissue	0.34	0.56
513.3	Hypoventilation	0.02	0.07
599.9	Other abnormality of urination	0.47	0.6
401.22	Hypertensive chronic kidney disease	0.34	0.9
530.2	Esophageal bleeding (varices/hemorrhage)	0.42	0.81
503.0	Pulmonary congestion and hypostasis	0.1	0.27
229.0	Benign neoplasm of unspecified sites	0.58	0.62
965.1	Opiates and related narcotics causing adverse effects in therapeutic use	0.4	0.45
946.0	Anaphylactic shock NOS	0.13	0.22
276.12	Hyposmolality and/or hyponatremia	0.55	0.98
362.7	Hereditary retinal dystrophies	0.02	0.03
530.6	Diverticulum of esophagus, acquired	0.04	0.08
526.5	Inflammatory conditions of jaw	0.02	0.05
