Phenotype	PheCode	35-44	45-54	55-64	65-74
Varicose veins of lower extremity, symptomtic	454.11	0.09	0.14	0.28	0.36
Other chronic nonalcoholic liver disease	571.5	0.39	0.56	0.63	0.61
Epilepsy, recurrent seizures, convulsions	345.0	0.85	0.86	0.97	1.15
Obsessive-compulsive disorders	300.3	0.06	0.06	0.05	0.03
Other diseases of respiratory system, NEC	519.8	1.55	1.84	2.85	4.48
Otitis media	381.1	0.18	0.23	0.3	0.36
Secondary malignancy of brain/spine	198.5	0.08	0.18	0.35	0.46
Anemia in neoplastic disease	285.22	0.06	0.07	0.15	0.26
Cancer of bladder	189.2	0.03	0.09	0.23	0.49
Peripheral or central vertigo	386.2	0.06	0.08	0.14	0.22
Poisoning by psychotropic agents	969.0	0.87	0.73	0.39	0.31
Pulmonary heart disease	415.0	0.43	0.68	1.22	1.78
Abnormal findings on exam of gastrointestinal tract/ abdominal area	564.8	0.28	0.43	0.78	1.04
Disorders of iron metabolism	275.1	0.12	0.15	0.22	0.24
Septal Deviations/Turbinate Hypertrophy	470.0	1.65	1.43	1.17	0.94
Labyrinthitis	386.3	0.12	0.18	0.22	0.3
Chronic dermatitis due to solar radiation	938.2	0.02	0.04	0.08	0.16
Open wound of foot except toe(s) alone	871.3	0.06	0.05	0.04	0.06
Paralysis/spasm of vocal cords or larynx	473.3	0.03	0.06	0.09	0.13
Other intestinal obstruction	560.4	0.45	0.8	1.36	2.17
Cancer of other female genital organs	184.0	0.05	0.04	0.04	0.05
Progressive myopia	360.2	0.02	0.04	0.08	0.11
Acquired foot deformities	735.0	0.02	0.03	0.05	0.05
Cholelithiasis with acute cholecystitis	574.11	0.26	0.36	0.49	0.69
Ectropion or entropion	374.1	0.05	0.08	0.35	0.76
Symptoms involving cardiovascular system	429.3	0.03	0.05	0.07	0.08
Rosacea	695.3	0.04	0.08	0.09	0.13
Diseases of pulp and periapical tissues	522.0	0.12	0.19	0.15	0.15
Carcinoma in situ of skin	172.3	0.03	0.07	0.22	0.52
stress incontinence, female	624.9	1.11	1.44	1.59	1.62
Hallux rigidus	735.23	0.15	0.26	0.54	0.53
Inflammation of eyelids	371.3	0.51	0.62	0.65	0.8
Infertility, female	626.8	1.42	0.49	0.01	0.0
Hyperemesis gravidarum	643.1	0.24	0.05	0.0	0.0
Dyspareunia	625.1	0.59	0.39	0.18	0.09
Peritoneal adhesions (postoperative) (postinfection)	568.1	0.8	0.91	1.07	1.34
Large cell lymphoma	202.24	0.06	0.08	0.19	0.34
Disorders of the globe	360.0	0.01	0.02	0.02	0.03
Varicose veins of lower extremity	454.1	1.97	2.38	3.15	3.57
Proteinuria	269.0	0.07	0.08	0.11	0.14
Corneal dystrophy	364.5	0.01	0.02	0.08	0.16
Hyperparathyroidism	252.1	0.08	0.15	0.29	0.39
Aortic aneurysm	442.1	0.04	0.08	0.21	0.39
Irritable Bowel Syndrome	564.1	1.61	1.83	2.15	2.35
Right bundle branch block	426.31	0.16	0.26	0.59	1.25
Acne	706.1	0.02	0.03	0.02	0.02
Normal delivery	650.0	3.18	0.7	0.0	0.0
Vascular disorders of skin	694.3	0.03	0.03	0.04	0.05
Other diseases of lung	510.0	0.11	0.15	0.33	0.52
Meniere's disease	386.1	0.07	0.1	0.19	0.26
Sacroiliitis NEC	715.1	0.02	0.02	0.03	0.03
Disorder of skin and subcutaneous tissue NOS	689.0	0.97	1.19	1.73	2.4
Ulcerative colitis	555.2	0.75	0.87	1.08	1.34
Other acquired deformities of limbs	736.0	0.03	0.05	0.09	0.12
Primary pulmonary hypertension	415.21	0.03	0.06	0.13	0.29
Anxiety disorders	300.0	0.13	0.13	0.1	0.12
Chondrocalcinosis	274.21	0.08	0.07	0.08	0.09
Poisoning by primarily systemic agents	963.0	0.08	0.08	0.03	0.04
Constipation	563.0	2.27	2.8	4.29	6.76
Major depressive disorder	296.22	0.14	0.14	0.11	0.13
Myopia	367.1	0.12	0.22	0.51	0.64
Cyst or abscess of Bartholin's gland	614.53	0.35	0.26	0.16	0.07
Cancer of prostate	185.0	0.06	0.48	2.19	4.21
Substance addiction and disorders	316.0	0.28	0.19	0.09	0.04
Diarrhea	561.1	0.08	0.12	0.24	0.31
Multiple gestation	651.0	0.56	0.12	0.0	0.0
Symptoms involving nervous and musculoskeletal systems	781.0	0.46	0.49	0.59	0.78
Benign neoplasm of parathyroid gland	227.2	0.03	0.08	0.13	0.17
Eosinophilia	288.3	0.01	0.02	0.02	0.03
Hyperpotassemia	276.13	0.1	0.18	0.39	0.73
Other abnormal blood chemistry	790.6	0.53	0.97	2.28	3.71
Symptoms and disorders of the joints	741.0	0.18	0.14	0.14	0.13
Corneal opacity	364.1	0.02	0.02	0.03	0.07
Polymyalgia Rheumatica	717.0	0.02	0.09	0.38	1.04
Pemphigus and pemphigoid	695.22	0.02	0.02	0.03	0.05
Cholecystitis without cholelithiasis	574.3	0.48	0.57	0.86	1.07
Malignant neoplasm of bladder	189.21	0.06	0.19	0.64	1.38
Bacterial pneumonia	480.1	0.14	0.18	0.34	0.54
Cerebral aneurysm	433.5	0.07	0.1	0.12	0.12
Cancer of oropharynx	149.1	0.03	0.08	0.08	0.06
Inflammatory disease of cervix, vagina, and vulva	614.5	0.04	0.03	0.05	0.04
Other disorders of eye	379.0	0.06	0.06	0.1	0.14
Cancer of tongue	145.2	0.03	0.08	0.1	0.09
Disorders of menstruation and other abnormal bleeding from female genital tract	626.0	0.75	0.61	0.36	0.23
Excessive or frequent menstruation	626.12	4.75	4.58	1.33	0.15
Other venous embolism and thrombosis	452.0	0.1	0.17	0.2	0.24
Allergic rhinitis	476.0	0.44	0.41	0.37	0.39
Nephrotic syndrome without mention of glomerulonephritis	580.2	0.1	0.12	0.18	0.26
Pneumoconiosis	500.2	0.0	0.01	0.07	0.25
Symptoms affecting skin	687.0	0.04	0.04	0.08	0.11
Gout	274.1	0.18	0.3	0.72	1.21
Hypothyroidism NOS	244.4	1.96	2.94	4.71	6.15
Chronic pain	338.2	0.12	0.14	0.12	0.11
Vitamin B-complex deficiencies	261.2	0.16	0.21	0.27	0.44
Other vitamin B12 deficiency anemia	281.12	0.04	0.04	0.06	0.11
Acute renal failure	585.1	0.47	0.86	1.99	4.02
Acute periodontitis	523.31	0.04	0.05	0.04	0.03
Other allied disorders of spine	721.8	0.02	0.02	0.04	0.05
Electrolyte imbalance	276.1	0.03	0.03	0.05	0.08
Simple and unspecified goiter	240.0	0.11	0.16	0.18	0.24
Polyneuropathy due to drugs	316.1	0.01	0.02	0.03	0.04
Chronic renal failure [CKD]	585.3	0.23	0.4	0.98	2.31
Joint effusions	741.4	0.05	0.05	0.07	0.09
Hemorrhage of rectum and anus	578.8	2.5	3.24	3.82	4.24
Premenstrual tension syndromes	626.4	0.1	0.08	0.01	0.0
Intracranial hemorrhage (injury)	818.0	0.03	0.03	0.03	0.07
Antisocial/borderline personality disorder	301.2	0.12	0.08	0.02	0.01
Disorders of diaphragm	513.8	0.02	0.03	0.06	0.07
Sialoadenitis	527.2	0.05	0.09	0.12	0.11
Herpes zoster with nervous system complications	53.1	0.01	0.01	0.04	0.05
Speech and language disorder	315.2	0.01	0.01	0.03	0.05
Traumatic cataract	366.3	0.01	0.02	0.03	0.05
Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	159.0	0.36	0.75	1.73	3.02
Other dyschromia	694.2	0.13	0.17	0.24	0.34
Contracture of palmar fascia [Dupuytren's disease]	728.71	0.09	0.34	0.88	1.39
Bladder neck obstruction	596.1	0.12	0.25	0.59	1.05
Other anemias	285.0	2.18	2.74	3.7	5.84
Acute and chronic tonsillitis	474.0	0.24	0.16	0.08	0.07
Throat pain	478.0	0.06	0.08	0.12	0.14
Fracture of neck of femur	800.1	0.01	0.03	0.06	0.12
Impacted cerumen	380.4	0.05	0.07	0.1	0.14
Toxic effect of other gases, fumes, or vapors	987.0	0.03	0.03	0.03	0.02
Complications of labor and delivery NEC	669.0	4.75	0.91	0.0	0.0
Orthostatic hypotension	458.1	0.09	0.21	0.54	1.2
Gingival and periodontal diseases	523.0	0.09	0.12	0.15	0.16
Polyp of corpus uteri	622.1	1.45	2.21	2.33	1.91
Bursitis	726.3	0.13	0.17	0.16	0.16
Disorders of bilirubin excretion	277.4	0.09	0.1	0.11	0.13
Other disorders of biliary tract	575.8	0.11	0.21	0.38	0.53
Cardiac shunt/ heart septal defect	747.11	0.16	0.19	0.14	0.15
Benign neoplasm of brain, cranial nerves, meninges	225.1	0.11	0.18	0.25	0.29
Ulceration of the lower GI tract	556.0	0.08	0.12	0.16	0.24
Ventricular fibrillation and flutter	427.41	0.02	0.06	0.14	0.18
Hyperhidrosis	705.8	0.16	0.16	0.18	0.25
Hypotension	458.0	0.19	0.2	0.41	0.66
Glossitis	529.1	0.05	0.07	0.1	0.1
Polyp of female genital organs	622.0	0.04	0.05	0.07	0.06
Influenza	481.0	0.11	0.11	0.13	0.2
Nonrheumatic pulmonary valve disorders	395.4	0.02	0.02	0.04	0.07
Other upper respiratory disease	479.0	0.93	1.06	1.15	1.21
Peripheral vascular disease, unspecified	443.9	0.13	0.31	0.85	1.8
Bacterial infection NOS	41.0	0.92	1.32	2.07	3.15
Menopausal and postmenopausal disorders	627.0	0.05	0.14	0.21	0.14
Other disorders of middle ear and mastoid	385.0	0.03	0.04	0.04	0.04
Cyst and pseudocyst of pancreas	577.3	0.04	0.08	0.13	0.17
Pneumonia due to fungus (mycoses)	480.3	0.03	0.03	0.03	0.07
Abnormal spermatozoa	609.2	0.01	0.01	0.04	0.11
Noninflammatory disorders of vagina	619.4	0.55	0.46	0.39	0.37
Cholelithiasis with other cholecystitis	574.12	1.0	1.27	1.68	1.97
Fracture of ribs	807.0	0.04	0.07	0.08	0.1
Abnormal serum enzyme levels	573.9	0.03	0.05	0.07	0.12
Strabismus (not specified as paralytic)	378.1	0.24	0.23	0.24	0.3
Cerebrovascular disease	433.0	0.09	0.17	0.5	1.05
Gram positive septicemia	38.2	0.1	0.11	0.16	0.25
Localized adiposity	278.3	0.03	0.02	0.02	0.01
Unspecified disorder of lipoid metabolism	272.9	0.02	0.04	0.1	0.2
Cardiac pacemaker/device in situ	426.9	0.01	0.03	0.08	0.16
Hemorrhoids	455.0	4.51	5.87	7.03	7.9
Endometriosis	615.0	2.1	1.67	0.62	0.31
Gingivitis	523.1	0.02	0.03	0.03	0.04
Complication of amputation stump	874.0	0.05	0.04	0.05	0.05
Other disorders of bone and cartilage	733.0	0.09	0.18	0.27	0.36
Viral infection	79.0	0.88	0.84	0.69	0.71
Other specified benign mammary dysplasias	610.8	0.14	0.18	0.18	0.17
Secondary malignancy of bone	198.6	0.19	0.39	0.91	1.51
Umbilical hernia	550.4	0.87	1.07	1.27	1.55
Otosclerosis	383.0	0.08	0.1	0.07	0.08
Cirrhosis of liver without mention of alcohol	571.51	0.1	0.17	0.25	0.28
Musculoskeletal symptoms referable to limbs	771.0	0.14	0.2	0.24	0.31
Disorders of the pituitary gland and its hypothalamic control	253.0	0.02	0.02	0.03	0.03
Memory loss	292.3	0.13	0.13	0.23	0.38
Arterial embolism and thrombosis	444.0	0.04	0.08	0.13	0.22
Ileostomy status	559.0	0.23	0.37	0.68	0.97
Malignant neoplasm of retroperitoneum and peritoneum	159.4	0.02	0.03	0.07	0.12
Pneumonitis due to inhalation of food or vomitus	501.0	0.07	0.1	0.25	0.48
Other diseases of blood and blood-forming organs	289.0	0.05	0.09	0.16	0.28
Calculus of kidney	594.1	0.65	0.77	0.96	1.12
Blindness and low vision	367.9	0.12	0.16	0.22	0.37
Other CNS infection and poliomyelitis	324.0	0.04	0.06	0.1	0.12
Atrial fibrillation and flutter	427.2	0.66	1.56	4.84	10.45
Spontaneous ecchymoses	287.1	0.03	0.02	0.04	0.05
Other disorders of thyroid	246.0	0.07	0.09	0.14	0.19
Intestinal infection	8.0	0.11	0.12	0.14	0.16
Type 1 diabetes with neurological manifestations	250.14	0.03	0.06	0.05	0.07
Sinoatrial node dysfunction (Bradycardia)	427.8	0.02	0.06	0.16	0.36
Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	293.1	0.2	0.23	0.26	0.28
Delirium dementia and amnestic and other cognitive disorders	290.0	0.02	0.04	0.14	0.39
Early onset of delivery	636.2	1.16	0.23	0.0	0.0
Chronic tonsillitis and adenoiditis	474.2	0.69	0.34	0.19	0.16
Intestinal disaccharidase deficiencies and disaccharide malabsorption	271.3	0.04	0.04	0.05	0.06
Anemia during pregnancy	644.0	1.35	0.33	0.0	0.0
Endometrial hyperplasia	621.0	0.21	0.31	0.34	0.26
Ulcerative colitis (chronic)	555.21	0.2	0.18	0.22	0.2
Fracture of pelvis	802.0	0.02	0.02	0.03	0.05
Displacement of intervertebral disc	722.1	0.11	0.14	0.09	0.08
Fracture of lower limb	800.0	0.09	0.09	0.12	0.15
Other diseases of respiratory system, not elsewhere classified	519.0	0.01	0.02	0.03	0.05
Chronic airway obstruction	496.0	0.45	1.08	2.91	5.34
Inguinal hernia	550.1	1.92	2.6	5.18	8.06
Pyelonephritis	590.0	0.43	0.42	0.45	0.5
Cancer of other female genital organs (excluding uterus and ovary)	184.2	0.04	0.09	0.09	0.1
Complication of internal orthopedic device	858.0	0.43	0.61	1.19	1.81
Nonspecific findings on examination of blood	790.0	0.04	0.03	0.06	0.1
Candidiasis	112.0	0.48	0.47	0.73	1.13
Other disorders of bladder	596.0	0.78	1.24	2.29	3.86
Other acquired musculoskeletal deformity	738.0	0.15	0.12	0.08	0.07
Nonrheumatic aortic valve disorders	395.2	0.02	0.02	0.08	0.21
Corns and callosities	700.0	0.03	0.07	0.09	0.11
Astigmatism	367.2	0.02	0.04	0.07	0.13
Fracture of upper limb	803.0	0.07	0.06	0.05	0.07
Hereditary and idiopathic peripheral neuropathy	356.0	0.02	0.04	0.05	0.05
Acute upper respiratory infections of multiple or unspecified sites	465.0	0.36	0.33	0.4	0.42
Arthropathy associated with neurological disorders	713.5	0.01	0.02	0.03	0.03
Sprains and strains	840.0	0.11	0.11	0.09	0.07
Disturbance of salivary secretion	527.7	0.0	0.02	0.02	0.03
Urinary calculus	594.0	0.09	0.13	0.14	0.13
Other disorders of lipoid metabolism	277.5	0.04	0.05	0.07	0.09
Cancer of urinary organs (incl. kidney and bladder)	189.0	0.1	0.3	0.91	1.8
Anxiety disorder	300.1	1.71	1.96	2.21	2.61
Acute tonsillitis	474.1	0.5	0.21	0.09	0.06
Congenital anomalies of male genital organs	751.12	0.04	0.04	0.05	0.09
Pain and other symptoms associated with female genital organs	625.0	0.9	0.77	0.33	0.19
Other chronic ischemic heart disease, unspecified	411.8	0.58	1.68	5.01	10.21
Cellulitis and abscess of arm/hand	681.3	1.07	1.27	1.72	2.31
Abnormal sputum	516.0	0.01	0.02	0.03	0.05
Degenerative disease of the spinal cord	334.0	0.3	0.33	0.48	0.66
Fracture of patella	800.4	0.02	0.02	0.03	0.05
Infantile cerebral palsy	343.0	0.06	0.05	0.03	0.03
Convulsions	345.3	0.62	0.63	0.65	0.83
Open wound of neck	870.6	0.05	0.04	0.03	0.03
Pernicious anemia	281.11	0.08	0.16	0.24	0.4
Prolapse of vaginal walls	618.1	0.73	1.39	2.28	2.75
Infections of genitourinary tract during pregnancy	647.1	0.49	0.09	0.0	0.0
Nonspecific abnormal findings on radiological and other examination of biliary tract	575.9	0.05	0.08	0.12	0.2
Other disorders of intestine	569.0	0.49	0.78	1.23	1.78
Lymphoid leukemia, chronic	204.12	0.02	0.06	0.18	0.3
Erectile dysfunction [ED]	605.0	0.08	0.1	0.17	0.27
Type 1 diabetes	250.1	0.51	0.64	0.85	1.14
Mineral deficiency NEC	262.0	0.07	0.08	0.1	0.11
Benign neoplasm of male genital organs	222.0	0.03	0.03	0.05	0.05
Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	227.3	0.07	0.09	0.11	0.11
Cancer of esophagus	150.0	0.02	0.08	0.26	0.46
Disorders of optic nerve and visual pathways	377.0	0.04	0.04	0.06	0.11
Atherosclerosis of aorta	440.9	0.0	0.01	0.06	0.12
Anterior horn cell disease	334.2	0.02	0.05	0.08	0.14
Cancer of connective tissue	170.2	0.05	0.07	0.1	0.11
Disorders of conjunctiva	372.0	0.14	0.21	0.25	0.38
Systemic lupus erythematosus	695.42	0.1	0.13	0.11	0.12
Abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium	654.1	2.05	0.44	0.0	0.0
Liver replaced by transplant	573.2	0.02	0.03	0.03	0.03
Jaw disease NOS	526.9	0.04	0.07	0.07	0.08
Urinary tract infection	591.0	1.84	2.45	3.98	6.73
Hodgkin's disease	201.0	0.08	0.08	0.07	0.07
Fluid overload	276.6	0.06	0.1	0.21	0.41
Corneal edema	364.2	0.01	0.01	0.03	0.05
Frequency of urination and polyuria	599.5	0.6	0.78	1.2	1.71
Nystagmus and other irregular eye movements	378.2	0.05	0.06	0.06	0.1
Changes in skin texture	687.3	0.01	0.02	0.04	0.04
Paranoid disorders	295.2	0.06	0.09	0.06	0.08
Flat foot	735.1	0.03	0.03	0.06	0.07
Nontoxic multinodular goiter	241.2	0.1	0.16	0.24	0.27
Early or threatened labor; hemorrhage in early pregnancy	636.0	1.97	0.32	0.0	0.0
Nerve root and plexus disorders	353.0	0.16	0.22	0.36	0.51
Multiple sclerosis	335.0	0.36	0.46	0.35	0.25
Cardiac conduction disorders	426.0	0.02	0.02	0.06	0.11
Prostatitis	601.1	0.06	0.11	0.22	0.3
Balanoposthitis	601.4	0.04	0.06	0.08	0.13
Hydrocephalus	331.1	0.1	0.11	0.18	0.23
Other diseases of the teeth and supporting structures	525.0	0.7	0.74	0.76	0.9
Hemorrhage NOS	459.1	0.02	0.01	0.03	0.06
Secondary thrombocytopenia	287.32	0.01	0.02	0.03	0.05
Anorexia	260.6	0.11	0.17	0.27	0.46
Acute pericarditis	420.21	0.04	0.05	0.06	0.07
Sciatica	764.0	0.28	0.33	0.41	0.53
Hydronephrosis	595.0	0.36	0.44	0.66	0.95
Late effects of cerebrovascular disease	433.8	0.14	0.22	0.43	0.81
Ascites (non malignant)	572.0	0.24	0.36	0.55	0.76
Hemangioma and lymphangioma, any site	228.0	0.3	0.36	0.46	0.52
Myocardial infarction	411.2	0.73	1.75	4.07	7.52
Cancer of other male genital organs	187.0	0.03	0.03	0.05	0.04
Skull and face fracture and other intercranial injury	819.0	0.38	0.33	0.24	0.21
Hypertrophic obstructive cardiomyopathy	425.11	0.03	0.03	0.05	0.07
Other nondiabetic retinopathy	362.3	0.01	0.02	0.03	0.03
Symptoms involving head and neck	293.0	0.54	0.61	0.58	0.44
Cerebral degeneration, unspecified	331.9	0.04	0.08	0.14	0.35
Anomalies of endocrine glands, congenital	759.1	0.01	0.03	0.03	0.02
Venous/cerebrovascular complications embolism in pregnancy and the puerperium	671.0	0.32	0.07	0.0	0.0
Primary angle-closure glaucoma	365.2	0.04	0.11	0.26	0.43
Polycystic ovaries	256.4	0.31	0.1	0.01	0.01
Anemia of chronic disease	285.2	0.03	0.06	0.1	0.19
Delirium due to conditions classified elsewhere	290.2	0.05	0.11	0.3	0.86
Benign neoplasm of respiratory and intrathoracic organs	212.0	0.09	0.08	0.1	0.13
Acromegaly and gigantism	253.11	0.02	0.02	0.03	0.04
Myopathy	359.2	0.04	0.06	0.08	0.09
GERD	530.11	2.63	3.74	5.64	7.15
Rheumatoid arthritis and other inflammatory polyarthropathies	714.0	0.03	0.07	0.14	0.2
Other demyelinating diseases of central nervous system	341.0	0.09	0.09	0.06	0.03
Diseases of pancreas	577.0	0.07	0.11	0.21	0.29
Cancer of stomach	151.0	0.03	0.08	0.18	0.4
Open wound of toe(s)	871.4	0.02	0.02	0.02	0.02
Suppurative and unspecified otitis media	381.11	0.18	0.19	0.23	0.22
Autoimmune hemolytic anemias	283.1	0.01	0.02	0.04	0.07
Atrioventricular [AV] block	426.2	0.01	0.02	0.04	0.11
Pelvic inflammatory disease, NOS	614.33	0.22	0.11	0.05	0.03
Essential hypertension	401.1	6.02	12.48	25.5	39.69
Osteoarthrosis, localized, primary	740.11	0.5	1.11	2.79	4.78
Malaise and fatigue	798.0	0.6	0.72	0.88	1.21
Corneal ulcer	370.1	0.03	0.04	0.04	0.07
Diseases of lips	528.5	0.15	0.17	0.21	0.22
Stiffness of joint	741.2	0.02	0.02	0.03	0.05
Intervertebral disc disorder with myelopathy	722.7	0.09	0.09	0.13	0.15
Type 2 diabetes with renal manifestations	250.22	0.02	0.05	0.09	0.15
Macroglobulinemia	270.35	0.0	0.01	0.02	0.05
Other forms of chronic heart disease	414.0	0.13	0.31	0.76	1.6
Benign neoplasm of kidney and other urinary organs	223.0	0.01	0.04	0.07	0.1
Atherosclerosis of the extremities	440.2	0.02	0.04	0.14	0.32
Other disorders of tympanic membrane	384.0	0.08	0.1	0.1	0.1
Pneumonia	480.0	0.51	0.73	1.35	2.57
Allergies, other	949.0	0.14	0.14	0.11	0.11
Superficial cellulitis and abscess	681.0	0.1	0.12	0.15	0.22
Giant cell arteritis	446.5	0.01	0.03	0.14	0.3
Unspecified erythematous condition	695.9	0.08	0.11	0.15	0.23
Aspergillosis	117.4	0.02	0.03	0.06	0.08
Cutaneous lupus erythematosus	695.41	0.04	0.05	0.04	0.05
Left bundle branch block	426.32	0.12	0.23	0.68	1.54
Dysmenorrhea	626.2	1.03	0.85	0.16	0.01
Hidradenitis	705.3	0.09	0.08	0.04	0.02
Nonrheumatic mitral valve disorders	395.1	0.26	0.44	1.0	2.04
Hypoparathyroidism	252.2	0.02	0.04	0.06	0.07
